LGA_NAME16	Age	ModeTravelToWork	NumberModes	workers
Murray River (A)	55-64	Walked only	1	67
Murray River (A)	55-64	Worked at home		143
Murray River (A)	65-74	Car as driver	1	121
Murray River (A)	65-74	Car as passenger	1	3
Murray River (A)	65-74	Did not go to work		28
Murray River (A)	65-74	Method of travel not stated		7
Murray River (A)	65-74	(Other)	1	3
Murray River (A)	65-74	Truck	1	9
Murray River (A)	65-74	Walked only	1	31
Murray River (A)	65-74	Worked at home		82
Murray River (A)	75+	Car as driver	1	32
Murray River (A)	75+	Did not go to work		12
Murray River (A)	75+	Method of travel not stated		3
Murray River (A)	75+	Motorbike scooter	1	3
Murray River (A)	75+	(Other)	1	3
Murray River (A)	75+	Truck	1	6
Murray River (A)	75+	Walked only	1	6
Murray River (A)	75+	Worked at home		25
Murrumbidgee (A)	15-24	Car as driver	1	86
Murrumbidgee (A)	15-24	Car as passenger	1	35
Murrumbidgee (A)	15-24	Did not go to work		24
Murrumbidgee (A)	15-24	Method of travel not stated		7
Murrumbidgee (A)	15-24	Walked only	1	11
Murrumbidgee (A)	15-24	Worked at home		7
Murrumbidgee (A)	25-34	Car as driver	1	171
Murrumbidgee (A)	25-34	Car as passenger	1	41
Murrumbidgee (A)	25-34	Did not go to work		22
Murrumbidgee (A)	25-34	(Other)	1	4
Murrumbidgee (A)	25-34	Other two methods	2	6
Murrumbidgee (A)	25-34	Truck	1	4
Murrumbidgee (A)	25-34	Walked only	1	25
Murrumbidgee (A)	25-34	Worked at home		15
Murrumbidgee (A)	35-44	Car as driver	1	203
Murrumbidgee (A)	35-44	Car as passenger	1	7
Murrumbidgee (A)	35-44	Did not go to work		15
Murrumbidgee (A)	35-44	Method of travel not stated		3
Murrumbidgee (A)	35-44	Truck	1	4
Murrumbidgee (A)	35-44	Walked only	1	25
Murrumbidgee (A)	35-44	Worked at home		27
Murrumbidgee (A)	45-54	Car as driver	1	216
Murrumbidgee (A)	45-54	Car as passenger	1	13
Murrumbidgee (A)	45-54	Did not go to work		35
Murrumbidgee (A)	45-54	(Other)	1	3
Murrumbidgee (A)	45-54	Other two methods	2	7
Murrumbidgee (A)	45-54	Truck	1	5
Murrumbidgee (A)	45-54	Walked only	1	34
Murrumbidgee (A)	45-54	Worked at home		54
Murrumbidgee (A)	55-64	Bicycle	1	3
Murrumbidgee (A)	55-64	Bus	1	4
Murrumbidgee (A)	55-64	Car as driver	1	178
Murrumbidgee (A)	55-64	Car as passenger	1	9
Murrumbidgee (A)	55-64	Did not go to work		26
Murrumbidgee (A)	55-64	Method of travel not stated		5
Murrumbidgee (A)	55-64	(Other)	1	3
Murrumbidgee (A)	55-64	Other two methods	2	4
Murrumbidgee (A)	55-64	Truck	1	4
Murrumbidgee (A)	55-64	Walked only	1	33
Murrumbidgee (A)	55-64	Worked at home		68
Murrumbidgee (A)	65-74	Car as driver	1	38
Murrumbidgee (A)	65-74	Car as passenger	1	3
Murrumbidgee (A)	65-74	Did not go to work		13
Murrumbidgee (A)	65-74	(Other)	1	3
Murrumbidgee (A)	65-74	Truck	1	6
Murrumbidgee (A)	65-74	Walked only	1	9
Murrumbidgee (A)	65-74	Worked at home		36
Murrumbidgee (A)	75+	Car as driver	1	10
Murrumbidgee (A)	75+	Did not go to work		3
Murrumbidgee (A)	75+	Truck	1	3
Murrumbidgee (A)	75+	Worked at home		12
Muswellbrook (A)	15-24	Bicycle	1	3
Muswellbrook (A)	15-24	Bus	1	5
Muswellbrook (A)	15-24	Car as driver	1	770
Muswellbrook (A)	15-24	Car as passenger	1	163
Muswellbrook (A)	15-24	Did not go to work		168
Muswellbrook (A)	15-24	Method of travel not stated		19
Muswellbrook (A)	15-24	Motorbike scooter	1	18
Muswellbrook (A)	15-24	(Other)	1	3
Muswellbrook (A)	15-24	Other two methods	2	9
Muswellbrook (A)	15-24	Walked only	1	42
Muswellbrook (A)	15-24	Worked at home		12
Muswellbrook (A)	25-34	Bicycle	1	3
Muswellbrook (A)	25-34	Bus	1	3
Muswellbrook (A)	25-34	Car as driver	1	1625
Muswellbrook (A)	25-34	Car as passenger	1	88
Muswellbrook (A)	25-34	Did not go to work		278
Muswellbrook (A)	25-34	Method of travel not stated		20
Muswellbrook (A)	25-34	Motorbike scooter	1	17
Muswellbrook (A)	25-34	(Other)	1	4
Muswellbrook (A)	25-34	Other two methods	2	20
Muswellbrook (A)	25-34	Train	1	4
Muswellbrook (A)	25-34	Truck	1	9
Muswellbrook (A)	25-34	Walked only	1	42
Muswellbrook (A)	25-34	Worked at home		52
Muswellbrook (A)	35-44	Car as driver	1	1679
Muswellbrook (A)	35-44	Car as passenger	1	89
Muswellbrook (A)	35-44	Did not go to work		280
Muswellbrook (A)	35-44	Ferry	1	3
Muswellbrook (A)	35-44	Method of travel not stated		20
Muswellbrook (A)	35-44	Motorbike scooter	1	9
Muswellbrook (A)	35-44	(Other)	1	9
Muswellbrook (A)	35-44	Other two methods	2	30
Muswellbrook (A)	35-44	Train and car as driver	2	3
Muswellbrook (A)	35-44	Truck	1	13
Muswellbrook (A)	35-44	Walked only	1	34
Muswellbrook (A)	35-44	Worked at home		33
Muswellbrook (A)	45-54	Bicycle	1	3
Muswellbrook (A)	45-54	Car as driver	1	1707
Muswellbrook (A)	45-54	Car as passenger	1	75
Muswellbrook (A)	45-54	Did not go to work		265
Muswellbrook (A)	45-54	Method of travel not stated		19
Muswellbrook (A)	45-54	Motorbike scooter	1	7
Muswellbrook (A)	45-54	(Other)	1	4
Muswellbrook (A)	45-54	Other two methods	2	17
Muswellbrook (A)	45-54	Train and car as driver	2	3
Muswellbrook (A)	45-54	Truck	1	9
Muswellbrook (A)	45-54	Walked only	1	38
Muswellbrook (A)	45-54	Worked at home		60
Muswellbrook (A)	55-64	Bicycle	1	3
Muswellbrook (A)	55-64	Bus	1	4
Muswellbrook (A)	55-64	Car as driver	1	1009
Muswellbrook (A)	55-64	Car as passenger	1	33
Muswellbrook (A)	55-64	Did not go to work		177
Muswellbrook (A)	55-64	Method of travel not stated		16
Muswellbrook (A)	55-64	Motorbike scooter	1	13
Muswellbrook (A)	55-64	(Other)	1	3
Muswellbrook (A)	55-64	Other two methods	2	9
Muswellbrook (A)	55-64	Truck	1	15
Muswellbrook (A)	55-64	Walked only	1	34
Muswellbrook (A)	55-64	Worked at home		47
Muswellbrook (A)	65-74	Car as driver	1	137
Muswellbrook (A)	65-74	Car as passenger	1	7
Muswellbrook (A)	65-74	Did not go to work		29
Muswellbrook (A)	65-74	Method of travel not stated		15
Muswellbrook (A)	65-74	(Other)	1	3
Muswellbrook (A)	65-74	Truck	1	3
Muswellbrook (A)	65-74	Walked only	1	15
Muswellbrook (A)	65-74	Worked at home		54
Muswellbrook (A)	75+	Car as driver	1	16
Muswellbrook (A)	75+	Did not go to work		3
Muswellbrook (A)	75+	Method of travel not stated		5
Muswellbrook (A)	75+	Truck	1	3
Muswellbrook (A)	75+	Walked only	1	3
Muswellbrook (A)	75+	Worked at home		17
Nambucca (A)	15-24	Bus	1	3
Nambucca (A)	15-24	Car as driver	1	409
Nambucca (A)	15-24	Car as passenger	1	119
Nambucca (A)	15-24	Did not go to work		107
Nambucca (A)	15-24	Method of travel not stated		22
Nambucca (A)	15-24	Other two methods	2	3
Nambucca (A)	15-24	Truck	1	3
Nambucca (A)	15-24	Walked only	1	29
Nambucca (A)	15-24	Worked at home		12
Nambucca (A)	25-34	Bus	1	3
Nambucca (A)	25-34	Car as driver	1	592
Nambucca (A)	25-34	Car as passenger	1	28
Nambucca (A)	25-34	Did not go to work		95
Nambucca (A)	25-34	Method of travel not stated		10
Nambucca (A)	25-34	Motorbike scooter	1	8
Nambucca (A)	25-34	(Other)	1	3
Nambucca (A)	25-34	Other two methods	2	3
Nambucca (A)	25-34	Truck	1	9
Nambucca (A)	25-34	Walked only	1	26
Nambucca (A)	25-34	Worked at home		28
Nambucca (A)	35-44	Bicycle	1	3
Nambucca (A)	35-44	Bus	1	3
Nambucca (A)	35-44	Car as driver	1	762
Nambucca (A)	35-44	Car as passenger	1	34
Nambucca (A)	35-44	Did not go to work		87
Nambucca (A)	35-44	Method of travel not stated		15
Nambucca (A)	35-44	Motorbike scooter	1	10
Nambucca (A)	35-44	(Other)	1	7
Nambucca (A)	35-44	Other two methods	2	3
Nambucca (A)	35-44	Truck	1	10
Nambucca (A)	35-44	Walked only	1	31
Nambucca (A)	35-44	Worked at home		76
Nambucca (A)	45-54	Bicycle	1	4
Nambucca (A)	45-54	Car as driver	1	933
Nambucca (A)	45-54	Car as passenger	1	39
Nambucca (A)	45-54	Did not go to work		111
Nambucca (A)	45-54	Method of travel not stated		6
Nambucca (A)	45-54	Motorbike scooter	1	4
Nambucca (A)	45-54	(Other)	1	8
Nambucca (A)	45-54	Other two methods	2	4
Nambucca (A)	45-54	Train and bus	2	3
Nambucca (A)	45-54	Truck	1	19
Nambucca (A)	45-54	Walked only	1	43
Nambucca (A)	45-54	Worked at home		103
Nambucca (A)	55-64	Car as driver	1	843
Nambucca (A)	55-64	Car as passenger	1	36
Nambucca (A)	55-64	Did not go to work		146
Nambucca (A)	55-64	Method of travel not stated		14
Nambucca (A)	55-64	Motorbike scooter	1	10
Nambucca (A)	55-64	(Other)	1	5
Nambucca (A)	55-64	Other two methods	2	7
Nambucca (A)	55-64	Truck	1	21
Nambucca (A)	55-64	Walked only	1	58
Nambucca (A)	55-64	Worked at home		113
Nambucca (A)	65-74	Car as driver	1	153
Nambucca (A)	65-74	Car as passenger	1	11
Nambucca (A)	65-74	Did not go to work		31
Nambucca (A)	65-74	Method of travel not stated		7
Nambucca (A)	65-74	Motorbike scooter	1	3
Nambucca (A)	65-74	(Other)	1	4
Nambucca (A)	65-74	Other two methods	2	3
Nambucca (A)	65-74	Truck	1	10
Nambucca (A)	65-74	Walked only	1	10
Nambucca (A)	65-74	Worked at home		97
Nambucca (A)	75+	Car as driver	1	17
Nambucca (A)	75+	Car as passenger	1	3
Nambucca (A)	75+	Did not go to work		12
Nambucca (A)	75+	Method of travel not stated		3
Nambucca (A)	75+	(Other)	1	3
Nambucca (A)	75+	Truck	1	3
Nambucca (A)	75+	Walked only	1	3
Nambucca (A)	75+	Worked at home		27
Narrabri (A)	15-24	Bus	1	26
Narrabri (A)	15-24	Bus and car as driver	2	7
Narrabri (A)	15-24	Car as driver	1	414
Narrabri (A)	15-24	Car as passenger	1	119
Narrabri (A)	15-24	Did not go to work		92
Narrabri (A)	15-24	Method of travel not stated		22
Narrabri (A)	15-24	Motorbike scooter	1	4
Narrabri (A)	15-24	(Other)	1	3
Narrabri (A)	15-24	Truck	1	3
Narrabri (A)	15-24	Walked only	1	58
Narrabri (A)	15-24	Worked at home		14
Narrabri (A)	25-34	Bicycle	1	7
Narrabri (A)	25-34	Bus	1	34
Narrabri (A)	25-34	Bus and car as driver	2	14
Narrabri (A)	25-34	Car as driver	1	867
Narrabri (A)	25-34	Car as passenger	1	96
Narrabri (A)	25-34	Did not go to work		186
Narrabri (A)	25-34	Method of travel not stated		18
Narrabri (A)	25-34	(Other)	1	3
Narrabri (A)	25-34	Other two methods	2	13
Narrabri (A)	25-34	Truck	1	11
Narrabri (A)	25-34	Walked only	1	53
Narrabri (A)	25-34	Worked at home		37
Narrabri (A)	35-44	Bicycle	1	3
Narrabri (A)	35-44	Bus	1	27
Narrabri (A)	35-44	Bus and car as driver	2	6
Narrabri (A)	35-44	Bus and car as passenger	2	4
Narrabri (A)	35-44	Car as driver	1	914
Narrabri (A)	35-44	Car as passenger	1	65
Narrabri (A)	35-44	Did not go to work		125
Narrabri (A)	35-44	Method of travel not stated		10
Narrabri (A)	35-44	(Other)	1	5
Narrabri (A)	35-44	Other two methods	2	7
Narrabri (A)	35-44	Truck	1	22
Narrabri (A)	35-44	Walked only	1	45
Narrabri (A)	35-44	Worked at home		82
Narrabri (A)	45-54	Bicycle	1	7
Narrabri (A)	45-54	Bus	1	25
Narrabri (A)	45-54	Bus and car as driver	2	8
Narrabri (A)	45-54	Car as driver	1	962
Narrabri (A)	45-54	Car as passenger	1	60
Narrabri (A)	45-54	Did not go to work		106
Narrabri (A)	45-54	Method of travel not stated		18
Narrabri (A)	45-54	Motorbike scooter	1	3
Narrabri (A)	45-54	(Other)	1	6
Narrabri (A)	45-54	Other two methods	2	8
Narrabri (A)	45-54	Truck	1	19
Narrabri (A)	45-54	Walked only	1	54
Narrabri (A)	45-54	Worked at home		95
Narrabri (A)	55-64	Bus	1	9
Narrabri (A)	55-64	Bus and car as driver	2	4
Narrabri (A)	55-64	Car as driver	1	698
Narrabri (A)	55-64	Car as passenger	1	36
Narrabri (A)	55-64	Did not go to work		111
Narrabri (A)	55-64	Method of travel not stated		12
Narrabri (A)	55-64	Motorbike scooter	1	5
Narrabri (A)	55-64	(Other)	1	11
Narrabri (A)	55-64	Other two methods	2	4
Narrabri (A)	55-64	Truck	1	31
Narrabri (A)	55-64	Walked only	1	54
Narrabri (A)	55-64	Worked at home		122
Narrabri (A)	65-74	Bus	1	4
Narrabri (A)	65-74	Car as driver	1	133
Narrabri (A)	65-74	Car as passenger	1	7
Narrabri (A)	65-74	Did not go to work		35
Narrabri (A)	65-74	Method of travel not stated		9
Narrabri (A)	65-74	(Other)	1	14
Narrabri (A)	65-74	Truck	1	18
Narrabri (A)	65-74	Walked only	1	27
Narrabri (A)	65-74	Worked at home		99
Narrabri (A)	75+	Car as driver	1	18
Narrabri (A)	75+	Did not go to work		7
Narrabri (A)	75+	Method of travel not stated		12
Narrabri (A)	75+	(Other)	1	4
Narrabri (A)	75+	Walked only	1	3
Narrabri (A)	75+	Worked at home		30
Narrandera (A)	15-24	Bus	1	3
Narrandera (A)	15-24	Car as driver	1	135
Narrandera (A)	15-24	Car as passenger	1	30
Narrandera (A)	15-24	Did not go to work		37
Narrandera (A)	15-24	Method of travel not stated		3
Narrandera (A)	15-24	(Other)	1	3
Narrandera (A)	15-24	Walked only	1	20
Narrandera (A)	15-24	Worked at home		11
Narrandera (A)	25-34	Bus	1	6
Narrandera (A)	25-34	Car as driver	1	216
Narrandera (A)	25-34	Car as passenger	1	14
Narrandera (A)	25-34	Did not go to work		36
Narrandera (A)	25-34	Method of travel not stated		4
Narrandera (A)	25-34	Motorbike scooter	1	3
Narrandera (A)	25-34	Walked only	1	20
Narrandera (A)	25-34	Worked at home		14
Narrandera (A)	35-44	Car as driver	1	272
Narrandera (A)	35-44	Car as passenger	1	11
Narrandera (A)	35-44	Did not go to work		35
Narrandera (A)	35-44	Method of travel not stated		3
Narrandera (A)	35-44	(Other)	1	3
Narrandera (A)	35-44	Walked only	1	26
Narrandera (A)	35-44	Worked at home		29
Narrandera (A)	45-54	Bus	1	3
Narrandera (A)	45-54	Car as driver	1	329
Narrandera (A)	45-54	Car as passenger	1	19
Narrandera (A)	45-54	Did not go to work		39
Narrandera (A)	45-54	Method of travel not stated		3
Narrandera (A)	45-54	(Other)	1	6
Narrandera (A)	45-54	Truck	1	6
Narrandera (A)	45-54	Walked only	1	29
Narrandera (A)	45-54	Worked at home		49
Narrandera (A)	55-64	Bicycle	1	4
Narrandera (A)	55-64	Car as driver	1	269
Narrandera (A)	55-64	Car as passenger	1	11
Narrandera (A)	55-64	Did not go to work		34
Narrandera (A)	55-64	Method of travel not stated		5
Narrandera (A)	55-64	(Other)	1	5
Narrandera (A)	55-64	Truck	1	15
Narrandera (A)	55-64	Walked only	1	52
Narrandera (A)	55-64	Worked at home		49
Narrandera (A)	65-74	Bus	1	3
Narrandera (A)	65-74	Car as driver	1	63
Narrandera (A)	65-74	Did not go to work		13
Narrandera (A)	65-74	Method of travel not stated		3
Narrandera (A)	65-74	(Other)	1	8
Narrandera (A)	65-74	Truck	1	5
Narrandera (A)	65-74	Walked only	1	14
Narrandera (A)	65-74	Worked at home		47
Narrandera (A)	75+	Car as driver	1	16
Narrandera (A)	75+	Did not go to work		3
Narrandera (A)	75+	Method of travel not stated		3
Narrandera (A)	75+	Walked only	1	3
Narrandera (A)	75+	Worked at home		17
Narromine (A)	15-24	Car as driver	1	138
Narromine (A)	15-24	Car as passenger	1	30
Narromine (A)	15-24	Did not go to work		25
Narromine (A)	15-24	Method of travel not stated		5
Narromine (A)	15-24	(Other)	1	5
Narromine (A)	15-24	Other two methods	2	3
Narromine (A)	15-24	Walked only	1	17
Narromine (A)	15-24	Worked at home		7
Narromine (A)	25-34	Car as driver	1	273
Narromine (A)	25-34	Car as passenger	1	35
Narromine (A)	25-34	Did not go to work		34
Narromine (A)	25-34	Method of travel not stated		9
Narromine (A)	25-34	Motorbike scooter	1	3
Narromine (A)	25-34	Other two methods	2	3
Narromine (A)	25-34	Truck	1	5
Narromine (A)	25-34	Walked only	1	17
Narromine (A)	25-34	Worked at home		22
Narromine (A)	35-44	Bicycle	1	4
Narromine (A)	35-44	Car as driver	1	291
Narromine (A)	35-44	Car as passenger	1	13
Narromine (A)	35-44	Did not go to work		32
Narromine (A)	35-44	Method of travel not stated		3
Narromine (A)	35-44	(Other)	1	3
Narromine (A)	35-44	Other two methods	2	3
Narromine (A)	35-44	Truck	1	8
Narromine (A)	35-44	Walked only	1	15
Narromine (A)	35-44	Worked at home		47
Narromine (A)	45-54	Bicycle	1	6
Narromine (A)	45-54	Bus	1	3
Narromine (A)	45-54	Car as driver	1	320
Narromine (A)	45-54	Car as passenger	1	8
Narromine (A)	45-54	Did not go to work		28
Narromine (A)	45-54	Method of travel not stated		4
Narromine (A)	45-54	Motorbike scooter	1	4
Narromine (A)	45-54	(Other)	1	4
Narromine (A)	45-54	Truck	1	7
Narromine (A)	45-54	Walked only	1	41
Narromine (A)	45-54	Worked at home		75
Narromine (A)	55-64	Car as driver	1	271
Narromine (A)	55-64	Car as passenger	1	18
Narromine (A)	55-64	Did not go to work		32
Narromine (A)	55-64	Method of travel not stated		10
Narromine (A)	55-64	Motorbike scooter	1	3
Narromine (A)	55-64	(Other)	1	11
Narromine (A)	55-64	Other two methods	2	3
Narromine (A)	55-64	Truck	1	11
Narromine (A)	55-64	Walked only	1	41
Narromine (A)	55-64	Worked at home		76
Narromine (A)	65-74	Car as driver	1	66
Narromine (A)	65-74	Car as passenger	1	4
Narromine (A)	65-74	Did not go to work		22
Narromine (A)	65-74	Method of travel not stated		3
Narromine (A)	65-74	(Other)	1	5
Narromine (A)	65-74	Other three methods	3	3
Narromine (A)	65-74	Truck	1	13
Narromine (A)	65-74	Walked only	1	14
Narromine (A)	65-74	Worked at home		54
Narromine (A)	75+	Car as driver	1	13
Narromine (A)	75+	Car as passenger	1	3
Narromine (A)	75+	Did not go to work		3
Narromine (A)	75+	Method of travel not stated		7
Narromine (A)	75+	(Other)	1	5
Narromine (A)	75+	Truck	1	3
Narromine (A)	75+	Walked only	1	4
Narromine (A)	75+	Worked at home		13
Newcastle (C)	15-24	Bicycle	1	138
Newcastle (C)	15-24	Bus	1	461
Newcastle (C)	15-24	Bus and car as driver	2	10
Newcastle (C)	15-24	Bus and car as passenger	2	41
Newcastle (C)	15-24	Bus and ferry	2	3
Newcastle (C)	15-24	Bus and other	2	9
Newcastle (C)	15-24	Bus and two other methods excludes train	3	10
Newcastle (C)	15-24	Car as driver	1	8415
Newcastle (C)	15-24	Car as passenger	1	1543
Newcastle (C)	15-24	Did not go to work		2310
Newcastle (C)	15-24	Ferry	1	8
Newcastle (C)	15-24	Method of travel not stated		148
Newcastle (C)	15-24	Motorbike scooter	1	115
Newcastle (C)	15-24	(Other)	1	39
Newcastle (C)	15-24	Other three methods	3	8
Newcastle (C)	15-24	Other two methods	2	116
Newcastle (C)	15-24	Taxi	1	13
Newcastle (C)	15-24	Train	1	80
Newcastle (C)	15-24	Train and bus	2	39
Newcastle (C)	15-24	Train and car as driver	2	16
Newcastle (C)	15-24	Train and car as passenger	2	4
Newcastle (C)	15-24	Train and two other methods	3	13
Newcastle (C)	15-24	Truck	1	18
Newcastle (C)	15-24	Walked only	1	633
Newcastle (C)	15-24	Worked at home		116
Newcastle (C)	25-34	Bicycle	1	362
Newcastle (C)	25-34	Bus	1	430
Newcastle (C)	25-34	Bus and car as driver	2	35
Newcastle (C)	25-34	Bus and car as passenger	2	31
Newcastle (C)	25-34	Bus and other	2	7
Newcastle (C)	25-34	Bus and two other methods excludes train	3	16
Newcastle (C)	25-34	Car as driver	1	15433
Newcastle (C)	25-34	Car as passenger	1	822
Newcastle (C)	25-34	Did not go to work		2461
Newcastle (C)	25-34	Ferry	1	20
Newcastle (C)	25-34	Method of travel not stated		132
Newcastle (C)	25-34	Motorbike scooter	1	178
Newcastle (C)	25-34	(Other)	1	57
Newcastle (C)	25-34	Other three methods	3	9
Newcastle (C)	25-34	Other two methods	2	167
Newcastle (C)	25-34	Taxi	1	31
Newcastle (C)	25-34	Train	1	107
Newcastle (C)	25-34	Train and bus	2	48
Newcastle (C)	25-34	Train and car as driver	2	15
Newcastle (C)	25-34	Train and car as passenger	2	5
Newcastle (C)	25-34	Train and other	2	5
Newcastle (C)	25-34	Train and two other methods	3	55
Newcastle (C)	25-34	Tram includes light rail	1	3
Newcastle (C)	25-34	Truck	1	65
Newcastle (C)	25-34	Walked only	1	721
Newcastle (C)	25-34	Worked at home		424
Newcastle (C)	35-44	Bicycle	1	382
Newcastle (C)	35-44	Bus	1	306
Newcastle (C)	35-44	Bus and car as driver	2	33
Newcastle (C)	35-44	Bus and car as passenger	2	17
Newcastle (C)	35-44	Bus and ferry	2	5
Newcastle (C)	35-44	Bus and other	2	11
Newcastle (C)	35-44	Bus and two other methods excludes train	3	3
Newcastle (C)	35-44	Car as driver	1	16152
Newcastle (C)	35-44	Car as passenger	1	522
Newcastle (C)	35-44	Did not go to work		1984
Newcastle (C)	35-44	Ferry	1	20
Newcastle (C)	35-44	Method of travel not stated		118
Newcastle (C)	35-44	Motorbike scooter	1	174
Newcastle (C)	35-44	(Other)	1	73
Newcastle (C)	35-44	Other three methods	3	5
Newcastle (C)	35-44	Other two methods	2	149
Newcastle (C)	35-44	Taxi	1	24
Newcastle (C)	35-44	Train	1	100
Newcastle (C)	35-44	Train and bus	2	45
Newcastle (C)	35-44	Train and car as driver	2	41
Newcastle (C)	35-44	Train and car as passenger	2	8
Newcastle (C)	35-44	Train and other	2	10
Newcastle (C)	35-44	Train and two other methods	3	51
Newcastle (C)	35-44	Tram includes light rail	1	4
Newcastle (C)	35-44	Truck	1	95
Newcastle (C)	35-44	Walked only	1	462
Newcastle (C)	35-44	Worked at home		670
Newcastle (C)	45-54	Bicycle	1	343
Newcastle (C)	45-54	Bus	1	318
Newcastle (C)	45-54	Bus and car as driver	2	35
Newcastle (C)	45-54	Bus and car as passenger	2	10
Newcastle (C)	45-54	Bus and ferry	2	12
Newcastle (C)	45-54	Bus and other	2	10
Newcastle (C)	45-54	Bus and two other methods excludes train	3	10
Newcastle (C)	45-54	Car as driver	1	16550
Newcastle (C)	45-54	Car as passenger	1	653
Newcastle (C)	45-54	Did not go to work		1831
Newcastle (C)	45-54	Ferry	1	18
Newcastle (C)	45-54	Method of travel not stated		151
Newcastle (C)	45-54	Motorbike scooter	1	187
Newcastle (C)	45-54	(Other)	1	70
Newcastle (C)	45-54	Other three methods	3	4
Newcastle (C)	45-54	Other two methods	2	157
Newcastle (C)	45-54	Taxi	1	28
Newcastle (C)	45-54	Train	1	107
Newcastle (C)	45-54	Train and bus	2	45
Newcastle (C)	45-54	Train and car as driver	2	38
Newcastle (C)	45-54	Train and car as passenger	2	11
Newcastle (C)	45-54	Train and other	2	8
Newcastle (C)	45-54	Train and two other methods	3	44
Newcastle (C)	45-54	Tram includes light rail	1	4
Newcastle (C)	45-54	Truck	1	163
Newcastle (C)	45-54	Walked only	1	506
Newcastle (C)	45-54	Worked at home		622
Newcastle (C)	55-64	Bicycle	1	195
Newcastle (C)	55-64	Bus	1	227
Newcastle (C)	55-64	Bus and car as driver	2	21
Newcastle (C)	55-64	Bus and car as passenger	2	13
Newcastle (C)	55-64	Bus and ferry	2	4
Newcastle (C)	55-64	Bus and other	2	3
Newcastle (C)	55-64	Bus and two other methods excludes train	3	9
Newcastle (C)	55-64	Car as driver	1	10849
Newcastle (C)	55-64	Car as passenger	1	500
Newcastle (C)	55-64	Did not go to work		1674
Newcastle (C)	55-64	Ferry	1	10
Newcastle (C)	55-64	Method of travel not stated		99
Newcastle (C)	55-64	Motorbike scooter	1	137
Newcastle (C)	55-64	(Other)	1	55
Newcastle (C)	55-64	Other three methods	3	4
Newcastle (C)	55-64	Other two methods	2	89
Newcastle (C)	55-64	Taxi	1	17
Newcastle (C)	55-64	Train	1	60
Newcastle (C)	55-64	Train and bus	2	33
Newcastle (C)	55-64	Train and car as driver	2	27
Newcastle (C)	55-64	Train and car as passenger	2	3
Newcastle (C)	55-64	Train and other	2	5
Newcastle (C)	55-64	Train and two other methods	3	20
Newcastle (C)	55-64	Truck	1	138
Newcastle (C)	55-64	Walked only	1	358
Newcastle (C)	55-64	Worked at home		495
Newcastle (C)	65-74	Bicycle	1	21
Newcastle (C)	65-74	Bus	1	34
Newcastle (C)	65-74	Bus and car as driver	2	4
Newcastle (C)	65-74	Bus and car as passenger	2	4
Newcastle (C)	65-74	Car as driver	1	1588
Newcastle (C)	65-74	Car as passenger	1	79
Newcastle (C)	65-74	Did not go to work		408
Newcastle (C)	65-74	Ferry	1	3
Newcastle (C)	65-74	Method of travel not stated		52
Newcastle (C)	65-74	Motorbike scooter	1	11
Newcastle (C)	65-74	(Other)	1	6
Newcastle (C)	65-74	Other two methods	2	12
Newcastle (C)	65-74	Taxi	1	6
Newcastle (C)	65-74	Train	1	7
Newcastle (C)	65-74	Train and bus	2	3
Newcastle (C)	65-74	Train and car as driver	2	3
Newcastle (C)	65-74	Train and two other methods	3	3
Newcastle (C)	65-74	Truck	1	31
Newcastle (C)	65-74	Walked only	1	78
Newcastle (C)	65-74	Worked at home		224
Newcastle (C)	75+	Bicycle	1	5
Newcastle (C)	75+	Bus	1	3
Newcastle (C)	75+	Car as driver	1	156
Newcastle (C)	75+	Car as passenger	1	17
Newcastle (C)	75+	Did not go to work		55
Newcastle (C)	75+	Method of travel not stated		24
Newcastle (C)	75+	Other two methods	2	4
Newcastle (C)	75+	Taxi	1	3
Newcastle (C)	75+	Train	1	4
Newcastle (C)	75+	Truck	1	4
Newcastle (C)	75+	Walked only	1	11
Newcastle (C)	75+	Worked at home		44
North Sydney (A)	15-24	Bicycle	1	24
North Sydney (A)	15-24	Bus	1	780
North Sydney (A)	15-24	Bus and car as driver	2	46
North Sydney (A)	15-24	Bus and car as passenger	2	26
North Sydney (A)	15-24	Bus and ferry	2	3
North Sydney (A)	15-24	Bus and other	2	3
North Sydney (A)	15-24	Bus and two other methods excludes train	3	3
North Sydney (A)	15-24	Car as driver	1	1408
North Sydney (A)	15-24	Car as passenger	1	303
North Sydney (A)	15-24	Did not go to work		834
North Sydney (A)	15-24	Ferry	1	13
North Sydney (A)	15-24	Method of travel not stated		102
North Sydney (A)	15-24	Motorbike scooter	1	44
North Sydney (A)	15-24	(Other)	1	28
North Sydney (A)	15-24	Other two methods	2	19
North Sydney (A)	15-24	Taxi	1	9
North Sydney (A)	15-24	Train	1	1938
North Sydney (A)	15-24	Train and bus	2	596
North Sydney (A)	15-24	Train and car as driver	2	260
North Sydney (A)	15-24	Train and car as passenger	2	126
North Sydney (A)	15-24	Train and ferry	2	7
North Sydney (A)	15-24	Train and other	2	18
North Sydney (A)	15-24	Train and tram includes light rail	2	9
North Sydney (A)	15-24	Train and two other methods	3	111
North Sydney (A)	15-24	Tram includes light rail	1	3
North Sydney (A)	15-24	Truck	1	3
North Sydney (A)	15-24	Walked only	1	444
North Sydney (A)	15-24	Worked at home		69
North Sydney (A)	25-34	Bicycle	1	162
North Sydney (A)	25-34	Bus	1	2212
