LGA_NAME16	EmploymentStatus	workers
Wingecarribee (A)	Employee	13214
Wingecarribee (A)	Owner managers of incorporated enterprises	1749
Wingecarribee (A)	Owner managers of unincorporated enterprises	2213
Wingecarribee (A)	Status in employment not stated	241
Wollondilly (A)	Contributing family workers	285
Wollondilly (A)	Employee	8318
Wollondilly (A)	Owner managers of incorporated enterprises	1181
Wollondilly (A)	Owner managers of unincorporated enterprises	1195
Wollondilly (A)	Status in employment not stated	157
Wollongong (C)	Contributing family workers	738
Wollongong (C)	Employee	68699
Wollongong (C)	Owner managers of incorporated enterprises	4228
Wollongong (C)	Owner managers of unincorporated enterprises	4840
Wollongong (C)	Status in employment not stated	723
Woollahra (A)	Contributing family workers	486
Woollahra (A)	Employee	14156
Woollahra (A)	Owner managers of incorporated enterprises	2805
Woollahra (A)	Owner managers of unincorporated enterprises	2347
Woollahra (A)	Status in employment not stated	180
Yass Valley (A)	Contributing family workers	284
Yass Valley (A)	Employee	2481
Yass Valley (A)	Owner managers of incorporated enterprises	366
Yass Valley (A)	Owner managers of unincorporated enterprises	591
Yass Valley (A)	Status in employment not stated	62
Unincorporated NSW	Contributing family workers	57
Unincorporated NSW	Employee	305
Unincorporated NSW	Owner managers of incorporated enterprises	65
Unincorporated NSW	Owner managers of unincorporated enterprises	134
Unincorporated NSW	Status in employment not stated	13
No usual address (NSW)	Contributing family workers	1997
No usual address (NSW)	Employee	79636
No usual address (NSW)	Owner managers of incorporated enterprises	17188
No usual address (NSW)	Owner managers of unincorporated enterprises	41954
No usual address (NSW)	Status in employment not stated	2587
Migratory - Offshore - Shipping (NSW)	Employee	61
Migratory - Offshore - Shipping (NSW)	Owner managers of incorporated enterprises	7
Migratory - Offshore - Shipping (NSW)	Owner managers of unincorporated enterprises	16
Migratory - Offshore - Shipping (NSW)	Status in employment not stated	3
Alpine (S)	Contributing family workers	237
Alpine (S)	Employee	3272
Alpine (S)	Owner managers of incorporated enterprises	437
Alpine (S)	Owner managers of unincorporated enterprises	593
Alpine (S)	Status in employment not stated	81
Ararat (RC)	Contributing family workers	231
Ararat (RC)	Employee	3861
Ararat (RC)	Owner managers of incorporated enterprises	299
Ararat (RC)	Owner managers of unincorporated enterprises	419
Ararat (RC)	Status in employment not stated	62
Ballarat (C)	Contributing family workers	616
Ballarat (C)	Employee	39470
Ballarat (C)	Owner managers of incorporated enterprises	2676
Ballarat (C)	Owner managers of unincorporated enterprises	2516
Ballarat (C)	Status in employment not stated	519
Banyule (C)	Contributing family workers	502
Banyule (C)	Employee	33352
Banyule (C)	Owner managers of incorporated enterprises	3231
Banyule (C)	Owner managers of unincorporated enterprises	2885
Banyule (C)	Status in employment not stated	383
Bass Coast (S)	Contributing family workers	339
Bass Coast (S)	Employee	7574
Bass Coast (S)	Owner managers of incorporated enterprises	815
Bass Coast (S)	Owner managers of unincorporated enterprises	1344
Bass Coast (S)	Status in employment not stated	193
Baw Baw (S)	Contributing family workers	548
Baw Baw (S)	Employee	11792
Baw Baw (S)	Owner managers of incorporated enterprises	1269
Baw Baw (S)	Owner managers of unincorporated enterprises	1901
Baw Baw (S)	Status in employment not stated	280
Bayside (C)	Contributing family workers	616
Bayside (C)	Employee	21647
Bayside (C)	Owner managers of incorporated enterprises	3807
Bayside (C)	Owner managers of unincorporated enterprises	3221
Bayside (C)	Status in employment not stated	249
Benalla (RC)	Contributing family workers	219
Benalla (RC)	Employee	3856
Benalla (RC)	Owner managers of incorporated enterprises	349
Benalla (RC)	Owner managers of unincorporated enterprises	576
Benalla (RC)	Status in employment not stated	77
Boroondara (C)	Contributing family workers	1156
Boroondara (C)	Employee	57730
Boroondara (C)	Owner managers of incorporated enterprises	6956
Boroondara (C)	Owner managers of unincorporated enterprises	5006
Boroondara (C)	Status in employment not stated	540
Brimbank (C)	Contributing family workers	755
Brimbank (C)	Employee	57224
Brimbank (C)	Owner managers of incorporated enterprises	4427
Brimbank (C)	Owner managers of unincorporated enterprises	3271
Brimbank (C)	Status in employment not stated	818
Buloke (S)	Contributing family workers	306
Buloke (S)	Employee	1532
Buloke (S)	Owner managers of incorporated enterprises	286
Buloke (S)	Owner managers of unincorporated enterprises	279
Buloke (S)	Status in employment not stated	33
Campaspe (S)	Contributing family workers	600
Campaspe (S)	Employee	11663
Campaspe (S)	Owner managers of incorporated enterprises	1163
Campaspe (S)	Owner managers of unincorporated enterprises	1615
Campaspe (S)	Status in employment not stated	255
Cardinia (S)	Contributing family workers	574
Cardinia (S)	Employee	17636
Cardinia (S)	Owner managers of incorporated enterprises	2311
Cardinia (S)	Owner managers of unincorporated enterprises	2324
Cardinia (S)	Status in employment not stated	303
Casey (C)	Contributing family workers	1077
Casey (C)	Employee	51639
Casey (C)	Owner managers of incorporated enterprises	5399
Casey (C)	Owner managers of unincorporated enterprises	5495
Casey (C)	Status in employment not stated	637
Central Goldfields (S)	Contributing family workers	126
Central Goldfields (S)	Employee	3295
Central Goldfields (S)	Owner managers of incorporated enterprises	222
Central Goldfields (S)	Owner managers of unincorporated enterprises	396
Central Goldfields (S)	Status in employment not stated	78
Colac-Otway (S)	Contributing family workers	328
Colac-Otway (S)	Employee	7274
Colac-Otway (S)	Owner managers of incorporated enterprises	557
Colac-Otway (S)	Owner managers of unincorporated enterprises	1061
Colac-Otway (S)	Status in employment not stated	158
Corangamite (S)	Contributing family workers	424
Corangamite (S)	Employee	4712
Corangamite (S)	Owner managers of incorporated enterprises	537
Corangamite (S)	Owner managers of unincorporated enterprises	1250
Corangamite (S)	Status in employment not stated	146
Darebin (C)	Contributing family workers	615
Darebin (C)	Employee	39202
Darebin (C)	Owner managers of incorporated enterprises	3538
Darebin (C)	Owner managers of unincorporated enterprises	3779
Darebin (C)	Status in employment not stated	542
East Gippsland (S)	Contributing family workers	579
East Gippsland (S)	Employee	11980
East Gippsland (S)	Owner managers of incorporated enterprises	1062
East Gippsland (S)	Owner managers of unincorporated enterprises	1772
East Gippsland (S)	Status in employment not stated	303
Frankston (C)	Contributing family workers	648
Frankston (C)	Employee	35006
Frankston (C)	Owner managers of incorporated enterprises	3558
Frankston (C)	Owner managers of unincorporated enterprises	3261
Frankston (C)	Status in employment not stated	448
Gannawarra (S)	Contributing family workers	264
Gannawarra (S)	Employee	2604
Gannawarra (S)	Owner managers of incorporated enterprises	419
Gannawarra (S)	Owner managers of unincorporated enterprises	559
Gannawarra (S)	Status in employment not stated	87
Glen Eira (C)	Contributing family workers	638
Glen Eira (C)	Employee	28423
Glen Eira (C)	Owner managers of incorporated enterprises	3879
Glen Eira (C)	Owner managers of unincorporated enterprises	3924
Glen Eira (C)	Status in employment not stated	304
Glenelg (S)	Contributing family workers	319
Glenelg (S)	Employee	6098
Glenelg (S)	Owner managers of incorporated enterprises	396
Glenelg (S)	Owner managers of unincorporated enterprises	836
Glenelg (S)	Status in employment not stated	118
Golden Plains (S)	Contributing family workers	229
Golden Plains (S)	Employee	2091
Golden Plains (S)	Owner managers of incorporated enterprises	412
Golden Plains (S)	Owner managers of unincorporated enterprises	538
Golden Plains (S)	Status in employment not stated	52
Greater Bendigo (C)	Contributing family workers	671
Greater Bendigo (C)	Employee	38450
Greater Bendigo (C)	Owner managers of incorporated enterprises	2619
Greater Bendigo (C)	Owner managers of unincorporated enterprises	2818
Greater Bendigo (C)	Status in employment not stated	494
Greater Dandenong (C)	Contributing family workers	882
Greater Dandenong (C)	Employee	85067
Greater Dandenong (C)	Owner managers of incorporated enterprises	5907
Greater Dandenong (C)	Owner managers of unincorporated enterprises	3824
Greater Dandenong (C)	Status in employment not stated	1021
Greater Geelong (C)	Contributing family workers	1215
Greater Geelong (C)	Employee	81132
Greater Geelong (C)	Owner managers of incorporated enterprises	5801
Greater Geelong (C)	Owner managers of unincorporated enterprises	6010
Greater Geelong (C)	Status in employment not stated	899
Greater Shepparton (C)	Contributing family workers	622
Greater Shepparton (C)	Employee	23265
Greater Shepparton (C)	Owner managers of incorporated enterprises	1995
Greater Shepparton (C)	Owner managers of unincorporated enterprises	1779
Greater Shepparton (C)	Status in employment not stated	360
Hepburn (S)	Contributing family workers	250
Hepburn (S)	Employee	3067
Hepburn (S)	Owner managers of incorporated enterprises	417
Hepburn (S)	Owner managers of unincorporated enterprises	828
Hepburn (S)	Status in employment not stated	93
Hindmarsh (S)	Contributing family workers	188
Hindmarsh (S)	Employee	1468
Hindmarsh (S)	Owner managers of incorporated enterprises	163
Hindmarsh (S)	Owner managers of unincorporated enterprises	323
Hindmarsh (S)	Status in employment not stated	30
Hobsons Bay (C)	Contributing family workers	399
Hobsons Bay (C)	Employee	29718
Hobsons Bay (C)	Owner managers of incorporated enterprises	2373
Hobsons Bay (C)	Owner managers of unincorporated enterprises	2129
Hobsons Bay (C)	Status in employment not stated	369
Horsham (RC)	Contributing family workers	310
Horsham (RC)	Employee	7115
Horsham (RC)	Owner managers of incorporated enterprises	618
Horsham (RC)	Owner managers of unincorporated enterprises	725
Horsham (RC)	Status in employment not stated	105
Hume (C)	Contributing family workers	864
Hume (C)	Employee	77746
Hume (C)	Owner managers of incorporated enterprises	5669
Hume (C)	Owner managers of unincorporated enterprises	4133
Hume (C)	Status in employment not stated	1086
Indigo (S)	Contributing family workers	243
Indigo (S)	Employee	3437
Indigo (S)	Owner managers of incorporated enterprises	394
Indigo (S)	Owner managers of unincorporated enterprises	663
Indigo (S)	Status in employment not stated	87
Kingston (C) (Vic.)	Contributing family workers	963
Kingston (C) (Vic.)	Employee	61406
Kingston (C) (Vic.)	Owner managers of incorporated enterprises	6292
Kingston (C) (Vic.)	Owner managers of unincorporated enterprises	4478
Kingston (C) (Vic.)	Status in employment not stated	692
Knox (C)	Contributing family workers	784
Knox (C)	Employee	54140
Knox (C)	Owner managers of incorporated enterprises	4905
Knox (C)	Owner managers of unincorporated enterprises	3866
Knox (C)	Status in employment not stated	512
Latrobe (C) (Vic.)	Contributing family workers	337
Latrobe (C) (Vic.)	Employee	27041
Latrobe (C) (Vic.)	Owner managers of incorporated enterprises	1394
Latrobe (C) (Vic.)	Owner managers of unincorporated enterprises	1463
Latrobe (C) (Vic.)	Status in employment not stated	360
Loddon (S)	Contributing family workers	294
Loddon (S)	Employee	1557
Loddon (S)	Owner managers of incorporated enterprises	240
Loddon (S)	Owner managers of unincorporated enterprises	500
Loddon (S)	Status in employment not stated	59
Macedon Ranges (S)	Contributing family workers	420
Macedon Ranges (S)	Employee	9211
Macedon Ranges (S)	Owner managers of incorporated enterprises	1317
Macedon Ranges (S)	Owner managers of unincorporated enterprises	1561
Macedon Ranges (S)	Status in employment not stated	160
Manningham (C)	Contributing family workers	621
Manningham (C)	Employee	22363
Manningham (C)	Owner managers of incorporated enterprises	3171
Manningham (C)	Owner managers of unincorporated enterprises	2529
Manningham (C)	Status in employment not stated	238
Mansfield (S)	Contributing family workers	192
Mansfield (S)	Employee	2218
Mansfield (S)	Owner managers of incorporated enterprises	313
Mansfield (S)	Owner managers of unincorporated enterprises	453
Mansfield (S)	Status in employment not stated	47
Maribyrnong (C)	Contributing family workers	387
Maribyrnong (C)	Employee	31989
Maribyrnong (C)	Owner managers of incorporated enterprises	2259
Maribyrnong (C)	Owner managers of unincorporated enterprises	2234
Maribyrnong (C)	Status in employment not stated	394
Maroondah (C)	Contributing family workers	558
Maroondah (C)	Employee	35136
Maroondah (C)	Owner managers of incorporated enterprises	3383
Maroondah (C)	Owner managers of unincorporated enterprises	2840
Maroondah (C)	Status in employment not stated	341
Melbourne (C)	Contributing family workers	1522
Melbourne (C)	Employee	407834
Melbourne (C)	Owner managers of incorporated enterprises	14190
Melbourne (C)	Owner managers of unincorporated enterprises	10397
Melbourne (C)	Status in employment not stated	2808
Melton (C)	Contributing family workers	436
Melton (C)	Employee	19916
Melton (C)	Owner managers of incorporated enterprises	2059
Melton (C)	Owner managers of unincorporated enterprises	1959
Melton (C)	Status in employment not stated	306
Mildura (RC)	Contributing family workers	704
Mildura (RC)	Employee	17335
Mildura (RC)	Owner managers of incorporated enterprises	1410
Mildura (RC)	Owner managers of unincorporated enterprises	1572
Mildura (RC)	Status in employment not stated	324
Mitchell (S)	Contributing family workers	266
Mitchell (S)	Employee	8752
Mitchell (S)	Owner managers of incorporated enterprises	777
Mitchell (S)	Owner managers of unincorporated enterprises	862
Mitchell (S)	Status in employment not stated	206
Moira (S)	Contributing family workers	518
Moira (S)	Employee	7786
Moira (S)	Owner managers of incorporated enterprises	902
Moira (S)	Owner managers of unincorporated enterprises	1150
Moira (S)	Status in employment not stated	171
Monash (C)	Contributing family workers	1035
Monash (C)	Employee	93389
Monash (C)	Owner managers of incorporated enterprises	6159
Monash (C)	Owner managers of unincorporated enterprises	4455
Monash (C)	Status in employment not stated	754
Moonee Valley (C)	Contributing family workers	556
Moonee Valley (C)	Employee	29116
Moonee Valley (C)	Owner managers of incorporated enterprises	3267
Moonee Valley (C)	Owner managers of unincorporated enterprises	2703
Moonee Valley (C)	Status in employment not stated	395
Moorabool (S)	Contributing family workers	285
Moorabool (S)	Employee	5651
Moorabool (S)	Owner managers of incorporated enterprises	743
Moorabool (S)	Owner managers of unincorporated enterprises	710
Moorabool (S)	Status in employment not stated	105
Moreland (C)	Contributing family workers	617
Moreland (C)	Employee	30024
Moreland (C)	Owner managers of incorporated enterprises	3522
Moreland (C)	Owner managers of unincorporated enterprises	4169
Moreland (C)	Status in employment not stated	470
Mornington Peninsula (S)	Contributing family workers	1077
Mornington Peninsula (S)	Employee	37534
Mornington Peninsula (S)	Owner managers of incorporated enterprises	5062
Mornington Peninsula (S)	Owner managers of unincorporated enterprises	5224
Mornington Peninsula (S)	Status in employment not stated	571
Mount Alexander (S)	Contributing family workers	209
Mount Alexander (S)	Employee	5254
Mount Alexander (S)	Owner managers of incorporated enterprises	412
Mount Alexander (S)	Owner managers of unincorporated enterprises	928
Mount Alexander (S)	Status in employment not stated	101
Moyne (S)	Contributing family workers	433
Moyne (S)	Employee	3941
Moyne (S)	Owner managers of incorporated enterprises	500
Moyne (S)	Owner managers of unincorporated enterprises	1188
Moyne (S)	Status in employment not stated	118
Murrindindi (S)	Contributing family workers	235
Murrindindi (S)	Employee	2782
Murrindindi (S)	Owner managers of incorporated enterprises	422
Murrindindi (S)	Owner managers of unincorporated enterprises	608
Murrindindi (S)	Status in employment not stated	66
Nillumbik (S)	Contributing family workers	330
Nillumbik (S)	Employee	9262
Nillumbik (S)	Owner managers of incorporated enterprises	1890
Nillumbik (S)	Owner managers of unincorporated enterprises	1706
Nillumbik (S)	Status in employment not stated	125
Northern Grampians (S)	Contributing family workers	243
Northern Grampians (S)	Employee	3631
Northern Grampians (S)	Owner managers of incorporated enterprises	335
Northern Grampians (S)	Owner managers of unincorporated enterprises	469
Northern Grampians (S)	Status in employment not stated	73
Port Phillip (C)	Contributing family workers	719
Port Phillip (C)	Employee	63888
Port Phillip (C)	Owner managers of incorporated enterprises	6466
Port Phillip (C)	Owner managers of unincorporated enterprises	4291
Port Phillip (C)	Status in employment not stated	573
Pyrenees (S)	Contributing family workers	217
Pyrenees (S)	Employee	1290
Pyrenees (S)	Owner managers of incorporated enterprises	187
Pyrenees (S)	Owner managers of unincorporated enterprises	269
Pyrenees (S)	Status in employment not stated	41
Queenscliffe (B)	Contributing family workers	38
Queenscliffe (B)	Employee	969
Queenscliffe (B)	Owner managers of incorporated enterprises	115
Queenscliffe (B)	Owner managers of unincorporated enterprises	139
Queenscliffe (B)	Status in employment not stated	16
South Gippsland (S)	Contributing family workers	571
South Gippsland (S)	Employee	7273
South Gippsland (S)	Owner managers of incorporated enterprises	807
South Gippsland (S)	Owner managers of unincorporated enterprises	1849
South Gippsland (S)	Status in employment not stated	166
Southern Grampians (S)	Contributing family workers	397
Southern Grampians (S)	Employee	5225
Southern Grampians (S)	Owner managers of incorporated enterprises	416
Southern Grampians (S)	Owner managers of unincorporated enterprises	1006
Southern Grampians (S)	Status in employment not stated	116
Stonnington (C)	Contributing family workers	803
Stonnington (C)	Employee	44386
Stonnington (C)	Owner managers of incorporated enterprises	5263
Stonnington (C)	Owner managers of unincorporated enterprises	4037
Stonnington (C)	Status in employment not stated	469
Strathbogie (S)	Contributing family workers	273
Strathbogie (S)	Employee	2344
Strathbogie (S)	Owner managers of incorporated enterprises	298
Strathbogie (S)	Owner managers of unincorporated enterprises	541
Strathbogie (S)	Status in employment not stated	68
Surf Coast (S)	Contributing family workers	358
Surf Coast (S)	Employee	6006
Surf Coast (S)	Owner managers of incorporated enterprises	980
Surf Coast (S)	Owner managers of unincorporated enterprises	1240
Surf Coast (S)	Status in employment not stated	106
Swan Hill (RC)	Contributing family workers	383
Swan Hill (RC)	Employee	6800
Swan Hill (RC)	Owner managers of incorporated enterprises	719
Swan Hill (RC)	Owner managers of unincorporated enterprises	725
Swan Hill (RC)	Status in employment not stated	172
Towong (S)	Contributing family workers	187
Towong (S)	Employee	1181
Towong (S)	Owner managers of incorporated enterprises	184
Towong (S)	Owner managers of unincorporated enterprises	433
Towong (S)	Status in employment not stated	36
Wangaratta (RC)	Contributing family workers	365
Wangaratta (RC)	Employee	9822
Wangaratta (RC)	Owner managers of incorporated enterprises	795
Wangaratta (RC)	Owner managers of unincorporated enterprises	1150
Wangaratta (RC)	Status in employment not stated	188
Warrnambool (C)	Contributing family workers	188
Warrnambool (C)	Employee	13521
Warrnambool (C)	Owner managers of incorporated enterprises	802
Warrnambool (C)	Owner managers of unincorporated enterprises	1037
Warrnambool (C)	Status in employment not stated	197
Wellington (S)	Contributing family workers	571
Wellington (S)	Employee	13543
Wellington (S)	Owner managers of incorporated enterprises	895
Wellington (S)	Owner managers of unincorporated enterprises	1826
Wellington (S)	Status in employment not stated	233
West Wimmera (S)	Contributing family workers	251
West Wimmera (S)	Employee	851
West Wimmera (S)	Owner managers of incorporated enterprises	127
West Wimmera (S)	Owner managers of unincorporated enterprises	414
West Wimmera (S)	Status in employment not stated	28
Whitehorse (C)	Contributing family workers	867
Whitehorse (C)	Employee	58886
Whitehorse (C)	Owner managers of incorporated enterprises	4933
Whitehorse (C)	Owner managers of unincorporated enterprises	3999
Whitehorse (C)	Status in employment not stated	500
Whittlesea (C)	Contributing family workers	660
Whittlesea (C)	Employee	44319
Whittlesea (C)	Owner managers of incorporated enterprises	4255
Whittlesea (C)	Owner managers of unincorporated enterprises	3251
Whittlesea (C)	Status in employment not stated	664
Wodonga (C)	Contributing family workers	187
Wodonga (C)	Employee	16537
Wodonga (C)	Owner managers of incorporated enterprises	932
Wodonga (C)	Owner managers of unincorporated enterprises	986
Wodonga (C)	Status in employment not stated	168
Wyndham (C)	Contributing family workers	784
Wyndham (C)	Employee	52441
Wyndham (C)	Owner managers of incorporated enterprises	4135
Wyndham (C)	Owner managers of unincorporated enterprises	3855
Wyndham (C)	Status in employment not stated	688
Yarra (C)	Contributing family workers	663
Yarra (C)	Employee	69355
Yarra (C)	Owner managers of incorporated enterprises	5748
Yarra (C)	Owner managers of unincorporated enterprises	4691
Yarra (C)	Status in employment not stated	640
Yarra Ranges (S)	Contributing family workers	996
Yarra Ranges (S)	Employee	29884
Yarra Ranges (S)	Owner managers of incorporated enterprises	3802
Yarra Ranges (S)	Owner managers of unincorporated enterprises	4402
Yarra Ranges (S)	Status in employment not stated	458
Yarriambiack (S)	Contributing family workers	255
Yarriambiack (S)	Employee	1622
Yarriambiack (S)	Owner managers of incorporated enterprises	275
Yarriambiack (S)	Owner managers of unincorporated enterprises	359
Yarriambiack (S)	Status in employment not stated	39
Unincorporated Vic	Contributing family workers	21
Unincorporated Vic	Employee	1944
Unincorporated Vic	Owner managers of incorporated enterprises	98
Unincorporated Vic	Owner managers of unincorporated enterprises	91
Unincorporated Vic	Status in employment not stated	24
No usual address (Vic.)	Contributing family workers	1616
No usual address (Vic.)	Employee	66022
No usual address (Vic.)	Owner managers of incorporated enterprises	15171
No usual address (Vic.)	Owner managers of unincorporated enterprises	33984
No usual address (Vic.)	Status in employment not stated	2241
Migratory - Offshore - Shipping (Vic.)	Contributing family workers	3
Migratory - Offshore - Shipping (Vic.)	Employee	146
Migratory - Offshore - Shipping (Vic.)	Owner managers of incorporated enterprises	3
Migratory - Offshore - Shipping (Vic.)	Owner managers of unincorporated enterprises	4
Migratory - Offshore - Shipping (Vic.)	Status in employment not stated	3
Aurukun (S)	Employee	271
Aurukun (S)	Owner managers of incorporated enterprises	7
Aurukun (S)	Owner managers of unincorporated enterprises	6
Balonne (S)	Contributing family workers	173
Balonne (S)	Employee	1429
Balonne (S)	Owner managers of incorporated enterprises	239
Balonne (S)	Owner managers of unincorporated enterprises	239
Balonne (S)	Status in employment not stated	27
Banana (S)	Contributing family workers	478
Banana (S)	Employee	6389
Banana (S)	Owner managers of incorporated enterprises	380
Banana (S)	Owner managers of unincorporated enterprises	786
Banana (S)	Status in employment not stated	118
Barcaldine (R)	Contributing family workers	137
Barcaldine (R)	Employee	993
Barcaldine (R)	Owner managers of incorporated enterprises	103
Barcaldine (R)	Owner managers of unincorporated enterprises	203
Barcaldine (R)	Status in employment not stated	17
Barcoo (S)	Contributing family workers	14
Barcoo (S)	Employee	157
Barcoo (S)	Owner managers of incorporated enterprises	6
Barcoo (S)	Owner managers of unincorporated enterprises	24
Barcoo (S)	Status in employment not stated	4
Blackall-Tambo (R)	Contributing family workers	87
Blackall-Tambo (R)	Employee	547
Blackall-Tambo (R)	Owner managers of incorporated enterprises	61
Blackall-Tambo (R)	Owner managers of unincorporated enterprises	142
Blackall-Tambo (R)	Status in employment not stated	14
Boulia (S)	Contributing family workers	12
Boulia (S)	Employee	198
Boulia (S)	Owner managers of incorporated enterprises	10
Boulia (S)	Owner managers of unincorporated enterprises	18
Brisbane (C)	Contributing family workers	5751
Brisbane (C)	Employee	631970
Brisbane (C)	Owner managers of incorporated enterprises	39043
Brisbane (C)	Owner managers of unincorporated enterprises	33013
Brisbane (C)	Status in employment not stated	4446
Bulloo (S)	Contributing family workers	21
Bulloo (S)	Employee	220
Bulloo (S)	Owner managers of incorporated enterprises	7
Bulloo (S)	Owner managers of unincorporated enterprises	26
Bulloo (S)	Status in employment not stated	6
Bundaberg (R)	Contributing family workers	880
Bundaberg (R)	Employee	25928
Bundaberg (R)	Owner managers of incorporated enterprises	1744
Bundaberg (R)	Owner managers of unincorporated enterprises	2477
Bundaberg (R)	Status in employment not stated	319
Burdekin (S)	Contributing family workers	285
Burdekin (S)	Employee	5720
Burdekin (S)	Owner managers of incorporated enterprises	531
Burdekin (S)	Owner managers of unincorporated enterprises	738
Burdekin (S)	Status in employment not stated	117
Burke (S)	Contributing family workers	3
Burke (S)	Employee	126
Burke (S)	Owner managers of incorporated enterprises	3
Burke (S)	Owner managers of unincorporated enterprises	3
Burke (S)	Status in employment not stated	4
Cairns (R)	Contributing family workers	940
Cairns (R)	Employee	56947
Cairns (R)	Owner managers of incorporated enterprises	4062
Cairns (R)	Owner managers of unincorporated enterprises	4830
Cairns (R)	Status in employment not stated	673
Carpentaria (S)	Contributing family workers	23
Carpentaria (S)	Employee	712
Carpentaria (S)	Owner managers of incorporated enterprises	58
Carpentaria (S)	Owner managers of unincorporated enterprises	55
Carpentaria (S)	Status in employment not stated	23
Cassowary Coast (R)	Contributing family workers	465
Cassowary Coast (R)	Employee	9006
Cassowary Coast (R)	Owner managers of incorporated enterprises	759
Cassowary Coast (R)	Owner managers of unincorporated enterprises	1101
Cassowary Coast (R)	Status in employment not stated	189
Central Highlands (R) (Qld)	Contributing family workers	456
Central Highlands (R) (Qld)	Employee	13647
Central Highlands (R) (Qld)	Owner managers of incorporated enterprises	847
Central Highlands (R) (Qld)	Owner managers of unincorporated enterprises	932
Central Highlands (R) (Qld)	Status in employment not stated	210
Charters Towers (R)	Contributing family workers	228
Charters Towers (R)	Employee	3383
Charters Towers (R)	Owner managers of incorporated enterprises	249
Charters Towers (R)	Owner managers of unincorporated enterprises	326
Charters Towers (R)	Status in employment not stated	81
Cherbourg (S)	Employee	284
Cherbourg (S)	Owner managers of unincorporated enterprises	4
Cherbourg (S)	Status in employment not stated	3
Cloncurry (S)	Contributing family workers	36
Cloncurry (S)	Employee	2758
Cloncurry (S)	Owner managers of incorporated enterprises	136
Cloncurry (S)	Owner managers of unincorporated enterprises	65
Cloncurry (S)	Status in employment not stated	32
Cook (S)	Contributing family workers	74
Cook (S)	Employee	2499
Cook (S)	Owner managers of incorporated enterprises	80
Cook (S)	Owner managers of unincorporated enterprises	183
Cook (S)	Status in employment not stated	34
Croydon (S)	Contributing family workers	12
Croydon (S)	Employee	81
Croydon (S)	Owner managers of incorporated enterprises	4
Croydon (S)	Owner managers of unincorporated enterprises	13
Croydon (S)	Status in employment not stated	3
Diamantina (S)	Employee	157
Diamantina (S)	Owner managers of incorporated enterprises	7
Diamantina (S)	Owner managers of unincorporated enterprises	19
Doomadgee (S)	Employee	317
Doomadgee (S)	Owner managers of incorporated enterprises	3
Doomadgee (S)	Owner managers of unincorporated enterprises	4
Doomadgee (S)	Status in employment not stated	9
Douglas (S)	Contributing family workers	166
Douglas (S)	Employee	4288
Douglas (S)	Owner managers of incorporated enterprises	430
Douglas (S)	Owner managers of unincorporated enterprises	628
Douglas (S)	Status in employment not stated	75
Etheridge (S)	Contributing family workers	66
Etheridge (S)	Employee	217
Etheridge (S)	Owner managers of incorporated enterprises	33
Etheridge (S)	Owner managers of unincorporated enterprises	56
Etheridge (S)	Status in employment not stated	4
Flinders (S) (Qld)	Contributing family workers	85
Flinders (S) (Qld)	Employee	504
Flinders (S) (Qld)	Owner managers of incorporated enterprises	68
Flinders (S) (Qld)	Owner managers of unincorporated enterprises	139
Flinders (S) (Qld)	Status in employment not stated	10
Fraser Coast (R)	Contributing family workers	690
Fraser Coast (R)	Employee	24069
Fraser Coast (R)	Owner managers of incorporated enterprises	1624
Fraser Coast (R)	Owner managers of unincorporated enterprises	2376
Fraser Coast (R)	Status in employment not stated	373
Gladstone (R)	Contributing family workers	472
Gladstone (R)	Employee	23580
Gladstone (R)	Owner managers of incorporated enterprises	1019
Gladstone (R)	Owner managers of unincorporated enterprises	1315
Gladstone (R)	Status in employment not stated	214
Gold Coast (C)	Contributing family workers	3867
Gold Coast (C)	Employee	190080
Gold Coast (C)	Owner managers of incorporated enterprises	21253
Gold Coast (C)	Owner managers of unincorporated enterprises	18191
Gold Coast (C)	Status in employment not stated	2126
Goondiwindi (R)	Contributing family workers	291
Goondiwindi (R)	Employee	3450
Goondiwindi (R)	Owner managers of incorporated enterprises	407
Goondiwindi (R)	Owner managers of unincorporated enterprises	543
Goondiwindi (R)	Status in employment not stated	67
Gympie (R)	Contributing family workers	676
Gympie (R)	Employee	12085
Gympie (R)	Owner managers of incorporated enterprises	918
Gympie (R)	Owner managers of unincorporated enterprises	1831
Gympie (R)	Status in employment not stated	188
Hinchinbrook (S)	Contributing family workers	223
Hinchinbrook (S)	Employee	3300
Hinchinbrook (S)	Owner managers of incorporated enterprises	272
Hinchinbrook (S)	Owner managers of unincorporated enterprises	435
Hinchinbrook (S)	Status in employment not stated	81
Hope Vale (S)	Contributing family workers	3
Hope Vale (S)	Employee	285
Hope Vale (S)	Owner managers of incorporated enterprises	14
Hope Vale (S)	Owner managers of unincorporated enterprises	11
Hope Vale (S)	Status in employment not stated	3
Ipswich (C)	Contributing family workers	681
Ipswich (C)	Employee	54963
Ipswich (C)	Owner managers of incorporated enterprises	2680
Ipswich (C)	Owner managers of unincorporated enterprises	3467
Ipswich (C)	Status in employment not stated	523
Isaac (R)	Contributing family workers	327
Isaac (R)	Employee	18233
Isaac (R)	Owner managers of incorporated enterprises	677
Isaac (R)	Owner managers of unincorporated enterprises	616
Isaac (R)	Status in employment not stated	177
Kowanyama (S)	Employee	242
Kowanyama (S)	Owner managers of unincorporated enterprises	12
Livingstone (S)	Contributing family workers	340
