LGA_NAME16	CountryOfBirth	EmploymentStatus	workers
Mid-Coast (A)	GBR	Contributing family workers	39
Mid-Coast (A)	GBR	Employee	583
Mid-Coast (A)	GBR	Owner managers of incorporated enterprises	81
Mid-Coast (A)	GBR	Owner managers of unincorporated enterprises	146
Mid-Coast (A)	GBR	Status in employment not stated	9
Mid-Coast (A)	USA	Employee	42
Mid-Coast (A)	USA	Owner managers of incorporated enterprises	3
Mid-Coast (A)	USA	Owner managers of unincorporated enterprises	12
Mid-Coast (A)	VNM	Employee	16
Mid-Coast (A)	ZWE	Employee	20
Mid-Coast (A)	ZWE	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)		Contributing family workers	19
Mid-Western Regional (A)		Employee	230
Mid-Western Regional (A)		Owner managers of incorporated enterprises	18
Mid-Western Regional (A)		Owner managers of unincorporated enterprises	39
Mid-Western Regional (A)		Status in employment not stated	14
Mid-Western Regional (A)	AUS	Contributing family workers	326
Mid-Western Regional (A)	AUS	Employee	6697
Mid-Western Regional (A)	AUS	Owner managers of incorporated enterprises	498
Mid-Western Regional (A)	AUS	Owner managers of unincorporated enterprises	845
Mid-Western Regional (A)	AUS	Status in employment not stated	126
Mid-Western Regional (A)	CAN	Employee	6
Mid-Western Regional (A)	CAN	Owner managers of incorporated enterprises	3
Mid-Western Regional (A)	CHN	Employee	20
Mid-Western Regional (A)	CHN	Owner managers of incorporated enterprises	3
Mid-Western Regional (A)	CHN	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)	HRV	Employee	7
Mid-Western Regional (A)	HRV	Owner managers of incorporated enterprises	3
Mid-Western Regional (A)	FJI	Employee	5
Mid-Western Regional (A)	DEU	Employee	18
Mid-Western Regional (A)	DEU	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)	DEU	Status in employment not stated	5
Mid-Western Regional (A)	IND	Employee	26
Mid-Western Regional (A)	IND	Owner managers of incorporated enterprises	7
Mid-Western Regional (A)	IND	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)	IRL	Employee	13
Mid-Western Regional (A)	IRL	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)	ITA	Employee	4
Mid-Western Regional (A)	ITA	Owner managers of unincorporated enterprises	4
Mid-Western Regional (A)	ITA	Status in employment not stated	5
Mid-Western Regional (A)	MYS	Employee	5
Mid-Western Regional (A)	MYS	Owner managers of incorporated enterprises	4
Mid-Western Regional (A)	NLD	Contributing family workers	4
Mid-Western Regional (A)	NLD	Employee	5
Mid-Western Regional (A)	NLD	Owner managers of unincorporated enterprises	4
Mid-Western Regional (A)	NZL	Contributing family workers	9
Mid-Western Regional (A)	NZL	Employee	107
Mid-Western Regional (A)	NZL	Owner managers of incorporated enterprises	4
Mid-Western Regional (A)	NZL	Owner managers of unincorporated enterprises	14
Mid-Western Regional (A)	PHL	Employee	29
Mid-Western Regional (A)	PHL	Owner managers of incorporated enterprises	4
Mid-Western Regional (A)	PHL	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)	POL	Employee	3
Mid-Western Regional (A)	ZAF	Employee	24
Mid-Western Regional (A)	ZAF	Owner managers of incorporated enterprises	6
Mid-Western Regional (A)	ZAF	Owner managers of unincorporated enterprises	4
Mid-Western Regional (A)	KOR	Employee	8
Mid-Western Regional (A)	THA	Employee	13
Mid-Western Regional (A)	THA	Status in employment not stated	3
Mid-Western Regional (A)	GBR	Contributing family workers	16
Mid-Western Regional (A)	GBR	Employee	175
Mid-Western Regional (A)	GBR	Owner managers of incorporated enterprises	19
Mid-Western Regional (A)	GBR	Owner managers of unincorporated enterprises	27
Mid-Western Regional (A)	USA	Contributing family workers	5
Mid-Western Regional (A)	USA	Employee	13
Mid-Western Regional (A)	USA	Owner managers of unincorporated enterprises	3
Mid-Western Regional (A)	USA	Status in employment not stated	3
Mid-Western Regional (A)	VNM	Employee	10
Mid-Western Regional (A)	VNM	Owner managers of incorporated enterprises	3
Mid-Western Regional (A)	ZWE	Employee	8
Moree Plains (A)		Contributing family workers	15
Moree Plains (A)		Employee	160
Moree Plains (A)		Owner managers of incorporated enterprises	24
Moree Plains (A)		Owner managers of unincorporated enterprises	24
Moree Plains (A)		Status in employment not stated	6
Moree Plains (A)	AUS	Contributing family workers	194
Moree Plains (A)	AUS	Employee	3746
Moree Plains (A)	AUS	Owner managers of incorporated enterprises	373
Moree Plains (A)	AUS	Owner managers of unincorporated enterprises	603
Moree Plains (A)	AUS	Status in employment not stated	90
Moree Plains (A)	CAN	Employee	3
Moree Plains (A)	CAN	Owner managers of incorporated enterprises	3
Moree Plains (A)	CHN	Employee	3
Moree Plains (A)	HRV	Owner managers of unincorporated enterprises	3
Moree Plains (A)	FJI	Employee	29
Moree Plains (A)	FJI	Owner managers of unincorporated enterprises	5
Moree Plains (A)	DEU	Employee	9
Moree Plains (A)	HKG	Employee	13
Moree Plains (A)	IND	Employee	30
Moree Plains (A)	IRL	Employee	3
Moree Plains (A)	ITA	Employee	3
Moree Plains (A)	LBN	Employee	3
Moree Plains (A)	MYS	Employee	3
Moree Plains (A)	MYS	Owner managers of incorporated enterprises	3
Moree Plains (A)	NZL	Contributing family workers	3
Moree Plains (A)	NZL	Employee	50
Moree Plains (A)	NZL	Owner managers of unincorporated enterprises	10
Moree Plains (A)	PHL	Employee	30
Moree Plains (A)	SGP	Employee	3
Moree Plains (A)	ZAF	Employee	16
Moree Plains (A)	ZAF	Owner managers of unincorporated enterprises	4
Moree Plains (A)	KOR	Employee	4
Moree Plains (A)	LKA	Employee	5
Moree Plains (A)	THA	Employee	3
Moree Plains (A)	THA	Owner managers of incorporated enterprises	3
Moree Plains (A)	GBR	Contributing family workers	9
Moree Plains (A)	GBR	Employee	49
Moree Plains (A)	GBR	Owner managers of incorporated enterprises	9
Moree Plains (A)	GBR	Owner managers of unincorporated enterprises	18
Moree Plains (A)	USA	Employee	9
Moree Plains (A)	ZWE	Employee	9
Mosman (A)		Contributing family workers	20
Mosman (A)		Employee	710
Mosman (A)		Owner managers of incorporated enterprises	97
Mosman (A)		Owner managers of unincorporated enterprises	98
Mosman (A)		Status in employment not stated	11
Mosman (A)	AUS	Contributing family workers	116
Mosman (A)	AUS	Employee	3516
Mosman (A)	AUS	Owner managers of incorporated enterprises	781
Mosman (A)	AUS	Owner managers of unincorporated enterprises	591
Mosman (A)	AUS	Status in employment not stated	38
Mosman (A)	CAN	Employee	29
Mosman (A)	CAN	Owner managers of incorporated enterprises	9
Mosman (A)	CAN	Owner managers of unincorporated enterprises	3
Mosman (A)	CHN	Contributing family workers	15
Mosman (A)	CHN	Employee	172
Mosman (A)	CHN	Owner managers of incorporated enterprises	37
Mosman (A)	CHN	Owner managers of unincorporated enterprises	32
Mosman (A)	HRV	Employee	9
Mosman (A)	HRV	Owner managers of incorporated enterprises	6
Mosman (A)	EGY	Employee	5
Mosman (A)	FJI	Employee	10
Mosman (A)	FJI	Owner managers of incorporated enterprises	4
Mosman (A)	MKD	Employee	3
Mosman (A)	DEU	Employee	51
Mosman (A)	DEU	Owner managers of incorporated enterprises	11
Mosman (A)	DEU	Owner managers of unincorporated enterprises	9
Mosman (A)	GRC	Employee	3
Mosman (A)	GRC	Owner managers of incorporated enterprises	3
Mosman (A)	GRC	Owner managers of unincorporated enterprises	3
Mosman (A)	HKG	Employee	34
Mosman (A)	HKG	Owner managers of incorporated enterprises	4
Mosman (A)	IND	Employee	100
Mosman (A)	IND	Owner managers of incorporated enterprises	17
Mosman (A)	IND	Owner managers of unincorporated enterprises	4
Mosman (A)	IDN	Contributing family workers	3
Mosman (A)	IDN	Employee	46
Mosman (A)	IRN	Contributing family workers	6
Mosman (A)	IRN	Employee	20
Mosman (A)	IRN	Owner managers of incorporated enterprises	12
Mosman (A)	IRN	Owner managers of unincorporated enterprises	6
Mosman (A)	IRQ	Employee	6
Mosman (A)	IRL	Employee	52
Mosman (A)	IRL	Owner managers of incorporated enterprises	15
Mosman (A)	IRL	Owner managers of unincorporated enterprises	18
Mosman (A)	ITA	Employee	60
Mosman (A)	ITA	Owner managers of incorporated enterprises	18
Mosman (A)	ITA	Owner managers of unincorporated enterprises	8
Mosman (A)	ITA	Status in employment not stated	3
Mosman (A)	JPN	Contributing family workers	3
Mosman (A)	JPN	Employee	42
Mosman (A)	JPN	Owner managers of incorporated enterprises	4
Mosman (A)	JPN	Owner managers of unincorporated enterprises	9
Mosman (A)	LBN	Employee	15
Mosman (A)	LBN	Owner managers of incorporated enterprises	7
Mosman (A)	LBN	Owner managers of unincorporated enterprises	10
Mosman (A)	MYS	Employee	26
Mosman (A)	MYS	Owner managers of incorporated enterprises	3
Mosman (A)	MYS	Owner managers of unincorporated enterprises	3
Mosman (A)	MLT	Owner managers of unincorporated enterprises	3
Mosman (A)	NLD	Contributing family workers	3
Mosman (A)	NLD	Employee	22
Mosman (A)	NLD	Owner managers of incorporated enterprises	9
Mosman (A)	NLD	Owner managers of unincorporated enterprises	4
Mosman (A)	NLD	Status in employment not stated	3
Mosman (A)	NZL	Contributing family workers	8
Mosman (A)	NZL	Employee	177
Mosman (A)	NZL	Owner managers of incorporated enterprises	55
Mosman (A)	NZL	Owner managers of unincorporated enterprises	42
Mosman (A)	PAK	Employee	14
Mosman (A)	PHL	Employee	95
Mosman (A)	PHL	Owner managers of incorporated enterprises	4
Mosman (A)	POL	Employee	17
Mosman (A)	POL	Owner managers of incorporated enterprises	6
Mosman (A)	POL	Owner managers of unincorporated enterprises	6
Mosman (A)	SGP	Employee	12
Mosman (A)	SGP	Owner managers of incorporated enterprises	3
Mosman (A)	ZAF	Contributing family workers	3
Mosman (A)	ZAF	Employee	93
Mosman (A)	ZAF	Owner managers of incorporated enterprises	28
Mosman (A)	ZAF	Owner managers of unincorporated enterprises	28
Mosman (A)	KOR	Contributing family workers	4
Mosman (A)	KOR	Employee	48
Mosman (A)	KOR	Owner managers of incorporated enterprises	12
Mosman (A)	KOR	Owner managers of unincorporated enterprises	7
Mosman (A)	LKA	Employee	31
Mosman (A)	LKA	Owner managers of incorporated enterprises	3
Mosman (A)	LKA	Owner managers of unincorporated enterprises	3
Mosman (A)	THA	Employee	102
Mosman (A)	THA	Owner managers of incorporated enterprises	7
Mosman (A)	THA	Owner managers of unincorporated enterprises	7
Mosman (A)	THA	Status in employment not stated	3
Mosman (A)	TUR	Employee	4
Mosman (A)	TUR	Owner managers of incorporated enterprises	3
Mosman (A)	GBR	Contributing family workers	18
Mosman (A)	GBR	Employee	446
Mosman (A)	GBR	Owner managers of incorporated enterprises	133
Mosman (A)	GBR	Owner managers of unincorporated enterprises	114
Mosman (A)	GBR	Status in employment not stated	8
Mosman (A)	USA	Employee	66
Mosman (A)	USA	Owner managers of incorporated enterprises	23
Mosman (A)	USA	Owner managers of unincorporated enterprises	6
Mosman (A)	USA	Status in employment not stated	3
Mosman (A)	VNM	Contributing family workers	4
Mosman (A)	VNM	Employee	46
Mosman (A)	VNM	Owner managers of incorporated enterprises	8
Mosman (A)	VNM	Owner managers of unincorporated enterprises	7
Mosman (A)	ZWE	Employee	13
Mosman (A)	ZWE	Owner managers of incorporated enterprises	5
Mosman (A)	ZWE	Owner managers of unincorporated enterprises	3
Murray River (A)		Contributing family workers	10
Murray River (A)		Employee	101
Murray River (A)		Owner managers of incorporated enterprises	9
Murray River (A)		Owner managers of unincorporated enterprises	32
Murray River (A)		Status in employment not stated	14
Murray River (A)	AUS	Contributing family workers	292
Murray River (A)	AUS	Employee	2670
Murray River (A)	AUS	Owner managers of incorporated enterprises	381
Murray River (A)	AUS	Owner managers of unincorporated enterprises	489
Murray River (A)	AUS	Status in employment not stated	62
Murray River (A)	CHN	Contributing family workers	3
Murray River (A)	CHN	Employee	3
Murray River (A)	CHN	Owner managers of unincorporated enterprises	3
Murray River (A)	FJI	Employee	6
Murray River (A)	DEU	Employee	3
Murray River (A)	IND	Employee	19
Murray River (A)	IDN	Employee	3
Murray River (A)	IRL	Employee	3
Murray River (A)	MYS	Employee	3
Murray River (A)	NLD	Employee	3
Murray River (A)	NLD	Status in employment not stated	4
Murray River (A)	NZL	Employee	33
Murray River (A)	NZL	Owner managers of incorporated enterprises	5
Murray River (A)	PHL	Employee	36
Murray River (A)	POL	Employee	3
Murray River (A)	ZAF	Employee	14
Murray River (A)	LKA	Employee	15
Murray River (A)	THA	Employee	3
Murray River (A)	GBR	Contributing family workers	6
Murray River (A)	GBR	Employee	47
Murray River (A)	GBR	Owner managers of incorporated enterprises	3
Murray River (A)	GBR	Owner managers of unincorporated enterprises	3
Murray River (A)	GBR	Status in employment not stated	4
Murray River (A)	USA	Employee	8
Murray River (A)	ZWE	Employee	3
Murrumbidgee (A)		Contributing family workers	3
Murrumbidgee (A)		Employee	61
Murrumbidgee (A)		Owner managers of incorporated enterprises	8
Murrumbidgee (A)		Owner managers of unincorporated enterprises	7
Murrumbidgee (A)		Status in employment not stated	5
Murrumbidgee (A)	AUS	Contributing family workers	103
Murrumbidgee (A)	AUS	Employee	845
Murrumbidgee (A)	AUS	Owner managers of incorporated enterprises	178
Murrumbidgee (A)	AUS	Owner managers of unincorporated enterprises	203
Murrumbidgee (A)	AUS	Status in employment not stated	31
Murrumbidgee (A)	CHN	Owner managers of incorporated enterprises	3
Murrumbidgee (A)	CHN	Owner managers of unincorporated enterprises	3
Murrumbidgee (A)	FJI	Employee	3
Murrumbidgee (A)	HKG	Employee	3
Murrumbidgee (A)	IND	Employee	32
Murrumbidgee (A)	IRQ	Owner managers of incorporated enterprises	3
Murrumbidgee (A)	IRL	Employee	3
Murrumbidgee (A)	ITA	Contributing family workers	3
Murrumbidgee (A)	ITA	Employee	7
Murrumbidgee (A)	ITA	Owner managers of incorporated enterprises	4
Murrumbidgee (A)	MYS	Employee	3
Murrumbidgee (A)	NZL	Contributing family workers	3
Murrumbidgee (A)	NZL	Employee	20
Murrumbidgee (A)	NZL	Owner managers of incorporated enterprises	3
Murrumbidgee (A)	PHL	Employee	11
Murrumbidgee (A)	ZAF	Employee	5
Murrumbidgee (A)	KOR	Employee	4
Murrumbidgee (A)	THA	Employee	3
Murrumbidgee (A)	GBR	Employee	17
Murrumbidgee (A)	GBR	Owner managers of unincorporated enterprises	6
Murrumbidgee (A)	USA	Employee	5
Muswellbrook (A)		Contributing family workers	4
Muswellbrook (A)		Employee	227
Muswellbrook (A)		Owner managers of incorporated enterprises	3
Muswellbrook (A)		Owner managers of unincorporated enterprises	20
Muswellbrook (A)		Status in employment not stated	14
Muswellbrook (A)	AUS	Contributing family workers	110
Muswellbrook (A)	AUS	Employee	7708
Muswellbrook (A)	AUS	Owner managers of incorporated enterprises	210
Muswellbrook (A)	AUS	Owner managers of unincorporated enterprises	330
Muswellbrook (A)	AUS	Status in employment not stated	79
Muswellbrook (A)	CAN	Employee	9
Muswellbrook (A)	CHN	Employee	11
Muswellbrook (A)	CHN	Owner managers of incorporated enterprises	11
Muswellbrook (A)	CHN	Owner managers of unincorporated enterprises	6
Muswellbrook (A)	FJI	Employee	6
Muswellbrook (A)	DEU	Employee	11
Muswellbrook (A)	HKG	Employee	3
Muswellbrook (A)	IND	Employee	56
Muswellbrook (A)	IND	Owner managers of unincorporated enterprises	3
Muswellbrook (A)	IRL	Employee	32
Muswellbrook (A)	JPN	Contributing family workers	3
Muswellbrook (A)	JPN	Employee	3
Muswellbrook (A)	MYS	Employee	5
Muswellbrook (A)	MLT	Employee	3
Muswellbrook (A)	NLD	Employee	11
Muswellbrook (A)	NZL	Contributing family workers	3
Muswellbrook (A)	NZL	Employee	188
Muswellbrook (A)	NZL	Owner managers of incorporated enterprises	6
Muswellbrook (A)	NZL	Owner managers of unincorporated enterprises	11
Muswellbrook (A)	NZL	Status in employment not stated	3
Muswellbrook (A)	PAK	Employee	7
Muswellbrook (A)	PAK	Owner managers of incorporated enterprises	3
Muswellbrook (A)	PHL	Employee	48
Muswellbrook (A)	POL	Employee	3
Muswellbrook (A)	ZAF	Employee	47
Muswellbrook (A)	KOR	Employee	3
Muswellbrook (A)	LKA	Employee	20
Muswellbrook (A)	THA	Employee	8
Muswellbrook (A)	GBR	Contributing family workers	9
Muswellbrook (A)	GBR	Employee	169
Muswellbrook (A)	GBR	Owner managers of incorporated enterprises	8
Muswellbrook (A)	GBR	Owner managers of unincorporated enterprises	13
Muswellbrook (A)	USA	Contributing family workers	3
Muswellbrook (A)	USA	Employee	14
Muswellbrook (A)	VNM	Employee	5
Muswellbrook (A)	ZWE	Employee	23
Nambucca (A)		Contributing family workers	12
Nambucca (A)		Employee	162
Nambucca (A)		Owner managers of incorporated enterprises	15
Nambucca (A)		Owner managers of unincorporated enterprises	31
Nambucca (A)		Status in employment not stated	5
Nambucca (A)	AUS	Contributing family workers	176
Nambucca (A)	AUS	Employee	3704
Nambucca (A)	AUS	Owner managers of incorporated enterprises	211
Nambucca (A)	AUS	Owner managers of unincorporated enterprises	633
Nambucca (A)	AUS	Status in employment not stated	86
Nambucca (A)	CAN	Employee	5
Nambucca (A)	CHN	Employee	9
Nambucca (A)	CHN	Owner managers of incorporated enterprises	3
Nambucca (A)	EGY	Employee	3
Nambucca (A)	FJI	Employee	7
Nambucca (A)	DEU	Contributing family workers	3
Nambucca (A)	DEU	Employee	4
Nambucca (A)	DEU	Owner managers of unincorporated enterprises	4
Nambucca (A)	HKG	Employee	3
Nambucca (A)	IND	Employee	8
Nambucca (A)	IND	Owner managers of unincorporated enterprises	3
Nambucca (A)	IND	Status in employment not stated	3
Nambucca (A)	IDN	Employee	3
Nambucca (A)	IRL	Employee	16
Nambucca (A)	IRL	Owner managers of incorporated enterprises	3
Nambucca (A)	IRL	Owner managers of unincorporated enterprises	3
Nambucca (A)	MYS	Employee	6
Nambucca (A)	NLD	Employee	6
Nambucca (A)	NLD	Owner managers of incorporated enterprises	3
Nambucca (A)	NZL	Contributing family workers	8
Nambucca (A)	NZL	Employee	98
Nambucca (A)	NZL	Owner managers of incorporated enterprises	7
Nambucca (A)	NZL	Owner managers of unincorporated enterprises	15
Nambucca (A)	PHL	Employee	14
Nambucca (A)	ZAF	Employee	15
Nambucca (A)	LKA	Employee	3
Nambucca (A)	THA	Employee	9
Nambucca (A)	GBR	Contributing family workers	7
Nambucca (A)	GBR	Employee	131
Nambucca (A)	GBR	Owner managers of incorporated enterprises	12
Nambucca (A)	GBR	Owner managers of unincorporated enterprises	36
Nambucca (A)	USA	Employee	8
Nambucca (A)	USA	Owner managers of unincorporated enterprises	5
Narrabri (A)		Contributing family workers	13
Narrabri (A)		Employee	176
Narrabri (A)		Owner managers of incorporated enterprises	12
Narrabri (A)		Owner managers of unincorporated enterprises	18
Narrabri (A)		Status in employment not stated	15
Narrabri (A)	AUS	Contributing family workers	243
Narrabri (A)	AUS	Employee	4510
Narrabri (A)	AUS	Owner managers of incorporated enterprises	354
Narrabri (A)	AUS	Owner managers of unincorporated enterprises	516
Narrabri (A)	AUS	Status in employment not stated	86
Narrabri (A)	CAN	Employee	5
Narrabri (A)	CHN	Employee	12
Narrabri (A)	CHN	Owner managers of incorporated enterprises	3
Narrabri (A)	CHN	Owner managers of unincorporated enterprises	3
Narrabri (A)	FJI	Employee	3
Narrabri (A)	DEU	Employee	12
Narrabri (A)	DEU	Owner managers of incorporated enterprises	3
Narrabri (A)	IND	Employee	8
Narrabri (A)	IND	Owner managers of unincorporated enterprises	3
Narrabri (A)	IRN	Owner managers of incorporated enterprises	3
Narrabri (A)	IRL	Employee	11
Narrabri (A)	IRL	Owner managers of unincorporated enterprises	3
Narrabri (A)	JPN	Employee	3
Narrabri (A)	MYS	Employee	3
Narrabri (A)	NLD	Employee	7
Narrabri (A)	NZL	Employee	74
Narrabri (A)	NZL	Owner managers of incorporated enterprises	3
Narrabri (A)	NZL	Owner managers of unincorporated enterprises	3
Narrabri (A)	PAK	Employee	3
Narrabri (A)	PHL	Employee	32
Narrabri (A)	ZAF	Employee	14
Narrabri (A)	LKA	Employee	8
Narrabri (A)	LKA	Owner managers of incorporated enterprises	4
Narrabri (A)	TUR	Employee	4
Narrabri (A)	GBR	Contributing family workers	3
Narrabri (A)	GBR	Employee	59
Narrabri (A)	GBR	Owner managers of unincorporated enterprises	5
Narrabri (A)	USA	Contributing family workers	3
Narrabri (A)	USA	Employee	13
Narrabri (A)	USA	Owner managers of incorporated enterprises	3
Narrabri (A)	ZWE	Employee	11
Narrandera (A)		Contributing family workers	9
Narrandera (A)		Employee	61
Narrandera (A)		Owner managers of incorporated enterprises	3
Narrandera (A)		Owner managers of unincorporated enterprises	18
Narrandera (A)		Status in employment not stated	7
Narrandera (A)	AUS	Contributing family workers	124
Narrandera (A)	AUS	Employee	1312
Narrandera (A)	AUS	Owner managers of incorporated enterprises	132
Narrandera (A)	AUS	Owner managers of unincorporated enterprises	289
Narrandera (A)	AUS	Status in employment not stated	22
Narrandera (A)	CAN	Employee	3
Narrandera (A)	CHN	Contributing family workers	3
Narrandera (A)	CHN	Employee	3
Narrandera (A)	FJI	Employee	3
Narrandera (A)	DEU	Contributing family workers	4
Narrandera (A)	IND	Employee	7
Narrandera (A)	ITA	Employee	4
Narrandera (A)	MYS	Employee	3
Narrandera (A)	NLD	Owner managers of unincorporated enterprises	3
Narrandera (A)	NZL	Employee	7
Narrandera (A)	ZAF	Employee	3
Narrandera (A)	KOR	Employee	4
Narrandera (A)	LKA	Employee	7
Narrandera (A)	THA	Employee	3
Narrandera (A)	GBR	Employee	27
Narrandera (A)	GBR	Owner managers of incorporated enterprises	3
Narrandera (A)	GBR	Owner managers of unincorporated enterprises	3
Narrandera (A)	ZWE	Employee	5
Narromine (A)		Contributing family workers	15
Narromine (A)		Employee	53
Narromine (A)		Owner managers of unincorporated enterprises	10
Narromine (A)	AUS	Contributing family workers	170
Narromine (A)	AUS	Employee	1398
Narromine (A)	AUS	Owner managers of incorporated enterprises	151
Narromine (A)	AUS	Owner managers of unincorporated enterprises	315
Narromine (A)	AUS	Status in employment not stated	42
Narromine (A)	CAN	Employee	3
Narromine (A)	DEU	Employee	6
Narromine (A)	DEU	Owner managers of incorporated enterprises	3
Narromine (A)	DEU	Owner managers of unincorporated enterprises	4
Narromine (A)	IND	Employee	8
Narromine (A)	IRL	Employee	3
Narromine (A)	ITA	Employee	3
Narromine (A)	MYS	Employee	3
Narromine (A)	NZL	Contributing family workers	3
Narromine (A)	NZL	Employee	10
Narromine (A)	NZL	Owner managers of unincorporated enterprises	3
Narromine (A)	PHL	Employee	3
Narromine (A)	ZAF	Employee	3
Narromine (A)	LKA	Employee	5
Narromine (A)	GBR	Employee	23
Narromine (A)	GBR	Owner managers of unincorporated enterprises	3
Newcastle (C)		Contributing family workers	26
Newcastle (C)		Employee	2468
Newcastle (C)		Owner managers of incorporated enterprises	134
Newcastle (C)		Owner managers of unincorporated enterprises	188
Newcastle (C)		Status in employment not stated	72
Newcastle (C)	AUS	Contributing family workers	530
Newcastle (C)	AUS	Employee	75870
Newcastle (C)	AUS	Owner managers of incorporated enterprises	3536
Newcastle (C)	AUS	Owner managers of unincorporated enterprises	3587
Newcastle (C)	AUS	Status in employment not stated	551
Newcastle (C)	CAN	Contributing family workers	3
Newcastle (C)	CAN	Employee	215
Newcastle (C)	CAN	Owner managers of incorporated enterprises	18
Newcastle (C)	CAN	Owner managers of unincorporated enterprises	13
Newcastle (C)	CHN	Contributing family workers	17
Newcastle (C)	CHN	Employee	477
Newcastle (C)	CHN	Owner managers of incorporated enterprises	52
Newcastle (C)	CHN	Owner managers of unincorporated enterprises	34
Newcastle (C)	HRV	Employee	56
Newcastle (C)	HRV	Owner managers of incorporated enterprises	3
Newcastle (C)	HRV	Owner managers of unincorporated enterprises	5
Newcastle (C)	EGY	Employee	21
Newcastle (C)	EGY	Owner managers of incorporated enterprises	4
Newcastle (C)	EGY	Owner managers of unincorporated enterprises	6
Newcastle (C)	FJI	Employee	93
Newcastle (C)	FJI	Owner managers of incorporated enterprises	4
Newcastle (C)	FJI	Owner managers of unincorporated enterprises	8
Newcastle (C)	MKD	Contributing family workers	3
Newcastle (C)	MKD	Employee	150
Newcastle (C)	MKD	Owner managers of incorporated enterprises	19
Newcastle (C)	MKD	Owner managers of unincorporated enterprises	21
Newcastle (C)	MKD	Status in employment not stated	5
Newcastle (C)	DEU	Contributing family workers	3
Newcastle (C)	DEU	Employee	232
Newcastle (C)	DEU	Owner managers of incorporated enterprises	14
Newcastle (C)	DEU	Owner managers of unincorporated enterprises	14
Newcastle (C)	GRC	Employee	47
Newcastle (C)	GRC	Owner managers of incorporated enterprises	7
Newcastle (C)	GRC	Owner managers of unincorporated enterprises	12
Newcastle (C)	HKG	Employee	116
Newcastle (C)	HKG	Owner managers of incorporated enterprises	10
Newcastle (C)	HKG	Owner managers of unincorporated enterprises	19
Newcastle (C)	IND	Contributing family workers	10
Newcastle (C)	IND	Employee	663
Newcastle (C)	IND	Owner managers of incorporated enterprises	59
Newcastle (C)	IND	Owner managers of unincorporated enterprises	40
Newcastle (C)	IND	Status in employment not stated	5
Newcastle (C)	IDN	Employee	88
Newcastle (C)	IDN	Owner managers of incorporated enterprises	4
Newcastle (C)	IDN	Owner managers of unincorporated enterprises	8
Newcastle (C)	IRN	Employee	89
Newcastle (C)	IRN	Owner managers of incorporated enterprises	10
Newcastle (C)	IRN	Owner managers of unincorporated enterprises	3
Newcastle (C)	IRQ	Employee	22
Newcastle (C)	IRQ	Owner managers of incorporated enterprises	5
Newcastle (C)	IRL	Contributing family workers	3
Newcastle (C)	IRL	Employee	165
Newcastle (C)	IRL	Owner managers of incorporated enterprises	11
Newcastle (C)	IRL	Owner managers of unincorporated enterprises	9
Newcastle (C)	ITA	Employee	113
Newcastle (C)	ITA	Owner managers of incorporated enterprises	14
Newcastle (C)	ITA	Owner managers of unincorporated enterprises	23
Newcastle (C)	ITA	Status in employment not stated	4
Newcastle (C)	JPN	Employee	49
Newcastle (C)	JPN	Owner managers of incorporated enterprises	3
Newcastle (C)	JPN	Status in employment not stated	3
Newcastle (C)	LBN	Contributing family workers	3
Newcastle (C)	LBN	Employee	19
Newcastle (C)	LBN	Owner managers of incorporated enterprises	4
Newcastle (C)	LBN	Owner managers of unincorporated enterprises	3
Newcastle (C)	MYS	Contributing family workers	3
Newcastle (C)	MYS	Employee	244
Newcastle (C)	MYS	Owner managers of incorporated enterprises	15
Newcastle (C)	MYS	Owner managers of unincorporated enterprises	18
Newcastle (C)	MLT	Employee	19
Newcastle (C)	MLT	Owner managers of incorporated enterprises	3
Newcastle (C)	MLT	Owner managers of unincorporated enterprises	3
Newcastle (C)	NLD	Contributing family workers	6
Newcastle (C)	NLD	Employee	83
Newcastle (C)	NLD	Owner managers of incorporated enterprises	5
Newcastle (C)	NLD	Owner managers of unincorporated enterprises	8
Newcastle (C)	NZL	Contributing family workers	15
Newcastle (C)	NZL	Employee	1184
Newcastle (C)	NZL	Owner managers of incorporated enterprises	83
Newcastle (C)	NZL	Owner managers of unincorporated enterprises	80
Newcastle (C)	NZL	Status in employment not stated	8
Newcastle (C)	PAK	Contributing family workers	3
Newcastle (C)	PAK	Employee	82
Newcastle (C)	PAK	Owner managers of incorporated enterprises	16
Newcastle (C)	PAK	Owner managers of unincorporated enterprises	7
Newcastle (C)	PHL	Employee	473
Newcastle (C)	PHL	Owner managers of incorporated enterprises	8
Newcastle (C)	PHL	Owner managers of unincorporated enterprises	19
Newcastle (C)	PHL	Status in employment not stated	5
Newcastle (C)	POL	Employee	82
Newcastle (C)	POL	Owner managers of incorporated enterprises	10
Newcastle (C)	POL	Owner managers of unincorporated enterprises	6
Newcastle (C)	SGP	Employee	50
Newcastle (C)	SGP	Owner managers of unincorporated enterprises	4
Newcastle (C)	ZAF	Contributing family workers	4
Newcastle (C)	ZAF	Employee	396
Newcastle (C)	ZAF	Owner managers of incorporated enterprises	40
