LGA_NAME16	Occupation	OccupationSubtype	Sex	workers
Greater Hume Shire (A)	Professionals	Business human resource and marketing professionals	M	23
Greater Hume Shire (A)	Professionals	Design engineering science and transport professionals	F	20
Greater Hume Shire (A)	Professionals	Design engineering science and transport professionals	M	37
Greater Hume Shire (A)	Professionals	Education professionals	F	161
Greater Hume Shire (A)	Professionals	Education professionals	M	41
Greater Hume Shire (A)	Professionals	Health professionals	F	72
Greater Hume Shire (A)	Professionals	Health professionals	M	17
Greater Hume Shire (A)	Professionals	Information and Communication Technology ICT professionals	M	8
Greater Hume Shire (A)	Professionals	Legal social and welfare professionals	F	4
Greater Hume Shire (A)	Professionals	Legal social and welfare professionals	M	7
Greater Hume Shire (A)	Sales workers	Sales assistants and salespersons	F	90
Greater Hume Shire (A)	Sales workers	Sales assistants and salespersons	M	42
Greater Hume Shire (A)	Sales workers	Sales representatives and agents	F	5
Greater Hume Shire (A)	Sales workers	Sales representatives and agents	M	7
Greater Hume Shire (A)	Sales workers	Sales support workers	F	21
Greater Hume Shire (A)	Sales workers	Sales support workers	M	4
Greater Hume Shire (A)	Technicians and trades workers	Automotive and engineering trades workers	M	166
Greater Hume Shire (A)	Technicians and trades workers	Construction trades workers	M	52
Greater Hume Shire (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	20
Greater Hume Shire (A)	Technicians and trades workers	Engineering ICT and science technicians	F	7
Greater Hume Shire (A)	Technicians and trades workers	Engineering ICT and science technicians	M	28
Greater Hume Shire (A)	Technicians and trades workers	Food trades workers	F	28
Greater Hume Shire (A)	Technicians and trades workers	Food trades workers	M	22
Greater Hume Shire (A)	Technicians and trades workers	Other technicians and trades workers	F	13
Greater Hume Shire (A)	Technicians and trades workers	Other technicians and trades workers	M	14
Greater Hume Shire (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	14
Greater Hume Shire (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	32
Greater Hume Shire (A)	Technicians and trades workers	Technicians and trades workers nfd	M	3
Griffith (C)			F	81
Griffith (C)			M	146
Griffith (C)	Clerical and administrative workers	Clerical and administrative workers nfd	M	3
Griffith (C)	Clerical and administrative workers	Clerical and office support workers	F	35
Griffith (C)	Clerical and administrative workers	Clerical and office support workers	M	22
Griffith (C)	Clerical and administrative workers	General clerical workers	F	297
Griffith (C)	Clerical and administrative workers	General clerical workers	M	23
Griffith (C)	Clerical and administrative workers	Inquiry clerks and receptionists	F	180
Griffith (C)	Clerical and administrative workers	Inquiry clerks and receptionists	M	19
Griffith (C)	Clerical and administrative workers	Numerical clerks	F	287
Griffith (C)	Clerical and administrative workers	Numerical clerks	M	23
Griffith (C)	Clerical and administrative workers	Office managers and program administrators	F	194
Griffith (C)	Clerical and administrative workers	Office managers and program administrators	M	37
Griffith (C)	Clerical and administrative workers	Other clerical and administrative workers	F	131
Griffith (C)	Clerical and administrative workers	Other clerical and administrative workers	M	92
Griffith (C)	Clerical and administrative workers	Personal assistants and secretaries	F	114
Griffith (C)	Community and personal service workers	Carers and aides	F	477
Griffith (C)	Community and personal service workers	Carers and aides	M	45
Griffith (C)	Community and personal service workers	Health and welfare support workers	F	119
Griffith (C)	Community and personal service workers	Health and welfare support workers	M	28
Griffith (C)	Community and personal service workers	Hospitality workers	F	158
Griffith (C)	Community and personal service workers	Hospitality workers	M	44
Griffith (C)	Community and personal service workers	Protective service workers	F	31
Griffith (C)	Community and personal service workers	Protective service workers	M	76
Griffith (C)	Community and personal service workers	Sports and personal service workers	F	104
Griffith (C)	Community and personal service workers	Sports and personal service workers	M	26
Griffith (C)	Labourers	Cleaners and laundry workers	F	195
Griffith (C)	Labourers	Cleaners and laundry workers	M	107
Griffith (C)	Labourers	Construction and mining labourers	M	112
Griffith (C)	Labourers	Factory process workers	F	393
Griffith (C)	Labourers	Factory process workers	M	621
Griffith (C)	Labourers	Farm forestry and garden workers	F	85
Griffith (C)	Labourers	Farm forestry and garden workers	M	288
Griffith (C)	Labourers	Food preparation assistants	F	85
Griffith (C)	Labourers	Food preparation assistants	M	52
Griffith (C)	Labourers	Labourers nfd	F	3
Griffith (C)	Labourers	Labourers nfd	M	27
Griffith (C)	Labourers	Other labourers	F	41
Griffith (C)	Labourers	Other labourers	M	133
Griffith (C)	Machinery operators and drivers	Machine and stationary plant operators	F	16
Griffith (C)	Machinery operators and drivers	Machine and stationary plant operators	M	112
Griffith (C)	Machinery operators and drivers	Machinery operators and drivers nfd	M	17
Griffith (C)	Machinery operators and drivers	Mobile plant operators	F	8
Griffith (C)	Machinery operators and drivers	Mobile plant operators	M	257
Griffith (C)	Machinery operators and drivers	Road and rail drivers	F	18
Griffith (C)	Machinery operators and drivers	Road and rail drivers	M	336
Griffith (C)	Machinery operators and drivers	Storepersons	F	6
Griffith (C)	Machinery operators and drivers	Storepersons	M	74
Griffith (C)	Managers	Chief executives general managers and legislators	F	11
Griffith (C)	Managers	Chief executives general managers and legislators	M	58
Griffith (C)	Managers	Farmers and farm managers	F	120
Griffith (C)	Managers	Farmers and farm managers	M	590
Griffith (C)	Managers	Hospitality retail and service managers	F	204
Griffith (C)	Managers	Hospitality retail and service managers	M	233
Griffith (C)	Managers	Managers nfd	F	10
Griffith (C)	Managers	Managers nfd	M	17
Griffith (C)	Managers	Specialist managers	F	155
Griffith (C)	Managers	Specialist managers	M	388
Griffith (C)	Professionals	Arts and media professionals	F	13
Griffith (C)	Professionals	Arts and media professionals	M	6
Griffith (C)	Professionals	Business human resource and marketing professionals	F	176
Griffith (C)	Professionals	Business human resource and marketing professionals	M	149
Griffith (C)	Professionals	Design engineering science and transport professionals	F	70
Griffith (C)	Professionals	Design engineering science and transport professionals	M	163
Griffith (C)	Professionals	Education professionals	F	367
Griffith (C)	Professionals	Education professionals	M	109
Griffith (C)	Professionals	Health professionals	F	345
Griffith (C)	Professionals	Health professionals	M	109
Griffith (C)	Professionals	Information and Communication Technology ICT professionals	F	4
Griffith (C)	Professionals	Information and Communication Technology ICT professionals	M	20
Griffith (C)	Professionals	Legal social and welfare professionals	F	94
Griffith (C)	Professionals	Legal social and welfare professionals	M	53
Griffith (C)	Professionals	Professionals nfd	F	4
Griffith (C)	Sales workers	Sales assistants and salespersons	F	680
Griffith (C)	Sales workers	Sales assistants and salespersons	M	329
Griffith (C)	Sales workers	Sales representatives and agents	F	42
Griffith (C)	Sales workers	Sales representatives and agents	M	76
Griffith (C)	Sales workers	Sales support workers	F	107
Griffith (C)	Sales workers	Sales support workers	M	43
Griffith (C)	Technicians and trades workers	Automotive and engineering trades workers	F	3
Griffith (C)	Technicians and trades workers	Automotive and engineering trades workers	M	586
Griffith (C)	Technicians and trades workers	Construction trades workers	M	192
Griffith (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	3
Griffith (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	202
Griffith (C)	Technicians and trades workers	Engineering ICT and science technicians	F	73
Griffith (C)	Technicians and trades workers	Engineering ICT and science technicians	M	130
Griffith (C)	Technicians and trades workers	Food trades workers	F	62
Griffith (C)	Technicians and trades workers	Food trades workers	M	77
Griffith (C)	Technicians and trades workers	Other technicians and trades workers	F	92
Griffith (C)	Technicians and trades workers	Other technicians and trades workers	M	71
Griffith (C)	Technicians and trades workers	Skilled animal and horticultural workers	F	25
Griffith (C)	Technicians and trades workers	Skilled animal and horticultural workers	M	67
Griffith (C)	Technicians and trades workers	Technicians and trades workers nfd	M	20
Gundagai (A)			F	23
Gundagai (A)			M	49
Gundagai (A)	Clerical and administrative workers	Clerical and office support workers	F	14
Gundagai (A)	Clerical and administrative workers	Clerical and office support workers	M	21
Gundagai (A)	Clerical and administrative workers	General clerical workers	F	79
Gundagai (A)	Clerical and administrative workers	General clerical workers	M	3
Gundagai (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	49
Gundagai (A)	Clerical and administrative workers	Numerical clerks	F	84
Gundagai (A)	Clerical and administrative workers	Numerical clerks	M	3
Gundagai (A)	Clerical and administrative workers	Office managers and program administrators	F	63
Gundagai (A)	Clerical and administrative workers	Office managers and program administrators	M	10
Gundagai (A)	Clerical and administrative workers	Other clerical and administrative workers	F	30
Gundagai (A)	Clerical and administrative workers	Other clerical and administrative workers	M	26
Gundagai (A)	Clerical and administrative workers	Personal assistants and secretaries	F	30
Gundagai (A)	Clerical and administrative workers	Personal assistants and secretaries	M	3
Gundagai (A)	Community and personal service workers	Carers and aides	F	182
Gundagai (A)	Community and personal service workers	Carers and aides	M	20
Gundagai (A)	Community and personal service workers	Health and welfare support workers	F	39
Gundagai (A)	Community and personal service workers	Health and welfare support workers	M	11
Gundagai (A)	Community and personal service workers	Hospitality workers	F	74
Gundagai (A)	Community and personal service workers	Hospitality workers	M	21
Gundagai (A)	Community and personal service workers	Protective service workers	F	12
Gundagai (A)	Community and personal service workers	Protective service workers	M	31
Gundagai (A)	Community and personal service workers	Sports and personal service workers	F	19
Gundagai (A)	Community and personal service workers	Sports and personal service workers	M	9
Gundagai (A)	Labourers	Cleaners and laundry workers	F	106
Gundagai (A)	Labourers	Cleaners and laundry workers	M	45
Gundagai (A)	Labourers	Construction and mining labourers	M	49
Gundagai (A)	Labourers	Factory process workers	F	72
Gundagai (A)	Labourers	Factory process workers	M	250
Gundagai (A)	Labourers	Farm forestry and garden workers	F	28
Gundagai (A)	Labourers	Farm forestry and garden workers	M	124
Gundagai (A)	Labourers	Food preparation assistants	F	56
Gundagai (A)	Labourers	Food preparation assistants	M	13
Gundagai (A)	Labourers	Labourers nfd	F	3
Gundagai (A)	Labourers	Labourers nfd	M	17
Gundagai (A)	Labourers	Other labourers	F	16
Gundagai (A)	Labourers	Other labourers	M	46
Gundagai (A)	Machinery operators and drivers	Machine and stationary plant operators	F	3
Gundagai (A)	Machinery operators and drivers	Machine and stationary plant operators	M	19
Gundagai (A)	Machinery operators and drivers	Machinery operators and drivers nfd	M	15
Gundagai (A)	Machinery operators and drivers	Mobile plant operators	M	58
Gundagai (A)	Machinery operators and drivers	Road and rail drivers	F	11
Gundagai (A)	Machinery operators and drivers	Road and rail drivers	M	147
Gundagai (A)	Machinery operators and drivers	Storepersons	M	13
Gundagai (A)	Managers	Chief executives general managers and legislators	F	3
Gundagai (A)	Managers	Chief executives general managers and legislators	M	17
Gundagai (A)	Managers	Farmers and farm managers	F	99
Gundagai (A)	Managers	Farmers and farm managers	M	326
Gundagai (A)	Managers	Hospitality retail and service managers	F	86
Gundagai (A)	Managers	Hospitality retail and service managers	M	76
Gundagai (A)	Managers	Managers nfd	F	3
Gundagai (A)	Managers	Managers nfd	M	4
Gundagai (A)	Managers	Specialist managers	F	48
Gundagai (A)	Managers	Specialist managers	M	77
Gundagai (A)	Professionals	Arts and media professionals	F	8
Gundagai (A)	Professionals	Business human resource and marketing professionals	F	47
Gundagai (A)	Professionals	Business human resource and marketing professionals	M	32
Gundagai (A)	Professionals	Design engineering science and transport professionals	F	22
Gundagai (A)	Professionals	Design engineering science and transport professionals	M	32
Gundagai (A)	Professionals	Education professionals	F	151
Gundagai (A)	Professionals	Education professionals	M	46
Gundagai (A)	Professionals	Health professionals	F	124
Gundagai (A)	Professionals	Health professionals	M	21
Gundagai (A)	Professionals	Information and Communication Technology ICT professionals	F	7
Gundagai (A)	Professionals	Information and Communication Technology ICT professionals	M	7
Gundagai (A)	Professionals	Legal social and welfare professionals	F	15
Gundagai (A)	Professionals	Legal social and welfare professionals	M	9
Gundagai (A)	Sales workers	Sales assistants and salespersons	F	197
Gundagai (A)	Sales workers	Sales assistants and salespersons	M	78
Gundagai (A)	Sales workers	Sales representatives and agents	F	17
Gundagai (A)	Sales workers	Sales representatives and agents	M	29
Gundagai (A)	Sales workers	Sales support workers	F	41
Gundagai (A)	Sales workers	Sales support workers	M	16
Gundagai (A)	Technicians and trades workers	Automotive and engineering trades workers	F	3
Gundagai (A)	Technicians and trades workers	Automotive and engineering trades workers	M	110
Gundagai (A)	Technicians and trades workers	Construction trades workers	F	5
Gundagai (A)	Technicians and trades workers	Construction trades workers	M	69
Gundagai (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	49
Gundagai (A)	Technicians and trades workers	Engineering ICT and science technicians	F	15
Gundagai (A)	Technicians and trades workers	Engineering ICT and science technicians	M	26
Gundagai (A)	Technicians and trades workers	Food trades workers	F	36
Gundagai (A)	Technicians and trades workers	Food trades workers	M	44
Gundagai (A)	Technicians and trades workers	Other technicians and trades workers	F	38
Gundagai (A)	Technicians and trades workers	Other technicians and trades workers	M	17
Gundagai (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	22
Gundagai (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	53
Gundagai (A)	Technicians and trades workers	Technicians and trades workers nfd	M	8
Gunnedah (A)			F	37
Gunnedah (A)			M	62
Gunnedah (A)	Clerical and administrative workers	Clerical and office support workers	F	11
Gunnedah (A)	Clerical and administrative workers	Clerical and office support workers	M	7
Gunnedah (A)	Clerical and administrative workers	General clerical workers	F	131
Gunnedah (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	68
Gunnedah (A)	Clerical and administrative workers	Inquiry clerks and receptionists	M	5
Gunnedah (A)	Clerical and administrative workers	Numerical clerks	F	102
Gunnedah (A)	Clerical and administrative workers	Numerical clerks	M	9
Gunnedah (A)	Clerical and administrative workers	Office managers and program administrators	F	76
Gunnedah (A)	Clerical and administrative workers	Office managers and program administrators	M	14
Gunnedah (A)	Clerical and administrative workers	Other clerical and administrative workers	F	43
Gunnedah (A)	Clerical and administrative workers	Other clerical and administrative workers	M	20
Gunnedah (A)	Clerical and administrative workers	Personal assistants and secretaries	F	45
Gunnedah (A)	Community and personal service workers	Carers and aides	F	241
Gunnedah (A)	Community and personal service workers	Carers and aides	M	17
Gunnedah (A)	Community and personal service workers	Health and welfare support workers	F	52
Gunnedah (A)	Community and personal service workers	Health and welfare support workers	M	16
Gunnedah (A)	Community and personal service workers	Hospitality workers	F	82
Gunnedah (A)	Community and personal service workers	Hospitality workers	M	7
Gunnedah (A)	Community and personal service workers	Protective service workers	F	13
Gunnedah (A)	Community and personal service workers	Protective service workers	M	18
Gunnedah (A)	Community and personal service workers	Sports and personal service workers	F	33
Gunnedah (A)	Community and personal service workers	Sports and personal service workers	M	11
Gunnedah (A)	Labourers	Cleaners and laundry workers	F	103
Gunnedah (A)	Labourers	Cleaners and laundry workers	M	31
Gunnedah (A)	Labourers	Construction and mining labourers	F	3
Gunnedah (A)	Labourers	Construction and mining labourers	M	53
Gunnedah (A)	Labourers	Factory process workers	F	11
Gunnedah (A)	Labourers	Factory process workers	M	84
Gunnedah (A)	Labourers	Farm forestry and garden workers	F	27
Gunnedah (A)	Labourers	Farm forestry and garden workers	M	128
Gunnedah (A)	Labourers	Food preparation assistants	F	52
Gunnedah (A)	Labourers	Food preparation assistants	M	36
Gunnedah (A)	Labourers	Labourers nfd	F	5
Gunnedah (A)	Labourers	Labourers nfd	M	16
Gunnedah (A)	Labourers	Other labourers	F	26
Gunnedah (A)	Labourers	Other labourers	M	71
Gunnedah (A)	Machinery operators and drivers	Machine and stationary plant operators	F	10
Gunnedah (A)	Machinery operators and drivers	Machine and stationary plant operators	M	115
Gunnedah (A)	Machinery operators and drivers	Machinery operators and drivers nfd	M	9
Gunnedah (A)	Machinery operators and drivers	Mobile plant operators	F	3
Gunnedah (A)	Machinery operators and drivers	Mobile plant operators	M	99
Gunnedah (A)	Machinery operators and drivers	Road and rail drivers	F	23
Gunnedah (A)	Machinery operators and drivers	Road and rail drivers	M	222
Gunnedah (A)	Machinery operators and drivers	Storepersons	M	21
Gunnedah (A)	Managers	Chief executives general managers and legislators	F	11
Gunnedah (A)	Managers	Chief executives general managers and legislators	M	23
Gunnedah (A)	Managers	Farmers and farm managers	F	127
Gunnedah (A)	Managers	Farmers and farm managers	M	359
Gunnedah (A)	Managers	Hospitality retail and service managers	F	99
Gunnedah (A)	Managers	Hospitality retail and service managers	M	103
Gunnedah (A)	Managers	Managers nfd	F	4
Gunnedah (A)	Managers	Specialist managers	F	59
Gunnedah (A)	Managers	Specialist managers	M	113
Gunnedah (A)	Professionals	Arts and media professionals	F	18
Gunnedah (A)	Professionals	Business human resource and marketing professionals	F	63
Gunnedah (A)	Professionals	Business human resource and marketing professionals	M	61
Gunnedah (A)	Professionals	Design engineering science and transport professionals	F	25
Gunnedah (A)	Professionals	Design engineering science and transport professionals	M	57
Gunnedah (A)	Professionals	Education professionals	F	200
Gunnedah (A)	Professionals	Education professionals	M	42
Gunnedah (A)	Professionals	Health professionals	F	116
Gunnedah (A)	Professionals	Health professionals	M	28
Gunnedah (A)	Professionals	Information and Communication Technology ICT professionals	F	3
Gunnedah (A)	Professionals	Information and Communication Technology ICT professionals	M	7
Gunnedah (A)	Professionals	Legal social and welfare professionals	F	28
Gunnedah (A)	Professionals	Legal social and welfare professionals	M	10
Gunnedah (A)	Sales workers	Sales assistants and salespersons	F	213
Gunnedah (A)	Sales workers	Sales assistants and salespersons	M	113
Gunnedah (A)	Sales workers	Sales representatives and agents	F	18
Gunnedah (A)	Sales workers	Sales representatives and agents	M	43
Gunnedah (A)	Sales workers	Sales support workers	F	47
Gunnedah (A)	Sales workers	Sales support workers	M	4
Gunnedah (A)	Technicians and trades workers	Automotive and engineering trades workers	F	7
Gunnedah (A)	Technicians and trades workers	Automotive and engineering trades workers	M	254
Gunnedah (A)	Technicians and trades workers	Construction trades workers	M	46
Gunnedah (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	3
Gunnedah (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	66
Gunnedah (A)	Technicians and trades workers	Engineering ICT and science technicians	F	16
Gunnedah (A)	Technicians and trades workers	Engineering ICT and science technicians	M	48
Gunnedah (A)	Technicians and trades workers	Food trades workers	F	34
Gunnedah (A)	Technicians and trades workers	Food trades workers	M	30
Gunnedah (A)	Technicians and trades workers	Other technicians and trades workers	F	36
Gunnedah (A)	Technicians and trades workers	Other technicians and trades workers	M	22
Gunnedah (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	14
Gunnedah (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	24
Gunnedah (A)	Technicians and trades workers	Technicians and trades workers nfd	M	3
Gwydir (A)			F	19
Gwydir (A)			M	17
Gwydir (A)	Clerical and administrative workers	Clerical and office support workers	F	4
Gwydir (A)	Clerical and administrative workers	Clerical and office support workers	M	8
Gwydir (A)	Clerical and administrative workers	General clerical workers	F	37
Gwydir (A)	Clerical and administrative workers	General clerical workers	M	3
Gwydir (A)	Clerical and administrative workers	Inquiry clerks and receptionists	F	12
Gwydir (A)	Clerical and administrative workers	Inquiry clerks and receptionists	M	3
Gwydir (A)	Clerical and administrative workers	Numerical clerks	F	29
Gwydir (A)	Clerical and administrative workers	Numerical clerks	M	3
Gwydir (A)	Clerical and administrative workers	Office managers and program administrators	F	26
Gwydir (A)	Clerical and administrative workers	Office managers and program administrators	M	4
Gwydir (A)	Clerical and administrative workers	Other clerical and administrative workers	F	8
Gwydir (A)	Clerical and administrative workers	Other clerical and administrative workers	M	6
Gwydir (A)	Clerical and administrative workers	Personal assistants and secretaries	F	10
Gwydir (A)	Community and personal service workers	Carers and aides	F	79
Gwydir (A)	Community and personal service workers	Carers and aides	M	4
Gwydir (A)	Community and personal service workers	Health and welfare support workers	F	26
Gwydir (A)	Community and personal service workers	Health and welfare support workers	M	10
Gwydir (A)	Community and personal service workers	Hospitality workers	F	17
Gwydir (A)	Community and personal service workers	Hospitality workers	M	8
Gwydir (A)	Community and personal service workers	Protective service workers	M	3
Gwydir (A)	Community and personal service workers	Sports and personal service workers	F	3
Gwydir (A)	Labourers	Cleaners and laundry workers	F	34
Gwydir (A)	Labourers	Cleaners and laundry workers	M	5
Gwydir (A)	Labourers	Construction and mining labourers	M	25
Gwydir (A)	Labourers	Factory process workers	F	6
Gwydir (A)	Labourers	Factory process workers	M	9
Gwydir (A)	Labourers	Farm forestry and garden workers	F	28
Gwydir (A)	Labourers	Farm forestry and garden workers	M	120
Gwydir (A)	Labourers	Food preparation assistants	F	18
Gwydir (A)	Labourers	Food preparation assistants	M	3
Gwydir (A)	Labourers	Labourers nfd	M	4
Gwydir (A)	Labourers	Other labourers	F	3
Gwydir (A)	Labourers	Other labourers	M	21
Gwydir (A)	Machinery operators and drivers	Machine and stationary plant operators	M	16
Gwydir (A)	Machinery operators and drivers	Machinery operators and drivers nfd	M	3
Gwydir (A)	Machinery operators and drivers	Mobile plant operators	M	59
Gwydir (A)	Machinery operators and drivers	Road and rail drivers	F	5
Gwydir (A)	Machinery operators and drivers	Road and rail drivers	M	51
Gwydir (A)	Machinery operators and drivers	Storepersons	M	5
Gwydir (A)	Managers	Chief executives general managers and legislators	F	7
Gwydir (A)	Managers	Chief executives general managers and legislators	M	3
Gwydir (A)	Managers	Farmers and farm managers	F	172
Gwydir (A)	Managers	Farmers and farm managers	M	383
Gwydir (A)	Managers	Hospitality retail and service managers	F	16
Gwydir (A)	Managers	Hospitality retail and service managers	M	27
Gwydir (A)	Managers	Managers nfd	M	6
Gwydir (A)	Managers	Specialist managers	F	21
Gwydir (A)	Managers	Specialist managers	M	26
Gwydir (A)	Professionals	Arts and media professionals	F	4
Gwydir (A)	Professionals	Arts and media professionals	M	3
Gwydir (A)	Professionals	Business human resource and marketing professionals	F	5
Gwydir (A)	Professionals	Design engineering science and transport professionals	F	10
Gwydir (A)	Professionals	Design engineering science and transport professionals	M	17
Gwydir (A)	Professionals	Education professionals	F	58
Gwydir (A)	Professionals	Education professionals	M	15
Gwydir (A)	Professionals	Health professionals	F	49
Gwydir (A)	Professionals	Health professionals	M	4
Gwydir (A)	Professionals	Information and Communication Technology ICT professionals	M	4
Gwydir (A)	Professionals	Legal social and welfare professionals	F	7
Gwydir (A)	Professionals	Legal social and welfare professionals	M	4
Gwydir (A)	Sales workers	Sales assistants and salespersons	F	43
Gwydir (A)	Sales workers	Sales assistants and salespersons	M	19
Gwydir (A)	Sales workers	Sales representatives and agents	F	3
Gwydir (A)	Sales workers	Sales representatives and agents	M	3
Gwydir (A)	Sales workers	Sales support workers	F	9
Gwydir (A)	Technicians and trades workers	Automotive and engineering trades workers	M	42
Gwydir (A)	Technicians and trades workers	Construction trades workers	M	15
Gwydir (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	17
Gwydir (A)	Technicians and trades workers	Engineering ICT and science technicians	F	6
Gwydir (A)	Technicians and trades workers	Engineering ICT and science technicians	M	3
Gwydir (A)	Technicians and trades workers	Food trades workers	F	17
Gwydir (A)	Technicians and trades workers	Food trades workers	M	16
Gwydir (A)	Technicians and trades workers	Other technicians and trades workers	F	12
Gwydir (A)	Technicians and trades workers	Skilled animal and horticultural workers	F	3
Gwydir (A)	Technicians and trades workers	Skilled animal and horticultural workers	M	15
Hawkesbury (C)			F	165
Hawkesbury (C)			M	278
Hawkesbury (C)	Clerical and administrative workers	Clerical and administrative workers nfd	F	3
Hawkesbury (C)	Clerical and administrative workers	Clerical and administrative workers nfd	M	3
Hawkesbury (C)	Clerical and administrative workers	Clerical and office support workers	F	61
Hawkesbury (C)	Clerical and administrative workers	Clerical and office support workers	M	51
Hawkesbury (C)	Clerical and administrative workers	General clerical workers	F	583
Hawkesbury (C)	Clerical and administrative workers	General clerical workers	M	58
Hawkesbury (C)	Clerical and administrative workers	Inquiry clerks and receptionists	F	432
Hawkesbury (C)	Clerical and administrative workers	Inquiry clerks and receptionists	M	28
Hawkesbury (C)	Clerical and administrative workers	Numerical clerks	F	662
Hawkesbury (C)	Clerical and administrative workers	Numerical clerks	M	51
Hawkesbury (C)	Clerical and administrative workers	Office managers and program administrators	F	468
Hawkesbury (C)	Clerical and administrative workers	Office managers and program administrators	M	112
Hawkesbury (C)	Clerical and administrative workers	Other clerical and administrative workers	F	213
Hawkesbury (C)	Clerical and administrative workers	Other clerical and administrative workers	M	126
Hawkesbury (C)	Clerical and administrative workers	Personal assistants and secretaries	F	261
Hawkesbury (C)	Clerical and administrative workers	Personal assistants and secretaries	M	4
Hawkesbury (C)	Community and personal service workers	Carers and aides	F	923
Hawkesbury (C)	Community and personal service workers	Carers and aides	M	116
Hawkesbury (C)	Community and personal service workers	Health and welfare support workers	F	175
Hawkesbury (C)	Community and personal service workers	Health and welfare support workers	M	48
Hawkesbury (C)	Community and personal service workers	Hospitality workers	F	455
Hawkesbury (C)	Community and personal service workers	Hospitality workers	M	111
Hawkesbury (C)	Community and personal service workers	Protective service workers	F	84
Hawkesbury (C)	Community and personal service workers	Protective service workers	M	346
Hawkesbury (C)	Community and personal service workers	Sports and personal service workers	F	281
Hawkesbury (C)	Community and personal service workers	Sports and personal service workers	M	90
Hawkesbury (C)	Labourers	Cleaners and laundry workers	F	294
Hawkesbury (C)	Labourers	Cleaners and laundry workers	M	145
Hawkesbury (C)	Labourers	Construction and mining labourers	F	6
Hawkesbury (C)	Labourers	Construction and mining labourers	M	396
Hawkesbury (C)	Labourers	Factory process workers	F	209
Hawkesbury (C)	Labourers	Factory process workers	M	274
Hawkesbury (C)	Labourers	Farm forestry and garden workers	F	294
Hawkesbury (C)	Labourers	Farm forestry and garden workers	M	246
Hawkesbury (C)	Labourers	Food preparation assistants	F	198
Hawkesbury (C)	Labourers	Food preparation assistants	M	185
Hawkesbury (C)	Labourers	Labourers nfd	F	7
Hawkesbury (C)	Labourers	Labourers nfd	M	53
Hawkesbury (C)	Labourers	Other labourers	F	124
Hawkesbury (C)	Labourers	Other labourers	M	328
Hawkesbury (C)	Machinery operators and drivers	Machine and stationary plant operators	F	56
Hawkesbury (C)	Machinery operators and drivers	Machine and stationary plant operators	M	342
Hawkesbury (C)	Machinery operators and drivers	Machinery operators and drivers nfd	F	14
Hawkesbury (C)	Machinery operators and drivers	Machinery operators and drivers nfd	M	56
Hawkesbury (C)	Machinery operators and drivers	Mobile plant operators	F	20
Hawkesbury (C)	Machinery operators and drivers	Mobile plant operators	M	281
Hawkesbury (C)	Machinery operators and drivers	Road and rail drivers	F	58
Hawkesbury (C)	Machinery operators and drivers	Road and rail drivers	M	724
Hawkesbury (C)	Machinery operators and drivers	Storepersons	F	79
Hawkesbury (C)	Machinery operators and drivers	Storepersons	M	163
Hawkesbury (C)	Managers	Chief executives general managers and legislators	F	50
Hawkesbury (C)	Managers	Chief executives general managers and legislators	M	149
Hawkesbury (C)	Managers	Farmers and farm managers	F	159
Hawkesbury (C)	Managers	Farmers and farm managers	M	364
Hawkesbury (C)	Managers	Hospitality retail and service managers	F	415
Hawkesbury (C)	Managers	Hospitality retail and service managers	M	477
Hawkesbury (C)	Managers	Managers nfd	F	21
Hawkesbury (C)	Managers	Managers nfd	M	46
Hawkesbury (C)	Managers	Specialist managers	F	399
Hawkesbury (C)	Managers	Specialist managers	M	878
Hawkesbury (C)	Professionals	Arts and media professionals	F	45
Hawkesbury (C)	Professionals	Arts and media professionals	M	51
Hawkesbury (C)	Professionals	Business human resource and marketing professionals	F	313
Hawkesbury (C)	Professionals	Business human resource and marketing professionals	M	293
Hawkesbury (C)	Professionals	Design engineering science and transport professionals	F	143
Hawkesbury (C)	Professionals	Design engineering science and transport professionals	M	426
Hawkesbury (C)	Professionals	Education professionals	F	926
Hawkesbury (C)	Professionals	Education professionals	M	282
Hawkesbury (C)	Professionals	Health professionals	F	643
Hawkesbury (C)	Professionals	Health professionals	M	210
Hawkesbury (C)	Professionals	Information and Communication Technology ICT professionals	F	29
Hawkesbury (C)	Professionals	Information and Communication Technology ICT professionals	M	134
Hawkesbury (C)	Professionals	Legal social and welfare professionals	F	164
Hawkesbury (C)	Professionals	Legal social and welfare professionals	M	90
Hawkesbury (C)	Professionals	Professionals nfd	F	25
Hawkesbury (C)	Professionals	Professionals nfd	M	22
