LGA_NAME16	Age	LabourForceStatus	workers
Liverpool (C)	75+	Employed (part-time)	109
Liverpool Plains (A)	15-19		3
Liverpool Plains (A)	15-19	Employed (away from work)	6
Liverpool Plains (A)	15-19	Employed (full-time)	28
Liverpool Plains (A)	15-19	Employed (part-time)	54
Liverpool Plains (A)	20-24		8
Liverpool Plains (A)	20-24	Employed (away from work)	6
Liverpool Plains (A)	20-24	Employed (full-time)	91
Liverpool Plains (A)	20-24	Employed (part-time)	40
Liverpool Plains (A)	25-29		3
Liverpool Plains (A)	25-29	Employed (away from work)	8
Liverpool Plains (A)	25-29	Employed (full-time)	142
Liverpool Plains (A)	25-29	Employed (part-time)	45
Liverpool Plains (A)	30-34		8
Liverpool Plains (A)	30-34	Employed (away from work)	11
Liverpool Plains (A)	30-34	Employed (full-time)	146
Liverpool Plains (A)	30-34	Employed (part-time)	71
Liverpool Plains (A)	35-39		8
Liverpool Plains (A)	35-39	Employed (away from work)	12
Liverpool Plains (A)	35-39	Employed (full-time)	149
Liverpool Plains (A)	35-39	Employed (part-time)	54
Liverpool Plains (A)	40-44		9
Liverpool Plains (A)	40-44	Employed (away from work)	9
Liverpool Plains (A)	40-44	Employed (full-time)	181
Liverpool Plains (A)	40-44	Employed (part-time)	78
Liverpool Plains (A)	45-49		3
Liverpool Plains (A)	45-49	Employed (away from work)	7
Liverpool Plains (A)	45-49	Employed (full-time)	213
Liverpool Plains (A)	45-49	Employed (part-time)	81
Liverpool Plains (A)	50-54		3
Liverpool Plains (A)	50-54	Employed (away from work)	11
Liverpool Plains (A)	50-54	Employed (full-time)	221
Liverpool Plains (A)	50-54	Employed (part-time)	96
Liverpool Plains (A)	55-59		9
Liverpool Plains (A)	55-59	Employed (away from work)	5
Liverpool Plains (A)	55-59	Employed (full-time)	194
Liverpool Plains (A)	55-59	Employed (part-time)	92
Liverpool Plains (A)	60-64		8
Liverpool Plains (A)	60-64	Employed (away from work)	11
Liverpool Plains (A)	60-64	Employed (full-time)	171
Liverpool Plains (A)	60-64	Employed (part-time)	70
Liverpool Plains (A)	65-69		6
Liverpool Plains (A)	65-69	Employed (away from work)	4
Liverpool Plains (A)	65-69	Employed (full-time)	77
Liverpool Plains (A)	65-69	Employed (part-time)	50
Liverpool Plains (A)	70-74	Employed (away from work)	3
Liverpool Plains (A)	70-74	Employed (full-time)	37
Liverpool Plains (A)	70-74	Employed (part-time)	31
Liverpool Plains (A)	75+		3
Liverpool Plains (A)	75+	Employed (away from work)	4
Liverpool Plains (A)	75+	Employed (full-time)	25
Liverpool Plains (A)	75+	Employed (part-time)	27
Lockhart (A)	15-19	Employed (full-time)	10
Lockhart (A)	15-19	Employed (part-time)	13
Lockhart (A)	20-24	Employed (full-time)	34
Lockhart (A)	20-24	Employed (part-time)	20
Lockhart (A)	25-29		3
Lockhart (A)	25-29	Employed (full-time)	40
Lockhart (A)	25-29	Employed (part-time)	17
Lockhart (A)	30-34	Employed (away from work)	7
Lockhart (A)	30-34	Employed (full-time)	49
Lockhart (A)	30-34	Employed (part-time)	17
Lockhart (A)	35-39		3
Lockhart (A)	35-39	Employed (full-time)	37
Lockhart (A)	35-39	Employed (part-time)	17
Lockhart (A)	40-44	Employed (full-time)	52
Lockhart (A)	40-44	Employed (part-time)	38
Lockhart (A)	45-49	Employed (away from work)	4
Lockhart (A)	45-49	Employed (full-time)	54
Lockhart (A)	45-49	Employed (part-time)	39
Lockhart (A)	50-54	Employed (full-time)	72
Lockhart (A)	50-54	Employed (part-time)	41
Lockhart (A)	55-59	Employed (away from work)	5
Lockhart (A)	55-59	Employed (full-time)	72
Lockhart (A)	55-59	Employed (part-time)	38
Lockhart (A)	60-64	Employed (away from work)	6
Lockhart (A)	60-64	Employed (full-time)	39
Lockhart (A)	60-64	Employed (part-time)	33
Lockhart (A)	65-69	Employed (full-time)	30
Lockhart (A)	65-69	Employed (part-time)	27
Lockhart (A)	70-74	Employed (full-time)	19
Lockhart (A)	70-74	Employed (part-time)	12
Lockhart (A)	75+		3
Lockhart (A)	75+	Employed (full-time)	13
Lockhart (A)	75+	Employed (part-time)	7
Maitland (C)	15-19		45
Maitland (C)	15-19	Employed (away from work)	59
Maitland (C)	15-19	Employed (full-time)	400
Maitland (C)	15-19	Employed (part-time)	1497
Maitland (C)	20-24		52
Maitland (C)	20-24	Employed (away from work)	70
Maitland (C)	20-24	Employed (full-time)	1471
Maitland (C)	20-24	Employed (part-time)	1113
Maitland (C)	25-29		47
Maitland (C)	25-29	Employed (away from work)	117
Maitland (C)	25-29	Employed (full-time)	1890
Maitland (C)	25-29	Employed (part-time)	839
Maitland (C)	30-34		48
Maitland (C)	30-34	Employed (away from work)	155
Maitland (C)	30-34	Employed (full-time)	1710
Maitland (C)	30-34	Employed (part-time)	893
Maitland (C)	35-39		49
Maitland (C)	35-39	Employed (away from work)	82
Maitland (C)	35-39	Employed (full-time)	1650
Maitland (C)	35-39	Employed (part-time)	959
Maitland (C)	40-44		42
Maitland (C)	40-44	Employed (away from work)	87
Maitland (C)	40-44	Employed (full-time)	1849
Maitland (C)	40-44	Employed (part-time)	1000
Maitland (C)	45-49		61
Maitland (C)	45-49	Employed (away from work)	64
Maitland (C)	45-49	Employed (full-time)	1940
Maitland (C)	45-49	Employed (part-time)	923
Maitland (C)	50-54		35
Maitland (C)	50-54	Employed (away from work)	63
Maitland (C)	50-54	Employed (full-time)	1797
Maitland (C)	50-54	Employed (part-time)	868
Maitland (C)	55-59		21
Maitland (C)	55-59	Employed (away from work)	97
Maitland (C)	55-59	Employed (full-time)	1524
Maitland (C)	55-59	Employed (part-time)	827
Maitland (C)	60-64		19
Maitland (C)	60-64	Employed (away from work)	66
Maitland (C)	60-64	Employed (full-time)	746
Maitland (C)	60-64	Employed (part-time)	648
Maitland (C)	65-69		11
Maitland (C)	65-69	Employed (away from work)	31
Maitland (C)	65-69	Employed (full-time)	253
Maitland (C)	65-69	Employed (part-time)	325
Maitland (C)	70-74		9
Maitland (C)	70-74	Employed (away from work)	7
Maitland (C)	70-74	Employed (full-time)	66
Maitland (C)	70-74	Employed (part-time)	124
Maitland (C)	75+		14
Maitland (C)	75+	Employed (away from work)	3
Maitland (C)	75+	Employed (full-time)	29
Maitland (C)	75+	Employed (part-time)	57
Mid-Coast (A)	15-19		74
Mid-Coast (A)	15-19	Employed (away from work)	95
Mid-Coast (A)	15-19	Employed (full-time)	308
Mid-Coast (A)	15-19	Employed (part-time)	1243
Mid-Coast (A)	20-24		58
Mid-Coast (A)	20-24	Employed (away from work)	95
Mid-Coast (A)	20-24	Employed (full-time)	959
Mid-Coast (A)	20-24	Employed (part-time)	769
Mid-Coast (A)	25-29		32
Mid-Coast (A)	25-29	Employed (away from work)	86
Mid-Coast (A)	25-29	Employed (full-time)	1121
Mid-Coast (A)	25-29	Employed (part-time)	669
Mid-Coast (A)	30-34		35
Mid-Coast (A)	30-34	Employed (away from work)	122
Mid-Coast (A)	30-34	Employed (full-time)	1108
Mid-Coast (A)	30-34	Employed (part-time)	746
Mid-Coast (A)	35-39		49
Mid-Coast (A)	35-39	Employed (away from work)	70
Mid-Coast (A)	35-39	Employed (full-time)	1152
Mid-Coast (A)	35-39	Employed (part-time)	850
Mid-Coast (A)	40-44		47
Mid-Coast (A)	40-44	Employed (away from work)	98
Mid-Coast (A)	40-44	Employed (full-time)	1589
Mid-Coast (A)	40-44	Employed (part-time)	1013
Mid-Coast (A)	45-49		71
Mid-Coast (A)	45-49	Employed (away from work)	96
Mid-Coast (A)	45-49	Employed (full-time)	1870
Mid-Coast (A)	45-49	Employed (part-time)	1109
Mid-Coast (A)	50-54		68
Mid-Coast (A)	50-54	Employed (away from work)	119
Mid-Coast (A)	50-54	Employed (full-time)	1982
Mid-Coast (A)	50-54	Employed (part-time)	1277
Mid-Coast (A)	55-59		58
Mid-Coast (A)	55-59	Employed (away from work)	176
Mid-Coast (A)	55-59	Employed (full-time)	1899
Mid-Coast (A)	55-59	Employed (part-time)	1334
Mid-Coast (A)	60-64		55
Mid-Coast (A)	60-64	Employed (away from work)	143
Mid-Coast (A)	60-64	Employed (full-time)	1171
Mid-Coast (A)	60-64	Employed (part-time)	1146
Mid-Coast (A)	65-69		28
Mid-Coast (A)	65-69	Employed (away from work)	59
Mid-Coast (A)	65-69	Employed (full-time)	420
Mid-Coast (A)	65-69	Employed (part-time)	664
Mid-Coast (A)	70-74		23
Mid-Coast (A)	70-74	Employed (away from work)	24
Mid-Coast (A)	70-74	Employed (full-time)	162
Mid-Coast (A)	70-74	Employed (part-time)	264
Mid-Coast (A)	75+		38
Mid-Coast (A)	75+	Employed (away from work)	22
Mid-Coast (A)	75+	Employed (full-time)	94
Mid-Coast (A)	75+	Employed (part-time)	135
Mid-Western Regional (A)	15-19		22
Mid-Western Regional (A)	15-19	Employed (away from work)	29
Mid-Western Regional (A)	15-19	Employed (full-time)	147
Mid-Western Regional (A)	15-19	Employed (part-time)	309
Mid-Western Regional (A)	20-24		24
Mid-Western Regional (A)	20-24	Employed (away from work)	20
Mid-Western Regional (A)	20-24	Employed (full-time)	438
Mid-Western Regional (A)	20-24	Employed (part-time)	192
Mid-Western Regional (A)	25-29		13
Mid-Western Regional (A)	25-29	Employed (away from work)	39
Mid-Western Regional (A)	25-29	Employed (full-time)	591
Mid-Western Regional (A)	25-29	Employed (part-time)	186
Mid-Western Regional (A)	30-34		11
Mid-Western Regional (A)	30-34	Employed (away from work)	54
Mid-Western Regional (A)	30-34	Employed (full-time)	628
Mid-Western Regional (A)	30-34	Employed (part-time)	295
Mid-Western Regional (A)	35-39		16
Mid-Western Regional (A)	35-39	Employed (away from work)	34
Mid-Western Regional (A)	35-39	Employed (full-time)	610
Mid-Western Regional (A)	35-39	Employed (part-time)	251
Mid-Western Regional (A)	40-44		23
Mid-Western Regional (A)	40-44	Employed (away from work)	25
Mid-Western Regional (A)	40-44	Employed (full-time)	663
Mid-Western Regional (A)	40-44	Employed (part-time)	319
Mid-Western Regional (A)	45-49		14
Mid-Western Regional (A)	45-49	Employed (away from work)	30
Mid-Western Regional (A)	45-49	Employed (full-time)	751
Mid-Western Regional (A)	45-49	Employed (part-time)	370
Mid-Western Regional (A)	50-54		16
Mid-Western Regional (A)	50-54	Employed (away from work)	29
Mid-Western Regional (A)	50-54	Employed (full-time)	718
Mid-Western Regional (A)	50-54	Employed (part-time)	367
Mid-Western Regional (A)	55-59		16
Mid-Western Regional (A)	55-59	Employed (away from work)	38
Mid-Western Regional (A)	55-59	Employed (full-time)	623
Mid-Western Regional (A)	55-59	Employed (part-time)	333
Mid-Western Regional (A)	60-64		4
Mid-Western Regional (A)	60-64	Employed (away from work)	25
Mid-Western Regional (A)	60-64	Employed (full-time)	360
Mid-Western Regional (A)	60-64	Employed (part-time)	234
Mid-Western Regional (A)	65-69		3
Mid-Western Regional (A)	65-69	Employed (away from work)	17
Mid-Western Regional (A)	65-69	Employed (full-time)	154
Mid-Western Regional (A)	65-69	Employed (part-time)	163
Mid-Western Regional (A)	70-74		12
Mid-Western Regional (A)	70-74	Employed (away from work)	3
Mid-Western Regional (A)	70-74	Employed (full-time)	73
Mid-Western Regional (A)	70-74	Employed (part-time)	93
Mid-Western Regional (A)	75+		9
Mid-Western Regional (A)	75+	Employed (away from work)	9
Mid-Western Regional (A)	75+	Employed (full-time)	69
Mid-Western Regional (A)	75+	Employed (part-time)	55
Moree Plains (A)	15-19		15
Moree Plains (A)	15-19	Employed (away from work)	8
Moree Plains (A)	15-19	Employed (full-time)	86
Moree Plains (A)	15-19	Employed (part-time)	134
Moree Plains (A)	20-24		16
Moree Plains (A)	20-24	Employed (away from work)	19
Moree Plains (A)	20-24	Employed (full-time)	324
Moree Plains (A)	20-24	Employed (part-time)	96
Moree Plains (A)	25-29		11
Moree Plains (A)	25-29	Employed (away from work)	31
Moree Plains (A)	25-29	Employed (full-time)	431
Moree Plains (A)	25-29	Employed (part-time)	84
Moree Plains (A)	30-34		11
Moree Plains (A)	30-34	Employed (away from work)	29
Moree Plains (A)	30-34	Employed (full-time)	370
Moree Plains (A)	30-34	Employed (part-time)	124
Moree Plains (A)	35-39		6
Moree Plains (A)	35-39	Employed (away from work)	26
Moree Plains (A)	35-39	Employed (full-time)	372
Moree Plains (A)	35-39	Employed (part-time)	128
Moree Plains (A)	40-44		15
Moree Plains (A)	40-44	Employed (away from work)	18
Moree Plains (A)	40-44	Employed (full-time)	401
Moree Plains (A)	40-44	Employed (part-time)	144
Moree Plains (A)	45-49		7
Moree Plains (A)	45-49	Employed (away from work)	22
Moree Plains (A)	45-49	Employed (full-time)	449
Moree Plains (A)	45-49	Employed (part-time)	137
Moree Plains (A)	50-54		20
Moree Plains (A)	50-54	Employed (away from work)	8
Moree Plains (A)	50-54	Employed (full-time)	472
Moree Plains (A)	50-54	Employed (part-time)	124
Moree Plains (A)	55-59		17
Moree Plains (A)	55-59	Employed (away from work)	16
Moree Plains (A)	55-59	Employed (full-time)	404
Moree Plains (A)	55-59	Employed (part-time)	159
Moree Plains (A)	60-64		10
Moree Plains (A)	60-64	Employed (away from work)	14
Moree Plains (A)	60-64	Employed (full-time)	285
Moree Plains (A)	60-64	Employed (part-time)	122
Moree Plains (A)	65-69		9
Moree Plains (A)	65-69	Employed (away from work)	10
Moree Plains (A)	65-69	Employed (full-time)	148
Moree Plains (A)	65-69	Employed (part-time)	73
Moree Plains (A)	70-74		11
Moree Plains (A)	70-74	Employed (away from work)	11
Moree Plains (A)	70-74	Employed (full-time)	50
Moree Plains (A)	70-74	Employed (part-time)	42
Moree Plains (A)	75+	Employed (away from work)	13
Moree Plains (A)	75+	Employed (full-time)	39
Moree Plains (A)	75+	Employed (part-time)	27
Mosman (A)	15-19		9
Mosman (A)	15-19	Employed (away from work)	16
Mosman (A)	15-19	Employed (full-time)	47
Mosman (A)	15-19	Employed (part-time)	296
Mosman (A)	20-24		20
Mosman (A)	20-24	Employed (away from work)	17
Mosman (A)	20-24	Employed (full-time)	329
Mosman (A)	20-24	Employed (part-time)	559
Mosman (A)	25-29		15
Mosman (A)	25-29	Employed (away from work)	23
Mosman (A)	25-29	Employed (full-time)	662
Mosman (A)	25-29	Employed (part-time)	287
Mosman (A)	30-34		21
Mosman (A)	30-34	Employed (away from work)	30
Mosman (A)	30-34	Employed (full-time)	605
Mosman (A)	30-34	Employed (part-time)	294
Mosman (A)	35-39		11
Mosman (A)	35-39	Employed (away from work)	28
Mosman (A)	35-39	Employed (full-time)	506
Mosman (A)	35-39	Employed (part-time)	305
Mosman (A)	40-44		14
Mosman (A)	40-44	Employed (away from work)	13
Mosman (A)	40-44	Employed (full-time)	516
Mosman (A)	40-44	Employed (part-time)	307
Mosman (A)	45-49		8
Mosman (A)	45-49	Employed (away from work)	18
Mosman (A)	45-49	Employed (full-time)	529
Mosman (A)	45-49	Employed (part-time)	295
Mosman (A)	50-54		12
Mosman (A)	50-54	Employed (away from work)	18
Mosman (A)	50-54	Employed (full-time)	553
Mosman (A)	50-54	Employed (part-time)	313
Mosman (A)	55-59		11
Mosman (A)	55-59	Employed (away from work)	14
Mosman (A)	55-59	Employed (full-time)	426
Mosman (A)	55-59	Employed (part-time)	291
Mosman (A)	60-64		5
Mosman (A)	60-64	Employed (away from work)	15
Mosman (A)	60-64	Employed (full-time)	259
Mosman (A)	60-64	Employed (part-time)	293
Mosman (A)	65-69		5
Mosman (A)	65-69	Employed (away from work)	6
Mosman (A)	65-69	Employed (full-time)	149
Mosman (A)	65-69	Employed (part-time)	254
Mosman (A)	70-74		6
Mosman (A)	70-74	Employed (away from work)	7
Mosman (A)	70-74	Employed (full-time)	51
Mosman (A)	70-74	Employed (part-time)	136
Mosman (A)	75+		3
Mosman (A)	75+	Employed (away from work)	14
Mosman (A)	75+	Employed (full-time)	35
Mosman (A)	75+	Employed (part-time)	93
Murray River (A)	15-19		10
Murray River (A)	15-19	Employed (away from work)	17
Murray River (A)	15-19	Employed (full-time)	67
Murray River (A)	15-19	Employed (part-time)	160
Murray River (A)	20-24		14
Murray River (A)	20-24	Employed (away from work)	8
Murray River (A)	20-24	Employed (full-time)	185
Murray River (A)	20-24	Employed (part-time)	126
Murray River (A)	25-29		7
Murray River (A)	25-29	Employed (away from work)	17
Murray River (A)	25-29	Employed (full-time)	218
Murray River (A)	25-29	Employed (part-time)	79
Murray River (A)	30-34		6
Murray River (A)	30-34	Employed (away from work)	13
Murray River (A)	30-34	Employed (full-time)	223
Murray River (A)	30-34	Employed (part-time)	104
Murray River (A)	35-39		7
Murray River (A)	35-39	Employed (away from work)	9
Murray River (A)	35-39	Employed (full-time)	193
Murray River (A)	35-39	Employed (part-time)	100
Murray River (A)	40-44		13
Murray River (A)	40-44	Employed (away from work)	9
Murray River (A)	40-44	Employed (full-time)	274
Murray River (A)	40-44	Employed (part-time)	107
Murray River (A)	45-49		7
Murray River (A)	45-49	Employed (away from work)	17
Murray River (A)	45-49	Employed (full-time)	358
Murray River (A)	45-49	Employed (part-time)	141
Murray River (A)	50-54		12
Murray River (A)	50-54	Employed (away from work)	17
Murray River (A)	50-54	Employed (full-time)	331
Murray River (A)	50-54	Employed (part-time)	150
Murray River (A)	55-59		18
Murray River (A)	55-59	Employed (away from work)	33
Murray River (A)	55-59	Employed (full-time)	336
Murray River (A)	55-59	Employed (part-time)	170
Murray River (A)	60-64		6
Murray River (A)	60-64	Employed (away from work)	25
Murray River (A)	60-64	Employed (full-time)	223
Murray River (A)	60-64	Employed (part-time)	148
Murray River (A)	65-69		11
Murray River (A)	65-69	Employed (away from work)	12
Murray River (A)	65-69	Employed (full-time)	97
Murray River (A)	65-69	Employed (part-time)	66
Murray River (A)	70-74		8
Murray River (A)	70-74	Employed (away from work)	5
Murray River (A)	70-74	Employed (full-time)	50
Murray River (A)	70-74	Employed (part-time)	50
Murray River (A)	75+	Employed (away from work)	11
Murray River (A)	75+	Employed (full-time)	41
Murray River (A)	75+	Employed (part-time)	35
Murrumbidgee (A)	15-19		3
Murrumbidgee (A)	15-19	Employed (away from work)	4
Murrumbidgee (A)	15-19	Employed (full-time)	38
Murrumbidgee (A)	15-19	Employed (part-time)	28
Murrumbidgee (A)	20-24		7
Murrumbidgee (A)	20-24	Employed (away from work)	4
Murrumbidgee (A)	20-24	Employed (full-time)	66
Murrumbidgee (A)	20-24	Employed (part-time)	27
Murrumbidgee (A)	25-29		3
Murrumbidgee (A)	25-29	Employed (away from work)	6
Murrumbidgee (A)	25-29	Employed (full-time)	127
Murrumbidgee (A)	25-29	Employed (part-time)	36
Murrumbidgee (A)	30-34	Employed (away from work)	9
Murrumbidgee (A)	30-34	Employed (full-time)	69
Murrumbidgee (A)	30-34	Employed (part-time)	39
Murrumbidgee (A)	35-39		3
Murrumbidgee (A)	35-39	Employed (away from work)	8
Murrumbidgee (A)	35-39	Employed (full-time)	89
Murrumbidgee (A)	35-39	Employed (part-time)	33
Murrumbidgee (A)	40-44		4
Murrumbidgee (A)	40-44	Employed (away from work)	3
Murrumbidgee (A)	40-44	Employed (full-time)	115
Murrumbidgee (A)	40-44	Employed (part-time)	46
Murrumbidgee (A)	45-49		9
Murrumbidgee (A)	45-49	Employed (away from work)	3
Murrumbidgee (A)	45-49	Employed (full-time)	116
Murrumbidgee (A)	45-49	Employed (part-time)	41
Murrumbidgee (A)	50-54		5
Murrumbidgee (A)	50-54	Employed (away from work)	12
Murrumbidgee (A)	50-54	Employed (full-time)	132
Murrumbidgee (A)	50-54	Employed (part-time)	51
Murrumbidgee (A)	55-59		4
Murrumbidgee (A)	55-59	Employed (away from work)	5
Murrumbidgee (A)	55-59	Employed (full-time)	153
Murrumbidgee (A)	55-59	Employed (part-time)	42
Murrumbidgee (A)	60-64		3
Murrumbidgee (A)	60-64	Employed (away from work)	12
Murrumbidgee (A)	60-64	Employed (full-time)	82
Murrumbidgee (A)	60-64	Employed (part-time)	35
Murrumbidgee (A)	65-69		3
Murrumbidgee (A)	65-69	Employed (away from work)	4
Murrumbidgee (A)	65-69	Employed (full-time)	37
Murrumbidgee (A)	65-69	Employed (part-time)	26
Murrumbidgee (A)	70-74	Employed (away from work)	3
Murrumbidgee (A)	70-74	Employed (full-time)	10
Murrumbidgee (A)	70-74	Employed (part-time)	12
Murrumbidgee (A)	75+	Employed (away from work)	3
Murrumbidgee (A)	75+	Employed (full-time)	14
Murrumbidgee (A)	75+	Employed (part-time)	11
Muswellbrook (A)	15-19		14
Muswellbrook (A)	15-19	Employed (away from work)	31
Muswellbrook (A)	15-19	Employed (full-time)	136
Muswellbrook (A)	15-19	Employed (part-time)	258
Muswellbrook (A)	20-24		27
Muswellbrook (A)	20-24	Employed (away from work)	32
Muswellbrook (A)	20-24	Employed (full-time)	520
Muswellbrook (A)	20-24	Employed (part-time)	207
Muswellbrook (A)	25-29		15
Muswellbrook (A)	25-29	Employed (away from work)	47
Muswellbrook (A)	25-29	Employed (full-time)	768
Muswellbrook (A)	25-29	Employed (part-time)	214
Muswellbrook (A)	30-34		17
Muswellbrook (A)	30-34	Employed (away from work)	55
Muswellbrook (A)	30-34	Employed (full-time)	803
Muswellbrook (A)	30-34	Employed (part-time)	249
Muswellbrook (A)	35-39		24
Muswellbrook (A)	35-39	Employed (away from work)	34
Muswellbrook (A)	35-39	Employed (full-time)	785
Muswellbrook (A)	35-39	Employed (part-time)	238
Muswellbrook (A)	40-44		21
Muswellbrook (A)	40-44	Employed (away from work)	35
Muswellbrook (A)	40-44	Employed (full-time)	828
Muswellbrook (A)	40-44	Employed (part-time)	236
Muswellbrook (A)	45-49		24
Muswellbrook (A)	45-49	Employed (away from work)	48
Muswellbrook (A)	45-49	Employed (full-time)	826
Muswellbrook (A)	45-49	Employed (part-time)	222
Muswellbrook (A)	50-54		17
Muswellbrook (A)	50-54	Employed (away from work)	41
Muswellbrook (A)	50-54	Employed (full-time)	805
Muswellbrook (A)	50-54	Employed (part-time)	234
Muswellbrook (A)	55-59		15
Muswellbrook (A)	55-59	Employed (away from work)	45
Muswellbrook (A)	55-59	Employed (full-time)	621
Muswellbrook (A)	55-59	Employed (part-time)	196
Muswellbrook (A)	60-64		9
Muswellbrook (A)	60-64	Employed (away from work)	25
Muswellbrook (A)	60-64	Employed (full-time)	327
Muswellbrook (A)	60-64	Employed (part-time)	130
Muswellbrook (A)	65-69		12
Muswellbrook (A)	65-69	Employed (away from work)	10
Muswellbrook (A)	65-69	Employed (full-time)	92
Muswellbrook (A)	65-69	Employed (part-time)	73
Muswellbrook (A)	70-74		3
Muswellbrook (A)	70-74	Employed (away from work)	3
Muswellbrook (A)	70-74	Employed (full-time)	33
Muswellbrook (A)	70-74	Employed (part-time)	36
Muswellbrook (A)	75+		3
Muswellbrook (A)	75+	Employed (away from work)	3
Muswellbrook (A)	75+	Employed (full-time)	17
Muswellbrook (A)	75+	Employed (part-time)	23
Nambucca (A)	15-19		14
Nambucca (A)	15-19	Employed (away from work)	17
Nambucca (A)	15-19	Employed (full-time)	62
Nambucca (A)	15-19	Employed (part-time)	231
Nambucca (A)	20-24		17
Nambucca (A)	20-24	Employed (away from work)	16
Nambucca (A)	20-24	Employed (full-time)	211
Nambucca (A)	20-24	Employed (part-time)	164
Nambucca (A)	25-29		9
Nambucca (A)	25-29	Employed (away from work)	14
Nambucca (A)	25-29	Employed (full-time)	229
Nambucca (A)	25-29	Employed (part-time)	143
Nambucca (A)	30-34		9
Nambucca (A)	30-34	Employed (away from work)	15
Nambucca (A)	30-34	Employed (full-time)	223
Nambucca (A)	30-34	Employed (part-time)	168
Nambucca (A)	35-39		11
Nambucca (A)	35-39	Employed (away from work)	19
Nambucca (A)	35-39	Employed (full-time)	272
Nambucca (A)	35-39	Employed (part-time)	178
Nambucca (A)	40-44		15
Nambucca (A)	40-44	Employed (away from work)	13
Nambucca (A)	40-44	Employed (full-time)	338
Nambucca (A)	40-44	Employed (part-time)	201
Nambucca (A)	45-49		5
Nambucca (A)	45-49	Employed (away from work)	14
Nambucca (A)	45-49	Employed (full-time)	341
Nambucca (A)	45-49	Employed (part-time)	237
Nambucca (A)	50-54		12
Nambucca (A)	50-54	Employed (away from work)	23
Nambucca (A)	50-54	Employed (full-time)	368
Nambucca (A)	50-54	Employed (part-time)	280
Nambucca (A)	55-59		11
Nambucca (A)	55-59	Employed (away from work)	24
Nambucca (A)	55-59	Employed (full-time)	382
Nambucca (A)	55-59	Employed (part-time)	325
Nambucca (A)	60-64		5
Nambucca (A)	60-64	Employed (away from work)	28
Nambucca (A)	60-64	Employed (full-time)	233
Nambucca (A)	60-64	Employed (part-time)	253
Nambucca (A)	65-69		8
Nambucca (A)	65-69	Employed (away from work)	18
Nambucca (A)	65-69	Employed (full-time)	111
Nambucca (A)	65-69	Employed (part-time)	100
Nambucca (A)	70-74		8
Nambucca (A)	70-74	Employed (away from work)	7
Nambucca (A)	70-74	Employed (full-time)	30
Nambucca (A)	70-74	Employed (part-time)	46
Nambucca (A)	75+		3
Nambucca (A)	75+	Employed (away from work)	7
Nambucca (A)	75+	Employed (full-time)	36
Nambucca (A)	75+	Employed (part-time)	21
Narrabri (A)	15-19		14
Narrabri (A)	15-19	Employed (away from work)	10
Narrabri (A)	15-19	Employed (full-time)	97
Narrabri (A)	15-19	Employed (part-time)	199
Narrabri (A)	20-24		18
Narrabri (A)	20-24	Employed (away from work)	9
Narrabri (A)	20-24	Employed (full-time)	301
Narrabri (A)	20-24	Employed (part-time)	107
Narrabri (A)	25-29		9
Narrabri (A)	25-29	Employed (away from work)	39
Narrabri (A)	25-29	Employed (full-time)	482
Narrabri (A)	25-29	Employed (part-time)	121
Narrabri (A)	30-34		18
Narrabri (A)	30-34	Employed (away from work)	29
Narrabri (A)	30-34	Employed (full-time)	473
Narrabri (A)	30-34	Employed (part-time)	147
Narrabri (A)	35-39		10
Narrabri (A)	35-39	Employed (away from work)	27
Narrabri (A)	35-39	Employed (full-time)	469
Narrabri (A)	35-39	Employed (part-time)	141
Narrabri (A)	40-44		8
Narrabri (A)	40-44	Employed (away from work)	20
Narrabri (A)	40-44	Employed (full-time)	488
Narrabri (A)	40-44	Employed (part-time)	149
Narrabri (A)	45-49		12
Narrabri (A)	45-49	Employed (away from work)	17
Narrabri (A)	45-49	Employed (full-time)	473
Narrabri (A)	45-49	Employed (part-time)	136
Narrabri (A)	50-54		14
Narrabri (A)	50-54	Employed (away from work)	20
Narrabri (A)	50-54	Employed (full-time)	522
Narrabri (A)	50-54	Employed (part-time)	179
Narrabri (A)	55-59		14
Narrabri (A)	55-59	Employed (away from work)	27
Narrabri (A)	55-59	Employed (full-time)	451
Narrabri (A)	55-59	Employed (part-time)	163
Narrabri (A)	60-64		5
Narrabri (A)	60-64	Employed (away from work)	27
Narrabri (A)	60-64	Employed (full-time)	288
Narrabri (A)	60-64	Employed (part-time)	141
Narrabri (A)	65-69		3
Narrabri (A)	65-69	Employed (away from work)	18
Narrabri (A)	65-69	Employed (full-time)	129
Narrabri (A)	65-69	Employed (part-time)	83
Narrabri (A)	70-74		7
Narrabri (A)	70-74	Employed (away from work)	3
Narrabri (A)	70-74	Employed (full-time)	45
Narrabri (A)	70-74	Employed (part-time)	44
Narrabri (A)	75+		12
Narrabri (A)	75+	Employed (away from work)	9
Narrabri (A)	75+	Employed (full-time)	29
Narrabri (A)	75+	Employed (part-time)	22
Narrandera (A)	15-19		3
Narrandera (A)	15-19	Employed (away from work)	7
Narrandera (A)	15-19	Employed (full-time)	30
Narrandera (A)	15-19	Employed (part-time)	54
Narrandera (A)	20-24		3
Narrandera (A)	20-24	Employed (away from work)	5
Narrandera (A)	20-24	Employed (full-time)	93
Narrandera (A)	20-24	Employed (part-time)	52
Narrandera (A)	25-29		5
Narrandera (A)	25-29	Employed (away from work)	11
Narrandera (A)	25-29	Employed (full-time)	91
