LGA_NAME16	Age	EmploymentStatus	workers
Queanbeyan-Palerang Regional (A)	25-29	Owner managers of unincorporated enterprises	65
Queanbeyan-Palerang Regional (A)	25-29	Status in employment not stated	3
Queanbeyan-Palerang Regional (A)	30-34	Contributing family workers	16
Queanbeyan-Palerang Regional (A)	30-34	Employee	1271
Queanbeyan-Palerang Regional (A)	30-34	Owner managers of incorporated enterprises	112
Queanbeyan-Palerang Regional (A)	30-34	Owner managers of unincorporated enterprises	103
Queanbeyan-Palerang Regional (A)	30-34	Status in employment not stated	11
Queanbeyan-Palerang Regional (A)	35-39	Contributing family workers	20
Queanbeyan-Palerang Regional (A)	35-39	Employee	1103
Queanbeyan-Palerang Regional (A)	35-39	Owner managers of incorporated enterprises	132
Queanbeyan-Palerang Regional (A)	35-39	Owner managers of unincorporated enterprises	100
Queanbeyan-Palerang Regional (A)	35-39	Status in employment not stated	15
Queanbeyan-Palerang Regional (A)	40-44	Contributing family workers	25
Queanbeyan-Palerang Regional (A)	40-44	Employee	1240
Queanbeyan-Palerang Regional (A)	40-44	Owner managers of incorporated enterprises	199
Queanbeyan-Palerang Regional (A)	40-44	Owner managers of unincorporated enterprises	113
Queanbeyan-Palerang Regional (A)	40-44	Status in employment not stated	8
Queanbeyan-Palerang Regional (A)	45-49	Contributing family workers	38
Queanbeyan-Palerang Regional (A)	45-49	Employee	1204
Queanbeyan-Palerang Regional (A)	45-49	Owner managers of incorporated enterprises	216
Queanbeyan-Palerang Regional (A)	45-49	Owner managers of unincorporated enterprises	192
Queanbeyan-Palerang Regional (A)	45-49	Status in employment not stated	25
Queanbeyan-Palerang Regional (A)	50-54	Contributing family workers	25
Queanbeyan-Palerang Regional (A)	50-54	Employee	1094
Queanbeyan-Palerang Regional (A)	50-54	Owner managers of incorporated enterprises	196
Queanbeyan-Palerang Regional (A)	50-54	Owner managers of unincorporated enterprises	171
Queanbeyan-Palerang Regional (A)	50-54	Status in employment not stated	24
Queanbeyan-Palerang Regional (A)	55-59	Contributing family workers	54
Queanbeyan-Palerang Regional (A)	55-59	Employee	943
Queanbeyan-Palerang Regional (A)	55-59	Owner managers of incorporated enterprises	170
Queanbeyan-Palerang Regional (A)	55-59	Owner managers of unincorporated enterprises	152
Queanbeyan-Palerang Regional (A)	55-59	Status in employment not stated	10
Queanbeyan-Palerang Regional (A)	60-64	Contributing family workers	47
Queanbeyan-Palerang Regional (A)	60-64	Employee	623
Queanbeyan-Palerang Regional (A)	60-64	Owner managers of incorporated enterprises	120
Queanbeyan-Palerang Regional (A)	60-64	Owner managers of unincorporated enterprises	147
Queanbeyan-Palerang Regional (A)	60-64	Status in employment not stated	15
Queanbeyan-Palerang Regional (A)	65-69	Contributing family workers	51
Queanbeyan-Palerang Regional (A)	65-69	Employee	248
Queanbeyan-Palerang Regional (A)	65-69	Owner managers of incorporated enterprises	73
Queanbeyan-Palerang Regional (A)	65-69	Owner managers of unincorporated enterprises	100
Queanbeyan-Palerang Regional (A)	65-69	Status in employment not stated	15
Queanbeyan-Palerang Regional (A)	70-74	Contributing family workers	35
Queanbeyan-Palerang Regional (A)	70-74	Employee	74
Queanbeyan-Palerang Regional (A)	70-74	Owner managers of incorporated enterprises	31
Queanbeyan-Palerang Regional (A)	70-74	Owner managers of unincorporated enterprises	55
Queanbeyan-Palerang Regional (A)	70-74	Status in employment not stated	3
Queanbeyan-Palerang Regional (A)	75+	Contributing family workers	39
Queanbeyan-Palerang Regional (A)	75+	Employee	25
Queanbeyan-Palerang Regional (A)	75+	Owner managers of incorporated enterprises	14
Queanbeyan-Palerang Regional (A)	75+	Owner managers of unincorporated enterprises	42
Queanbeyan-Palerang Regional (A)	75+	Status in employment not stated	3
Randwick (C)	15-19	Contributing family workers	10
Randwick (C)	15-19	Employee	1252
Randwick (C)	15-19	Owner managers of incorporated enterprises	5
Randwick (C)	15-19	Owner managers of unincorporated enterprises	17
Randwick (C)	15-19	Status in employment not stated	21
Randwick (C)	20-24	Contributing family workers	27
Randwick (C)	20-24	Employee	3980
Randwick (C)	20-24	Owner managers of incorporated enterprises	30
Randwick (C)	20-24	Owner managers of unincorporated enterprises	105
Randwick (C)	20-24	Status in employment not stated	34
Randwick (C)	25-29	Contributing family workers	32
Randwick (C)	25-29	Employee	5378
Randwick (C)	25-29	Owner managers of incorporated enterprises	159
Randwick (C)	25-29	Owner managers of unincorporated enterprises	198
Randwick (C)	25-29	Status in employment not stated	38
Randwick (C)	30-34	Contributing family workers	33
Randwick (C)	30-34	Employee	5238
Randwick (C)	30-34	Owner managers of incorporated enterprises	273
Randwick (C)	30-34	Owner managers of unincorporated enterprises	341
Randwick (C)	30-34	Status in employment not stated	23
Randwick (C)	35-39	Contributing family workers	48
Randwick (C)	35-39	Employee	4492
Randwick (C)	35-39	Owner managers of incorporated enterprises	417
Randwick (C)	35-39	Owner managers of unincorporated enterprises	417
Randwick (C)	35-39	Status in employment not stated	25
Randwick (C)	40-44	Contributing family workers	42
Randwick (C)	40-44	Employee	4062
Randwick (C)	40-44	Owner managers of incorporated enterprises	465
Randwick (C)	40-44	Owner managers of unincorporated enterprises	436
Randwick (C)	40-44	Status in employment not stated	41
Randwick (C)	45-49	Contributing family workers	56
Randwick (C)	45-49	Employee	3804
Randwick (C)	45-49	Owner managers of incorporated enterprises	464
Randwick (C)	45-49	Owner managers of unincorporated enterprises	460
Randwick (C)	45-49	Status in employment not stated	36
Randwick (C)	50-54	Contributing family workers	49
Randwick (C)	50-54	Employee	3550
Randwick (C)	50-54	Owner managers of incorporated enterprises	468
Randwick (C)	50-54	Owner managers of unincorporated enterprises	445
Randwick (C)	50-54	Status in employment not stated	48
Randwick (C)	55-59	Contributing family workers	47
Randwick (C)	55-59	Employee	3168
Randwick (C)	55-59	Owner managers of incorporated enterprises	346
Randwick (C)	55-59	Owner managers of unincorporated enterprises	365
Randwick (C)	55-59	Status in employment not stated	42
Randwick (C)	60-64	Contributing family workers	42
Randwick (C)	60-64	Employee	2166
Randwick (C)	60-64	Owner managers of incorporated enterprises	247
Randwick (C)	60-64	Owner managers of unincorporated enterprises	306
Randwick (C)	60-64	Status in employment not stated	21
Randwick (C)	65-69	Contributing family workers	30
Randwick (C)	65-69	Employee	1041
Randwick (C)	65-69	Owner managers of incorporated enterprises	135
Randwick (C)	65-69	Owner managers of unincorporated enterprises	182
Randwick (C)	65-69	Status in employment not stated	23
Randwick (C)	70-74	Contributing family workers	16
Randwick (C)	70-74	Employee	385
Randwick (C)	70-74	Owner managers of incorporated enterprises	71
Randwick (C)	70-74	Owner managers of unincorporated enterprises	79
Randwick (C)	70-74	Status in employment not stated	14
Randwick (C)	75+	Contributing family workers	16
Randwick (C)	75+	Employee	132
Randwick (C)	75+	Owner managers of incorporated enterprises	38
Randwick (C)	75+	Owner managers of unincorporated enterprises	55
Randwick (C)	75+	Status in employment not stated	9
Richmond Valley (A)	15-19	Contributing family workers	4
Richmond Valley (A)	15-19	Employee	466
Richmond Valley (A)	15-19	Status in employment not stated	9
Richmond Valley (A)	20-24	Contributing family workers	3
Richmond Valley (A)	20-24	Employee	509
Richmond Valley (A)	20-24	Owner managers of incorporated enterprises	3
Richmond Valley (A)	20-24	Owner managers of unincorporated enterprises	10
Richmond Valley (A)	20-24	Status in employment not stated	6
Richmond Valley (A)	25-29	Contributing family workers	8
Richmond Valley (A)	25-29	Employee	464
Richmond Valley (A)	25-29	Owner managers of incorporated enterprises	8
Richmond Valley (A)	25-29	Owner managers of unincorporated enterprises	35
Richmond Valley (A)	25-29	Status in employment not stated	7
Richmond Valley (A)	30-34	Contributing family workers	7
Richmond Valley (A)	30-34	Employee	454
Richmond Valley (A)	30-34	Owner managers of incorporated enterprises	17
Richmond Valley (A)	30-34	Owner managers of unincorporated enterprises	36
Richmond Valley (A)	30-34	Status in employment not stated	10
Richmond Valley (A)	35-39	Contributing family workers	3
Richmond Valley (A)	35-39	Employee	499
Richmond Valley (A)	35-39	Owner managers of incorporated enterprises	36
Richmond Valley (A)	35-39	Owner managers of unincorporated enterprises	46
Richmond Valley (A)	35-39	Status in employment not stated	11
Richmond Valley (A)	40-44	Contributing family workers	19
Richmond Valley (A)	40-44	Employee	587
Richmond Valley (A)	40-44	Owner managers of incorporated enterprises	31
Richmond Valley (A)	40-44	Owner managers of unincorporated enterprises	65
Richmond Valley (A)	40-44	Status in employment not stated	9
Richmond Valley (A)	45-49	Contributing family workers	12
Richmond Valley (A)	45-49	Employee	653
Richmond Valley (A)	45-49	Owner managers of incorporated enterprises	27
Richmond Valley (A)	45-49	Owner managers of unincorporated enterprises	78
Richmond Valley (A)	45-49	Status in employment not stated	11
Richmond Valley (A)	50-54	Contributing family workers	22
Richmond Valley (A)	50-54	Employee	649
Richmond Valley (A)	50-54	Owner managers of incorporated enterprises	30
Richmond Valley (A)	50-54	Owner managers of unincorporated enterprises	113
Richmond Valley (A)	50-54	Status in employment not stated	18
Richmond Valley (A)	55-59	Contributing family workers	23
Richmond Valley (A)	55-59	Employee	636
Richmond Valley (A)	55-59	Owner managers of incorporated enterprises	45
Richmond Valley (A)	55-59	Owner managers of unincorporated enterprises	106
Richmond Valley (A)	55-59	Status in employment not stated	14
Richmond Valley (A)	60-64	Contributing family workers	28
Richmond Valley (A)	60-64	Employee	502
Richmond Valley (A)	60-64	Owner managers of incorporated enterprises	39
Richmond Valley (A)	60-64	Owner managers of unincorporated enterprises	94
Richmond Valley (A)	60-64	Status in employment not stated	12
Richmond Valley (A)	65-69	Contributing family workers	38
Richmond Valley (A)	65-69	Employee	156
Richmond Valley (A)	65-69	Owner managers of incorporated enterprises	22
Richmond Valley (A)	65-69	Owner managers of unincorporated enterprises	50
Richmond Valley (A)	65-69	Status in employment not stated	8
Richmond Valley (A)	70-74	Contributing family workers	22
Richmond Valley (A)	70-74	Employee	31
Richmond Valley (A)	70-74	Owner managers of incorporated enterprises	8
Richmond Valley (A)	70-74	Owner managers of unincorporated enterprises	35
Richmond Valley (A)	70-74	Status in employment not stated	9
Richmond Valley (A)	75+	Contributing family workers	27
Richmond Valley (A)	75+	Employee	12
Richmond Valley (A)	75+	Owner managers of incorporated enterprises	3
Richmond Valley (A)	75+	Owner managers of unincorporated enterprises	32
Richmond Valley (A)	75+	Status in employment not stated	6
Rockdale (C)	15-19	Contributing family workers	9
Rockdale (C)	15-19	Employee	1058
Rockdale (C)	15-19	Owner managers of incorporated enterprises	4
Rockdale (C)	15-19	Owner managers of unincorporated enterprises	9
Rockdale (C)	15-19	Status in employment not stated	12
Rockdale (C)	20-24	Contributing family workers	13
Rockdale (C)	20-24	Employee	2407
Rockdale (C)	20-24	Owner managers of incorporated enterprises	27
Rockdale (C)	20-24	Owner managers of unincorporated enterprises	57
Rockdale (C)	20-24	Status in employment not stated	30
Rockdale (C)	25-29	Contributing family workers	25
Rockdale (C)	25-29	Employee	2721
Rockdale (C)	25-29	Owner managers of incorporated enterprises	124
Rockdale (C)	25-29	Owner managers of unincorporated enterprises	161
Rockdale (C)	25-29	Status in employment not stated	19
Rockdale (C)	30-34	Contributing family workers	31
Rockdale (C)	30-34	Employee	2681
Rockdale (C)	30-34	Owner managers of incorporated enterprises	232
Rockdale (C)	30-34	Owner managers of unincorporated enterprises	217
Rockdale (C)	30-34	Status in employment not stated	29
Rockdale (C)	35-39	Contributing family workers	35
Rockdale (C)	35-39	Employee	2270
Rockdale (C)	35-39	Owner managers of incorporated enterprises	254
Rockdale (C)	35-39	Owner managers of unincorporated enterprises	245
Rockdale (C)	35-39	Status in employment not stated	30
Rockdale (C)	40-44	Contributing family workers	48
Rockdale (C)	40-44	Employee	2348
Rockdale (C)	40-44	Owner managers of incorporated enterprises	294
Rockdale (C)	40-44	Owner managers of unincorporated enterprises	270
Rockdale (C)	40-44	Status in employment not stated	30
Rockdale (C)	45-49	Contributing family workers	34
Rockdale (C)	45-49	Employee	2314
Rockdale (C)	45-49	Owner managers of incorporated enterprises	324
Rockdale (C)	45-49	Owner managers of unincorporated enterprises	264
Rockdale (C)	45-49	Status in employment not stated	36
Rockdale (C)	50-54	Contributing family workers	40
Rockdale (C)	50-54	Employee	2158
Rockdale (C)	50-54	Owner managers of incorporated enterprises	277
Rockdale (C)	50-54	Owner managers of unincorporated enterprises	269
Rockdale (C)	50-54	Status in employment not stated	36
Rockdale (C)	55-59	Contributing family workers	38
Rockdale (C)	55-59	Employee	1832
Rockdale (C)	55-59	Owner managers of incorporated enterprises	218
Rockdale (C)	55-59	Owner managers of unincorporated enterprises	238
Rockdale (C)	55-59	Status in employment not stated	24
Rockdale (C)	60-64	Contributing family workers	16
Rockdale (C)	60-64	Employee	1220
Rockdale (C)	60-64	Owner managers of incorporated enterprises	156
Rockdale (C)	60-64	Owner managers of unincorporated enterprises	183
Rockdale (C)	60-64	Status in employment not stated	24
Rockdale (C)	65-69	Contributing family workers	35
Rockdale (C)	65-69	Employee	523
Rockdale (C)	65-69	Owner managers of incorporated enterprises	90
Rockdale (C)	65-69	Owner managers of unincorporated enterprises	122
Rockdale (C)	65-69	Status in employment not stated	14
Rockdale (C)	70-74	Contributing family workers	19
Rockdale (C)	70-74	Employee	136
Rockdale (C)	70-74	Owner managers of incorporated enterprises	37
Rockdale (C)	70-74	Owner managers of unincorporated enterprises	38
Rockdale (C)	70-74	Status in employment not stated	14
Rockdale (C)	75+	Contributing family workers	13
Rockdale (C)	75+	Employee	40
Rockdale (C)	75+	Owner managers of incorporated enterprises	29
Rockdale (C)	75+	Owner managers of unincorporated enterprises	30
Rockdale (C)	75+	Status in employment not stated	7
Ryde (C)	15-19	Contributing family workers	10
Ryde (C)	15-19	Employee	2659
Ryde (C)	15-19	Owner managers of incorporated enterprises	4
Ryde (C)	15-19	Owner managers of unincorporated enterprises	25
Ryde (C)	15-19	Status in employment not stated	25
Ryde (C)	20-24	Contributing family workers	18
Ryde (C)	20-24	Employee	6970
Ryde (C)	20-24	Owner managers of incorporated enterprises	31
Ryde (C)	20-24	Owner managers of unincorporated enterprises	87
Ryde (C)	20-24	Status in employment not stated	48
Ryde (C)	25-29	Contributing family workers	38
Ryde (C)	25-29	Employee	8846
Ryde (C)	25-29	Owner managers of incorporated enterprises	186
Ryde (C)	25-29	Owner managers of unincorporated enterprises	198
Ryde (C)	25-29	Status in employment not stated	46
Ryde (C)	30-34	Contributing family workers	56
Ryde (C)	30-34	Employee	10872
Ryde (C)	30-34	Owner managers of incorporated enterprises	331
Ryde (C)	30-34	Owner managers of unincorporated enterprises	291
Ryde (C)	30-34	Status in employment not stated	56
Ryde (C)	35-39	Contributing family workers	67
Ryde (C)	35-39	Employee	10547
Ryde (C)	35-39	Owner managers of incorporated enterprises	428
Ryde (C)	35-39	Owner managers of unincorporated enterprises	295
Ryde (C)	35-39	Status in employment not stated	43
Ryde (C)	40-44	Contributing family workers	72
Ryde (C)	40-44	Employee	9944
Ryde (C)	40-44	Owner managers of incorporated enterprises	547
Ryde (C)	40-44	Owner managers of unincorporated enterprises	405
Ryde (C)	40-44	Status in employment not stated	42
Ryde (C)	45-49	Contributing family workers	68
Ryde (C)	45-49	Employee	8485
Ryde (C)	45-49	Owner managers of incorporated enterprises	600
Ryde (C)	45-49	Owner managers of unincorporated enterprises	400
Ryde (C)	45-49	Status in employment not stated	46
Ryde (C)	50-54	Contributing family workers	64
Ryde (C)	50-54	Employee	7355
Ryde (C)	50-54	Owner managers of incorporated enterprises	605
Ryde (C)	50-54	Owner managers of unincorporated enterprises	420
Ryde (C)	50-54	Status in employment not stated	39
Ryde (C)	55-59	Contributing family workers	52
Ryde (C)	55-59	Employee	5672
Ryde (C)	55-59	Owner managers of incorporated enterprises	447
Ryde (C)	55-59	Owner managers of unincorporated enterprises	358
Ryde (C)	55-59	Status in employment not stated	53
Ryde (C)	60-64	Contributing family workers	52
Ryde (C)	60-64	Employee	3394
Ryde (C)	60-64	Owner managers of incorporated enterprises	294
Ryde (C)	60-64	Owner managers of unincorporated enterprises	253
Ryde (C)	60-64	Status in employment not stated	35
Ryde (C)	65-69	Contributing family workers	21
Ryde (C)	65-69	Employee	1332
Ryde (C)	65-69	Owner managers of incorporated enterprises	171
Ryde (C)	65-69	Owner managers of unincorporated enterprises	165
Ryde (C)	65-69	Status in employment not stated	28
Ryde (C)	70-74	Contributing family workers	23
Ryde (C)	70-74	Employee	390
Ryde (C)	70-74	Owner managers of incorporated enterprises	58
Ryde (C)	70-74	Owner managers of unincorporated enterprises	57
Ryde (C)	70-74	Status in employment not stated	10
Ryde (C)	75+	Contributing family workers	13
Ryde (C)	75+	Employee	150
Ryde (C)	75+	Owner managers of incorporated enterprises	35
Ryde (C)	75+	Owner managers of unincorporated enterprises	52
Ryde (C)	75+	Status in employment not stated	20
Shellharbour (C)	15-19	Contributing family workers	11
Shellharbour (C)	15-19	Employee	1521
Shellharbour (C)	15-19	Owner managers of incorporated enterprises	6
Shellharbour (C)	15-19	Owner managers of unincorporated enterprises	8
Shellharbour (C)	15-19	Status in employment not stated	23
Shellharbour (C)	20-24	Contributing family workers	9
Shellharbour (C)	20-24	Employee	1914
Shellharbour (C)	20-24	Owner managers of incorporated enterprises	13
Shellharbour (C)	20-24	Owner managers of unincorporated enterprises	52
Shellharbour (C)	20-24	Status in employment not stated	30
Shellharbour (C)	25-29	Contributing family workers	11
Shellharbour (C)	25-29	Employee	1465
Shellharbour (C)	25-29	Owner managers of incorporated enterprises	58
Shellharbour (C)	25-29	Owner managers of unincorporated enterprises	95
Shellharbour (C)	25-29	Status in employment not stated	17
Shellharbour (C)	30-34	Contributing family workers	22
Shellharbour (C)	30-34	Employee	1424
Shellharbour (C)	30-34	Owner managers of incorporated enterprises	118
Shellharbour (C)	30-34	Owner managers of unincorporated enterprises	163
Shellharbour (C)	30-34	Status in employment not stated	19
Shellharbour (C)	35-39	Contributing family workers	20
Shellharbour (C)	35-39	Employee	1402
Shellharbour (C)	35-39	Owner managers of incorporated enterprises	133
Shellharbour (C)	35-39	Owner managers of unincorporated enterprises	205
Shellharbour (C)	35-39	Status in employment not stated	13
Shellharbour (C)	40-44	Contributing family workers	31
Shellharbour (C)	40-44	Employee	1565
Shellharbour (C)	40-44	Owner managers of incorporated enterprises	140
Shellharbour (C)	40-44	Owner managers of unincorporated enterprises	184
Shellharbour (C)	40-44	Status in employment not stated	17
Shellharbour (C)	45-49	Contributing family workers	18
Shellharbour (C)	45-49	Employee	1574
Shellharbour (C)	45-49	Owner managers of incorporated enterprises	189
Shellharbour (C)	45-49	Owner managers of unincorporated enterprises	167
Shellharbour (C)	45-49	Status in employment not stated	14
Shellharbour (C)	50-54	Contributing family workers	29
Shellharbour (C)	50-54	Employee	1434
Shellharbour (C)	50-54	Owner managers of incorporated enterprises	153
Shellharbour (C)	50-54	Owner managers of unincorporated enterprises	194
Shellharbour (C)	50-54	Status in employment not stated	18
Shellharbour (C)	55-59	Contributing family workers	28
Shellharbour (C)	55-59	Employee	1294
Shellharbour (C)	55-59	Owner managers of incorporated enterprises	123
Shellharbour (C)	55-59	Owner managers of unincorporated enterprises	135
Shellharbour (C)	55-59	Status in employment not stated	9
Shellharbour (C)	60-64	Contributing family workers	28
Shellharbour (C)	60-64	Employee	706
Shellharbour (C)	60-64	Owner managers of incorporated enterprises	94
Shellharbour (C)	60-64	Owner managers of unincorporated enterprises	119
Shellharbour (C)	60-64	Status in employment not stated	8
Shellharbour (C)	65-69	Contributing family workers	16
Shellharbour (C)	65-69	Employee	194
Shellharbour (C)	65-69	Owner managers of incorporated enterprises	54
Shellharbour (C)	65-69	Owner managers of unincorporated enterprises	40
Shellharbour (C)	65-69	Status in employment not stated	7
Shellharbour (C)	70-74	Contributing family workers	12
Shellharbour (C)	70-74	Employee	60
Shellharbour (C)	70-74	Owner managers of incorporated enterprises	20
Shellharbour (C)	70-74	Owner managers of unincorporated enterprises	12
Shellharbour (C)	70-74	Status in employment not stated	10
Shellharbour (C)	75+	Contributing family workers	7
Shellharbour (C)	75+	Employee	20
Shellharbour (C)	75+	Owner managers of incorporated enterprises	14
Shellharbour (C)	75+	Owner managers of unincorporated enterprises	3
Shellharbour (C)	75+	Status in employment not stated	10
Shoalhaven (C)	15-19	Contributing family workers	13
Shoalhaven (C)	15-19	Employee	2147
Shoalhaven (C)	15-19	Owner managers of unincorporated enterprises	14
Shoalhaven (C)	15-19	Status in employment not stated	41
Shoalhaven (C)	20-24	Contributing family workers	16
Shoalhaven (C)	20-24	Employee	2771
Shoalhaven (C)	20-24	Owner managers of incorporated enterprises	25
Shoalhaven (C)	20-24	Owner managers of unincorporated enterprises	56
Shoalhaven (C)	20-24	Status in employment not stated	29
Shoalhaven (C)	25-29	Contributing family workers	25
Shoalhaven (C)	25-29	Employee	2665
Shoalhaven (C)	25-29	Owner managers of incorporated enterprises	75
Shoalhaven (C)	25-29	Owner managers of unincorporated enterprises	198
Shoalhaven (C)	25-29	Status in employment not stated	42
Shoalhaven (C)	30-34	Contributing family workers	30
Shoalhaven (C)	30-34	Employee	2573
Shoalhaven (C)	30-34	Owner managers of incorporated enterprises	144
Shoalhaven (C)	30-34	Owner managers of unincorporated enterprises	241
Shoalhaven (C)	30-34	Status in employment not stated	44
Shoalhaven (C)	35-39	Contributing family workers	43
Shoalhaven (C)	35-39	Employee	2406
Shoalhaven (C)	35-39	Owner managers of incorporated enterprises	225
Shoalhaven (C)	35-39	Owner managers of unincorporated enterprises	327
Shoalhaven (C)	35-39	Status in employment not stated	30
Shoalhaven (C)	40-44	Contributing family workers	62
Shoalhaven (C)	40-44	Employee	2738
Shoalhaven (C)	40-44	Owner managers of incorporated enterprises	313
Shoalhaven (C)	40-44	Owner managers of unincorporated enterprises	388
Shoalhaven (C)	40-44	Status in employment not stated	39
Shoalhaven (C)	45-49	Contributing family workers	66
Shoalhaven (C)	45-49	Employee	2922
Shoalhaven (C)	45-49	Owner managers of incorporated enterprises	286
Shoalhaven (C)	45-49	Owner managers of unincorporated enterprises	423
Shoalhaven (C)	45-49	Status in employment not stated	53
Shoalhaven (C)	50-54	Contributing family workers	72
Shoalhaven (C)	50-54	Employee	3052
Shoalhaven (C)	50-54	Owner managers of incorporated enterprises	292
Shoalhaven (C)	50-54	Owner managers of unincorporated enterprises	534
Shoalhaven (C)	50-54	Status in employment not stated	45
Shoalhaven (C)	55-59	Contributing family workers	90
Shoalhaven (C)	55-59	Employee	2960
Shoalhaven (C)	55-59	Owner managers of incorporated enterprises	350
Shoalhaven (C)	55-59	Owner managers of unincorporated enterprises	478
Shoalhaven (C)	55-59	Status in employment not stated	47
Shoalhaven (C)	60-64	Contributing family workers	91
Shoalhaven (C)	60-64	Employee	1780
Shoalhaven (C)	60-64	Owner managers of incorporated enterprises	227
Shoalhaven (C)	60-64	Owner managers of unincorporated enterprises	411
Shoalhaven (C)	60-64	Status in employment not stated	38
Shoalhaven (C)	65-69	Contributing family workers	77
Shoalhaven (C)	65-69	Employee	626
Shoalhaven (C)	65-69	Owner managers of incorporated enterprises	134
Shoalhaven (C)	65-69	Owner managers of unincorporated enterprises	236
Shoalhaven (C)	65-69	Status in employment not stated	29
Shoalhaven (C)	70-74	Contributing family workers	60
Shoalhaven (C)	70-74	Employee	154
Shoalhaven (C)	70-74	Owner managers of incorporated enterprises	59
Shoalhaven (C)	70-74	Owner managers of unincorporated enterprises	106
Shoalhaven (C)	70-74	Status in employment not stated	15
Shoalhaven (C)	75+	Contributing family workers	33
Shoalhaven (C)	75+	Employee	52
Shoalhaven (C)	75+	Owner managers of incorporated enterprises	39
Shoalhaven (C)	75+	Owner managers of unincorporated enterprises	56
Shoalhaven (C)	75+	Status in employment not stated	25
Singleton (A)	15-19	Contributing family workers	3
Singleton (A)	15-19	Employee	826
Singleton (A)	15-19	Owner managers of unincorporated enterprises	4
Singleton (A)	15-19	Status in employment not stated	6
Singleton (A)	20-24	Contributing family workers	6
Singleton (A)	20-24	Employee	1300
Singleton (A)	20-24	Owner managers of incorporated enterprises	6
Singleton (A)	20-24	Owner managers of unincorporated enterprises	13
Singleton (A)	20-24	Status in employment not stated	19
Singleton (A)	25-29	Contributing family workers	8
Singleton (A)	25-29	Employee	1620
Singleton (A)	25-29	Owner managers of incorporated enterprises	27
Singleton (A)	25-29	Owner managers of unincorporated enterprises	30
Singleton (A)	25-29	Status in employment not stated	13
Singleton (A)	30-34	Contributing family workers	5
Singleton (A)	30-34	Employee	1835
Singleton (A)	30-34	Owner managers of incorporated enterprises	50
Singleton (A)	30-34	Owner managers of unincorporated enterprises	43
Singleton (A)	30-34	Status in employment not stated	12
Singleton (A)	35-39	Contributing family workers	13
Singleton (A)	35-39	Employee	1764
Singleton (A)	35-39	Owner managers of incorporated enterprises	74
Singleton (A)	35-39	Owner managers of unincorporated enterprises	37
Singleton (A)	35-39	Status in employment not stated	14
Singleton (A)	40-44	Contributing family workers	16
Singleton (A)	40-44	Employee	1711
Singleton (A)	40-44	Owner managers of incorporated enterprises	76
Singleton (A)	40-44	Owner managers of unincorporated enterprises	52
Singleton (A)	40-44	Status in employment not stated	19
Singleton (A)	45-49	Contributing family workers	15
Singleton (A)	45-49	Employee	1573
Singleton (A)	45-49	Owner managers of incorporated enterprises	85
Singleton (A)	45-49	Owner managers of unincorporated enterprises	63
Singleton (A)	45-49	Status in employment not stated	15
Singleton (A)	50-54	Contributing family workers	24
Singleton (A)	50-54	Employee	1420
Singleton (A)	50-54	Owner managers of incorporated enterprises	79
Singleton (A)	50-54	Owner managers of unincorporated enterprises	65
Singleton (A)	50-54	Status in employment not stated	22
Singleton (A)	55-59	Contributing family workers	22
Singleton (A)	55-59	Employee	1147
Singleton (A)	55-59	Owner managers of incorporated enterprises	73
Singleton (A)	55-59	Owner managers of unincorporated enterprises	75
Singleton (A)	55-59	Status in employment not stated	10
Singleton (A)	60-64	Contributing family workers	28
Singleton (A)	60-64	Employee	577
Singleton (A)	60-64	Owner managers of incorporated enterprises	49
Singleton (A)	60-64	Owner managers of unincorporated enterprises	59
Singleton (A)	60-64	Status in employment not stated	5
Singleton (A)	65-69	Contributing family workers	45
Singleton (A)	65-69	Employee	165
Singleton (A)	65-69	Owner managers of incorporated enterprises	32
Singleton (A)	65-69	Owner managers of unincorporated enterprises	53
Singleton (A)	65-69	Status in employment not stated	12
Singleton (A)	70-74	Contributing family workers	34
Singleton (A)	70-74	Employee	38
Singleton (A)	70-74	Owner managers of incorporated enterprises	10
Singleton (A)	70-74	Owner managers of unincorporated enterprises	38
Singleton (A)	75+	Contributing family workers	16
Singleton (A)	75+	Employee	13
Singleton (A)	75+	Owner managers of incorporated enterprises	7
Singleton (A)	75+	Owner managers of unincorporated enterprises	21
Singleton (A)	75+	Status in employment not stated	3
Snowy Monaro Regional (A)	15-19	Contributing family workers	3
Snowy Monaro Regional (A)	15-19	Employee	622
Snowy Monaro Regional (A)	15-19	Owner managers of incorporated enterprises	3
Snowy Monaro Regional (A)	15-19	Owner managers of unincorporated enterprises	3
Snowy Monaro Regional (A)	15-19	Status in employment not stated	7
Snowy Monaro Regional (A)	20-24	Contributing family workers	9
Snowy Monaro Regional (A)	20-24	Employee	1106
Snowy Monaro Regional (A)	20-24	Owner managers of incorporated enterprises	8
Snowy Monaro Regional (A)	20-24	Owner managers of unincorporated enterprises	15
Snowy Monaro Regional (A)	20-24	Status in employment not stated	13
Snowy Monaro Regional (A)	25-29	Contributing family workers	11
Snowy Monaro Regional (A)	25-29	Employee	961
Snowy Monaro Regional (A)	25-29	Owner managers of incorporated enterprises	13
Snowy Monaro Regional (A)	25-29	Owner managers of unincorporated enterprises	32
Snowy Monaro Regional (A)	25-29	Status in employment not stated	7
Snowy Monaro Regional (A)	30-34	Contributing family workers	6
Snowy Monaro Regional (A)	30-34	Employee	688
Snowy Monaro Regional (A)	30-34	Owner managers of incorporated enterprises	34
