STE_NAME16	Age	EmploymentStatus	HoursWorked.min	workers
Victoria	45-49	Employee	25	30442
Victoria	45-49	Employee	35	50468
Victoria	45-49	Employee	40	50163
Victoria	45-49	Employee	41	26287
Victoria	45-49	Employee	49	34107
Victoria	45-49	Owner managers of incorporated enterprises		420
Victoria	45-49	Owner managers of incorporated enterprises	0	386
Victoria	45-49	Owner managers of incorporated enterprises	1	1558
Victoria	45-49	Owner managers of incorporated enterprises	16	1711
Victoria	45-49	Owner managers of incorporated enterprises	25	2658
Victoria	45-49	Owner managers of incorporated enterprises	35	2655
Victoria	45-49	Owner managers of incorporated enterprises	40	6580
Victoria	45-49	Owner managers of incorporated enterprises	41	2890
Victoria	45-49	Owner managers of incorporated enterprises	49	11583
Victoria	45-49	Owner managers of unincorporated enterprises		443
Victoria	45-49	Owner managers of unincorporated enterprises	0	488
Victoria	45-49	Owner managers of unincorporated enterprises	1	3772
Victoria	45-49	Owner managers of unincorporated enterprises	16	2770
Victoria	45-49	Owner managers of unincorporated enterprises	25	3770
Victoria	45-49	Owner managers of unincorporated enterprises	35	2358
Victoria	45-49	Owner managers of unincorporated enterprises	40	4774
Victoria	45-49	Owner managers of unincorporated enterprises	41	2045
Victoria	45-49	Owner managers of unincorporated enterprises	49	6027
Victoria	50-54			465
Victoria	50-54		0	173
Victoria	50-54		1	231
Victoria	50-54		16	225
Victoria	50-54		25	305
Victoria	50-54		35	405
Victoria	50-54		40	484
Victoria	50-54		41	173
Victoria	50-54		49	455
Victoria	50-54	Contributing family workers		208
Victoria	50-54	Contributing family workers	0	143
Victoria	50-54	Contributing family workers	1	867
Victoria	50-54	Contributing family workers	16	502
Victoria	50-54	Contributing family workers	25	510
Victoria	50-54	Contributing family workers	35	239
Victoria	50-54	Contributing family workers	40	577
Victoria	50-54	Contributing family workers	41	190
Victoria	50-54	Contributing family workers	49	1294
Victoria	50-54	Employee		2972
Victoria	50-54	Employee	0	6174
Victoria	50-54	Employee	1	13324
Victoria	50-54	Employee	16	20764
Victoria	50-54	Employee	25	27975
Victoria	50-54	Employee	35	48582
Victoria	50-54	Employee	40	43637
Victoria	50-54	Employee	41	22775
Victoria	50-54	Employee	49	30253
Victoria	50-54	Owner managers of incorporated enterprises		405
Victoria	50-54	Owner managers of incorporated enterprises	0	534
Victoria	50-54	Owner managers of incorporated enterprises	1	1379
Victoria	50-54	Owner managers of incorporated enterprises	16	1498
Victoria	50-54	Owner managers of incorporated enterprises	25	2511
Victoria	50-54	Owner managers of incorporated enterprises	35	2535
Victoria	50-54	Owner managers of incorporated enterprises	40	6113
Victoria	50-54	Owner managers of incorporated enterprises	41	2625
Victoria	50-54	Owner managers of incorporated enterprises	49	10987
Victoria	50-54	Owner managers of unincorporated enterprises		448
Victoria	50-54	Owner managers of unincorporated enterprises	0	554
Victoria	50-54	Owner managers of unincorporated enterprises	1	3242
Victoria	50-54	Owner managers of unincorporated enterprises	16	2585
Victoria	50-54	Owner managers of unincorporated enterprises	25	3531
Victoria	50-54	Owner managers of unincorporated enterprises	35	2282
Victoria	50-54	Owner managers of unincorporated enterprises	40	4462
Victoria	50-54	Owner managers of unincorporated enterprises	41	1945
Victoria	50-54	Owner managers of unincorporated enterprises	49	6188
Victoria	55-59			455
Victoria	55-59		0	218
Victoria	55-59		1	242
Victoria	55-59		16	212
Victoria	55-59		25	296
Victoria	55-59		35	343
Victoria	55-59		40	351
Victoria	55-59		41	149
Victoria	55-59		49	384
Victoria	55-59	Contributing family workers		222
Victoria	55-59	Contributing family workers	0	190
Victoria	55-59	Contributing family workers	1	936
Victoria	55-59	Contributing family workers	16	529
Victoria	55-59	Contributing family workers	25	523
Victoria	55-59	Contributing family workers	35	243
Victoria	55-59	Contributing family workers	40	545
Victoria	55-59	Contributing family workers	41	164
Victoria	55-59	Contributing family workers	49	1273
Victoria	55-59	Employee		2328
Victoria	55-59	Employee	0	6719
Victoria	55-59	Employee	1	13340
Victoria	55-59	Employee	16	19306
Victoria	55-59	Employee	25	24770
Victoria	55-59	Employee	35	40736
Victoria	55-59	Employee	40	34313
Victoria	55-59	Employee	41	17943
Victoria	55-59	Employee	49	23444
Victoria	55-59	Owner managers of incorporated enterprises		312
Victoria	55-59	Owner managers of incorporated enterprises	0	565
Victoria	55-59	Owner managers of incorporated enterprises	1	1493
Victoria	55-59	Owner managers of incorporated enterprises	16	1505
Victoria	55-59	Owner managers of incorporated enterprises	25	2330
Victoria	55-59	Owner managers of incorporated enterprises	35	2093
Victoria	55-59	Owner managers of incorporated enterprises	40	5006
Victoria	55-59	Owner managers of incorporated enterprises	41	2294
Victoria	55-59	Owner managers of incorporated enterprises	49	8916
Victoria	55-59	Owner managers of unincorporated enterprises		386
Victoria	55-59	Owner managers of unincorporated enterprises	0	651
Victoria	55-59	Owner managers of unincorporated enterprises	1	3361
Victoria	55-59	Owner managers of unincorporated enterprises	16	2582
Victoria	55-59	Owner managers of unincorporated enterprises	25	3425
Victoria	55-59	Owner managers of unincorporated enterprises	35	1965
Victoria	55-59	Owner managers of unincorporated enterprises	40	4012
Victoria	55-59	Owner managers of unincorporated enterprises	41	1702
Victoria	55-59	Owner managers of unincorporated enterprises	49	5761
Victoria	60-64			416
Victoria	60-64		0	210
Victoria	60-64		1	235
Victoria	60-64		16	193
Victoria	60-64		25	231
Victoria	60-64		35	249
Victoria	60-64		40	281
Victoria	60-64		41	88
Victoria	60-64		49	291
Victoria	60-64	Contributing family workers		226
Victoria	60-64	Contributing family workers	0	218
Victoria	60-64	Contributing family workers	1	1009
Victoria	60-64	Contributing family workers	16	537
Victoria	60-64	Contributing family workers	25	493
Victoria	60-64	Contributing family workers	35	188
Victoria	60-64	Contributing family workers	40	463
Victoria	60-64	Contributing family workers	41	175
Victoria	60-64	Contributing family workers	49	1026
Victoria	60-64	Employee		1543
Victoria	60-64	Employee	0	5644
Victoria	60-64	Employee	1	12704
Victoria	60-64	Employee	16	15295
Victoria	60-64	Employee	25	17252
Victoria	60-64	Employee	35	25575
Victoria	60-64	Employee	40	18836
Victoria	60-64	Employee	41	9295
Victoria	60-64	Employee	49	11945
Victoria	60-64	Owner managers of incorporated enterprises		217
Victoria	60-64	Owner managers of incorporated enterprises	0	587
Victoria	60-64	Owner managers of incorporated enterprises	1	1626
Victoria	60-64	Owner managers of incorporated enterprises	16	1539
Victoria	60-64	Owner managers of incorporated enterprises	25	2398
Victoria	60-64	Owner managers of incorporated enterprises	35	1584
Victoria	60-64	Owner managers of incorporated enterprises	40	3204
Victoria	60-64	Owner managers of incorporated enterprises	41	1358
Victoria	60-64	Owner managers of incorporated enterprises	49	5245
Victoria	60-64	Owner managers of unincorporated enterprises		287
Victoria	60-64	Owner managers of unincorporated enterprises	0	716
Victoria	60-64	Owner managers of unincorporated enterprises	1	3659
Victoria	60-64	Owner managers of unincorporated enterprises	16	2371
Victoria	60-64	Owner managers of unincorporated enterprises	25	3136
Victoria	60-64	Owner managers of unincorporated enterprises	35	1457
Victoria	60-64	Owner managers of unincorporated enterprises	40	2453
Victoria	60-64	Owner managers of unincorporated enterprises	41	1152
Victoria	60-64	Owner managers of unincorporated enterprises	49	3816
Victoria	65-69			299
Victoria	65-69		0	142
Victoria	65-69		1	236
Victoria	65-69		16	158
Victoria	65-69		25	148
Victoria	65-69		35	102
Victoria	65-69		40	142
Victoria	65-69		41	48
Victoria	65-69		49	147
Victoria	65-69	Contributing family workers		198
Victoria	65-69	Contributing family workers	0	213
Victoria	65-69	Contributing family workers	1	1101
Victoria	65-69	Contributing family workers	16	525
Victoria	65-69	Contributing family workers	25	486
Victoria	65-69	Contributing family workers	35	144
Victoria	65-69	Contributing family workers	40	358
Victoria	65-69	Contributing family workers	41	138
Victoria	65-69	Contributing family workers	49	709
Victoria	65-69	Employee		637
Victoria	65-69	Employee	0	2514
Victoria	65-69	Employee	1	9430
Victoria	65-69	Employee	16	7329
Victoria	65-69	Employee	25	6162
Victoria	65-69	Employee	35	7441
Victoria	65-69	Employee	40	5656
Victoria	65-69	Employee	41	2579
Victoria	65-69	Employee	49	3462
Victoria	65-69	Owner managers of incorporated enterprises		156
Victoria	65-69	Owner managers of incorporated enterprises	0	388
Victoria	65-69	Owner managers of incorporated enterprises	1	1509
Victoria	65-69	Owner managers of incorporated enterprises	16	1276
Victoria	65-69	Owner managers of incorporated enterprises	25	1606
Victoria	65-69	Owner managers of incorporated enterprises	35	948
Victoria	65-69	Owner managers of incorporated enterprises	40	1744
Victoria	65-69	Owner managers of incorporated enterprises	41	740
Victoria	65-69	Owner managers of incorporated enterprises	49	2571
Victoria	65-69	Owner managers of unincorporated enterprises		195
Victoria	65-69	Owner managers of unincorporated enterprises	0	517
Victoria	65-69	Owner managers of unincorporated enterprises	1	3043
Victoria	65-69	Owner managers of unincorporated enterprises	16	1649
Victoria	65-69	Owner managers of unincorporated enterprises	25	1746
Victoria	65-69	Owner managers of unincorporated enterprises	35	741
Victoria	65-69	Owner managers of unincorporated enterprises	40	1324
Victoria	65-69	Owner managers of unincorporated enterprises	41	603
Victoria	65-69	Owner managers of unincorporated enterprises	49	1991
Victoria	70-74			262
Victoria	70-74		0	81
Victoria	70-74		1	148
Victoria	70-74		16	87
Victoria	70-74		25	56
Victoria	70-74		35	33
Victoria	70-74		40	44
Victoria	70-74		41	26
Victoria	70-74		49	87
Victoria	70-74	Contributing family workers		202
Victoria	70-74	Contributing family workers	0	162
Victoria	70-74	Contributing family workers	1	769
Victoria	70-74	Contributing family workers	16	345
Victoria	70-74	Contributing family workers	25	298
Victoria	70-74	Contributing family workers	35	99
Victoria	70-74	Contributing family workers	40	220
Victoria	70-74	Contributing family workers	41	82
Victoria	70-74	Contributing family workers	49	424
Victoria	70-74	Employee		264
Victoria	70-74	Employee	0	661
Victoria	70-74	Employee	1	4310
Victoria	70-74	Employee	16	2201
Victoria	70-74	Employee	25	1433
Victoria	70-74	Employee	35	1396
Victoria	70-74	Employee	40	1135
Victoria	70-74	Employee	41	467
Victoria	70-74	Employee	49	640
Victoria	70-74	Owner managers of incorporated enterprises		68
Victoria	70-74	Owner managers of incorporated enterprises	0	225
Victoria	70-74	Owner managers of incorporated enterprises	1	829
Victoria	70-74	Owner managers of incorporated enterprises	16	640
Victoria	70-74	Owner managers of incorporated enterprises	25	778
Victoria	70-74	Owner managers of incorporated enterprises	35	378
Victoria	70-74	Owner managers of incorporated enterprises	40	670
Victoria	70-74	Owner managers of incorporated enterprises	41	249
Victoria	70-74	Owner managers of incorporated enterprises	49	899
Victoria	70-74	Owner managers of unincorporated enterprises		109
Victoria	70-74	Owner managers of unincorporated enterprises	0	258
Victoria	70-74	Owner managers of unincorporated enterprises	1	1563
Victoria	70-74	Owner managers of unincorporated enterprises	16	756
Victoria	70-74	Owner managers of unincorporated enterprises	25	763
Victoria	70-74	Owner managers of unincorporated enterprises	35	276
Victoria	70-74	Owner managers of unincorporated enterprises	40	514
Victoria	70-74	Owner managers of unincorporated enterprises	41	223
Victoria	70-74	Owner managers of unincorporated enterprises	49	862
Victoria	75+			530
Victoria	75+		0	95
Victoria	75+		1	116
Victoria	75+		16	42
Victoria	75+		25	40
Victoria	75+		35	18
Victoria	75+		40	31
Victoria	75+		41	10
Victoria	75+		49	65
Victoria	75+	Contributing family workers		322
Victoria	75+	Contributing family workers	0	190
Victoria	75+	Contributing family workers	1	653
Victoria	75+	Contributing family workers	16	352
Victoria	75+	Contributing family workers	25	297
Victoria	75+	Contributing family workers	35	109
Victoria	75+	Contributing family workers	40	189
Victoria	75+	Contributing family workers	41	70
Victoria	75+	Contributing family workers	49	318
Victoria	75+	Employee		178
Victoria	75+	Employee	0	272
Victoria	75+	Employee	1	2053
Victoria	75+	Employee	16	722
Victoria	75+	Employee	25	477
Victoria	75+	Employee	35	458
Victoria	75+	Employee	40	423
Victoria	75+	Employee	41	156
Victoria	75+	Employee	49	282
Victoria	75+	Owner managers of incorporated enterprises		72
Victoria	75+	Owner managers of incorporated enterprises	0	124
Victoria	75+	Owner managers of incorporated enterprises	1	504
Victoria	75+	Owner managers of incorporated enterprises	16	313
Victoria	75+	Owner managers of incorporated enterprises	25	327
Victoria	75+	Owner managers of incorporated enterprises	35	197
Victoria	75+	Owner managers of incorporated enterprises	40	331
Victoria	75+	Owner managers of incorporated enterprises	41	124
Victoria	75+	Owner managers of incorporated enterprises	49	392
Victoria	75+	Owner managers of unincorporated enterprises		104
Victoria	75+	Owner managers of unincorporated enterprises	0	179
Victoria	75+	Owner managers of unincorporated enterprises	1	998
Victoria	75+	Owner managers of unincorporated enterprises	16	473
Victoria	75+	Owner managers of unincorporated enterprises	25	527
Victoria	75+	Owner managers of unincorporated enterprises	35	199
Victoria	75+	Owner managers of unincorporated enterprises	40	312
Victoria	75+	Owner managers of unincorporated enterprises	41	146
Victoria	75+	Owner managers of unincorporated enterprises	49	503
Queensland	15-19			304
Queensland	15-19		0	67
Queensland	15-19		1	464
Queensland	15-19		16	107
Queensland	15-19		25	96
Queensland	15-19		35	97
Queensland	15-19		40	70
Queensland	15-19		41	20
Queensland	15-19		49	25
Queensland	15-19	Contributing family workers		110
Queensland	15-19	Contributing family workers	0	74
Queensland	15-19	Contributing family workers	1	589
Queensland	15-19	Contributing family workers	16	77
Queensland	15-19	Contributing family workers	25	50
Queensland	15-19	Contributing family workers	35	21
Queensland	15-19	Contributing family workers	40	33
Queensland	15-19	Contributing family workers	41	10
Queensland	15-19	Contributing family workers	49	52
Queensland	15-19	Employee		2839
Queensland	15-19	Employee	0	3754
Queensland	15-19	Employee	1	62345
Queensland	15-19	Employee	16	15913
Queensland	15-19	Employee	25	11457
Queensland	15-19	Employee	35	11782
Queensland	15-19	Employee	40	7679
Queensland	15-19	Employee	41	3483
Queensland	15-19	Employee	49	2899
Queensland	15-19	Owner managers of incorporated enterprises		19
Queensland	15-19	Owner managers of incorporated enterprises	0	10
Queensland	15-19	Owner managers of incorporated enterprises	1	116
Queensland	15-19	Owner managers of incorporated enterprises	16	47
Queensland	15-19	Owner managers of incorporated enterprises	25	33
Queensland	15-19	Owner managers of incorporated enterprises	35	24
Queensland	15-19	Owner managers of incorporated enterprises	40	14
Queensland	15-19	Owner managers of incorporated enterprises	41	8
Queensland	15-19	Owner managers of incorporated enterprises	49	27
Queensland	15-19	Owner managers of unincorporated enterprises		31
Queensland	15-19	Owner managers of unincorporated enterprises	0	20
Queensland	15-19	Owner managers of unincorporated enterprises	1	553
Queensland	15-19	Owner managers of unincorporated enterprises	16	121
Queensland	15-19	Owner managers of unincorporated enterprises	25	101
Queensland	15-19	Owner managers of unincorporated enterprises	35	52
Queensland	15-19	Owner managers of unincorporated enterprises	40	97
Queensland	15-19	Owner managers of unincorporated enterprises	41	32
Queensland	15-19	Owner managers of unincorporated enterprises	49	76
Queensland	20-24			366
Queensland	20-24		0	67
Queensland	20-24		1	189
Queensland	20-24		16	140
Queensland	20-24		25	156
Queensland	20-24		35	245
Queensland	20-24		40	165
Queensland	20-24		41	64
Queensland	20-24		49	117
Queensland	20-24	Contributing family workers		81
Queensland	20-24	Contributing family workers	0	34
Queensland	20-24	Contributing family workers	1	304
Queensland	20-24	Contributing family workers	16	120
Queensland	20-24	Contributing family workers	25	81
Queensland	20-24	Contributing family workers	35	41
Queensland	20-24	Contributing family workers	40	63
Queensland	20-24	Contributing family workers	41	30
Queensland	20-24	Contributing family workers	49	111
Queensland	20-24	Employee		4102
Queensland	20-24	Employee	0	5375
Queensland	20-24	Employee	1	28456
Queensland	20-24	Employee	16	24539
Queensland	20-24	Employee	25	26828
Queensland	20-24	Employee	35	43852
Queensland	20-24	Employee	40	31364
Queensland	20-24	Employee	41	17055
Queensland	20-24	Employee	49	16246
Queensland	20-24	Owner managers of incorporated enterprises		48
Queensland	20-24	Owner managers of incorporated enterprises	0	40
Queensland	20-24	Owner managers of incorporated enterprises	1	133
Queensland	20-24	Owner managers of incorporated enterprises	16	100
Queensland	20-24	Owner managers of incorporated enterprises	25	154
Queensland	20-24	Owner managers of incorporated enterprises	35	181
Queensland	20-24	Owner managers of incorporated enterprises	40	314
Queensland	20-24	Owner managers of incorporated enterprises	41	138
Queensland	20-24	Owner managers of incorporated enterprises	49	432
Queensland	20-24	Owner managers of unincorporated enterprises		101
Queensland	20-24	Owner managers of unincorporated enterprises	0	111
Queensland	20-24	Owner managers of unincorporated enterprises	1	998
Queensland	20-24	Owner managers of unincorporated enterprises	16	508
Queensland	20-24	Owner managers of unincorporated enterprises	25	636
Queensland	20-24	Owner managers of unincorporated enterprises	35	437
Queensland	20-24	Owner managers of unincorporated enterprises	40	712
Queensland	20-24	Owner managers of unincorporated enterprises	41	384
Queensland	20-24	Owner managers of unincorporated enterprises	49	875
Queensland	25-29			355
Queensland	25-29		0	78
Queensland	25-29		1	126
Queensland	25-29		16	124
Queensland	25-29		25	123
Queensland	25-29		35	205
Queensland	25-29		40	175
Queensland	25-29		41	92
Queensland	25-29		49	146
Queensland	25-29	Contributing family workers		67
Queensland	25-29	Contributing family workers	0	46
Queensland	25-29	Contributing family workers	1	400
Queensland	25-29	Contributing family workers	16	174
Queensland	25-29	Contributing family workers	25	155
Queensland	25-29	Contributing family workers	35	76
Queensland	25-29	Contributing family workers	40	116
Queensland	25-29	Contributing family workers	41	37
Queensland	25-29	Contributing family workers	49	227
Queensland	25-29	Employee		3729
Queensland	25-29	Employee	0	8051
Queensland	25-29	Employee	1	13399
Queensland	25-29	Employee	16	17397
Queensland	25-29	Employee	25	22340
Queensland	25-29	Employee	35	50847
Queensland	25-29	Employee	40	40691
Queensland	25-29	Employee	41	23909
Queensland	25-29	Employee	49	28775
Queensland	25-29	Owner managers of incorporated enterprises		116
Queensland	25-29	Owner managers of incorporated enterprises	0	123
Queensland	25-29	Owner managers of incorporated enterprises	1	276
Queensland	25-29	Owner managers of incorporated enterprises	16	318
Queensland	25-29	Owner managers of incorporated enterprises	25	448
Queensland	25-29	Owner managers of incorporated enterprises	35	623
Queensland	25-29	Owner managers of incorporated enterprises	40	1098
Queensland	25-29	Owner managers of incorporated enterprises	41	541
Queensland	25-29	Owner managers of incorporated enterprises	49	2071
Queensland	25-29	Owner managers of unincorporated enterprises		181
Queensland	25-29	Owner managers of unincorporated enterprises	0	250
Queensland	25-29	Owner managers of unincorporated enterprises	1	1465
Queensland	25-29	Owner managers of unincorporated enterprises	16	1033
Queensland	25-29	Owner managers of unincorporated enterprises	25	1332
Queensland	25-29	Owner managers of unincorporated enterprises	35	938
Queensland	25-29	Owner managers of unincorporated enterprises	40	1766
Queensland	25-29	Owner managers of unincorporated enterprises	41	843
Queensland	25-29	Owner managers of unincorporated enterprises	49	2347
Queensland	30-34			326
Queensland	30-34		0	90
Queensland	30-34		1	129
Queensland	30-34		16	126
Queensland	30-34		25	161
Queensland	30-34		35	199
Queensland	30-34		40	250
Queensland	30-34		41	110
Queensland	30-34		49	214
Queensland	30-34	Contributing family workers		107
Queensland	30-34	Contributing family workers	0	69
Queensland	30-34	Contributing family workers	1	780
Queensland	30-34	Contributing family workers	16	310
Queensland	30-34	Contributing family workers	25	250
Queensland	30-34	Contributing family workers	35	100
Queensland	30-34	Contributing family workers	40	236
Queensland	30-34	Contributing family workers	41	68
Queensland	30-34	Contributing family workers	49	450
Queensland	30-34	Employee		3181
Queensland	30-34	Employee	0	10525
Queensland	30-34	Employee	1	12542
Queensland	30-34	Employee	16	17768
Queensland	30-34	Employee	25	21212
Queensland	30-34	Employee	35	46399
Queensland	30-34	Employee	40	39904
Queensland	30-34	Employee	41	23091
Queensland	30-34	Employee	49	31939
Queensland	30-34	Owner managers of incorporated enterprises		161
Queensland	30-34	Owner managers of incorporated enterprises	0	232
Queensland	30-34	Owner managers of incorporated enterprises	1	667
Queensland	30-34	Owner managers of incorporated enterprises	16	675
Queensland	30-34	Owner managers of incorporated enterprises	25	955
Queensland	30-34	Owner managers of incorporated enterprises	35	1139
Queensland	30-34	Owner managers of incorporated enterprises	40	2393
Queensland	30-34	Owner managers of incorporated enterprises	41	900
Queensland	30-34	Owner managers of incorporated enterprises	49	4620
Queensland	30-34	Owner managers of unincorporated enterprises		237
Queensland	30-34	Owner managers of unincorporated enterprises	0	403
Queensland	30-34	Owner managers of unincorporated enterprises	1	2307
Queensland	30-34	Owner managers of unincorporated enterprises	16	1531
Queensland	30-34	Owner managers of unincorporated enterprises	25	1858
Queensland	30-34	Owner managers of unincorporated enterprises	35	1196
Queensland	30-34	Owner managers of unincorporated enterprises	40	2422
Queensland	30-34	Owner managers of unincorporated enterprises	41	1092
Queensland	30-34	Owner managers of unincorporated enterprises	49	3453
Queensland	35-39			311
Queensland	35-39		0	92
Queensland	35-39		1	152
Queensland	35-39		16	105
Queensland	35-39		25	157
Queensland	35-39		35	212
Queensland	35-39		40	230
Queensland	35-39		41	108
Queensland	35-39		49	270
Queensland	35-39	Contributing family workers		129
Queensland	35-39	Contributing family workers	0	99
Queensland	35-39	Contributing family workers	1	784
Queensland	35-39	Contributing family workers	16	327
Queensland	35-39	Contributing family workers	25	329
Queensland	35-39	Contributing family workers	35	161
Queensland	35-39	Contributing family workers	40	327
Queensland	35-39	Contributing family workers	41	89
Queensland	35-39	Contributing family workers	49	689
Queensland	35-39	Employee		2686
Queensland	35-39	Employee	0	7115
Queensland	35-39	Employee	1	12136
Queensland	35-39	Employee	16	17242
Queensland	35-39	Employee	25	21840
Queensland	35-39	Employee	35	40716
Queensland	35-39	Employee	40	36534
Queensland	35-39	Employee	41	20403
Queensland	35-39	Employee	49	29889
Queensland	35-39	Owner managers of incorporated enterprises		256
Queensland	35-39	Owner managers of incorporated enterprises	0	198
Queensland	35-39	Owner managers of incorporated enterprises	1	922
Queensland	35-39	Owner managers of incorporated enterprises	16	903
Queensland	35-39	Owner managers of incorporated enterprises	25	1356
Queensland	35-39	Owner managers of incorporated enterprises	35	1383
Queensland	35-39	Owner managers of incorporated enterprises	40	3143
Queensland	35-39	Owner managers of incorporated enterprises	41	1228
Queensland	35-39	Owner managers of incorporated enterprises	49	6173
Queensland	35-39	Owner managers of unincorporated enterprises		265
Queensland	35-39	Owner managers of unincorporated enterprises	0	337
Queensland	35-39	Owner managers of unincorporated enterprises	1	2685
Queensland	35-39	Owner managers of unincorporated enterprises	16	1815
Queensland	35-39	Owner managers of unincorporated enterprises	25	2280
Queensland	35-39	Owner managers of unincorporated enterprises	35	1340
Queensland	35-39	Owner managers of unincorporated enterprises	40	2722
Queensland	35-39	Owner managers of unincorporated enterprises	41	1206
Queensland	35-39	Owner managers of unincorporated enterprises	49	3992
Queensland	40-44			334
Queensland	40-44		0	88
Queensland	40-44		1	157
Queensland	40-44		16	135
Queensland	40-44		25	168
Queensland	40-44		35	236
Queensland	40-44		40	284
Queensland	40-44		41	140
Queensland	40-44		49	385
Queensland	40-44	Contributing family workers		196
Queensland	40-44	Contributing family workers	0	85
Queensland	40-44	Contributing family workers	1	776
Queensland	40-44	Contributing family workers	16	397
Queensland	40-44	Contributing family workers	25	427
Queensland	40-44	Contributing family workers	35	160
Queensland	40-44	Contributing family workers	40	419
Queensland	40-44	Contributing family workers	41	124
Queensland	40-44	Contributing family workers	49	1007
Queensland	40-44	Employee		2792
Queensland	40-44	Employee	0	5164
Queensland	40-44	Employee	1	11755
Queensland	40-44	Employee	16	17242
Queensland	40-44	Employee	25	24614
Queensland	40-44	Employee	35	41837
Queensland	40-44	Employee	40	38981
Queensland	40-44	Employee	41	21670
Queensland	40-44	Employee	49	32439
Queensland	40-44	Owner managers of incorporated enterprises		270
Queensland	40-44	Owner managers of incorporated enterprises	0	214
Queensland	40-44	Owner managers of incorporated enterprises	1	1029
Queensland	40-44	Owner managers of incorporated enterprises	16	1095
Queensland	40-44	Owner managers of incorporated enterprises	25	1776
Queensland	40-44	Owner managers of incorporated enterprises	35	1596
Queensland	40-44	Owner managers of incorporated enterprises	40	4150
Queensland	40-44	Owner managers of incorporated enterprises	41	1782
Queensland	40-44	Owner managers of incorporated enterprises	49	8492
Queensland	40-44	Owner managers of unincorporated enterprises		347
Queensland	40-44	Owner managers of unincorporated enterprises	0	363
Queensland	40-44	Owner managers of unincorporated enterprises	1	2975
Queensland	40-44	Owner managers of unincorporated enterprises	16	1998
Queensland	40-44	Owner managers of unincorporated enterprises	25	2831
Queensland	40-44	Owner managers of unincorporated enterprises	35	1570
Queensland	40-44	Owner managers of unincorporated enterprises	40	3370
Queensland	40-44	Owner managers of unincorporated enterprises	41	1380
Queensland	40-44	Owner managers of unincorporated enterprises	49	5033
Queensland	45-49			356
Queensland	45-49		0	118
Queensland	45-49		1	171
Queensland	45-49		16	126
Queensland	45-49		25	189
Queensland	45-49		35	231
Queensland	45-49		40	323
Queensland	45-49		41	132
Queensland	45-49		49	373
Queensland	45-49	Contributing family workers		176
Queensland	45-49	Contributing family workers	0	125
Queensland	45-49	Contributing family workers	1	735
Queensland	45-49	Contributing family workers	16	416
Queensland	45-49	Contributing family workers	25	412
Queensland	45-49	Contributing family workers	35	174
Queensland	45-49	Contributing family workers	40	480
Queensland	45-49	Contributing family workers	41	165
Queensland	45-49	Contributing family workers	49	1299
Queensland	45-49	Employee		2613
Queensland	45-49	Employee	0	4886
Queensland	45-49	Employee	1	10364
Queensland	45-49	Employee	16	15572
Queensland	45-49	Employee	25	24792
Queensland	45-49	Employee	35	43174
Queensland	45-49	Employee	40	37116
Queensland	45-49	Employee	41	21543
Queensland	45-49	Employee	49	32460
Queensland	45-49	Owner managers of incorporated enterprises		242
Queensland	45-49	Owner managers of incorporated enterprises	0	299
Queensland	45-49	Owner managers of incorporated enterprises	1	977
Queensland	45-49	Owner managers of incorporated enterprises	16	1150
Queensland	45-49	Owner managers of incorporated enterprises	25	1951
Queensland	45-49	Owner managers of incorporated enterprises	35	1731
Queensland	45-49	Owner managers of incorporated enterprises	40	4352
Queensland	45-49	Owner managers of incorporated enterprises	41	1906
Queensland	45-49	Owner managers of incorporated enterprises	49	9323
Queensland	45-49	Owner managers of unincorporated enterprises		399
Queensland	45-49	Owner managers of unincorporated enterprises	0	384
Queensland	45-49	Owner managers of unincorporated enterprises	1	2923
Queensland	45-49	Owner managers of unincorporated enterprises	16	2086
Queensland	45-49	Owner managers of unincorporated enterprises	25	3020
Queensland	45-49	Owner managers of unincorporated enterprises	35	1725
Queensland	45-49	Owner managers of unincorporated enterprises	40	3640
Queensland	45-49	Owner managers of unincorporated enterprises	41	1650
Queensland	45-49	Owner managers of unincorporated enterprises	49	5679
Queensland	50-54			330
Queensland	50-54		0	132
Queensland	50-54		1	143
Queensland	50-54		16	160
Queensland	50-54		25	218
Queensland	50-54		35	270
Queensland	50-54		40	273
Queensland	50-54		41	106
Queensland	50-54		49	401
Queensland	50-54	Contributing family workers		174
Queensland	50-54	Contributing family workers	0	153
Queensland	50-54	Contributing family workers	1	724
Queensland	50-54	Contributing family workers	16	400
Queensland	50-54	Contributing family workers	25	396
Queensland	50-54	Contributing family workers	35	158
Queensland	50-54	Contributing family workers	40	485
Queensland	50-54	Contributing family workers	41	155
Queensland	50-54	Contributing family workers	49	1483
Queensland	50-54	Employee		2167
Queensland	50-54	Employee	0	5522
Queensland	50-54	Employee	1	8971
Queensland	50-54	Employee	16	13982
Queensland	50-54	Employee	25	23024
Queensland	50-54	Employee	35	41238
Queensland	50-54	Employee	40	32186
Queensland	50-54	Employee	41	19315
Queensland	50-54	Employee	49	28865
Queensland	50-54	Owner managers of incorporated enterprises		207
Queensland	50-54	Owner managers of incorporated enterprises	0	318
Queensland	50-54	Owner managers of incorporated enterprises	1	998
Queensland	50-54	Owner managers of incorporated enterprises	16	1006
Queensland	50-54	Owner managers of incorporated enterprises	25	1786
Queensland	50-54	Owner managers of incorporated enterprises	35	1603
Queensland	50-54	Owner managers of incorporated enterprises	40	3968
