STE_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
Victoria	45-54	Method of travel not stated		M	2543
Victoria	45-54	Motorbike scooter	1	F	278
Victoria	45-54	Motorbike scooter	1	M	1981
Victoria	45-54	(Other)	1	F	1046
Victoria	45-54	(Other)	1	M	2059
Victoria	45-54	Other three methods	3	F	52
Victoria	45-54	Other three methods	3	M	144
Victoria	45-54	Other two methods	2	F	1401
Victoria	45-54	Other two methods	2	M	2059
Victoria	45-54	Taxi	1	F	322
Victoria	45-54	Taxi	1	M	556
Victoria	45-54	Train	1	F	11495
Victoria	45-54	Train	1	M	13890
Victoria	45-54	Train and bus	2	F	1331
Victoria	45-54	Train and bus	2	M	1725
Victoria	45-54	Train and car as driver	2	F	2487
Victoria	45-54	Train and car as driver	2	M	3478
Victoria	45-54	Train and car as passenger	2	F	543
Victoria	45-54	Train and car as passenger	2	M	305
Victoria	45-54	Train and ferry	2	M	3
Victoria	45-54	Train and other	2	F	164
Victoria	45-54	Train and other	2	M	472
Victoria	45-54	Train and tram includes light rail	2	F	965
Victoria	45-54	Train and tram includes light rail	2	M	1009
Victoria	45-54	Train and two other methods	3	F	1470
Victoria	45-54	Train and two other methods	3	M	1415
Victoria	45-54	Tram includes light rail	1	F	3215
Victoria	45-54	Tram includes light rail	1	M	2541
Victoria	45-54	Truck	1	F	114
Victoria	45-54	Truck	1	M	4355
Victoria	45-54	Walked only	1	F	7223
Victoria	45-54	Walked only	1	M	6369
Victoria	45-54	Worked at home		F	18117
Victoria	45-54	Worked at home		M	12969
Victoria	55-64	Bicycle	1	F	778
Victoria	55-64	Bicycle	1	M	2528
Victoria	55-64	Bus	1	F	1488
Victoria	55-64	Bus	1	M	1207
Victoria	55-64	Bus and car as driver	2	F	108
Victoria	55-64	Bus and car as driver	2	M	98
Victoria	55-64	Bus and car as passenger	2	F	62
Victoria	55-64	Bus and car as passenger	2	M	24
Victoria	55-64	Bus and other	2	F	19
Victoria	55-64	Bus and other	2	M	23
Victoria	55-64	Bus and tram includes light rail	2	F	162
Victoria	55-64	Bus and tram includes light rail	2	M	133
Victoria	55-64	Bus and two other methods excludes train	3	F	36
Victoria	55-64	Bus and two other methods excludes train	3	M	27
Victoria	55-64	Car as driver	1	F	120096
Victoria	55-64	Car as driver	1	M	148868
Victoria	55-64	Car as passenger	1	F	7202
Victoria	55-64	Car as passenger	1	M	3029
Victoria	55-64	Did not go to work		F	21766
Victoria	55-64	Did not go to work		M	14456
Victoria	55-64	Ferry	1	F	18
Victoria	55-64	Ferry	1	M	25
Victoria	55-64	Method of travel not stated		F	1763
Victoria	55-64	Method of travel not stated		M	1913
Victoria	55-64	Motorbike scooter	1	F	110
Victoria	55-64	Motorbike scooter	1	M	1298
Victoria	55-64	(Other)	1	F	793
Victoria	55-64	(Other)	1	M	1734
Victoria	55-64	Other three methods	3	F	32
Victoria	55-64	Other three methods	3	M	85
Victoria	55-64	Other two methods	2	F	780
Victoria	55-64	Other two methods	2	M	1229
Victoria	55-64	Taxi	1	F	223
Victoria	55-64	Taxi	1	M	405
Victoria	55-64	Train	1	F	6149
Victoria	55-64	Train	1	M	7521
Victoria	55-64	Train and bus	2	F	879
Victoria	55-64	Train and bus	2	M	1014
Victoria	55-64	Train and car as driver	2	F	1246
Victoria	55-64	Train and car as driver	2	M	1869
Victoria	55-64	Train and car as passenger	2	F	372
Victoria	55-64	Train and car as passenger	2	M	192
Victoria	55-64	Train and other	2	F	66
Victoria	55-64	Train and other	2	M	244
Victoria	55-64	Train and tram includes light rail	2	F	591
Victoria	55-64	Train and tram includes light rail	2	M	580
Victoria	55-64	Train and two other methods	3	F	925
Victoria	55-64	Train and two other methods	3	M	846
Victoria	55-64	Tram includes light rail	1	F	1860
Victoria	55-64	Tram includes light rail	1	M	1421
Victoria	55-64	Truck	1	F	90
Victoria	55-64	Truck	1	M	3731
Victoria	55-64	Walked only	1	F	5881
Victoria	55-64	Walked only	1	M	5597
Victoria	55-64	Worked at home		F	13243
Victoria	55-64	Worked at home		M	13153
Victoria	65-74	Bicycle	1	F	97
Victoria	65-74	Bicycle	1	M	343
Victoria	65-74	Bus	1	F	291
Victoria	65-74	Bus	1	M	309
Victoria	65-74	Bus and car as driver	2	F	10
Victoria	65-74	Bus and car as driver	2	M	30
Victoria	65-74	Bus and car as passenger	2	F	18
Victoria	65-74	Bus and car as passenger	2	M	10
Victoria	65-74	Bus and other	2	F	8
Victoria	65-74	Bus and other	2	M	7
Victoria	65-74	Bus and tram includes light rail	2	F	42
Victoria	65-74	Bus and tram includes light rail	2	M	37
Victoria	65-74	Bus and two other methods excludes train	3	F	12
Victoria	65-74	Bus and two other methods excludes train	3	M	6
Victoria	65-74	Car as driver	1	F	19886
Victoria	65-74	Car as driver	1	M	35422
Victoria	65-74	Car as passenger	1	F	1657
Victoria	65-74	Car as passenger	1	M	813
Victoria	65-74	Did not go to work		F	6300
Victoria	65-74	Did not go to work		M	6151
Victoria	65-74	Ferry	1	F	3
Victoria	65-74	Ferry	1	M	9
Victoria	65-74	Method of travel not stated		F	853
Victoria	65-74	Method of travel not stated		M	909
Victoria	65-74	Motorbike scooter	1	F	20
Victoria	65-74	Motorbike scooter	1	M	184
Victoria	65-74	(Other)	1	F	283
Victoria	65-74	(Other)	1	M	670
Victoria	65-74	Other three methods	3	F	7
Victoria	65-74	Other three methods	3	M	23
Victoria	65-74	Other two methods	2	F	156
Victoria	65-74	Other two methods	2	M	295
Victoria	65-74	Taxi	1	F	41
Victoria	65-74	Taxi	1	M	99
Victoria	65-74	Train	1	F	951
Victoria	65-74	Train	1	M	1454
Victoria	65-74	Train and bus	2	F	182
Victoria	65-74	Train and bus	2	M	238
Victoria	65-74	Train and car as driver	2	F	192
Victoria	65-74	Train and car as driver	2	M	289
Victoria	65-74	Train and car as passenger	2	F	51
Victoria	65-74	Train and car as passenger	2	M	52
Victoria	65-74	Train and other	2	F	12
Victoria	65-74	Train and other	2	M	31
Victoria	65-74	Train and tram includes light rail	2	F	123
Victoria	65-74	Train and tram includes light rail	2	M	164
Victoria	65-74	Train and two other methods	3	F	164
Victoria	65-74	Train and two other methods	3	M	192
Victoria	65-74	Tram includes light rail	1	F	435
Victoria	65-74	Tram includes light rail	1	M	467
Victoria	65-74	Truck	1	F	30
Victoria	65-74	Truck	1	M	1190
Victoria	65-74	Walked only	1	F	1493
Victoria	65-74	Walked only	1	M	2070
Victoria	65-74	Worked at home		F	6168
Victoria	65-74	Worked at home		M	8310
Victoria	75+	Bicycle	1	F	14
Victoria	75+	Bicycle	1	M	37
Victoria	75+	Bus	1	F	24
Victoria	75+	Bus	1	M	35
Victoria	75+	Bus and car as driver	2	M	3
Victoria	75+	Bus and car as passenger	2	F	3
Victoria	75+	Bus and tram includes light rail	2	F	4
Victoria	75+	Bus and tram includes light rail	2	M	8
Victoria	75+	Car as driver	1	F	1417
Victoria	75+	Car as driver	1	M	4218
Victoria	75+	Car as passenger	1	F	218
Victoria	75+	Car as passenger	1	M	174
Victoria	75+	Did not go to work		F	655
Victoria	75+	Did not go to work		M	1089
Victoria	75+	Ferry	1	F	3
Victoria	75+	Ferry	1	M	3
Victoria	75+	Method of travel not stated		F	466
Victoria	75+	Method of travel not stated		M	522
Victoria	75+	Motorbike scooter	1	F	4
Victoria	75+	Motorbike scooter	1	M	45
Victoria	75+	(Other)	1	F	41
Victoria	75+	(Other)	1	M	157
Victoria	75+	Other two methods	2	F	13
Victoria	75+	Other two methods	2	M	50
Victoria	75+	Taxi	1	F	17
Victoria	75+	Taxi	1	M	19
Victoria	75+	Train	1	F	75
Victoria	75+	Train	1	M	118
Victoria	75+	Train and bus	2	F	14
Victoria	75+	Train and bus	2	M	18
Victoria	75+	Train and car as driver	2	F	12
Victoria	75+	Train and car as driver	2	M	20
Victoria	75+	Train and car as passenger	2	M	4
Victoria	75+	Train and other	2	M	3
Victoria	75+	Train and tram includes light rail	2	F	15
Victoria	75+	Train and tram includes light rail	2	M	11
Victoria	75+	Train and two other methods	3	F	15
Victoria	75+	Train and two other methods	3	M	24
Victoria	75+	Tram includes light rail	1	F	38
Victoria	75+	Tram includes light rail	1	M	74
Victoria	75+	Truck	1	F	10
Victoria	75+	Truck	1	M	220
Victoria	75+	Walked only	1	F	207
Victoria	75+	Walked only	1	M	494
Victoria	75+	Worked at home		F	1256
Victoria	75+	Worked at home		M	2445
Queensland	15-24	Bicycle	1	F	715
Queensland	15-24	Bicycle	1	M	2408
Queensland	15-24	Bus	1	F	8371
Queensland	15-24	Bus	1	M	5764
Queensland	15-24	Bus and car as driver	2	F	413
Queensland	15-24	Bus and car as driver	2	M	327
Queensland	15-24	Bus and car as passenger	2	F	833
Queensland	15-24	Bus and car as passenger	2	M	440
Queensland	15-24	Bus and ferry	2	F	57
Queensland	15-24	Bus and ferry	2	M	39
Queensland	15-24	Bus and other	2	F	98
Queensland	15-24	Bus and other	2	M	86
Queensland	15-24	Bus and tram includes light rail	2	F	114
Queensland	15-24	Bus and tram includes light rail	2	M	75
Queensland	15-24	Bus and two other methods excludes train	3	F	202
Queensland	15-24	Bus and two other methods excludes train	3	M	174
Queensland	15-24	Car as driver	1	F	86000
Queensland	15-24	Car as driver	1	M	91055
Queensland	15-24	Car as passenger	1	F	23841
Queensland	15-24	Car as passenger	1	M	22876
Queensland	15-24	Did not go to work		F	27159
Queensland	15-24	Did not go to work		M	18892
Queensland	15-24	Ferry	1	F	211
Queensland	15-24	Ferry	1	M	178
Queensland	15-24	Method of travel not stated		F	1684
Queensland	15-24	Method of travel not stated		M	2000
Queensland	15-24	Motorbike scooter	1	F	199
Queensland	15-24	Motorbike scooter	1	M	1980
Queensland	15-24	(Other)	1	F	433
Queensland	15-24	(Other)	1	M	909
Queensland	15-24	Other three methods	3	F	41
Queensland	15-24	Other three methods	3	M	76
Queensland	15-24	Other two methods	2	F	1016
Queensland	15-24	Other two methods	2	M	1656
Queensland	15-24	Taxi	1	F	351
Queensland	15-24	Taxi	1	M	305
Queensland	15-24	Train	1	F	3822
Queensland	15-24	Train	1	M	2995
Queensland	15-24	Train and bus	2	F	920
Queensland	15-24	Train and bus	2	M	747
Queensland	15-24	Train and car as driver	2	F	717
Queensland	15-24	Train and car as driver	2	M	542
Queensland	15-24	Train and car as passenger	2	F	291
Queensland	15-24	Train and car as passenger	2	M	268
Queensland	15-24	Train and ferry	2	F	10
Queensland	15-24	Train and ferry	2	M	4
Queensland	15-24	Train and other	2	F	36
Queensland	15-24	Train and other	2	M	91
Queensland	15-24	Train and tram includes light rail	2	F	3
Queensland	15-24	Train and tram includes light rail	2	M	4
Queensland	15-24	Train and two other methods	3	F	448
Queensland	15-24	Train and two other methods	3	M	443
Queensland	15-24	Tram includes light rail	1	F	295
Queensland	15-24	Tram includes light rail	1	M	219
Queensland	15-24	Truck	1	F	35
Queensland	15-24	Truck	1	M	843
Queensland	15-24	Walked only	1	F	7597
Queensland	15-24	Walked only	1	M	7507
Queensland	15-24	Worked at home		F	1786
Queensland	15-24	Worked at home		M	1666
Queensland	25-34	Bicycle	1	F	1563
Queensland	25-34	Bicycle	1	M	4042
Queensland	25-34	Bus	1	F	9886
Queensland	25-34	Bus	1	M	8387
Queensland	25-34	Bus and car as driver	2	F	611
Queensland	25-34	Bus and car as driver	2	M	576
Queensland	25-34	Bus and car as passenger	2	F	438
Queensland	25-34	Bus and car as passenger	2	M	221
Queensland	25-34	Bus and ferry	2	F	82
Queensland	25-34	Bus and ferry	2	M	143
Queensland	25-34	Bus and other	2	F	144
Queensland	25-34	Bus and other	2	M	207
Queensland	25-34	Bus and tram includes light rail	2	F	93
Queensland	25-34	Bus and tram includes light rail	2	M	75
Queensland	25-34	Bus and two other methods excludes train	3	F	188
Queensland	25-34	Bus and two other methods excludes train	3	M	350
Queensland	25-34	Car as driver	1	F	132388
Queensland	25-34	Car as driver	1	M	165760
Queensland	25-34	Car as passenger	1	F	11911
Queensland	25-34	Car as passenger	1	M	11046
Queensland	25-34	Did not go to work		F	29343
Queensland	25-34	Did not go to work		M	15591
Queensland	25-34	Ferry	1	F	500
Queensland	25-34	Ferry	1	M	518
Queensland	25-34	Method of travel not stated		F	1465
Queensland	25-34	Method of travel not stated		M	2038
Queensland	25-34	Motorbike scooter	1	F	522
Queensland	25-34	Motorbike scooter	1	M	4133
Queensland	25-34	(Other)	1	F	943
Queensland	25-34	(Other)	1	M	1976
Queensland	25-34	Other three methods	3	F	66
Queensland	25-34	Other three methods	3	M	160
Queensland	25-34	Other two methods	2	F	1279
Queensland	25-34	Other two methods	2	M	2527
Queensland	25-34	Taxi	1	F	401
Queensland	25-34	Taxi	1	M	468
Queensland	25-34	Train	1	F	6713
Queensland	25-34	Train	1	M	5660
Queensland	25-34	Train and bus	2	F	1104
Queensland	25-34	Train and bus	2	M	1008
Queensland	25-34	Train and car as driver	2	F	1497
Queensland	25-34	Train and car as driver	2	M	1206
Queensland	25-34	Train and car as passenger	2	F	383
Queensland	25-34	Train and car as passenger	2	M	259
Queensland	25-34	Train and ferry	2	F	11
Queensland	25-34	Train and ferry	2	M	10
Queensland	25-34	Train and other	2	F	67
Queensland	25-34	Train and other	2	M	172
Queensland	25-34	Train and tram includes light rail	2	F	12
Queensland	25-34	Train and tram includes light rail	2	M	7
Queensland	25-34	Train and two other methods	3	F	501
Queensland	25-34	Train and two other methods	3	M	490
Queensland	25-34	Tram includes light rail	1	F	368
Queensland	25-34	Tram includes light rail	1	M	288
Queensland	25-34	Truck	1	F	68
Queensland	25-34	Truck	1	M	2832
Queensland	25-34	Walked only	1	F	8575
Queensland	25-34	Walked only	1	M	8981
Queensland	25-34	Worked at home		F	9529
Queensland	25-34	Worked at home		M	4660
Queensland	35-44	Bicycle	1	F	1211
Queensland	35-44	Bicycle	1	M	4267
Queensland	35-44	Bus	1	F	5721
Queensland	35-44	Bus	1	M	6441
Queensland	35-44	Bus and car as driver	2	F	664
Queensland	35-44	Bus and car as driver	2	M	618
Queensland	35-44	Bus and car as passenger	2	F	267
Queensland	35-44	Bus and car as passenger	2	M	140
Queensland	35-44	Bus and ferry	2	F	79
Queensland	35-44	Bus and ferry	2	M	133
Queensland	35-44	Bus and other	2	F	90
Queensland	35-44	Bus and other	2	M	140
Queensland	35-44	Bus and tram includes light rail	2	F	47
Queensland	35-44	Bus and tram includes light rail	2	M	25
Queensland	35-44	Bus and two other methods excludes train	3	F	122
Queensland	35-44	Bus and two other methods excludes train	3	M	363
Queensland	35-44	Car as driver	1	F	149472
Queensland	35-44	Car as driver	1	M	170636
Queensland	35-44	Car as passenger	1	F	8400
Queensland	35-44	Car as passenger	1	M	6537
Queensland	35-44	Did not go to work		F	23331
Queensland	35-44	Did not go to work		M	14710
Queensland	35-44	Ferry	1	F	272
Queensland	35-44	Ferry	1	M	380
Queensland	35-44	Method of travel not stated		F	1565
Queensland	35-44	Method of travel not stated		M	1796
Queensland	35-44	Motorbike scooter	1	F	457
Queensland	35-44	Motorbike scooter	1	M	4071
Queensland	35-44	(Other)	1	F	960
Queensland	35-44	(Other)	1	M	2119
Queensland	35-44	Other three methods	3	F	52
Queensland	35-44	Other three methods	3	M	164
Queensland	35-44	Other two methods	2	F	1091
Queensland	35-44	Other two methods	2	M	2288
Queensland	35-44	Taxi	1	F	275
Queensland	35-44	Taxi	1	M	388
Queensland	35-44	Train	1	F	4872
Queensland	35-44	Train	1	M	5246
Queensland	35-44	Train and bus	2	F	629
Queensland	35-44	Train and bus	2	M	809
Queensland	35-44	Train and car as driver	2	F	1630
Queensland	35-44	Train and car as driver	2	M	1706
Queensland	35-44	Train and car as passenger	2	F	284
Queensland	35-44	Train and car as passenger	2	M	184
Queensland	35-44	Train and ferry	2	M	4
Queensland	35-44	Train and other	2	F	47
Queensland	35-44	Train and other	2	M	222
Queensland	35-44	Train and tram includes light rail	2	F	4
Queensland	35-44	Train and tram includes light rail	2	M	3
Queensland	35-44	Train and two other methods	3	F	339
Queensland	35-44	Train and two other methods	3	M	444
Queensland	35-44	Tram includes light rail	1	F	109
Queensland	35-44	Tram includes light rail	1	M	127
Queensland	35-44	Truck	1	F	99
Queensland	35-44	Truck	1	M	4124
Queensland	35-44	Walked only	1	F	5654
Queensland	35-44	Walked only	1	M	5819
Queensland	35-44	Worked at home		F	17215
Queensland	35-44	Worked at home		M	8750
Queensland	45-54	Bicycle	1	F	1157
Queensland	45-54	Bicycle	1	M	3667
Queensland	45-54	Bus	1	F	5000
Queensland	45-54	Bus	1	M	4772
Queensland	45-54	Bus and car as driver	2	F	515
Queensland	45-54	Bus and car as driver	2	M	459
Queensland	45-54	Bus and car as passenger	2	F	258
Queensland	45-54	Bus and car as passenger	2	M	105
Queensland	45-54	Bus and ferry	2	F	72
Queensland	45-54	Bus and ferry	2	M	103
Queensland	45-54	Bus and other	2	F	60
Queensland	45-54	Bus and other	2	M	91
Queensland	45-54	Bus and tram includes light rail	2	F	50
Queensland	45-54	Bus and tram includes light rail	2	M	21
Queensland	45-54	Bus and two other methods excludes train	3	F	115
Queensland	45-54	Bus and two other methods excludes train	3	M	247
Queensland	45-54	Car as driver	1	F	158022
Queensland	45-54	Car as driver	1	M	165337
Queensland	45-54	Car as passenger	1	F	9861
Queensland	45-54	Car as passenger	1	M	4989
Queensland	45-54	Did not go to work		F	20272
Queensland	45-54	Did not go to work		M	14667
Queensland	45-54	Ferry	1	F	230
Queensland	45-54	Ferry	1	M	273
Queensland	45-54	Method of travel not stated		F	1640
Queensland	45-54	Method of travel not stated		M	1866
Queensland	45-54	Motorbike scooter	1	F	529
Queensland	45-54	Motorbike scooter	1	M	4338
Queensland	45-54	(Other)	1	F	1103
Queensland	45-54	(Other)	1	M	2294
Queensland	45-54	Other three methods	3	F	69
Queensland	45-54	Other three methods	3	M	153
Queensland	45-54	Other two methods	2	F	1091
Queensland	45-54	Other two methods	2	M	2114
Queensland	45-54	Taxi	1	F	317
Queensland	45-54	Taxi	1	M	372
Queensland	45-54	Train	1	F	3986
Queensland	45-54	Train	1	M	3827
Queensland	45-54	Train and bus	2	F	539
Queensland	45-54	Train and bus	2	M	542
Queensland	45-54	Train and car as driver	2	F	1330
Queensland	45-54	Train and car as driver	2	M	1516
Queensland	45-54	Train and car as passenger	2	F	274
Queensland	45-54	Train and car as passenger	2	M	149
Queensland	45-54	Train and ferry	2	F	4
Queensland	45-54	Train and ferry	2	M	4
Queensland	45-54	Train and other	2	F	40
Queensland	45-54	Train and other	2	M	166
Queensland	45-54	Train and tram includes light rail	2	M	5
Queensland	45-54	Train and two other methods	3	F	343
Queensland	45-54	Train and two other methods	3	M	320
Queensland	45-54	Tram includes light rail	1	F	123
Queensland	45-54	Tram includes light rail	1	M	79
Queensland	45-54	Truck	1	F	155
Queensland	45-54	Truck	1	M	5411
Queensland	45-54	Walked only	1	F	6334
Queensland	45-54	Walked only	1	M	5820
Queensland	45-54	Worked at home		F	16501
Queensland	45-54	Worked at home		M	11431
Queensland	55-64	Bicycle	1	F	524
Queensland	55-64	Bicycle	1	M	1797
Queensland	55-64	Bus	1	F	3050
Queensland	55-64	Bus	1	M	2797
Queensland	55-64	Bus and car as driver	2	F	306
Queensland	55-64	Bus and car as driver	2	M	230
Queensland	55-64	Bus and car as passenger	2	F	158
Queensland	55-64	Bus and car as passenger	2	M	38
Queensland	55-64	Bus and ferry	2	F	46
Queensland	55-64	Bus and ferry	2	M	49
Queensland	55-64	Bus and other	2	F	36
Queensland	55-64	Bus and other	2	M	49
Queensland	55-64	Bus and tram includes light rail	2	F	39
Queensland	55-64	Bus and tram includes light rail	2	M	22
Queensland	55-64	Bus and two other methods excludes train	3	F	57
Queensland	55-64	Bus and two other methods excludes train	3	M	102
Queensland	55-64	Car as driver	1	F	95457
Queensland	55-64	Car as driver	1	M	111746
Queensland	55-64	Car as passenger	1	F	7024
Queensland	55-64	Car as passenger	1	M	3159
Queensland	55-64	Did not go to work		F	17514
Queensland	55-64	Did not go to work		M	13687
Queensland	55-64	Ferry	1	F	132
Queensland	55-64	Ferry	1	M	174
Queensland	55-64	Method of travel not stated		F	1261
Queensland	55-64	Method of travel not stated		M	1428
Queensland	55-64	Motorbike scooter	1	F	225
Queensland	55-64	Motorbike scooter	1	M	2766
Queensland	55-64	(Other)	1	F	861
Queensland	55-64	(Other)	1	M	1802
Queensland	55-64	Other three methods	3	F	33
Queensland	55-64	Other three methods	3	M	95
Queensland	55-64	Other two methods	2	F	687
Queensland	55-64	Other two methods	2	M	1340
Queensland	55-64	Taxi	1	F	190
Queensland	55-64	Taxi	1	M	260
Queensland	55-64	Train	1	F	2185
Queensland	55-64	Train	1	M	2157
Queensland	55-64	Train and bus	2	F	379
Queensland	55-64	Train and bus	2	M	318
Queensland	55-64	Train and car as driver	2	F	675
Queensland	55-64	Train and car as driver	2	M	803
Queensland	55-64	Train and car as passenger	2	F	134
Queensland	55-64	Train and car as passenger	2	M	102
Queensland	55-64	Train and ferry	2	F	6
Queensland	55-64	Train and other	2	F	17
Queensland	55-64	Train and other	2	M	102
Queensland	55-64	Train and tram includes light rail	2	F	4
Queensland	55-64	Train and two other methods	3	F	195
Queensland	55-64	Train and two other methods	3	M	181
Queensland	55-64	Tram includes light rail	1	F	82
Queensland	55-64	Tram includes light rail	1	M	69
Queensland	55-64	Truck	1	F	130
Queensland	55-64	Truck	1	M	4589
Queensland	55-64	Walked only	1	F	4930
Queensland	55-64	Walked only	1	M	5118
Queensland	55-64	Worked at home		F	13043
Queensland	55-64	Worked at home		M	11610
Queensland	65-74	Bicycle	1	F	45
Queensland	65-74	Bicycle	1	M	236
Queensland	65-74	Bus	1	F	506
Queensland	65-74	Bus	1	M	536
Queensland	65-74	Bus and car as driver	2	F	45
Queensland	65-74	Bus and car as driver	2	M	43
Queensland	65-74	Bus and car as passenger	2	F	37
Queensland	65-74	Bus and car as passenger	2	M	13
Queensland	65-74	Bus and ferry	2	M	12
Queensland	65-74	Bus and other	2	F	3
Queensland	65-74	Bus and other	2	M	4
Queensland	65-74	Bus and tram includes light rail	2	F	10
Queensland	65-74	Bus and tram includes light rail	2	M	10
Queensland	65-74	Bus and two other methods excludes train	3	F	8
Queensland	65-74	Bus and two other methods excludes train	3	M	11
Queensland	65-74	Car as driver	1	F	15401
Queensland	65-74	Car as driver	1	M	25375
Queensland	65-74	Car as passenger	1	F	1585
Queensland	65-74	Car as passenger	1	M	742
Queensland	65-74	Did not go to work		F	4622
Queensland	65-74	Did not go to work		M	4863
Queensland	65-74	Ferry	1	F	21
Queensland	65-74	Ferry	1	M	33
Queensland	65-74	Method of travel not stated		F	621
Queensland	65-74	Method of travel not stated		M	670
Queensland	65-74	Motorbike scooter	1	F	43
Queensland	65-74	Motorbike scooter	1	M	336
Queensland	65-74	(Other)	1	F	297
Queensland	65-74	(Other)	1	M	699
Queensland	65-74	Other three methods	3	F	6
Queensland	65-74	Other three methods	3	M	20
Queensland	65-74	Other two methods	2	F	125
Queensland	65-74	Other two methods	2	M	257
Queensland	65-74	Taxi	1	F	42
Queensland	65-74	Taxi	1	M	112
Queensland	65-74	Train	1	F	292
Queensland	65-74	Train	1	M	310
Queensland	65-74	Train and bus	2	F	67
Queensland	65-74	Train and bus	2	M	62
Queensland	65-74	Train and car as driver	2	F	90
Queensland	65-74	Train and car as driver	2	M	127
Queensland	65-74	Train and car as passenger	2	F	21
Queensland	65-74	Train and car as passenger	2	M	15
Queensland	65-74	Train and other	2	F	3
Queensland	65-74	Train and other	2	M	16
Queensland	65-74	Train and two other methods	3	F	30
Queensland	65-74	Train and two other methods	3	M	27
Queensland	65-74	Tram includes light rail	1	F	9
Queensland	65-74	Tram includes light rail	1	M	20
Queensland	65-74	Truck	1	F	42
Queensland	65-74	Truck	1	M	1407
Queensland	65-74	Walked only	1	F	1162
Queensland	65-74	Walked only	1	M	1707
Queensland	65-74	Worked at home		F	5578
Queensland	65-74	Worked at home		M	7024
Queensland	75+	Bicycle	1	F	7
Queensland	75+	Bicycle	1	M	21
Queensland	75+	Bus	1	F	32
Queensland	75+	Bus	1	M	54
Queensland	75+	Bus and car as driver	2	M	8
Queensland	75+	Car as driver	1	F	869
Queensland	75+	Car as driver	1	M	2495
Queensland	75+	Car as passenger	1	F	171
Queensland	75+	Car as passenger	1	M	130
Queensland	75+	Did not go to work		F	457
Queensland	75+	Did not go to work		M	678
Queensland	75+	Ferry	1	F	3
Queensland	75+	Ferry	1	M	3
Queensland	75+	Method of travel not stated		F	408
Queensland	75+	Method of travel not stated		M	382
Queensland	75+	Motorbike scooter	1	F	4
Queensland	75+	Motorbike scooter	1	M	52
Queensland	75+	(Other)	1	F	63
Queensland	75+	(Other)	1	M	140
Queensland	75+	Other two methods	2	F	10
Queensland	75+	Other two methods	2	M	31
Queensland	75+	Taxi	1	F	6
Queensland	75+	Taxi	1	M	18
Queensland	75+	Train	1	F	16
Queensland	75+	Train	1	M	25
Queensland	75+	Train and bus	2	M	5
Queensland	75+	Train and car as driver	2	F	3
Queensland	75+	Train and car as driver	2	M	8
Queensland	75+	Train and car as passenger	2	M	5
Queensland	75+	Train and two other methods	3	M	5
Queensland	75+	Tram includes light rail	1	M	3
Queensland	75+	Truck	1	F	10
Queensland	75+	Truck	1	M	173
Queensland	75+	Walked only	1	F	155
Queensland	75+	Walked only	1	M	371
Queensland	75+	Worked at home		F	1078
Queensland	75+	Worked at home		M	2077
South Australia	15-24	Bicycle	1	F	211
South Australia	15-24	Bicycle	1	M	471
South Australia	15-24	Bus	1	F	2959
South Australia	15-24	Bus	1	M	1914
South Australia	15-24	Bus and car as driver	2	F	234
South Australia	15-24	Bus and car as driver	2	M	150
South Australia	15-24	Bus and car as passenger	2	F	264
South Australia	15-24	Bus and car as passenger	2	M	146
South Australia	15-24	Bus and other	2	F	27
South Australia	15-24	Bus and other	2	M	35
South Australia	15-24	Bus and tram includes light rail	2	F	30
South Australia	15-24	Bus and tram includes light rail	2	M	27
South Australia	15-24	Bus and two other methods excludes train	3	F	62
South Australia	15-24	Bus and two other methods excludes train	3	M	56
South Australia	15-24	Car as driver	1	F	27548
South Australia	15-24	Car as driver	1	M	30523
South Australia	15-24	Car as passenger	1	F	6287
South Australia	15-24	Car as passenger	1	M	5468
South Australia	15-24	Did not go to work		F	10499
South Australia	15-24	Did not go to work		M	7056
South Australia	15-24	Ferry	1	F	3
South Australia	15-24	Ferry	1	M	10
South Australia	15-24	Method of travel not stated		F	577
South Australia	15-24	Method of travel not stated		M	686
South Australia	15-24	Motorbike scooter	1	F	51
South Australia	15-24	Motorbike scooter	1	M	469
South Australia	15-24	(Other)	1	F	93
South Australia	15-24	(Other)	1	M	240
South Australia	15-24	Other three methods	3	F	6
South Australia	15-24	Other three methods	3	M	17
South Australia	15-24	Other two methods	2	F	355
South Australia	15-24	Other two methods	2	M	483
South Australia	15-24	Taxi	1	F	61
South Australia	15-24	Taxi	1	M	73
South Australia	15-24	Train	1	F	751
South Australia	15-24	Train	1	M	625
South Australia	15-24	Train and bus	2	F	157
South Australia	15-24	Train and bus	2	M	178
South Australia	15-24	Train and car as driver	2	F	170
South Australia	15-24	Train and car as driver	2	M	125
South Australia	15-24	Train and car as passenger	2	F	51
South Australia	15-24	Train and car as passenger	2	M	40
South Australia	15-24	Train and other	2	F	3
South Australia	15-24	Train and other	2	M	17
South Australia	15-24	Train and tram includes light rail	2	F	29
South Australia	15-24	Train and tram includes light rail	2	M	15
South Australia	15-24	Train and two other methods	3	F	116
South Australia	15-24	Train and two other methods	3	M	77
South Australia	15-24	Tram includes light rail	1	F	261
South Australia	15-24	Tram includes light rail	1	M	163
South Australia	15-24	Truck	1	F	9
South Australia	15-24	Truck	1	M	168
South Australia	15-24	Walked only	1	F	1788
South Australia	15-24	Walked only	1	M	1895
South Australia	15-24	Worked at home		F	418
