STE_NAME16	CountryOfBirth	EmploymentStatus	workers
South Australia	MYS	Owner managers of unincorporated enterprises	322
South Australia	MYS	Status in employment not stated	24
South Australia	MLT	Contributing family workers	7
South Australia	MLT	Employee	252
South Australia	MLT	Owner managers of incorporated enterprises	34
South Australia	MLT	Owner managers of unincorporated enterprises	52
South Australia	MLT	Status in employment not stated	4
South Australia	NLD	Contributing family workers	73
South Australia	NLD	Employee	1413
South Australia	NLD	Owner managers of incorporated enterprises	164
South Australia	NLD	Owner managers of unincorporated enterprises	317
South Australia	NLD	Status in employment not stated	37
South Australia	NZL	Contributing family workers	94
South Australia	NZL	Employee	6499
South Australia	NZL	Owner managers of incorporated enterprises	431
South Australia	NZL	Owner managers of unincorporated enterprises	673
South Australia	NZL	Status in employment not stated	75
South Australia	PAK	Contributing family workers	8
South Australia	PAK	Employee	1074
South Australia	PAK	Owner managers of incorporated enterprises	86
South Australia	PAK	Owner managers of unincorporated enterprises	95
South Australia	PAK	Status in employment not stated	13
South Australia	PHL	Contributing family workers	41
South Australia	PHL	Employee	6824
South Australia	PHL	Owner managers of incorporated enterprises	74
South Australia	PHL	Owner managers of unincorporated enterprises	168
South Australia	PHL	Status in employment not stated	71
South Australia	POL	Contributing family workers	33
South Australia	POL	Employee	1793
South Australia	POL	Owner managers of incorporated enterprises	135
South Australia	POL	Owner managers of unincorporated enterprises	234
South Australia	POL	Status in employment not stated	25
South Australia	SGP	Contributing family workers	27
South Australia	SGP	Employee	1004
South Australia	SGP	Owner managers of incorporated enterprises	89
South Australia	SGP	Owner managers of unincorporated enterprises	76
South Australia	SGP	Status in employment not stated	9
South Australia	ZAF	Contributing family workers	33
South Australia	ZAF	Employee	3560
South Australia	ZAF	Owner managers of incorporated enterprises	186
South Australia	ZAF	Owner managers of unincorporated enterprises	300
South Australia	ZAF	Status in employment not stated	16
South Australia	KOR	Contributing family workers	84
South Australia	KOR	Employee	1434
South Australia	KOR	Owner managers of incorporated enterprises	143
South Australia	KOR	Owner managers of unincorporated enterprises	171
South Australia	KOR	Status in employment not stated	22
South Australia	LKA	Contributing family workers	14
South Australia	LKA	Employee	1850
South Australia	LKA	Owner managers of incorporated enterprises	78
South Australia	LKA	Owner managers of unincorporated enterprises	117
South Australia	LKA	Status in employment not stated	21
South Australia	THA	Contributing family workers	45
South Australia	THA	Employee	1199
South Australia	THA	Owner managers of incorporated enterprises	67
South Australia	THA	Owner managers of unincorporated enterprises	129
South Australia	THA	Status in employment not stated	9
South Australia	TUR	Contributing family workers	8
South Australia	TUR	Employee	177
South Australia	TUR	Owner managers of incorporated enterprises	30
South Australia	TUR	Owner managers of unincorporated enterprises	35
South Australia	TUR	Status in employment not stated	3
South Australia	GBR	Contributing family workers	655
South Australia	GBR	Employee	43346
South Australia	GBR	Owner managers of incorporated enterprises	2757
South Australia	GBR	Owner managers of unincorporated enterprises	5250
South Australia	GBR	Status in employment not stated	434
South Australia	USA	Contributing family workers	29
South Australia	USA	Employee	1919
South Australia	USA	Owner managers of incorporated enterprises	123
South Australia	USA	Owner managers of unincorporated enterprises	195
South Australia	USA	Status in employment not stated	16
South Australia	VNM	Contributing family workers	287
South Australia	VNM	Employee	5054
South Australia	VNM	Owner managers of incorporated enterprises	491
South Australia	VNM	Owner managers of unincorporated enterprises	1177
South Australia	VNM	Status in employment not stated	95
South Australia	ZWE	Contributing family workers	3
South Australia	ZWE	Employee	892
South Australia	ZWE	Owner managers of incorporated enterprises	26
South Australia	ZWE	Owner managers of unincorporated enterprises	51
South Australia	ZWE	Status in employment not stated	10
Western Australia		Contributing family workers	1140
Western Australia		Employee	63713
Western Australia		Owner managers of incorporated enterprises	3883
Western Australia		Owner managers of unincorporated enterprises	6008
Western Australia		Status in employment not stated	1335
Western Australia	AUS	Contributing family workers	11686
Western Australia	AUS	Employee	586382
Western Australia	AUS	Owner managers of incorporated enterprises	42965
Western Australia	AUS	Owner managers of unincorporated enterprises	55348
Western Australia	AUS	Status in employment not stated	5721
Western Australia	CAN	Contributing family workers	41
Western Australia	CAN	Employee	3015
Western Australia	CAN	Owner managers of incorporated enterprises	200
Western Australia	CAN	Owner managers of unincorporated enterprises	261
Western Australia	CAN	Status in employment not stated	16
Western Australia	CHN	Contributing family workers	438
Western Australia	CHN	Employee	10761
Western Australia	CHN	Owner managers of incorporated enterprises	1167
Western Australia	CHN	Owner managers of unincorporated enterprises	969
Western Australia	CHN	Status in employment not stated	88
Western Australia	HRV	Contributing family workers	36
Western Australia	HRV	Employee	1434
Western Australia	HRV	Owner managers of incorporated enterprises	134
Western Australia	HRV	Owner managers of unincorporated enterprises	242
Western Australia	HRV	Status in employment not stated	37
Western Australia	EGY	Contributing family workers	13
Western Australia	EGY	Employee	662
Western Australia	EGY	Owner managers of incorporated enterprises	73
Western Australia	EGY	Owner managers of unincorporated enterprises	90
Western Australia	EGY	Status in employment not stated	10
Western Australia	FJI	Contributing family workers	3
Western Australia	FJI	Employee	748
Western Australia	FJI	Owner managers of incorporated enterprises	22
Western Australia	FJI	Owner managers of unincorporated enterprises	34
Western Australia	FJI	Status in employment not stated	11
Western Australia	MKD	Contributing family workers	25
Western Australia	MKD	Employee	1241
Western Australia	MKD	Owner managers of incorporated enterprises	124
Western Australia	MKD	Owner managers of unincorporated enterprises	158
Western Australia	MKD	Status in employment not stated	17
Western Australia	DEU	Contributing family workers	109
Western Australia	DEU	Employee	4279
Western Australia	DEU	Owner managers of incorporated enterprises	365
Western Australia	DEU	Owner managers of unincorporated enterprises	611
Western Australia	DEU	Status in employment not stated	38
Western Australia	GRC	Contributing family workers	12
Western Australia	GRC	Employee	424
Western Australia	GRC	Owner managers of incorporated enterprises	76
Western Australia	GRC	Owner managers of unincorporated enterprises	82
Western Australia	GRC	Status in employment not stated	9
Western Australia	HKG	Contributing family workers	56
Western Australia	HKG	Employee	3037
Western Australia	HKG	Owner managers of incorporated enterprises	198
Western Australia	HKG	Owner managers of unincorporated enterprises	246
Western Australia	HKG	Status in employment not stated	24
Western Australia	IND	Contributing family workers	263
Western Australia	IND	Employee	26270
Western Australia	IND	Owner managers of incorporated enterprises	1483
Western Australia	IND	Owner managers of unincorporated enterprises	1620
Western Australia	IND	Status in employment not stated	224
Western Australia	IDN	Contributing family workers	96
Western Australia	IDN	Employee	5174
Western Australia	IDN	Owner managers of incorporated enterprises	349
Western Australia	IDN	Owner managers of unincorporated enterprises	315
Western Australia	IDN	Status in employment not stated	38
Western Australia	IRN	Contributing family workers	54
Western Australia	IRN	Employee	2424
Western Australia	IRN	Owner managers of incorporated enterprises	199
Western Australia	IRN	Owner managers of unincorporated enterprises	310
Western Australia	IRN	Status in employment not stated	26
Western Australia	IRQ	Contributing family workers	18
Western Australia	IRQ	Employee	688
Western Australia	IRQ	Owner managers of incorporated enterprises	76
Western Australia	IRQ	Owner managers of unincorporated enterprises	127
Western Australia	IRQ	Status in employment not stated	19
Western Australia	IRL	Contributing family workers	98
Western Australia	IRL	Employee	10723
Western Australia	IRL	Owner managers of incorporated enterprises	673
Western Australia	IRL	Owner managers of unincorporated enterprises	734
Western Australia	IRL	Status in employment not stated	84
Western Australia	ITA	Contributing family workers	240
Western Australia	ITA	Employee	4524
Western Australia	ITA	Owner managers of incorporated enterprises	811
Western Australia	ITA	Owner managers of unincorporated enterprises	860
Western Australia	ITA	Status in employment not stated	95
Western Australia	JPN	Contributing family workers	38
Western Australia	JPN	Employee	2029
Western Australia	JPN	Owner managers of incorporated enterprises	103
Western Australia	JPN	Owner managers of unincorporated enterprises	176
Western Australia	JPN	Status in employment not stated	20
Western Australia	LBN	Contributing family workers	13
Western Australia	LBN	Employee	319
Western Australia	LBN	Owner managers of incorporated enterprises	73
Western Australia	LBN	Owner managers of unincorporated enterprises	68
Western Australia	LBN	Status in employment not stated	4
Western Australia	MYS	Contributing family workers	220
Western Australia	MYS	Employee	13821
Western Australia	MYS	Owner managers of incorporated enterprises	1009
Western Australia	MYS	Owner managers of unincorporated enterprises	1095
Western Australia	MYS	Status in employment not stated	89
Western Australia	MLT	Contributing family workers	11
Western Australia	MLT	Employee	282
Western Australia	MLT	Owner managers of incorporated enterprises	31
Western Australia	MLT	Owner managers of unincorporated enterprises	29
Western Australia	MLT	Status in employment not stated	3
Western Australia	NLD	Contributing family workers	81
Western Australia	NLD	Employee	2516
Western Australia	NLD	Owner managers of incorporated enterprises	271
Western Australia	NLD	Owner managers of unincorporated enterprises	444
Western Australia	NLD	Status in employment not stated	35
Western Australia	NZL	Contributing family workers	477
Western Australia	NZL	Employee	46380
Western Australia	NZL	Owner managers of incorporated enterprises	2185
Western Australia	NZL	Owner managers of unincorporated enterprises	3169
Western Australia	NZL	Status in employment not stated	483
Western Australia	PAK	Contributing family workers	24
Western Australia	PAK	Employee	2224
Western Australia	PAK	Owner managers of incorporated enterprises	111
Western Australia	PAK	Owner managers of unincorporated enterprises	242
Western Australia	PAK	Status in employment not stated	28
Western Australia	PHL	Contributing family workers	104
Western Australia	PHL	Employee	17150
Western Australia	PHL	Owner managers of incorporated enterprises	171
Western Australia	PHL	Owner managers of unincorporated enterprises	305
Western Australia	PHL	Status in employment not stated	153
Western Australia	POL	Contributing family workers	41
Western Australia	POL	Employee	2224
Western Australia	POL	Owner managers of incorporated enterprises	188
Western Australia	POL	Owner managers of unincorporated enterprises	396
Western Australia	POL	Status in employment not stated	18
Western Australia	SGP	Contributing family workers	104
Western Australia	SGP	Employee	6930
Western Australia	SGP	Owner managers of incorporated enterprises	498
Western Australia	SGP	Owner managers of unincorporated enterprises	471
Western Australia	SGP	Status in employment not stated	39
Western Australia	ZAF	Contributing family workers	294
Western Australia	ZAF	Employee	22292
Western Australia	ZAF	Owner managers of incorporated enterprises	1739
Western Australia	ZAF	Owner managers of unincorporated enterprises	1806
Western Australia	ZAF	Status in employment not stated	141
Western Australia	KOR	Contributing family workers	75
Western Australia	KOR	Employee	3244
Western Australia	KOR	Owner managers of incorporated enterprises	407
Western Australia	KOR	Owner managers of unincorporated enterprises	299
Western Australia	KOR	Status in employment not stated	38
Western Australia	LKA	Contributing family workers	41
Western Australia	LKA	Employee	4003
Western Australia	LKA	Owner managers of incorporated enterprises	196
Western Australia	LKA	Owner managers of unincorporated enterprises	237
Western Australia	LKA	Status in employment not stated	40
Western Australia	THA	Contributing family workers	61
Western Australia	THA	Employee	3283
Western Australia	THA	Owner managers of incorporated enterprises	121
Western Australia	THA	Owner managers of unincorporated enterprises	257
Western Australia	THA	Status in employment not stated	27
Western Australia	TUR	Contributing family workers	22
Western Australia	TUR	Employee	344
Western Australia	TUR	Owner managers of incorporated enterprises	85
Western Australia	TUR	Owner managers of unincorporated enterprises	89
Western Australia	TUR	Status in employment not stated	11
Western Australia	GBR	Contributing family workers	1541
Western Australia	GBR	Employee	106861
Western Australia	GBR	Owner managers of incorporated enterprises	7687
Western Australia	GBR	Owner managers of unincorporated enterprises	12393
Western Australia	GBR	Status in employment not stated	917
Western Australia	USA	Contributing family workers	95
Western Australia	USA	Employee	4231
Western Australia	USA	Owner managers of incorporated enterprises	284
Western Australia	USA	Owner managers of unincorporated enterprises	378
Western Australia	USA	Status in employment not stated	23
Western Australia	VNM	Contributing family workers	370
Western Australia	VNM	Employee	6431
Western Australia	VNM	Owner managers of incorporated enterprises	682
Western Australia	VNM	Owner managers of unincorporated enterprises	1513
Western Australia	VNM	Status in employment not stated	122
Western Australia	ZWE	Contributing family workers	95
Western Australia	ZWE	Employee	7235
Western Australia	ZWE	Owner managers of incorporated enterprises	459
Western Australia	ZWE	Owner managers of unincorporated enterprises	425
Western Australia	ZWE	Status in employment not stated	37
Tasmania		Contributing family workers	175
Tasmania		Employee	6234
Tasmania		Owner managers of incorporated enterprises	396
Tasmania		Owner managers of unincorporated enterprises	778
Tasmania		Status in employment not stated	277
Tasmania	AUS	Contributing family workers	3008
Tasmania	AUS	Employee	156120
Tasmania	AUS	Owner managers of incorporated enterprises	8610
Tasmania	AUS	Owner managers of unincorporated enterprises	15810
Tasmania	AUS	Status in employment not stated	2056
Tasmania	CAN	Contributing family workers	7
Tasmania	CAN	Employee	386
Tasmania	CAN	Owner managers of incorporated enterprises	28
Tasmania	CAN	Owner managers of unincorporated enterprises	57
Tasmania	CAN	Status in employment not stated	3
Tasmania	CHN	Contributing family workers	43
Tasmania	CHN	Employee	897
Tasmania	CHN	Owner managers of incorporated enterprises	93
Tasmania	CHN	Owner managers of unincorporated enterprises	117
Tasmania	CHN	Status in employment not stated	9
Tasmania	HRV	Employee	43
Tasmania	HRV	Owner managers of incorporated enterprises	7
Tasmania	HRV	Owner managers of unincorporated enterprises	3
Tasmania	EGY	Employee	33
Tasmania	EGY	Owner managers of incorporated enterprises	5
Tasmania	EGY	Owner managers of unincorporated enterprises	5
Tasmania	FJI	Employee	120
Tasmania	FJI	Owner managers of incorporated enterprises	7
Tasmania	FJI	Owner managers of unincorporated enterprises	9
Tasmania	MKD	Employee	10
Tasmania	DEU	Contributing family workers	29
Tasmania	DEU	Employee	534
Tasmania	DEU	Owner managers of incorporated enterprises	43
Tasmania	DEU	Owner managers of unincorporated enterprises	109
Tasmania	DEU	Status in employment not stated	6
Tasmania	GRC	Contributing family workers	13
Tasmania	GRC	Employee	62
Tasmania	GRC	Owner managers of incorporated enterprises	24
Tasmania	GRC	Owner managers of unincorporated enterprises	33
Tasmania	GRC	Status in employment not stated	8
Tasmania	HKG	Contributing family workers	6
Tasmania	HKG	Employee	188
Tasmania	HKG	Owner managers of incorporated enterprises	23
Tasmania	HKG	Owner managers of unincorporated enterprises	16
Tasmania	HKG	Status in employment not stated	3
Tasmania	IND	Contributing family workers	20
Tasmania	IND	Employee	949
Tasmania	IND	Owner managers of incorporated enterprises	83
Tasmania	IND	Owner managers of unincorporated enterprises	108
Tasmania	IND	Status in employment not stated	16
Tasmania	IDN	Employee	109
Tasmania	IDN	Owner managers of incorporated enterprises	5
Tasmania	IDN	Owner managers of unincorporated enterprises	13
Tasmania	IRN	Contributing family workers	4
Tasmania	IRN	Employee	99
Tasmania	IRN	Owner managers of incorporated enterprises	11
Tasmania	IRN	Owner managers of unincorporated enterprises	16
Tasmania	IRN	Status in employment not stated	3
Tasmania	IRQ	Employee	31
Tasmania	IRL	Contributing family workers	11
Tasmania	IRL	Employee	266
Tasmania	IRL	Owner managers of incorporated enterprises	17
Tasmania	IRL	Owner managers of unincorporated enterprises	31
Tasmania	IRL	Status in employment not stated	3
Tasmania	ITA	Contributing family workers	10
Tasmania	ITA	Employee	140
Tasmania	ITA	Owner managers of incorporated enterprises	22
Tasmania	ITA	Owner managers of unincorporated enterprises	47
Tasmania	ITA	Status in employment not stated	3
Tasmania	JPN	Contributing family workers	3
Tasmania	JPN	Employee	179
Tasmania	JPN	Owner managers of incorporated enterprises	8
Tasmania	JPN	Owner managers of unincorporated enterprises	19
Tasmania	LBN	Contributing family workers	3
Tasmania	LBN	Employee	19
Tasmania	LBN	Owner managers of incorporated enterprises	6
Tasmania	LBN	Owner managers of unincorporated enterprises	7
Tasmania	MYS	Contributing family workers	15
Tasmania	MYS	Employee	534
Tasmania	MYS	Owner managers of incorporated enterprises	29
Tasmania	MYS	Owner managers of unincorporated enterprises	41
Tasmania	MLT	Employee	21
Tasmania	MLT	Owner managers of incorporated enterprises	9
Tasmania	MLT	Owner managers of unincorporated enterprises	5
Tasmania	NLD	Contributing family workers	29
Tasmania	NLD	Employee	384
Tasmania	NLD	Owner managers of incorporated enterprises	69
Tasmania	NLD	Owner managers of unincorporated enterprises	124
Tasmania	NLD	Status in employment not stated	9
Tasmania	NZL	Contributing family workers	70
Tasmania	NZL	Employee	2238
Tasmania	NZL	Owner managers of incorporated enterprises	157
Tasmania	NZL	Owner managers of unincorporated enterprises	300
Tasmania	NZL	Status in employment not stated	33
Tasmania	PAK	Contributing family workers	3
Tasmania	PAK	Employee	121
Tasmania	PAK	Owner managers of incorporated enterprises	13
Tasmania	PAK	Owner managers of unincorporated enterprises	14
Tasmania	PAK	Status in employment not stated	3
Tasmania	PHL	Contributing family workers	16
Tasmania	PHL	Employee	734
Tasmania	PHL	Owner managers of incorporated enterprises	14
Tasmania	PHL	Owner managers of unincorporated enterprises	21
Tasmania	PHL	Status in employment not stated	12
Tasmania	POL	Contributing family workers	3
Tasmania	POL	Employee	152
Tasmania	POL	Owner managers of incorporated enterprises	16
Tasmania	POL	Owner managers of unincorporated enterprises	31
Tasmania	SGP	Contributing family workers	3
Tasmania	SGP	Employee	188
Tasmania	SGP	Owner managers of incorporated enterprises	12
Tasmania	SGP	Owner managers of unincorporated enterprises	18
Tasmania	SGP	Status in employment not stated	3
Tasmania	ZAF	Contributing family workers	18
Tasmania	ZAF	Employee	708
Tasmania	ZAF	Owner managers of incorporated enterprises	88
Tasmania	ZAF	Owner managers of unincorporated enterprises	90
Tasmania	ZAF	Status in employment not stated	4
Tasmania	KOR	Contributing family workers	3
Tasmania	KOR	Employee	242
Tasmania	KOR	Owner managers of incorporated enterprises	25
Tasmania	KOR	Owner managers of unincorporated enterprises	20
Tasmania	KOR	Status in employment not stated	3
Tasmania	LKA	Employee	183
Tasmania	LKA	Owner managers of incorporated enterprises	13
Tasmania	LKA	Owner managers of unincorporated enterprises	24
Tasmania	THA	Contributing family workers	10
Tasmania	THA	Employee	241
Tasmania	THA	Owner managers of incorporated enterprises	14
Tasmania	THA	Owner managers of unincorporated enterprises	31
Tasmania	THA	Status in employment not stated	3
Tasmania	TUR	Employee	15
Tasmania	TUR	Owner managers of incorporated enterprises	9
Tasmania	TUR	Owner managers of unincorporated enterprises	10
Tasmania	GBR	Contributing family workers	197
Tasmania	GBR	Employee	6383
Tasmania	GBR	Owner managers of incorporated enterprises	496
Tasmania	GBR	Owner managers of unincorporated enterprises	1147
Tasmania	GBR	Status in employment not stated	79
Tasmania	USA	Contributing family workers	22
Tasmania	USA	Employee	602
Tasmania	USA	Owner managers of incorporated enterprises	44
Tasmania	USA	Owner managers of unincorporated enterprises	108
Tasmania	USA	Status in employment not stated	6
Tasmania	VNM	Contributing family workers	3
Tasmania	VNM	Employee	147
Tasmania	VNM	Owner managers of incorporated enterprises	13
Tasmania	VNM	Owner managers of unincorporated enterprises	34
Tasmania	VNM	Status in employment not stated	4
Tasmania	ZWE	Contributing family workers	7
Tasmania	ZWE	Employee	153
Tasmania	ZWE	Owner managers of incorporated enterprises	15
Tasmania	ZWE	Owner managers of unincorporated enterprises	14
Northern Territory		Contributing family workers	104
Northern Territory		Employee	6887
Northern Territory		Owner managers of incorporated enterprises	303
Northern Territory		Owner managers of unincorporated enterprises	413
Northern Territory		Status in employment not stated	142
Northern Territory	AUS	Contributing family workers	574
Northern Territory	AUS	Employee	68022
Northern Territory	AUS	Owner managers of incorporated enterprises	3458
Northern Territory	AUS	Owner managers of unincorporated enterprises	3208
Northern Territory	AUS	Status in employment not stated	737
Northern Territory	CAN	Contributing family workers	3
Northern Territory	CAN	Employee	246
Northern Territory	CAN	Owner managers of incorporated enterprises	10
Northern Territory	CAN	Owner managers of unincorporated enterprises	9
Northern Territory	CAN	Status in employment not stated	3
Northern Territory	CHN	Contributing family workers	10
Northern Territory	CHN	Employee	657
Northern Territory	CHN	Owner managers of incorporated enterprises	39
Northern Territory	CHN	Owner managers of unincorporated enterprises	47
Northern Territory	CHN	Status in employment not stated	15
Northern Territory	HRV	Employee	20
Northern Territory	HRV	Owner managers of unincorporated enterprises	7
Northern Territory	EGY	Employee	21
Northern Territory	EGY	Owner managers of incorporated enterprises	3
Northern Territory	EGY	Owner managers of unincorporated enterprises	7
Northern Territory	FJI	Employee	294
Northern Territory	FJI	Owner managers of incorporated enterprises	13
Northern Territory	FJI	Owner managers of unincorporated enterprises	13
Northern Territory	MKD	Employee	14
Northern Territory	MKD	Owner managers of unincorporated enterprises	3
Northern Territory	DEU	Contributing family workers	11
Northern Territory	DEU	Employee	503
Northern Territory	DEU	Owner managers of incorporated enterprises	35
Northern Territory	DEU	Owner managers of unincorporated enterprises	45
Northern Territory	DEU	Status in employment not stated	4
Northern Territory	GRC	Contributing family workers	23
Northern Territory	GRC	Employee	348
Northern Territory	GRC	Owner managers of incorporated enterprises	91
Northern Territory	GRC	Owner managers of unincorporated enterprises	82
Northern Territory	GRC	Status in employment not stated	24
Northern Territory	HKG	Employee	185
Northern Territory	HKG	Owner managers of incorporated enterprises	5
Northern Territory	HKG	Owner managers of unincorporated enterprises	9
Northern Territory	IND	Contributing family workers	17
Northern Territory	IND	Employee	2357
Northern Territory	IND	Owner managers of incorporated enterprises	63
Northern Territory	IND	Owner managers of unincorporated enterprises	90
Northern Territory	IND	Status in employment not stated	25
Northern Territory	IDN	Contributing family workers	5
Northern Territory	IDN	Employee	601
Northern Territory	IDN	Owner managers of incorporated enterprises	12
Northern Territory	IDN	Owner managers of unincorporated enterprises	37
Northern Territory	IDN	Status in employment not stated	13
Northern Territory	IRN	Employee	107
Northern Territory	IRQ	Employee	16
Northern Territory	IRQ	Owner managers of unincorporated enterprises	3
Northern Territory	IRQ	Status in employment not stated	3
Northern Territory	IRL	Contributing family workers	3
Northern Territory	IRL	Employee	879
Northern Territory	IRL	Owner managers of incorporated enterprises	21
Northern Territory	IRL	Owner managers of unincorporated enterprises	21
Northern Territory	IRL	Status in employment not stated	10
Northern Territory	ITA	Contributing family workers	15
Northern Territory	ITA	Employee	225
Northern Territory	ITA	Owner managers of incorporated enterprises	23
Northern Territory	ITA	Owner managers of unincorporated enterprises	23
Northern Territory	ITA	Status in employment not stated	7
Northern Territory	JPN	Employee	271
Northern Territory	JPN	Owner managers of incorporated enterprises	10
Northern Territory	JPN	Owner managers of unincorporated enterprises	7
Northern Territory	LBN	Employee	27
Northern Territory	LBN	Owner managers of incorporated enterprises	4
Northern Territory	LBN	Owner managers of unincorporated enterprises	3
Northern Territory	MYS	Employee	428
Northern Territory	MYS	Owner managers of incorporated enterprises	22
Northern Territory	MYS	Owner managers of unincorporated enterprises	35
Northern Territory	MYS	Status in employment not stated	7
Northern Territory	MLT	Employee	18
Northern Territory	MLT	Owner managers of incorporated enterprises	3
Northern Territory	NLD	Contributing family workers	4
Northern Territory	NLD	Employee	236
Northern Territory	NLD	Owner managers of incorporated enterprises	10
Northern Territory	NLD	Owner managers of unincorporated enterprises	20
Northern Territory	NLD	Status in employment not stated	5
Northern Territory	NZL	Contributing family workers	24
Northern Territory	NZL	Employee	3441
Northern Territory	NZL	Owner managers of incorporated enterprises	144
Northern Territory	NZL	Owner managers of unincorporated enterprises	171
Northern Territory	NZL	Status in employment not stated	25
Northern Territory	PAK	Employee	192
Northern Territory	PAK	Owner managers of incorporated enterprises	10
Northern Territory	PAK	Owner managers of unincorporated enterprises	17
Northern Territory	PAK	Status in employment not stated	3
Northern Territory	PHL	Contributing family workers	26
Northern Territory	PHL	Employee	3733
Northern Territory	PHL	Owner managers of incorporated enterprises	43
Northern Territory	PHL	Owner managers of unincorporated enterprises	79
Northern Territory	PHL	Status in employment not stated	49
Northern Territory	POL	Employee	77
Northern Territory	POL	Owner managers of incorporated enterprises	3
Northern Territory	POL	Owner managers of unincorporated enterprises	5
Northern Territory	SGP	Employee	183
Northern Territory	SGP	Owner managers of incorporated enterprises	9
Northern Territory	SGP	Owner managers of unincorporated enterprises	9
Northern Territory	SGP	Status in employment not stated	3
Northern Territory	ZAF	Contributing family workers	10
Northern Territory	ZAF	Employee	719
Northern Territory	ZAF	Owner managers of incorporated enterprises	19
Northern Territory	ZAF	Owner managers of unincorporated enterprises	36
Northern Territory	ZAF	Status in employment not stated	3
Northern Territory	KOR	Contributing family workers	3
Northern Territory	KOR	Employee	282
Northern Territory	KOR	Owner managers of incorporated enterprises	16
Northern Territory	KOR	Owner managers of unincorporated enterprises	15
Northern Territory	KOR	Status in employment not stated	3
Northern Territory	LKA	Employee	452
Northern Territory	LKA	Owner managers of incorporated enterprises	24
Northern Territory	LKA	Owner managers of unincorporated enterprises	19
Northern Territory	LKA	Status in employment not stated	8
Northern Territory	THA	Contributing family workers	12
Northern Territory	THA	Employee	438
Northern Territory	THA	Owner managers of incorporated enterprises	5
Northern Territory	THA	Owner managers of unincorporated enterprises	65
Northern Territory	THA	Status in employment not stated	10
Northern Territory	TUR	Employee	25
Northern Territory	TUR	Owner managers of incorporated enterprises	3
Northern Territory	TUR	Owner managers of unincorporated enterprises	3
Northern Territory	GBR	Contributing family workers	31
Northern Territory	GBR	Employee	4513
Northern Territory	GBR	Owner managers of incorporated enterprises	248
Northern Territory	GBR	Owner managers of unincorporated enterprises	269
Northern Territory	GBR	Status in employment not stated	39
Northern Territory	USA	Contributing family workers	3
Northern Territory	USA	Employee	735
Northern Territory	USA	Owner managers of incorporated enterprises	12
Northern Territory	USA	Owner managers of unincorporated enterprises	24
Northern Territory	USA	Status in employment not stated	4
Northern Territory	VNM	Contributing family workers	24
Northern Territory	VNM	Employee	382
Northern Territory	VNM	Owner managers of incorporated enterprises	54
Northern Territory	VNM	Owner managers of unincorporated enterprises	134
Northern Territory	VNM	Status in employment not stated	6
Northern Territory	ZWE	Contributing family workers	6
Northern Territory	ZWE	Employee	522
Northern Territory	ZWE	Owner managers of incorporated enterprises	14
Northern Territory	ZWE	Owner managers of unincorporated enterprises	14
Australian Capital Territory		Contributing family workers	124
Australian Capital Territory		Employee	12507
Australian Capital Territory		Owner managers of incorporated enterprises	623
Australian Capital Territory		Owner managers of unincorporated enterprises	669
Australian Capital Territory		Status in employment not stated	179
Australian Capital Territory	AUS	Contributing family workers	833
Australian Capital Territory	AUS	Employee	147926
Australian Capital Territory	AUS	Owner managers of incorporated enterprises	6917
Australian Capital Territory	AUS	Owner managers of unincorporated enterprises	6375
Australian Capital Territory	AUS	Status in employment not stated	769
Australian Capital Territory	CAN	Contributing family workers	9
Australian Capital Territory	CAN	Employee	771
Australian Capital Territory	CAN	Owner managers of incorporated enterprises	34
Australian Capital Territory	CAN	Owner managers of unincorporated enterprises	32
Australian Capital Territory	CAN	Status in employment not stated	3
Australian Capital Territory	CHN	Contributing family workers	81
Australian Capital Territory	CHN	Employee	4170
Australian Capital Territory	CHN	Owner managers of incorporated enterprises	269
Australian Capital Territory	CHN	Owner managers of unincorporated enterprises	188
Australian Capital Territory	CHN	Status in employment not stated	12
Australian Capital Territory	HRV	Contributing family workers	9
Australian Capital Territory	HRV	Employee	324
Australian Capital Territory	HRV	Owner managers of incorporated enterprises	59
Australian Capital Territory	HRV	Owner managers of unincorporated enterprises	56
Australian Capital Territory	HRV	Status in employment not stated	6
Australian Capital Territory	EGY	Contributing family workers	3
Australian Capital Territory	EGY	Employee	199
Australian Capital Territory	EGY	Owner managers of incorporated enterprises	14
Australian Capital Territory	EGY	Owner managers of unincorporated enterprises	6
Australian Capital Territory	EGY	Status in employment not stated	3
Australian Capital Territory	FJI	Contributing family workers	4
Australian Capital Territory	FJI	Employee	628
Australian Capital Territory	FJI	Owner managers of incorporated enterprises	17
Australian Capital Territory	FJI	Owner managers of unincorporated enterprises	20
Australian Capital Territory	FJI	Status in employment not stated	7
Australian Capital Territory	MKD	Contributing family workers	9
Australian Capital Territory	MKD	Employee	361
Australian Capital Territory	MKD	Owner managers of incorporated enterprises	33
Australian Capital Territory	MKD	Owner managers of unincorporated enterprises	18
Australian Capital Territory	MKD	Status in employment not stated	3
Australian Capital Territory	DEU	Contributing family workers	9
Australian Capital Territory	DEU	Employee	880
Australian Capital Territory	DEU	Owner managers of incorporated enterprises	52
Australian Capital Territory	DEU	Owner managers of unincorporated enterprises	70
Australian Capital Territory	DEU	Status in employment not stated	11
Australian Capital Territory	GRC	Contributing family workers	8
Australian Capital Territory	GRC	Employee	214
Australian Capital Territory	GRC	Owner managers of incorporated enterprises	38
Australian Capital Territory	GRC	Owner managers of unincorporated enterprises	27
