STE_NAME16	Age	LabourForceStatus	Sex	workers
Northern Territory	40-44		F	91
Northern Territory	40-44		M	157
Northern Territory	40-44	Employed (away from work)	F	204
Northern Territory	40-44	Employed (away from work)	M	270
Northern Territory	40-44	Employed (full-time)	F	3543
Northern Territory	40-44	Employed (full-time)	M	5601
Northern Territory	40-44	Employed (part-time)	F	1516
Northern Territory	40-44	Employed (part-time)	M	612
Northern Territory	45-49		F	116
Northern Territory	45-49		M	129
Northern Territory	45-49	Employed (away from work)	F	199
Northern Territory	45-49	Employed (away from work)	M	255
Northern Territory	45-49	Employed (full-time)	F	3741
Northern Territory	45-49	Employed (full-time)	M	5526
Northern Territory	45-49	Employed (part-time)	F	1334
Northern Territory	45-49	Employed (part-time)	M	616
Northern Territory	50-54		F	109
Northern Territory	50-54		M	139
Northern Territory	50-54	Employed (away from work)	F	231
Northern Territory	50-54	Employed (away from work)	M	291
Northern Territory	50-54	Employed (full-time)	F	3476
Northern Territory	50-54	Employed (full-time)	M	4978
Northern Territory	50-54	Employed (part-time)	F	1049
Northern Territory	50-54	Employed (part-time)	M	610
Northern Territory	55-59		F	72
Northern Territory	55-59		M	102
Northern Territory	55-59	Employed (away from work)	F	222
Northern Territory	55-59	Employed (away from work)	M	305
Northern Territory	55-59	Employed (full-time)	F	2808
Northern Territory	55-59	Employed (full-time)	M	4120
Northern Territory	55-59	Employed (part-time)	F	994
Northern Territory	55-59	Employed (part-time)	M	577
Northern Territory	60-64		F	52
Northern Territory	60-64		M	77
Northern Territory	60-64	Employed (away from work)	F	138
Northern Territory	60-64	Employed (away from work)	M	195
Northern Territory	60-64	Employed (full-time)	F	1651
Northern Territory	60-64	Employed (full-time)	M	2730
Northern Territory	60-64	Employed (part-time)	F	726
Northern Territory	60-64	Employed (part-time)	M	539
Northern Territory	65-69		F	36
Northern Territory	65-69		M	29
Northern Territory	65-69	Employed (away from work)	F	69
Northern Territory	65-69	Employed (away from work)	M	83
Northern Territory	65-69	Employed (full-time)	F	579
Northern Territory	65-69	Employed (full-time)	M	1064
Northern Territory	65-69	Employed (part-time)	F	393
Northern Territory	65-69	Employed (part-time)	M	397
Northern Territory	70-74		F	9
Northern Territory	70-74		M	14
Northern Territory	70-74	Employed (away from work)	F	13
Northern Territory	70-74	Employed (away from work)	M	30
Northern Territory	70-74	Employed (full-time)	F	120
Northern Territory	70-74	Employed (full-time)	M	289
Northern Territory	70-74	Employed (part-time)	F	146
Northern Territory	70-74	Employed (part-time)	M	160
Northern Territory	75+		F	10
Northern Territory	75+		M	13
Northern Territory	75+	Employed (away from work)	F	6
Northern Territory	75+	Employed (away from work)	M	11
Northern Territory	75+	Employed (full-time)	F	42
Northern Territory	75+	Employed (full-time)	M	104
Northern Territory	75+	Employed (part-time)	F	62
Northern Territory	75+	Employed (part-time)	M	79
Australian Capital Territory	15-19		F	214
Australian Capital Territory	15-19		M	177
Australian Capital Territory	15-19	Employed (away from work)	F	221
Australian Capital Territory	15-19	Employed (away from work)	M	213
Australian Capital Territory	15-19	Employed (full-time)	F	901
Australian Capital Territory	15-19	Employed (full-time)	M	1294
Australian Capital Territory	15-19	Employed (part-time)	F	4917
Australian Capital Territory	15-19	Employed (part-time)	M	3663
Australian Capital Territory	20-24		F	279
Australian Capital Territory	20-24		M	289
Australian Capital Territory	20-24	Employed (away from work)	F	432
Australian Capital Territory	20-24	Employed (away from work)	M	289
Australian Capital Territory	20-24	Employed (full-time)	F	5511
Australian Capital Territory	20-24	Employed (full-time)	M	6260
Australian Capital Territory	20-24	Employed (part-time)	F	5153
Australian Capital Territory	20-24	Employed (part-time)	M	4199
Australian Capital Territory	25-29		F	160
Australian Capital Territory	25-29		M	238
Australian Capital Territory	25-29	Employed (away from work)	F	851
Australian Capital Territory	25-29	Employed (away from work)	M	323
Australian Capital Territory	25-29	Employed (full-time)	F	9634
Australian Capital Territory	25-29	Employed (full-time)	M	10691
Australian Capital Territory	25-29	Employed (part-time)	F	3157
Australian Capital Territory	25-29	Employed (part-time)	M	2119
Australian Capital Territory	30-34		F	161
Australian Capital Territory	30-34		M	225
Australian Capital Territory	30-34	Employed (away from work)	F	1523
Australian Capital Territory	30-34	Employed (away from work)	M	400
Australian Capital Territory	30-34	Employed (full-time)	F	8400
Australian Capital Territory	30-34	Employed (full-time)	M	12536
Australian Capital Territory	30-34	Employed (part-time)	F	4338
Australian Capital Territory	30-34	Employed (part-time)	M	1804
Australian Capital Territory	35-39		F	143
Australian Capital Territory	35-39		M	233
Australian Capital Territory	35-39	Employed (away from work)	F	1003
Australian Capital Territory	35-39	Employed (away from work)	M	349
Australian Capital Territory	35-39	Employed (full-time)	F	7253
Australian Capital Territory	35-39	Employed (full-time)	M	11794
Australian Capital Territory	35-39	Employed (part-time)	F	4737
Australian Capital Territory	35-39	Employed (part-time)	M	1576
Australian Capital Territory	40-44		F	115
Australian Capital Territory	40-44		M	176
Australian Capital Territory	40-44	Employed (away from work)	F	513
Australian Capital Territory	40-44	Employed (away from work)	M	307
Australian Capital Territory	40-44	Employed (full-time)	F	7995
Australian Capital Territory	40-44	Employed (full-time)	M	11415
Australian Capital Territory	40-44	Employed (part-time)	F	4373
Australian Capital Territory	40-44	Employed (part-time)	M	1394
Australian Capital Territory	45-49		F	132
Australian Capital Territory	45-49		M	160
Australian Capital Territory	45-49	Employed (away from work)	F	392
Australian Capital Territory	45-49	Employed (away from work)	M	299
Australian Capital Territory	45-49	Employed (full-time)	F	8343
Australian Capital Territory	45-49	Employed (full-time)	M	11086
Australian Capital Territory	45-49	Employed (part-time)	F	3798
Australian Capital Territory	45-49	Employed (part-time)	M	1235
Australian Capital Territory	50-54		F	105
Australian Capital Territory	50-54		M	139
Australian Capital Territory	50-54	Employed (away from work)	F	445
Australian Capital Territory	50-54	Employed (away from work)	M	403
Australian Capital Territory	50-54	Employed (full-time)	F	7626
Australian Capital Territory	50-54	Employed (full-time)	M	9640
Australian Capital Territory	50-54	Employed (part-time)	F	3085
Australian Capital Territory	50-54	Employed (part-time)	M	1161
Australian Capital Territory	55-59		F	95
Australian Capital Territory	55-59		M	112
Australian Capital Territory	55-59	Employed (away from work)	F	434
Australian Capital Territory	55-59	Employed (away from work)	M	352
Australian Capital Territory	55-59	Employed (full-time)	F	5459
Australian Capital Territory	55-59	Employed (full-time)	M	7317
Australian Capital Territory	55-59	Employed (part-time)	F	2621
Australian Capital Territory	55-59	Employed (part-time)	M	1281
Australian Capital Territory	60-64		F	58
Australian Capital Territory	60-64		M	59
Australian Capital Territory	60-64	Employed (away from work)	F	297
Australian Capital Territory	60-64	Employed (away from work)	M	249
Australian Capital Territory	60-64	Employed (full-time)	F	2668
Australian Capital Territory	60-64	Employed (full-time)	M	3967
Australian Capital Territory	60-64	Employed (part-time)	F	2072
Australian Capital Territory	60-64	Employed (part-time)	M	1343
Australian Capital Territory	65-69		F	31
Australian Capital Territory	65-69		M	38
Australian Capital Territory	65-69	Employed (away from work)	F	131
Australian Capital Territory	65-69	Employed (away from work)	M	156
Australian Capital Territory	65-69	Employed (full-time)	F	755
Australian Capital Territory	65-69	Employed (full-time)	M	1566
Australian Capital Territory	65-69	Employed (part-time)	F	1116
Australian Capital Territory	65-69	Employed (part-time)	M	1089
Australian Capital Territory	70-74		F	17
Australian Capital Territory	70-74		M	22
Australian Capital Territory	70-74	Employed (away from work)	F	34
Australian Capital Territory	70-74	Employed (away from work)	M	50
Australian Capital Territory	70-74	Employed (full-time)	F	164
Australian Capital Territory	70-74	Employed (full-time)	M	354
Australian Capital Territory	70-74	Employed (part-time)	F	352
Australian Capital Territory	70-74	Employed (part-time)	M	497
Australian Capital Territory	75+		F	22
Australian Capital Territory	75+		M	30
Australian Capital Territory	75+	Employed (away from work)	F	25
Australian Capital Territory	75+	Employed (away from work)	M	28
Australian Capital Territory	75+	Employed (full-time)	F	49
Australian Capital Territory	75+	Employed (full-time)	M	127
Australian Capital Territory	75+	Employed (part-time)	F	151
Australian Capital Territory	75+	Employed (part-time)	M	257
Other Territories	15-19		F	3
Other Territories	15-19	Employed (away from work)	F	3
Other Territories	15-19	Employed (full-time)	F	10
Other Territories	15-19	Employed (full-time)	M	21
Other Territories	15-19	Employed (part-time)	F	21
Other Territories	15-19	Employed (part-time)	M	19
Other Territories	20-24		M	3
Other Territories	20-24	Employed (away from work)	F	5
Other Territories	20-24	Employed (away from work)	M	8
Other Territories	20-24	Employed (full-time)	F	37
Other Territories	20-24	Employed (full-time)	M	71
Other Territories	20-24	Employed (part-time)	F	21
Other Territories	20-24	Employed (part-time)	M	23
Other Territories	25-29		F	3
Other Territories	25-29		M	3
Other Territories	25-29	Employed (away from work)	F	11
Other Territories	25-29	Employed (away from work)	M	17
Other Territories	25-29	Employed (full-time)	F	62
Other Territories	25-29	Employed (full-time)	M	102
Other Territories	25-29	Employed (part-time)	F	23
Other Territories	25-29	Employed (part-time)	M	21
Other Territories	30-34		M	3
Other Territories	30-34	Employed (away from work)	F	11
Other Territories	30-34	Employed (away from work)	M	12
Other Territories	30-34	Employed (full-time)	F	61
Other Territories	30-34	Employed (full-time)	M	118
Other Territories	30-34	Employed (part-time)	F	50
Other Territories	30-34	Employed (part-time)	M	19
Other Territories	35-39		F	3
Other Territories	35-39		M	8
Other Territories	35-39	Employed (away from work)	F	9
Other Territories	35-39	Employed (away from work)	M	9
Other Territories	35-39	Employed (full-time)	F	72
Other Territories	35-39	Employed (full-time)	M	140
Other Territories	35-39	Employed (part-time)	F	37
Other Territories	35-39	Employed (part-time)	M	22
Other Territories	40-44		F	3
Other Territories	40-44		M	6
Other Territories	40-44	Employed (away from work)	F	9
Other Territories	40-44	Employed (away from work)	M	13
Other Territories	40-44	Employed (full-time)	F	68
Other Territories	40-44	Employed (full-time)	M	129
Other Territories	40-44	Employed (part-time)	F	52
Other Territories	40-44	Employed (part-time)	M	9
Other Territories	45-49		F	4
Other Territories	45-49		M	6
Other Territories	45-49	Employed (away from work)	F	8
Other Territories	45-49	Employed (away from work)	M	15
Other Territories	45-49	Employed (full-time)	F	84
Other Territories	45-49	Employed (full-time)	M	136
Other Territories	45-49	Employed (part-time)	F	38
Other Territories	45-49	Employed (part-time)	M	26
Other Territories	50-54		F	9
Other Territories	50-54		M	3
Other Territories	50-54	Employed (away from work)	F	4
Other Territories	50-54	Employed (away from work)	M	4
Other Territories	50-54	Employed (full-time)	F	87
Other Territories	50-54	Employed (full-time)	M	155
Other Territories	50-54	Employed (part-time)	F	40
Other Territories	50-54	Employed (part-time)	M	38
Other Territories	55-59		F	4
Other Territories	55-59		M	4
Other Territories	55-59	Employed (away from work)	F	9
Other Territories	55-59	Employed (away from work)	M	20
Other Territories	55-59	Employed (full-time)	F	80
Other Territories	55-59	Employed (full-time)	M	147
Other Territories	55-59	Employed (part-time)	F	42
Other Territories	55-59	Employed (part-time)	M	21
Other Territories	60-64		F	4
Other Territories	60-64		M	4
Other Territories	60-64	Employed (away from work)	F	8
Other Territories	60-64	Employed (away from work)	M	16
Other Territories	60-64	Employed (full-time)	F	47
Other Territories	60-64	Employed (full-time)	M	101
Other Territories	60-64	Employed (part-time)	F	35
Other Territories	60-64	Employed (part-time)	M	24
Other Territories	65-69		F	3
Other Territories	65-69	Employed (away from work)	F	4
Other Territories	65-69	Employed (away from work)	M	4
Other Territories	65-69	Employed (full-time)	F	28
Other Territories	65-69	Employed (full-time)	M	75
Other Territories	65-69	Employed (part-time)	F	28
Other Territories	65-69	Employed (part-time)	M	30
Other Territories	70-74	Employed (full-time)	F	13
Other Territories	70-74	Employed (full-time)	M	17
Other Territories	70-74	Employed (part-time)	F	14
Other Territories	70-74	Employed (part-time)	M	5
Other Territories	75+		M	3
Other Territories	75+	Employed (full-time)	M	13
Other Territories	75+	Employed (part-time)	F	13
Other Territories	75+	Employed (part-time)	M	10
