SA3_NAME16	Age	ModeTravelToWork	NumberModes	workers
Manly	65-74	Car as driver	1	307
Manly	65-74	Car as passenger	1	25
Manly	65-74	Did not go to work		85
Manly	65-74	Ferry	1	3
Manly	65-74	Method of travel not stated		9
Manly	65-74	Motorbike scooter	1	6
Manly	65-74	(Other)	1	6
Manly	65-74	Other two methods	2	4
Manly	65-74	Train	1	4
Manly	65-74	Train and two other methods	3	4
Manly	65-74	Truck	1	4
Manly	65-74	Walked only	1	42
Manly	65-74	Worked at home		193
Manly	75+	Car as driver	1	50
Manly	75+	Did not go to work		18
Manly	75+	Method of travel not stated		4
Manly	75+	(Other)	1	4
Manly	75+	Walked only	1	9
Manly	75+	Worked at home		54
Pittwater	15-24	Bicycle	1	36
Pittwater	15-24	Bus	1	283
Pittwater	15-24	Bus and car as driver	2	4
Pittwater	15-24	Bus and car as passenger	2	37
Pittwater	15-24	Bus and ferry	2	6
Pittwater	15-24	Bus and two other methods excludes train	3	7
Pittwater	15-24	Car as driver	1	1645
Pittwater	15-24	Car as passenger	1	398
Pittwater	15-24	Did not go to work		552
Pittwater	15-24	Ferry	1	4
Pittwater	15-24	Method of travel not stated		40
Pittwater	15-24	Motorbike scooter	1	17
Pittwater	15-24	(Other)	1	14
Pittwater	15-24	Other two methods	2	19
Pittwater	15-24	Taxi	1	3
Pittwater	15-24	Train	1	12
Pittwater	15-24	Train and bus	2	32
Pittwater	15-24	Train and car as driver	2	3
Pittwater	15-24	Train and two other methods	3	3
Pittwater	15-24	Truck	1	9
Pittwater	15-24	Walked only	1	241
Pittwater	15-24	Worked at home		47
Pittwater	25-34	Bicycle	1	20
Pittwater	25-34	Bus	1	203
Pittwater	25-34	Bus and car as driver	2	8
Pittwater	25-34	Bus and car as passenger	2	6
Pittwater	25-34	Bus and other	2	8
Pittwater	25-34	Bus and two other methods excludes train	3	4
Pittwater	25-34	Car as driver	1	2497
Pittwater	25-34	Car as passenger	1	127
Pittwater	25-34	Did not go to work		298
Pittwater	25-34	Ferry	1	3
Pittwater	25-34	Method of travel not stated		35
Pittwater	25-34	Motorbike scooter	1	29
Pittwater	25-34	(Other)	1	18
Pittwater	25-34	Other two methods	2	44
Pittwater	25-34	Train	1	26
Pittwater	25-34	Train and bus	2	56
Pittwater	25-34	Train and car as driver	2	4
Pittwater	25-34	Train and two other methods	3	9
Pittwater	25-34	Truck	1	29
Pittwater	25-34	Walked only	1	116
Pittwater	25-34	Worked at home		200
Pittwater	35-44	Bicycle	1	31
Pittwater	35-44	Bus	1	130
Pittwater	35-44	Bus and car as driver	2	3
Pittwater	35-44	Bus and two other methods excludes train	3	6
Pittwater	35-44	Car as driver	1	2738
Pittwater	35-44	Car as passenger	1	79
Pittwater	35-44	Did not go to work		309
Pittwater	35-44	Ferry	1	6
Pittwater	35-44	Method of travel not stated		32
Pittwater	35-44	Motorbike scooter	1	30
Pittwater	35-44	(Other)	1	34
Pittwater	35-44	Other three methods	3	3
Pittwater	35-44	Other two methods	2	38
Pittwater	35-44	Taxi	1	3
Pittwater	35-44	Train	1	8
Pittwater	35-44	Train and bus	2	21
Pittwater	35-44	Train and car as driver	2	3
Pittwater	35-44	Truck	1	38
Pittwater	35-44	Walked only	1	103
Pittwater	35-44	Worked at home		593
Pittwater	45-54	Bicycle	1	44
Pittwater	45-54	Bus	1	123
Pittwater	45-54	Bus and car as driver	2	4
Pittwater	45-54	Bus and ferry	2	3
Pittwater	45-54	Bus and other	2	3
Pittwater	45-54	Bus and two other methods excludes train	3	3
Pittwater	45-54	Car as driver	1	3053
Pittwater	45-54	Car as passenger	1	85
Pittwater	45-54	Did not go to work		251
Pittwater	45-54	Method of travel not stated		43
Pittwater	45-54	Motorbike scooter	1	26
Pittwater	45-54	(Other)	1	47
Pittwater	45-54	Other three methods	3	3
Pittwater	45-54	Other two methods	2	42
Pittwater	45-54	Taxi	1	4
Pittwater	45-54	Train	1	5
Pittwater	45-54	Train and bus	2	10
Pittwater	45-54	Train and car as driver	2	6
Pittwater	45-54	Train and two other methods	3	7
Pittwater	45-54	Truck	1	51
Pittwater	45-54	Walked only	1	171
Pittwater	45-54	Worked at home		731
Pittwater	55-64	Bicycle	1	25
Pittwater	55-64	Bus	1	59
Pittwater	55-64	Bus and car as driver	2	5
Pittwater	55-64	Bus and car as passenger	2	6
Pittwater	55-64	Car as driver	1	2175
Pittwater	55-64	Car as passenger	1	88
Pittwater	55-64	Did not go to work		294
Pittwater	55-64	Ferry	1	3
Pittwater	55-64	Method of travel not stated		36
Pittwater	55-64	Motorbike scooter	1	24
Pittwater	55-64	(Other)	1	29
Pittwater	55-64	Other two methods	2	38
Pittwater	55-64	Train and bus	2	6
Pittwater	55-64	Train and car as driver	2	5
Pittwater	55-64	Truck	1	43
Pittwater	55-64	Walked only	1	133
Pittwater	55-64	Worked at home		593
Pittwater	65-74	Bicycle	1	3
Pittwater	65-74	Bus	1	20
Pittwater	65-74	Car as driver	1	597
Pittwater	65-74	Car as passenger	1	30
Pittwater	65-74	Did not go to work		151
Pittwater	65-74	Ferry	1	3
Pittwater	65-74	Method of travel not stated		17
Pittwater	65-74	Motorbike scooter	1	3
Pittwater	65-74	(Other)	1	11
Pittwater	65-74	Other two methods	2	7
Pittwater	65-74	Train and bus	2	4
Pittwater	65-74	Truck	1	8
Pittwater	65-74	Walked only	1	56
Pittwater	65-74	Worked at home		386
Pittwater	75+	Car as driver	1	67
Pittwater	75+	Car as passenger	1	9
Pittwater	75+	Did not go to work		22
Pittwater	75+	Method of travel not stated		6
Pittwater	75+	(Other)	1	5
Pittwater	75+	Walked only	1	13
Pittwater	75+	Worked at home		85
Warringah	15-24	Bicycle	1	53
Warringah	15-24	Bus	1	769
Warringah	15-24	Bus and car as driver	2	20
Warringah	15-24	Bus and car as passenger	2	52
Warringah	15-24	Bus and other	2	5
Warringah	15-24	Bus and two other methods excludes train	3	9
Warringah	15-24	Car as driver	1	3703
Warringah	15-24	Car as passenger	1	852
Warringah	15-24	Did not go to work		1255
Warringah	15-24	Ferry	1	4
Warringah	15-24	Method of travel not stated		80
Warringah	15-24	Motorbike scooter	1	65
Warringah	15-24	(Other)	1	15
Warringah	15-24	Other two methods	2	44
Warringah	15-24	Taxi	1	3
Warringah	15-24	Train	1	54
Warringah	15-24	Train and bus	2	143
Warringah	15-24	Train and car as driver	2	11
Warringah	15-24	Train and car as passenger	2	4
Warringah	15-24	Train and two other methods	3	29
Warringah	15-24	Truck	1	24
Warringah	15-24	Walked only	1	555
Warringah	15-24	Worked at home		93
Warringah	25-34	Bicycle	1	97
Warringah	25-34	Bus	1	799
Warringah	25-34	Bus and car as driver	2	14
Warringah	25-34	Bus and car as passenger	2	27
Warringah	25-34	Bus and ferry	2	3
Warringah	25-34	Bus and other	2	9
Warringah	25-34	Bus and two other methods excludes train	3	12
Warringah	25-34	Car as driver	1	6973
Warringah	25-34	Car as passenger	1	470
Warringah	25-34	Did not go to work		770
Warringah	25-34	Method of travel not stated		82
Warringah	25-34	Motorbike scooter	1	111
Warringah	25-34	(Other)	1	38
Warringah	25-34	Other three methods	3	3
Warringah	25-34	Other two methods	2	76
Warringah	25-34	Taxi	1	17
Warringah	25-34	Train	1	94
Warringah	25-34	Train and bus	2	318
Warringah	25-34	Train and car as driver	2	8
Warringah	25-34	Train and car as passenger	2	4
Warringah	25-34	Train and ferry	2	3
Warringah	25-34	Train and two other methods	3	52
Warringah	25-34	Truck	1	79
Warringah	25-34	Walked only	1	443
Warringah	25-34	Worked at home		405
Warringah	35-44	Bicycle	1	96
Warringah	35-44	Bus	1	392
Warringah	35-44	Bus and car as driver	2	21
Warringah	35-44	Bus and car as passenger	2	10
Warringah	35-44	Bus and ferry	2	5
Warringah	35-44	Bus and two other methods excludes train	3	3
Warringah	35-44	Car as driver	1	7960
Warringah	35-44	Car as passenger	1	242
Warringah	35-44	Did not go to work		769
Warringah	35-44	Ferry	1	8
Warringah	35-44	Method of travel not stated		81
Warringah	35-44	Motorbike scooter	1	126
Warringah	35-44	(Other)	1	72
Warringah	35-44	Other three methods	3	3
Warringah	35-44	Other two methods	2	83
Warringah	35-44	Taxi	1	18
Warringah	35-44	Train	1	49
Warringah	35-44	Train and bus	2	153
Warringah	35-44	Train and car as driver	2	10
Warringah	35-44	Train and two other methods	3	30
Warringah	35-44	Truck	1	80
Warringah	35-44	Walked only	1	318
Warringah	35-44	Worked at home		1205
Warringah	45-54	Bicycle	1	99
Warringah	45-54	Bus	1	354
Warringah	45-54	Bus and car as driver	2	8
Warringah	45-54	Bus and car as passenger	2	8
Warringah	45-54	Bus and ferry	2	3
Warringah	45-54	Bus and other	2	4
Warringah	45-54	Bus and two other methods excludes train	3	14
Warringah	45-54	Car as driver	1	8299
Warringah	45-54	Car as passenger	1	315
Warringah	45-54	Did not go to work		664
Warringah	45-54	Ferry	1	4
Warringah	45-54	Method of travel not stated		101
Warringah	45-54	Motorbike scooter	1	105
Warringah	45-54	(Other)	1	64
Warringah	45-54	Other three methods	3	5
Warringah	45-54	Other two methods	2	73
Warringah	45-54	Taxi	1	23
Warringah	45-54	Train	1	23
Warringah	45-54	Train and bus	2	78
Warringah	45-54	Train and car as driver	2	14
Warringah	45-54	Train and car as passenger	2	3
Warringah	45-54	Train and other	2	3
Warringah	45-54	Train and two other methods	3	20
Warringah	45-54	Truck	1	96
Warringah	45-54	Walked only	1	370
Warringah	45-54	Worked at home		1207
Warringah	55-64	Bicycle	1	53
Warringah	55-64	Bus	1	267
Warringah	55-64	Bus and car as driver	2	11
Warringah	55-64	Bus and car as passenger	2	16
Warringah	55-64	Bus and ferry	2	3
Warringah	55-64	Bus and other	2	5
Warringah	55-64	Car as driver	1	5411
Warringah	55-64	Car as passenger	1	265
Warringah	55-64	Did not go to work		584
Warringah	55-64	Ferry	1	4
Warringah	55-64	Method of travel not stated		65
Warringah	55-64	Motorbike scooter	1	65
Warringah	55-64	(Other)	1	38
Warringah	55-64	Other two methods	2	36
Warringah	55-64	Taxi	1	33
Warringah	55-64	Train	1	18
Warringah	55-64	Train and bus	2	43
Warringah	55-64	Train and car as driver	2	11
Warringah	55-64	Train and car as passenger	2	3
Warringah	55-64	Train and two other methods	3	14
Warringah	55-64	Truck	1	76
Warringah	55-64	Walked only	1	277
Warringah	55-64	Worked at home		729
Warringah	65-74	Bicycle	1	4
Warringah	65-74	Bus	1	73
Warringah	65-74	Bus and car as driver	2	6
Warringah	65-74	Car as driver	1	1447
Warringah	65-74	Car as passenger	1	74
Warringah	65-74	Did not go to work		298
Warringah	65-74	Method of travel not stated		29
Warringah	65-74	Motorbike scooter	1	11
Warringah	65-74	(Other)	1	15
Warringah	65-74	Other two methods	2	9
Warringah	65-74	Taxi	1	10
Warringah	65-74	Train and bus	2	13
Warringah	65-74	Train and two other methods	3	3
Warringah	65-74	Truck	1	25
Warringah	65-74	Walked only	1	83
Warringah	65-74	Worked at home		369
Warringah	75+	Bus	1	3
Warringah	75+	Car as driver	1	175
Warringah	75+	Car as passenger	1	11
Warringah	75+	Did not go to work		58
Warringah	75+	Method of travel not stated		16
Warringah	75+	(Other)	1	3
Warringah	75+	Truck	1	4
Warringah	75+	Walked only	1	8
Warringah	75+	Worked at home		104
Camden	15-24	Bicycle	1	10
Camden	15-24	Bus	1	91
Camden	15-24	Bus and car as passenger	2	27
Camden	15-24	Car as driver	1	2549
Camden	15-24	Car as passenger	1	667
Camden	15-24	Did not go to work		564
Camden	15-24	Method of travel not stated		44
Camden	15-24	Motorbike scooter	1	25
Camden	15-24	Other two methods	2	22
Camden	15-24	Train	1	13
Camden	15-24	Train and bus	2	18
Camden	15-24	Train and car as driver	2	3
Camden	15-24	Train and two other methods	3	4
Camden	15-24	Truck	1	30
Camden	15-24	Walked only	1	86
Camden	15-24	Worked at home		26
Camden	25-34	Bicycle	1	7
Camden	25-34	Bus	1	26
Camden	25-34	Bus and car as passenger	2	3
Camden	25-34	Car as driver	1	3309
Camden	25-34	Car as passenger	1	151
Camden	25-34	Did not go to work		353
Camden	25-34	Method of travel not stated		32
Camden	25-34	Motorbike scooter	1	10
Camden	25-34	(Other)	1	18
Camden	25-34	Other two methods	2	29
Camden	25-34	Train	1	19
Camden	25-34	Train and bus	2	7
Camden	25-34	Train and car as driver	2	16
Camden	25-34	Train and car as passenger	2	3
Camden	25-34	Train and two other methods	3	7
Camden	25-34	Truck	1	50
Camden	25-34	Walked only	1	34
Camden	25-34	Worked at home		175
Camden	35-44	Bicycle	1	13
Camden	35-44	Bus	1	25
Camden	35-44	Bus and car as passenger	2	6
Camden	35-44	Car as driver	1	3477
Camden	35-44	Car as passenger	1	88
Camden	35-44	Did not go to work		282
Camden	35-44	Method of travel not stated		42
Camden	35-44	Motorbike scooter	1	12
Camden	35-44	(Other)	1	14
Camden	35-44	Other two methods	2	17
Camden	35-44	Taxi	1	3
Camden	35-44	Train	1	8
Camden	35-44	Train and bus	2	7
Camden	35-44	Train and car as driver	2	9
Camden	35-44	Train and two other methods	3	4
Camden	35-44	Truck	1	70
Camden	35-44	Walked only	1	43
Camden	35-44	Worked at home		315
Camden	45-54	Bicycle	1	18
Camden	45-54	Bus	1	19
Camden	45-54	Bus and car as driver	2	3
Camden	45-54	Bus and two other methods excludes train	3	3
Camden	45-54	Car as driver	1	3276
Camden	45-54	Car as passenger	1	100
Camden	45-54	Did not go to work		266
Camden	45-54	Method of travel not stated		42
Camden	45-54	Motorbike scooter	1	13
Camden	45-54	(Other)	1	25
Camden	45-54	Other two methods	2	24
Camden	45-54	Taxi	1	3
Camden	45-54	Train	1	3
Camden	45-54	Train and bus	2	14
Camden	45-54	Train and car as driver	2	5
Camden	45-54	Truck	1	50
Camden	45-54	Walked only	1	45
Camden	45-54	Worked at home		210
Camden	55-64	Bicycle	1	7
Camden	55-64	Bus	1	17
Camden	55-64	Car as driver	1	2070
Camden	55-64	Car as passenger	1	85
Camden	55-64	Did not go to work		244
Camden	55-64	Method of travel not stated		17
Camden	55-64	Motorbike scooter	1	9
Camden	55-64	(Other)	1	5
Camden	55-64	Other two methods	2	10
Camden	55-64	Train	1	4
Camden	55-64	Train and bus	2	3
Camden	55-64	Truck	1	58
Camden	55-64	Walked only	1	30
Camden	55-64	Worked at home		166
Camden	65-74	Car as driver	1	385
Camden	65-74	Car as passenger	1	10
Camden	65-74	Did not go to work		63
Camden	65-74	Method of travel not stated		11
Camden	65-74	Motorbike scooter	1	4
Camden	65-74	(Other)	1	4
Camden	65-74	Truck	1	12
Camden	65-74	Walked only	1	9
Camden	65-74	Worked at home		73
Camden	75+	Car as driver	1	30
Camden	75+	Did not go to work		6
Camden	75+	Method of travel not stated		10
Camden	75+	Worked at home		8
Campbelltown (NSW)	15-24	Bicycle	1	9
Campbelltown (NSW)	15-24	Bus	1	253
Campbelltown (NSW)	15-24	Bus and car as driver	2	7
Campbelltown (NSW)	15-24	Bus and car as passenger	2	44
Campbelltown (NSW)	15-24	Bus and other	2	3
Campbelltown (NSW)	15-24	Bus and two other methods excludes train	3	3
Campbelltown (NSW)	15-24	Car as driver	1	4183
Campbelltown (NSW)	15-24	Car as passenger	1	1354
Campbelltown (NSW)	15-24	Did not go to work		1173
Campbelltown (NSW)	15-24	Method of travel not stated		114
Campbelltown (NSW)	15-24	Motorbike scooter	1	35
Campbelltown (NSW)	15-24	(Other)	1	12
Campbelltown (NSW)	15-24	Other two methods	2	51
Campbelltown (NSW)	15-24	Taxi	1	9
Campbelltown (NSW)	15-24	Train	1	269
Campbelltown (NSW)	15-24	Train and bus	2	113
Campbelltown (NSW)	15-24	Train and car as driver	2	24
Campbelltown (NSW)	15-24	Train and car as passenger	2	26
Campbelltown (NSW)	15-24	Train and other	2	5
Campbelltown (NSW)	15-24	Train and two other methods	3	34
Campbelltown (NSW)	15-24	Truck	1	28
Campbelltown (NSW)	15-24	Walked only	1	203
Campbelltown (NSW)	15-24	Worked at home		50
Campbelltown (NSW)	25-34	Bicycle	1	13
Campbelltown (NSW)	25-34	Bus	1	104
Campbelltown (NSW)	25-34	Bus and car as driver	2	9
Campbelltown (NSW)	25-34	Bus and car as passenger	2	9
Campbelltown (NSW)	25-34	Bus and two other methods excludes train	3	3
Campbelltown (NSW)	25-34	Car as driver	1	7452
Campbelltown (NSW)	25-34	Car as passenger	1	491
Campbelltown (NSW)	25-34	Did not go to work		889
Campbelltown (NSW)	25-34	Method of travel not stated		109
Campbelltown (NSW)	25-34	Motorbike scooter	1	41
Campbelltown (NSW)	25-34	(Other)	1	27
Campbelltown (NSW)	25-34	Other two methods	2	52
Campbelltown (NSW)	25-34	Taxi	1	3
Campbelltown (NSW)	25-34	Train	1	296
Campbelltown (NSW)	25-34	Train and bus	2	80
Campbelltown (NSW)	25-34	Train and car as driver	2	27
Campbelltown (NSW)	25-34	Train and car as passenger	2	18
Campbelltown (NSW)	25-34	Train and other	2	9
Campbelltown (NSW)	25-34	Train and two other methods	3	20
Campbelltown (NSW)	25-34	Truck	1	97
Campbelltown (NSW)	25-34	Walked only	1	156
Campbelltown (NSW)	25-34	Worked at home		250
Campbelltown (NSW)	35-44	Bicycle	1	20
Campbelltown (NSW)	35-44	Bus	1	67
Campbelltown (NSW)	35-44	Bus and car as passenger	2	4
Campbelltown (NSW)	35-44	Bus and two other methods excludes train	3	5
Campbelltown (NSW)	35-44	Car as driver	1	8083
Campbelltown (NSW)	35-44	Car as passenger	1	336
Campbelltown (NSW)	35-44	Did not go to work		694
Campbelltown (NSW)	35-44	Method of travel not stated		109
Campbelltown (NSW)	35-44	Motorbike scooter	1	33
Campbelltown (NSW)	35-44	(Other)	1	32
Campbelltown (NSW)	35-44	Other two methods	2	42
Campbelltown (NSW)	35-44	Taxi	1	23
Campbelltown (NSW)	35-44	Train	1	204
Campbelltown (NSW)	35-44	Train and bus	2	51
Campbelltown (NSW)	35-44	Train and car as driver	2	28
Campbelltown (NSW)	35-44	Train and car as passenger	2	5
Campbelltown (NSW)	35-44	Train and other	2	7
Campbelltown (NSW)	35-44	Train and two other methods	3	25
Campbelltown (NSW)	35-44	Tram includes light rail	1	3
Campbelltown (NSW)	35-44	Truck	1	124
Campbelltown (NSW)	35-44	Walked only	1	125
Campbelltown (NSW)	35-44	Worked at home		375
Campbelltown (NSW)	45-54	Bicycle	1	21
Campbelltown (NSW)	45-54	Bus	1	93
Campbelltown (NSW)	45-54	Bus and car as driver	2	4
Campbelltown (NSW)	45-54	Bus and car as passenger	2	12
Campbelltown (NSW)	45-54	Car as driver	1	8183
Campbelltown (NSW)	45-54	Car as passenger	1	356
Campbelltown (NSW)	45-54	Did not go to work		647
Campbelltown (NSW)	45-54	Method of travel not stated		83
Campbelltown (NSW)	45-54	Motorbike scooter	1	46
Campbelltown (NSW)	45-54	(Other)	1	47
Campbelltown (NSW)	45-54	Other three methods	3	3
Campbelltown (NSW)	45-54	Other two methods	2	62
Campbelltown (NSW)	45-54	Taxi	1	19
Campbelltown (NSW)	45-54	Train	1	162
Campbelltown (NSW)	45-54	Train and bus	2	60
Campbelltown (NSW)	45-54	Train and car as driver	2	18
Campbelltown (NSW)	45-54	Train and car as passenger	2	11
Campbelltown (NSW)	45-54	Train and other	2	7
Campbelltown (NSW)	45-54	Train and two other methods	3	15
Campbelltown (NSW)	45-54	Tram includes light rail	1	3
Campbelltown (NSW)	45-54	Truck	1	113
Campbelltown (NSW)	45-54	Walked only	1	134
Campbelltown (NSW)	45-54	Worked at home		363
Campbelltown (NSW)	55-64	Bicycle	1	11
Campbelltown (NSW)	55-64	Bus	1	59
Campbelltown (NSW)	55-64	Car as driver	1	5653
Campbelltown (NSW)	55-64	Car as passenger	1	318
Campbelltown (NSW)	55-64	Did not go to work		617
Campbelltown (NSW)	55-64	Method of travel not stated		59
Campbelltown (NSW)	55-64	Motorbike scooter	1	37
Campbelltown (NSW)	55-64	(Other)	1	23
Campbelltown (NSW)	55-64	Other two methods	2	50
Campbelltown (NSW)	55-64	Taxi	1	13
Campbelltown (NSW)	55-64	Train	1	114
Campbelltown (NSW)	55-64	Train and bus	2	36
Campbelltown (NSW)	55-64	Train and car as driver	2	14
Campbelltown (NSW)	55-64	Train and car as passenger	2	4
Campbelltown (NSW)	55-64	Train and other	2	3
Campbelltown (NSW)	55-64	Train and two other methods	3	10
Campbelltown (NSW)	55-64	Truck	1	89
Campbelltown (NSW)	55-64	Walked only	1	115
Campbelltown (NSW)	55-64	Worked at home		314
Campbelltown (NSW)	65-74	Bus	1	10
Campbelltown (NSW)	65-74	Car as driver	1	1074
Campbelltown (NSW)	65-74	Car as passenger	1	66
Campbelltown (NSW)	65-74	Did not go to work		196
Campbelltown (NSW)	65-74	Method of travel not stated		24
Campbelltown (NSW)	65-74	(Other)	1	5
Campbelltown (NSW)	65-74	Other two methods	2	3
Campbelltown (NSW)	65-74	Train	1	14
Campbelltown (NSW)	65-74	Train and bus	2	3
Campbelltown (NSW)	65-74	Train and two other methods	3	4
Campbelltown (NSW)	65-74	Truck	1	28
Campbelltown (NSW)	65-74	Walked only	1	26
Campbelltown (NSW)	65-74	Worked at home		75
Campbelltown (NSW)	75+	Car as driver	1	56
Campbelltown (NSW)	75+	Car as passenger	1	6
Campbelltown (NSW)	75+	Did not go to work		22
Campbelltown (NSW)	75+	Method of travel not stated		5
Campbelltown (NSW)	75+	(Other)	1	3
Campbelltown (NSW)	75+	Train	1	3
Campbelltown (NSW)	75+	Worked at home		28
Wollondilly	15-24	Bicycle	1	6
Wollondilly	15-24	Bus	1	6
Wollondilly	15-24	Bus and car as passenger	2	4
Wollondilly	15-24	Car as driver	1	903
Wollondilly	15-24	Car as passenger	1	231
Wollondilly	15-24	Did not go to work		219
Wollondilly	15-24	Method of travel not stated		26
Wollondilly	15-24	Motorbike scooter	1	8
Wollondilly	15-24	(Other)	1	3
Wollondilly	15-24	Other two methods	2	17
Wollondilly	15-24	Taxi	1	3
Wollondilly	15-24	Train	1	15
Wollondilly	15-24	Train and car as passenger	2	3
Wollondilly	15-24	Train and two other methods	3	3
Wollondilly	15-24	Truck	1	14
Wollondilly	15-24	Walked only	1	62
Wollondilly	15-24	Worked at home		33
Wollondilly	25-34	Bicycle	1	4
Wollondilly	25-34	Car as driver	1	1387
Wollondilly	25-34	Car as passenger	1	76
Wollondilly	25-34	Did not go to work		217
Wollondilly	25-34	Method of travel not stated		17
Wollondilly	25-34	Motorbike scooter	1	6
Wollondilly	25-34	(Other)	1	14
Wollondilly	25-34	Other three methods	3	4
Wollondilly	25-34	Other two methods	2	8
Wollondilly	25-34	Taxi	1	9
Wollondilly	25-34	Train	1	12
Wollondilly	25-34	Train and bus	2	3
Wollondilly	25-34	Train and car as driver	2	7
Wollondilly	25-34	Truck	1	36
Wollondilly	25-34	Walked only	1	47
Wollondilly	25-34	Worked at home		128
Wollondilly	35-44	Bicycle	1	5
Wollondilly	35-44	Bus and car as driver	2	3
Wollondilly	35-44	Car as driver	1	1599
Wollondilly	35-44	Car as passenger	1	52
Wollondilly	35-44	Did not go to work		223
Wollondilly	35-44	Method of travel not stated		28
Wollondilly	35-44	Motorbike scooter	1	3
Wollondilly	35-44	(Other)	1	10
Wollondilly	35-44	Other two methods	2	7
Wollondilly	35-44	Train and car as driver	2	3
Wollondilly	35-44	Truck	1	65
Wollondilly	35-44	Walked only	1	49
Wollondilly	35-44	Worked at home		219
Wollondilly	45-54	Bicycle	1	3
Wollondilly	45-54	Car as driver	1	1526
Wollondilly	45-54	Car as passenger	1	61
Wollondilly	45-54	Did not go to work		165
Wollondilly	45-54	Method of travel not stated		26
Wollondilly	45-54	Motorbike scooter	1	5
Wollondilly	45-54	(Other)	1	11
Wollondilly	45-54	Other two methods	2	5
Wollondilly	45-54	Train	1	3
Wollondilly	45-54	Truck	1	59
Wollondilly	45-54	Walked only	1	47
Wollondilly	45-54	Worked at home		250
Wollondilly	55-64	Car as driver	1	1022
Wollondilly	55-64	Car as passenger	1	37
Wollondilly	55-64	Did not go to work		188
Wollondilly	55-64	Method of travel not stated		14
Wollondilly	55-64	Motorbike scooter	1	11
Wollondilly	55-64	(Other)	1	10
Wollondilly	55-64	Other two methods	2	7
Wollondilly	55-64	Taxi	1	3
Wollondilly	55-64	Train	1	4
Wollondilly	55-64	Train and bus	2	3
Wollondilly	55-64	Train and car as driver	2	3
Wollondilly	55-64	Truck	1	48
Wollondilly	55-64	Walked only	1	59
Wollondilly	55-64	Worked at home		209
Wollondilly	65-74	Car as driver	1	194
Wollondilly	65-74	Car as passenger	1	8
Wollondilly	65-74	Did not go to work		40
Wollondilly	65-74	Method of travel not stated		5
Wollondilly	65-74	(Other)	1	4
Wollondilly	65-74	Truck	1	14
Wollondilly	65-74	Walked only	1	29
Wollondilly	65-74	Worked at home		98
Wollondilly	75+	Car as driver	1	22
Wollondilly	75+	Did not go to work		12
Wollondilly	75+	Method of travel not stated		8
Wollondilly	75+	Truck	1	4
Wollondilly	75+	Walked only	1	5
Wollondilly	75+	Worked at home		23
Blue Mountains	15-24	Bicycle	1	7
Blue Mountains	15-24	Bus	1	25
Blue Mountains	15-24	Car as driver	1	1468
Blue Mountains	15-24	Car as passenger	1	395
Blue Mountains	15-24	Did not go to work		576
Blue Mountains	15-24	Method of travel not stated		38
Blue Mountains	15-24	Motorbike scooter	1	12
Blue Mountains	15-24	(Other)	1	4
Blue Mountains	15-24	Other two methods	2	15
Blue Mountains	15-24	Taxi	1	15
Blue Mountains	15-24	Train	1	165
Blue Mountains	15-24	Train and bus	2	18
Blue Mountains	15-24	Train and car as driver	2	9
Blue Mountains	15-24	Train and car as passenger	2	16
Blue Mountains	15-24	Train and other	2	9
Blue Mountains	15-24	Train and two other methods	3	12
Blue Mountains	15-24	Truck	1	3
Blue Mountains	15-24	Walked only	1	207
Blue Mountains	15-24	Worked at home		54
Blue Mountains	25-34	Bicycle	1	9
Blue Mountains	25-34	Bus	1	15
Blue Mountains	25-34	Bus and car as driver	2	3
Blue Mountains	25-34	Car as driver	1	1708
Blue Mountains	25-34	Car as passenger	1	124
Blue Mountains	25-34	Did not go to work		349
Blue Mountains	25-34	Method of travel not stated		22
Blue Mountains	25-34	Motorbike scooter	1	14
Blue Mountains	25-34	(Other)	1	21
Blue Mountains	25-34	Other two methods	2	16
Blue Mountains	25-34	Taxi	1	13
Blue Mountains	25-34	Train	1	87
Blue Mountains	25-34	Train and bus	2	14
Blue Mountains	25-34	Train and car as driver	2	3
Blue Mountains	25-34	Train and car as passenger	2	8
Blue Mountains	25-34	Train and other	2	7
Blue Mountains	25-34	Train and two other methods	3	6
Blue Mountains	25-34	Truck	1	24
Blue Mountains	25-34	Walked only	1	123
Blue Mountains	25-34	Worked at home		171
Blue Mountains	35-44	Bicycle	1	16
Blue Mountains	35-44	Bus	1	3
Blue Mountains	35-44	Car as driver	1	2216
Blue Mountains	35-44	Car as passenger	1	73
Blue Mountains	35-44	Did not go to work		346
Blue Mountains	35-44	Method of travel not stated		22
Blue Mountains	35-44	Motorbike scooter	1	10
Blue Mountains	35-44	(Other)	1	22
Blue Mountains	35-44	Other two methods	2	21
Blue Mountains	35-44	Taxi	1	3
Blue Mountains	35-44	Train	1	64
Blue Mountains	35-44	Train and bus	2	17
Blue Mountains	35-44	Train and car as driver	2	11
Blue Mountains	35-44	Train and car as passenger	2	3
Blue Mountains	35-44	Train and other	2	4
Blue Mountains	35-44	Train and two other methods	3	3
Blue Mountains	35-44	Truck	1	31
Blue Mountains	35-44	Walked only	1	127
Blue Mountains	35-44	Worked at home		440
Blue Mountains	45-54	Bicycle	1	22
Blue Mountains	45-54	Bus	1	17
Blue Mountains	45-54	Bus and car as driver	2	3
Blue Mountains	45-54	Bus and car as passenger	2	3
Blue Mountains	45-54	Car as driver	1	2743
Blue Mountains	45-54	Car as passenger	1	122
