SA4_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
Sydney - Baulkham Hills and Hawkesbury	PAK	Contributing family workers	M	7
Sydney - Baulkham Hills and Hawkesbury	PAK	Employee	F	103
Sydney - Baulkham Hills and Hawkesbury	PAK	Employee	M	208
Sydney - Baulkham Hills and Hawkesbury	PAK	Owner managers of incorporated enterprises	F	19
Sydney - Baulkham Hills and Hawkesbury	PAK	Owner managers of incorporated enterprises	M	27
Sydney - Baulkham Hills and Hawkesbury	PAK	Owner managers of unincorporated enterprises	F	19
Sydney - Baulkham Hills and Hawkesbury	PAK	Owner managers of unincorporated enterprises	M	18
Sydney - Baulkham Hills and Hawkesbury	PHL	Contributing family workers	F	10
Sydney - Baulkham Hills and Hawkesbury	PHL	Contributing family workers	M	6
Sydney - Baulkham Hills and Hawkesbury	PHL	Employee	F	1008
Sydney - Baulkham Hills and Hawkesbury	PHL	Employee	M	753
Sydney - Baulkham Hills and Hawkesbury	PHL	Owner managers of incorporated enterprises	F	35
Sydney - Baulkham Hills and Hawkesbury	PHL	Owner managers of incorporated enterprises	M	32
Sydney - Baulkham Hills and Hawkesbury	PHL	Owner managers of unincorporated enterprises	F	30
Sydney - Baulkham Hills and Hawkesbury	PHL	Owner managers of unincorporated enterprises	M	21
Sydney - Baulkham Hills and Hawkesbury	PHL	Status in employment not stated	F	9
Sydney - Baulkham Hills and Hawkesbury	PHL	Status in employment not stated	M	4
Sydney - Baulkham Hills and Hawkesbury	POL	Employee	F	98
Sydney - Baulkham Hills and Hawkesbury	POL	Employee	M	77
Sydney - Baulkham Hills and Hawkesbury	POL	Owner managers of incorporated enterprises	F	14
Sydney - Baulkham Hills and Hawkesbury	POL	Owner managers of incorporated enterprises	M	18
Sydney - Baulkham Hills and Hawkesbury	POL	Owner managers of unincorporated enterprises	F	14
Sydney - Baulkham Hills and Hawkesbury	POL	Owner managers of unincorporated enterprises	M	21
Sydney - Baulkham Hills and Hawkesbury	SGP	Contributing family workers	M	3
Sydney - Baulkham Hills and Hawkesbury	SGP	Employee	F	84
Sydney - Baulkham Hills and Hawkesbury	SGP	Employee	M	68
Sydney - Baulkham Hills and Hawkesbury	SGP	Owner managers of incorporated enterprises	F	5
Sydney - Baulkham Hills and Hawkesbury	SGP	Owner managers of incorporated enterprises	M	12
Sydney - Baulkham Hills and Hawkesbury	SGP	Owner managers of unincorporated enterprises	F	7
Sydney - Baulkham Hills and Hawkesbury	SGP	Owner managers of unincorporated enterprises	M	16
Sydney - Baulkham Hills and Hawkesbury	ZAF	Contributing family workers	F	6
Sydney - Baulkham Hills and Hawkesbury	ZAF	Contributing family workers	M	8
Sydney - Baulkham Hills and Hawkesbury	ZAF	Employee	F	544
Sydney - Baulkham Hills and Hawkesbury	ZAF	Employee	M	412
Sydney - Baulkham Hills and Hawkesbury	ZAF	Owner managers of incorporated enterprises	F	43
Sydney - Baulkham Hills and Hawkesbury	ZAF	Owner managers of incorporated enterprises	M	88
Sydney - Baulkham Hills and Hawkesbury	ZAF	Owner managers of unincorporated enterprises	F	44
Sydney - Baulkham Hills and Hawkesbury	ZAF	Owner managers of unincorporated enterprises	M	49
Sydney - Baulkham Hills and Hawkesbury	ZAF	Status in employment not stated	M	8
Sydney - Baulkham Hills and Hawkesbury	KOR	Contributing family workers	F	20
Sydney - Baulkham Hills and Hawkesbury	KOR	Contributing family workers	M	15
Sydney - Baulkham Hills and Hawkesbury	KOR	Employee	F	284
Sydney - Baulkham Hills and Hawkesbury	KOR	Employee	M	284
Sydney - Baulkham Hills and Hawkesbury	KOR	Owner managers of incorporated enterprises	F	53
Sydney - Baulkham Hills and Hawkesbury	KOR	Owner managers of incorporated enterprises	M	93
Sydney - Baulkham Hills and Hawkesbury	KOR	Owner managers of unincorporated enterprises	F	69
Sydney - Baulkham Hills and Hawkesbury	KOR	Owner managers of unincorporated enterprises	M	73
Sydney - Baulkham Hills and Hawkesbury	KOR	Status in employment not stated	F	3
Sydney - Baulkham Hills and Hawkesbury	KOR	Status in employment not stated	M	6
Sydney - Baulkham Hills and Hawkesbury	LKA	Contributing family workers	F	11
Sydney - Baulkham Hills and Hawkesbury	LKA	Contributing family workers	M	5
Sydney - Baulkham Hills and Hawkesbury	LKA	Employee	F	370
Sydney - Baulkham Hills and Hawkesbury	LKA	Employee	M	365
Sydney - Baulkham Hills and Hawkesbury	LKA	Owner managers of incorporated enterprises	F	33
Sydney - Baulkham Hills and Hawkesbury	LKA	Owner managers of incorporated enterprises	M	56
Sydney - Baulkham Hills and Hawkesbury	LKA	Owner managers of unincorporated enterprises	F	35
Sydney - Baulkham Hills and Hawkesbury	LKA	Owner managers of unincorporated enterprises	M	39
Sydney - Baulkham Hills and Hawkesbury	LKA	Status in employment not stated	F	3
Sydney - Baulkham Hills and Hawkesbury	LKA	Status in employment not stated	M	3
Sydney - Baulkham Hills and Hawkesbury	THA	Contributing family workers	F	4
Sydney - Baulkham Hills and Hawkesbury	THA	Contributing family workers	M	4
Sydney - Baulkham Hills and Hawkesbury	THA	Employee	F	161
Sydney - Baulkham Hills and Hawkesbury	THA	Employee	M	87
Sydney - Baulkham Hills and Hawkesbury	THA	Owner managers of incorporated enterprises	F	15
Sydney - Baulkham Hills and Hawkesbury	THA	Owner managers of incorporated enterprises	M	14
Sydney - Baulkham Hills and Hawkesbury	THA	Owner managers of unincorporated enterprises	F	6
Sydney - Baulkham Hills and Hawkesbury	THA	Owner managers of unincorporated enterprises	M	3
Sydney - Baulkham Hills and Hawkesbury	THA	Status in employment not stated	F	4
Sydney - Baulkham Hills and Hawkesbury	THA	Status in employment not stated	M	4
Sydney - Baulkham Hills and Hawkesbury	TUR	Employee	F	47
Sydney - Baulkham Hills and Hawkesbury	TUR	Employee	M	45
Sydney - Baulkham Hills and Hawkesbury	TUR	Owner managers of incorporated enterprises	F	7
Sydney - Baulkham Hills and Hawkesbury	TUR	Owner managers of incorporated enterprises	M	21
Sydney - Baulkham Hills and Hawkesbury	TUR	Owner managers of unincorporated enterprises	F	9
Sydney - Baulkham Hills and Hawkesbury	TUR	Owner managers of unincorporated enterprises	M	18
Sydney - Baulkham Hills and Hawkesbury	GBR	Contributing family workers	F	47
Sydney - Baulkham Hills and Hawkesbury	GBR	Contributing family workers	M	21
Sydney - Baulkham Hills and Hawkesbury	GBR	Employee	F	1350
Sydney - Baulkham Hills and Hawkesbury	GBR	Employee	M	1225
Sydney - Baulkham Hills and Hawkesbury	GBR	Owner managers of incorporated enterprises	F	132
Sydney - Baulkham Hills and Hawkesbury	GBR	Owner managers of incorporated enterprises	M	289
Sydney - Baulkham Hills and Hawkesbury	GBR	Owner managers of unincorporated enterprises	F	109
Sydney - Baulkham Hills and Hawkesbury	GBR	Owner managers of unincorporated enterprises	M	183
Sydney - Baulkham Hills and Hawkesbury	GBR	Status in employment not stated	F	9
Sydney - Baulkham Hills and Hawkesbury	GBR	Status in employment not stated	M	13
Sydney - Baulkham Hills and Hawkesbury	USA	Contributing family workers	F	5
Sydney - Baulkham Hills and Hawkesbury	USA	Employee	F	204
Sydney - Baulkham Hills and Hawkesbury	USA	Employee	M	173
Sydney - Baulkham Hills and Hawkesbury	USA	Owner managers of incorporated enterprises	F	23
Sydney - Baulkham Hills and Hawkesbury	USA	Owner managers of incorporated enterprises	M	18
Sydney - Baulkham Hills and Hawkesbury	USA	Owner managers of unincorporated enterprises	F	17
Sydney - Baulkham Hills and Hawkesbury	USA	Owner managers of unincorporated enterprises	M	20
Sydney - Baulkham Hills and Hawkesbury	VNM	Contributing family workers	F	15
Sydney - Baulkham Hills and Hawkesbury	VNM	Contributing family workers	M	3
Sydney - Baulkham Hills and Hawkesbury	VNM	Employee	F	249
Sydney - Baulkham Hills and Hawkesbury	VNM	Employee	M	231
Sydney - Baulkham Hills and Hawkesbury	VNM	Owner managers of incorporated enterprises	F	23
Sydney - Baulkham Hills and Hawkesbury	VNM	Owner managers of incorporated enterprises	M	35
Sydney - Baulkham Hills and Hawkesbury	VNM	Owner managers of unincorporated enterprises	F	12
Sydney - Baulkham Hills and Hawkesbury	VNM	Owner managers of unincorporated enterprises	M	15
Sydney - Baulkham Hills and Hawkesbury	VNM	Status in employment not stated	F	5
Sydney - Baulkham Hills and Hawkesbury	VNM	Status in employment not stated	M	3
Sydney - Baulkham Hills and Hawkesbury	ZWE	Contributing family workers	M	4
Sydney - Baulkham Hills and Hawkesbury	ZWE	Employee	F	74
Sydney - Baulkham Hills and Hawkesbury	ZWE	Employee	M	52
Sydney - Baulkham Hills and Hawkesbury	ZWE	Owner managers of incorporated enterprises	F	4
Sydney - Baulkham Hills and Hawkesbury	ZWE	Owner managers of incorporated enterprises	M	10
Sydney - Baulkham Hills and Hawkesbury	ZWE	Owner managers of unincorporated enterprises	F	3
Sydney - Baulkham Hills and Hawkesbury	ZWE	Owner managers of unincorporated enterprises	M	3
Sydney - Blacktown		Contributing family workers	F	53
Sydney - Blacktown		Contributing family workers	M	59
Sydney - Blacktown		Employee	F	3225
Sydney - Blacktown		Employee	M	4429
Sydney - Blacktown		Owner managers of incorporated enterprises	F	176
Sydney - Blacktown		Owner managers of incorporated enterprises	M	459
Sydney - Blacktown		Owner managers of unincorporated enterprises	F	282
Sydney - Blacktown		Owner managers of unincorporated enterprises	M	455
Sydney - Blacktown		Status in employment not stated	F	78
Sydney - Blacktown		Status in employment not stated	M	93
Sydney - Blacktown	AUS	Contributing family workers	F	206
Sydney - Blacktown	AUS	Contributing family workers	M	199
Sydney - Blacktown	AUS	Employee	F	25068
Sydney - Blacktown	AUS	Employee	M	30232
Sydney - Blacktown	AUS	Owner managers of incorporated enterprises	F	726
Sydney - Blacktown	AUS	Owner managers of incorporated enterprises	M	2477
Sydney - Blacktown	AUS	Owner managers of unincorporated enterprises	F	879
Sydney - Blacktown	AUS	Owner managers of unincorporated enterprises	M	1592
Sydney - Blacktown	AUS	Status in employment not stated	F	190
Sydney - Blacktown	AUS	Status in employment not stated	M	320
Sydney - Blacktown	CAN	Employee	F	54
Sydney - Blacktown	CAN	Employee	M	50
Sydney - Blacktown	CAN	Owner managers of incorporated enterprises	M	12
Sydney - Blacktown	CAN	Owner managers of unincorporated enterprises	F	4
Sydney - Blacktown	CAN	Owner managers of unincorporated enterprises	M	6
Sydney - Blacktown	CHN	Contributing family workers	F	55
Sydney - Blacktown	CHN	Contributing family workers	M	36
Sydney - Blacktown	CHN	Employee	F	828
Sydney - Blacktown	CHN	Employee	M	947
Sydney - Blacktown	CHN	Owner managers of incorporated enterprises	F	103
Sydney - Blacktown	CHN	Owner managers of incorporated enterprises	M	204
Sydney - Blacktown	CHN	Owner managers of unincorporated enterprises	F	91
Sydney - Blacktown	CHN	Owner managers of unincorporated enterprises	M	152
Sydney - Blacktown	CHN	Status in employment not stated	F	9
Sydney - Blacktown	CHN	Status in employment not stated	M	8
Sydney - Blacktown	HRV	Contributing family workers	M	3
Sydney - Blacktown	HRV	Employee	F	127
Sydney - Blacktown	HRV	Employee	M	132
Sydney - Blacktown	HRV	Owner managers of incorporated enterprises	F	7
Sydney - Blacktown	HRV	Owner managers of incorporated enterprises	M	18
Sydney - Blacktown	HRV	Owner managers of unincorporated enterprises	F	7
Sydney - Blacktown	HRV	Owner managers of unincorporated enterprises	M	8
Sydney - Blacktown	HRV	Status in employment not stated	F	3
Sydney - Blacktown	HRV	Status in employment not stated	M	4
Sydney - Blacktown	EGY	Contributing family workers	F	3
Sydney - Blacktown	EGY	Contributing family workers	M	3
Sydney - Blacktown	EGY	Employee	F	193
Sydney - Blacktown	EGY	Employee	M	191
Sydney - Blacktown	EGY	Owner managers of incorporated enterprises	F	26
Sydney - Blacktown	EGY	Owner managers of incorporated enterprises	M	61
Sydney - Blacktown	EGY	Owner managers of unincorporated enterprises	F	14
Sydney - Blacktown	EGY	Owner managers of unincorporated enterprises	M	45
Sydney - Blacktown	EGY	Status in employment not stated	F	3
Sydney - Blacktown	FJI	Contributing family workers	F	8
Sydney - Blacktown	FJI	Contributing family workers	M	12
Sydney - Blacktown	FJI	Employee	F	834
Sydney - Blacktown	FJI	Employee	M	883
Sydney - Blacktown	FJI	Owner managers of incorporated enterprises	F	29
Sydney - Blacktown	FJI	Owner managers of incorporated enterprises	M	126
Sydney - Blacktown	FJI	Owner managers of unincorporated enterprises	F	25
Sydney - Blacktown	FJI	Owner managers of unincorporated enterprises	M	73
Sydney - Blacktown	FJI	Status in employment not stated	F	8
Sydney - Blacktown	FJI	Status in employment not stated	M	12
Sydney - Blacktown	MKD	Employee	F	38
Sydney - Blacktown	MKD	Employee	M	69
Sydney - Blacktown	MKD	Owner managers of incorporated enterprises	F	3
Sydney - Blacktown	MKD	Owner managers of incorporated enterprises	M	7
Sydney - Blacktown	MKD	Owner managers of unincorporated enterprises	M	10
Sydney - Blacktown	DEU	Contributing family workers	F	3
Sydney - Blacktown	DEU	Contributing family workers	M	3
Sydney - Blacktown	DEU	Employee	F	108
Sydney - Blacktown	DEU	Employee	M	112
Sydney - Blacktown	DEU	Owner managers of incorporated enterprises	F	4
Sydney - Blacktown	DEU	Owner managers of incorporated enterprises	M	12
Sydney - Blacktown	DEU	Owner managers of unincorporated enterprises	F	5
Sydney - Blacktown	DEU	Owner managers of unincorporated enterprises	M	13
Sydney - Blacktown	GRC	Contributing family workers	M	6
Sydney - Blacktown	GRC	Employee	F	29
Sydney - Blacktown	GRC	Employee	M	52
Sydney - Blacktown	GRC	Owner managers of incorporated enterprises	F	4
Sydney - Blacktown	GRC	Owner managers of incorporated enterprises	M	17
Sydney - Blacktown	GRC	Owner managers of unincorporated enterprises	F	10
Sydney - Blacktown	GRC	Owner managers of unincorporated enterprises	M	14
Sydney - Blacktown	HKG	Contributing family workers	F	3
Sydney - Blacktown	HKG	Employee	F	183
Sydney - Blacktown	HKG	Employee	M	239
Sydney - Blacktown	HKG	Owner managers of incorporated enterprises	F	3
Sydney - Blacktown	HKG	Owner managers of incorporated enterprises	M	33
Sydney - Blacktown	HKG	Owner managers of unincorporated enterprises	F	11
Sydney - Blacktown	HKG	Owner managers of unincorporated enterprises	M	22
Sydney - Blacktown	IND	Contributing family workers	F	45
Sydney - Blacktown	IND	Contributing family workers	M	55
Sydney - Blacktown	IND	Employee	F	2152
Sydney - Blacktown	IND	Employee	M	2878
Sydney - Blacktown	IND	Owner managers of incorporated enterprises	F	138
Sydney - Blacktown	IND	Owner managers of incorporated enterprises	M	509
Sydney - Blacktown	IND	Owner managers of unincorporated enterprises	F	166
Sydney - Blacktown	IND	Owner managers of unincorporated enterprises	M	423
Sydney - Blacktown	IND	Status in employment not stated	F	14
Sydney - Blacktown	IND	Status in employment not stated	M	31
Sydney - Blacktown	IDN	Contributing family workers	F	3
Sydney - Blacktown	IDN	Employee	F	175
Sydney - Blacktown	IDN	Employee	M	166
Sydney - Blacktown	IDN	Owner managers of incorporated enterprises	F	13
Sydney - Blacktown	IDN	Owner managers of incorporated enterprises	M	12
Sydney - Blacktown	IDN	Owner managers of unincorporated enterprises	F	11
Sydney - Blacktown	IDN	Owner managers of unincorporated enterprises	M	25
Sydney - Blacktown	IRN	Contributing family workers	F	3
Sydney - Blacktown	IRN	Contributing family workers	M	8
Sydney - Blacktown	IRN	Employee	F	145
Sydney - Blacktown	IRN	Employee	M	219
Sydney - Blacktown	IRN	Owner managers of incorporated enterprises	F	13
Sydney - Blacktown	IRN	Owner managers of incorporated enterprises	M	58
Sydney - Blacktown	IRN	Owner managers of unincorporated enterprises	F	8
Sydney - Blacktown	IRN	Owner managers of unincorporated enterprises	M	31
Sydney - Blacktown	IRN	Status in employment not stated	M	5
Sydney - Blacktown	IRQ	Contributing family workers	F	5
Sydney - Blacktown	IRQ	Contributing family workers	M	3
Sydney - Blacktown	IRQ	Employee	F	139
Sydney - Blacktown	IRQ	Employee	M	363
Sydney - Blacktown	IRQ	Owner managers of incorporated enterprises	F	8
Sydney - Blacktown	IRQ	Owner managers of incorporated enterprises	M	58
Sydney - Blacktown	IRQ	Owner managers of unincorporated enterprises	F	19
Sydney - Blacktown	IRQ	Owner managers of unincorporated enterprises	M	41
Sydney - Blacktown	IRQ	Status in employment not stated	F	3
Sydney - Blacktown	IRQ	Status in employment not stated	M	4
Sydney - Blacktown	IRL	Employee	F	103
Sydney - Blacktown	IRL	Employee	M	194
Sydney - Blacktown	IRL	Owner managers of incorporated enterprises	F	3
Sydney - Blacktown	IRL	Owner managers of incorporated enterprises	M	39
Sydney - Blacktown	IRL	Owner managers of unincorporated enterprises	F	3
Sydney - Blacktown	IRL	Owner managers of unincorporated enterprises	M	10
Sydney - Blacktown	IRL	Status in employment not stated	M	3
Sydney - Blacktown	ITA	Contributing family workers	F	3
Sydney - Blacktown	ITA	Contributing family workers	M	5
Sydney - Blacktown	ITA	Employee	F	117
Sydney - Blacktown	ITA	Employee	M	182
Sydney - Blacktown	ITA	Owner managers of incorporated enterprises	F	7
Sydney - Blacktown	ITA	Owner managers of incorporated enterprises	M	44
Sydney - Blacktown	ITA	Owner managers of unincorporated enterprises	F	4
Sydney - Blacktown	ITA	Owner managers of unincorporated enterprises	M	25
Sydney - Blacktown	ITA	Status in employment not stated	M	7
Sydney - Blacktown	JPN	Employee	F	22
Sydney - Blacktown	JPN	Employee	M	31
Sydney - Blacktown	JPN	Owner managers of incorporated enterprises	M	3
Sydney - Blacktown	JPN	Owner managers of unincorporated enterprises	F	7
Sydney - Blacktown	LBN	Contributing family workers	F	4
Sydney - Blacktown	LBN	Contributing family workers	M	10
Sydney - Blacktown	LBN	Employee	F	201
Sydney - Blacktown	LBN	Employee	M	321
Sydney - Blacktown	LBN	Owner managers of incorporated enterprises	F	14
Sydney - Blacktown	LBN	Owner managers of incorporated enterprises	M	104
Sydney - Blacktown	LBN	Owner managers of unincorporated enterprises	F	17
Sydney - Blacktown	LBN	Owner managers of unincorporated enterprises	M	95
Sydney - Blacktown	LBN	Status in employment not stated	M	13
Sydney - Blacktown	MYS	Contributing family workers	F	3
Sydney - Blacktown	MYS	Contributing family workers	M	3
Sydney - Blacktown	MYS	Employee	F	196
Sydney - Blacktown	MYS	Employee	M	208
Sydney - Blacktown	MYS	Owner managers of incorporated enterprises	F	21
Sydney - Blacktown	MYS	Owner managers of incorporated enterprises	M	45
Sydney - Blacktown	MYS	Owner managers of unincorporated enterprises	F	20
Sydney - Blacktown	MYS	Owner managers of unincorporated enterprises	M	30
Sydney - Blacktown	MLT	Contributing family workers	F	3
Sydney - Blacktown	MLT	Employee	F	148
Sydney - Blacktown	MLT	Employee	M	185
Sydney - Blacktown	MLT	Owner managers of incorporated enterprises	F	9
Sydney - Blacktown	MLT	Owner managers of incorporated enterprises	M	31
Sydney - Blacktown	MLT	Owner managers of unincorporated enterprises	F	18
Sydney - Blacktown	MLT	Owner managers of unincorporated enterprises	M	35
Sydney - Blacktown	MLT	Status in employment not stated	M	4
Sydney - Blacktown	NLD	Employee	F	47
Sydney - Blacktown	NLD	Employee	M	76
Sydney - Blacktown	NLD	Owner managers of incorporated enterprises	M	13
Sydney - Blacktown	NLD	Owner managers of unincorporated enterprises	F	3
Sydney - Blacktown	NLD	Owner managers of unincorporated enterprises	M	8
Sydney - Blacktown	NLD	Status in employment not stated	F	3
Sydney - Blacktown	NZL	Contributing family workers	F	5
Sydney - Blacktown	NZL	Contributing family workers	M	16
Sydney - Blacktown	NZL	Employee	F	1191
Sydney - Blacktown	NZL	Employee	M	1821
Sydney - Blacktown	NZL	Owner managers of incorporated enterprises	F	22
Sydney - Blacktown	NZL	Owner managers of incorporated enterprises	M	88
Sydney - Blacktown	NZL	Owner managers of unincorporated enterprises	F	49
Sydney - Blacktown	NZL	Owner managers of unincorporated enterprises	M	58
Sydney - Blacktown	NZL	Status in employment not stated	F	16
Sydney - Blacktown	NZL	Status in employment not stated	M	22
Sydney - Blacktown	PAK	Contributing family workers	F	7
Sydney - Blacktown	PAK	Contributing family workers	M	8
Sydney - Blacktown	PAK	Employee	F	170
Sydney - Blacktown	PAK	Employee	M	444
Sydney - Blacktown	PAK	Owner managers of incorporated enterprises	F	25
Sydney - Blacktown	PAK	Owner managers of incorporated enterprises	M	84
Sydney - Blacktown	PAK	Owner managers of unincorporated enterprises	F	37
Sydney - Blacktown	PAK	Owner managers of unincorporated enterprises	M	105
Sydney - Blacktown	PAK	Status in employment not stated	F	3
Sydney - Blacktown	PAK	Status in employment not stated	M	13
Sydney - Blacktown	PHL	Contributing family workers	F	16
Sydney - Blacktown	PHL	Contributing family workers	M	12
Sydney - Blacktown	PHL	Employee	F	2384
Sydney - Blacktown	PHL	Employee	M	2147
Sydney - Blacktown	PHL	Owner managers of incorporated enterprises	F	59
Sydney - Blacktown	PHL	Owner managers of incorporated enterprises	M	100
Sydney - Blacktown	PHL	Owner managers of unincorporated enterprises	F	86
Sydney - Blacktown	PHL	Owner managers of unincorporated enterprises	M	120
Sydney - Blacktown	PHL	Status in employment not stated	F	23
Sydney - Blacktown	PHL	Status in employment not stated	M	15
Sydney - Blacktown	POL	Employee	F	153
Sydney - Blacktown	POL	Employee	M	100
Sydney - Blacktown	POL	Owner managers of incorporated enterprises	F	7
Sydney - Blacktown	POL	Owner managers of incorporated enterprises	M	19
Sydney - Blacktown	POL	Owner managers of unincorporated enterprises	F	5
Sydney - Blacktown	POL	Owner managers of unincorporated enterprises	M	14
Sydney - Blacktown	SGP	Employee	F	70
Sydney - Blacktown	SGP	Employee	M	44
Sydney - Blacktown	SGP	Owner managers of incorporated enterprises	F	7
Sydney - Blacktown	SGP	Owner managers of incorporated enterprises	M	9
Sydney - Blacktown	SGP	Owner managers of unincorporated enterprises	M	6
Sydney - Blacktown	ZAF	Contributing family workers	F	3
Sydney - Blacktown	ZAF	Contributing family workers	M	3
Sydney - Blacktown	ZAF	Employee	F	355
Sydney - Blacktown	ZAF	Employee	M	347
Sydney - Blacktown	ZAF	Owner managers of incorporated enterprises	F	13
Sydney - Blacktown	ZAF	Owner managers of incorporated enterprises	M	40
Sydney - Blacktown	ZAF	Owner managers of unincorporated enterprises	F	19
Sydney - Blacktown	ZAF	Owner managers of unincorporated enterprises	M	16
Sydney - Blacktown	ZAF	Status in employment not stated	M	3
Sydney - Blacktown	KOR	Contributing family workers	F	7
Sydney - Blacktown	KOR	Contributing family workers	M	4
Sydney - Blacktown	KOR	Employee	F	189
Sydney - Blacktown	KOR	Employee	M	290
Sydney - Blacktown	KOR	Owner managers of incorporated enterprises	F	28
Sydney - Blacktown	KOR	Owner managers of incorporated enterprises	M	60
Sydney - Blacktown	KOR	Owner managers of unincorporated enterprises	F	44
Sydney - Blacktown	KOR	Owner managers of unincorporated enterprises	M	64
Sydney - Blacktown	LKA	Contributing family workers	F	12
Sydney - Blacktown	LKA	Contributing family workers	M	10
Sydney - Blacktown	LKA	Employee	F	417
Sydney - Blacktown	LKA	Employee	M	551
Sydney - Blacktown	LKA	Owner managers of incorporated enterprises	F	34
Sydney - Blacktown	LKA	Owner managers of incorporated enterprises	M	82
Sydney - Blacktown	LKA	Owner managers of unincorporated enterprises	F	55
Sydney - Blacktown	LKA	Owner managers of unincorporated enterprises	M	57
Sydney - Blacktown	LKA	Status in employment not stated	F	6
Sydney - Blacktown	LKA	Status in employment not stated	M	7
Sydney - Blacktown	THA	Contributing family workers	F	5
Sydney - Blacktown	THA	Contributing family workers	M	3
Sydney - Blacktown	THA	Employee	F	132
Sydney - Blacktown	THA	Employee	M	145
Sydney - Blacktown	THA	Owner managers of incorporated enterprises	F	8
Sydney - Blacktown	THA	Owner managers of incorporated enterprises	M	6
Sydney - Blacktown	THA	Owner managers of unincorporated enterprises	F	13
Sydney - Blacktown	TUR	Contributing family workers	F	3
Sydney - Blacktown	TUR	Contributing family workers	M	10
Sydney - Blacktown	TUR	Employee	F	77
Sydney - Blacktown	TUR	Employee	M	162
Sydney - Blacktown	TUR	Owner managers of incorporated enterprises	F	12
Sydney - Blacktown	TUR	Owner managers of incorporated enterprises	M	26
Sydney - Blacktown	TUR	Owner managers of unincorporated enterprises	F	12
Sydney - Blacktown	TUR	Owner managers of unincorporated enterprises	M	35
Sydney - Blacktown	TUR	Status in employment not stated	M	4
Sydney - Blacktown	GBR	Contributing family workers	F	8
Sydney - Blacktown	GBR	Contributing family workers	M	11
Sydney - Blacktown	GBR	Employee	F	1173
Sydney - Blacktown	GBR	Employee	M	1610
Sydney - Blacktown	GBR	Owner managers of incorporated enterprises	F	55
Sydney - Blacktown	GBR	Owner managers of incorporated enterprises	M	159
Sydney - Blacktown	GBR	Owner managers of unincorporated enterprises	F	53
Sydney - Blacktown	GBR	Owner managers of unincorporated enterprises	M	103
Sydney - Blacktown	GBR	Status in employment not stated	F	4
Sydney - Blacktown	GBR	Status in employment not stated	M	15
Sydney - Blacktown	USA	Employee	F	102
Sydney - Blacktown	USA	Employee	M	147
Sydney - Blacktown	USA	Owner managers of incorporated enterprises	F	4
Sydney - Blacktown	USA	Owner managers of incorporated enterprises	M	18
Sydney - Blacktown	USA	Owner managers of unincorporated enterprises	F	4
Sydney - Blacktown	USA	Owner managers of unincorporated enterprises	M	3
Sydney - Blacktown	USA	Status in employment not stated	M	3
Sydney - Blacktown	VNM	Contributing family workers	F	11
Sydney - Blacktown	VNM	Contributing family workers	M	14
Sydney - Blacktown	VNM	Employee	F	516
Sydney - Blacktown	VNM	Employee	M	737
Sydney - Blacktown	VNM	Owner managers of incorporated enterprises	F	28
Sydney - Blacktown	VNM	Owner managers of incorporated enterprises	M	51
Sydney - Blacktown	VNM	Owner managers of unincorporated enterprises	F	55
Sydney - Blacktown	VNM	Owner managers of unincorporated enterprises	M	62
Sydney - Blacktown	VNM	Status in employment not stated	F	11
Sydney - Blacktown	VNM	Status in employment not stated	M	21
Sydney - Blacktown	ZWE	Employee	F	49
Sydney - Blacktown	ZWE	Employee	M	75
Sydney - Blacktown	ZWE	Owner managers of unincorporated enterprises	F	3
Sydney - City and Inner South		Contributing family workers	F	149
Sydney - City and Inner South		Contributing family workers	M	145
Sydney - City and Inner South		Employee	F	23594
Sydney - City and Inner South		Employee	M	29209
Sydney - City and Inner South		Owner managers of incorporated enterprises	F	601
Sydney - City and Inner South		Owner managers of incorporated enterprises	M	1756
Sydney - City and Inner South		Owner managers of unincorporated enterprises	F	646
Sydney - City and Inner South		Owner managers of unincorporated enterprises	M	1464
Sydney - City and Inner South		Status in employment not stated	F	319
Sydney - City and Inner South		Status in employment not stated	M	446
Sydney - City and Inner South	AUS	Contributing family workers	F	425
Sydney - City and Inner South	AUS	Contributing family workers	M	520
Sydney - City and Inner South	AUS	Employee	F	128017
Sydney - City and Inner South	AUS	Employee	M	139932
Sydney - City and Inner South	AUS	Owner managers of incorporated enterprises	F	3375
Sydney - City and Inner South	AUS	Owner managers of incorporated enterprises	M	10796
Sydney - City and Inner South	AUS	Owner managers of unincorporated enterprises	F	3742
Sydney - City and Inner South	AUS	Owner managers of unincorporated enterprises	M	7192
Sydney - City and Inner South	AUS	Status in employment not stated	F	739
Sydney - City and Inner South	AUS	Status in employment not stated	M	1060
Sydney - City and Inner South	CAN	Contributing family workers	F	5
Sydney - City and Inner South	CAN	Contributing family workers	M	3
Sydney - City and Inner South	CAN	Employee	F	1131
Sydney - City and Inner South	CAN	Employee	M	1121
Sydney - City and Inner South	CAN	Owner managers of incorporated enterprises	F	34
Sydney - City and Inner South	CAN	Owner managers of incorporated enterprises	M	100
Sydney - City and Inner South	CAN	Owner managers of unincorporated enterprises	F	35
Sydney - City and Inner South	CAN	Owner managers of unincorporated enterprises	M	52
Sydney - City and Inner South	CAN	Status in employment not stated	F	3
Sydney - City and Inner South	CAN	Status in employment not stated	M	3
Sydney - City and Inner South	CHN	Contributing family workers	F	189
Sydney - City and Inner South	CHN	Contributing family workers	M	230
