SA4_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Sydney - Eastern Suburbs	Train	1	Technicians and trades workers	657
Sydney - Eastern Suburbs	Train and bus	2		47
Sydney - Eastern Suburbs	Train and bus	2	Clerical and administrative workers	526
Sydney - Eastern Suburbs	Train and bus	2	Community and personal service workers	649
Sydney - Eastern Suburbs	Train and bus	2	Labourers	468
Sydney - Eastern Suburbs	Train and bus	2	Machinery operators and drivers	108
Sydney - Eastern Suburbs	Train and bus	2	Managers	307
Sydney - Eastern Suburbs	Train and bus	2	Professionals	1402
Sydney - Eastern Suburbs	Train and bus	2	Sales workers	487
Sydney - Eastern Suburbs	Train and bus	2	Technicians and trades workers	413
Sydney - Eastern Suburbs	Train and car as driver	2		9
Sydney - Eastern Suburbs	Train and car as driver	2	Clerical and administrative workers	79
Sydney - Eastern Suburbs	Train and car as driver	2	Community and personal service workers	43
Sydney - Eastern Suburbs	Train and car as driver	2	Labourers	28
Sydney - Eastern Suburbs	Train and car as driver	2	Machinery operators and drivers	21
Sydney - Eastern Suburbs	Train and car as driver	2	Managers	63
Sydney - Eastern Suburbs	Train and car as driver	2	Professionals	143
Sydney - Eastern Suburbs	Train and car as driver	2	Sales workers	58
Sydney - Eastern Suburbs	Train and car as driver	2	Technicians and trades workers	41
Sydney - Eastern Suburbs	Train and car as passenger	2		3
Sydney - Eastern Suburbs	Train and car as passenger	2	Clerical and administrative workers	26
Sydney - Eastern Suburbs	Train and car as passenger	2	Community and personal service workers	28
Sydney - Eastern Suburbs	Train and car as passenger	2	Labourers	8
Sydney - Eastern Suburbs	Train and car as passenger	2	Machinery operators and drivers	3
Sydney - Eastern Suburbs	Train and car as passenger	2	Managers	14
Sydney - Eastern Suburbs	Train and car as passenger	2	Professionals	30
Sydney - Eastern Suburbs	Train and car as passenger	2	Sales workers	30
Sydney - Eastern Suburbs	Train and car as passenger	2	Technicians and trades workers	23
Sydney - Eastern Suburbs	Train and ferry	2	Managers	5
Sydney - Eastern Suburbs	Train and ferry	2	Professionals	14
Sydney - Eastern Suburbs	Train and other	2		3
Sydney - Eastern Suburbs	Train and other	2	Clerical and administrative workers	14
Sydney - Eastern Suburbs	Train and other	2	Community and personal service workers	11
Sydney - Eastern Suburbs	Train and other	2	Labourers	3
Sydney - Eastern Suburbs	Train and other	2	Machinery operators and drivers	4
Sydney - Eastern Suburbs	Train and other	2	Managers	11
Sydney - Eastern Suburbs	Train and other	2	Professionals	30
Sydney - Eastern Suburbs	Train and other	2	Sales workers	7
Sydney - Eastern Suburbs	Train and other	2	Technicians and trades workers	7
Sydney - Eastern Suburbs	Train and tram includes light rail	2	Managers	3
Sydney - Eastern Suburbs	Train and tram includes light rail	2	Professionals	3
Sydney - Eastern Suburbs	Train and tram includes light rail	2	Sales workers	3
Sydney - Eastern Suburbs	Train and tram includes light rail	2	Technicians and trades workers	3
Sydney - Eastern Suburbs	Train and two other methods	3		16
Sydney - Eastern Suburbs	Train and two other methods	3	Clerical and administrative workers	113
Sydney - Eastern Suburbs	Train and two other methods	3	Community and personal service workers	133
Sydney - Eastern Suburbs	Train and two other methods	3	Labourers	55
Sydney - Eastern Suburbs	Train and two other methods	3	Machinery operators and drivers	23
Sydney - Eastern Suburbs	Train and two other methods	3	Managers	82
Sydney - Eastern Suburbs	Train and two other methods	3	Professionals	362
Sydney - Eastern Suburbs	Train and two other methods	3	Sales workers	51
Sydney - Eastern Suburbs	Train and two other methods	3	Technicians and trades workers	91
Sydney - Eastern Suburbs	Tram includes light rail	1	Labourers	3
Sydney - Eastern Suburbs	Tram includes light rail	1	Managers	3
Sydney - Eastern Suburbs	Tram includes light rail	1	Professionals	7
Sydney - Eastern Suburbs	Tram includes light rail	1	Sales workers	3
Sydney - Eastern Suburbs	Truck	1	Clerical and administrative workers	3
Sydney - Eastern Suburbs	Truck	1	Community and personal service workers	6
Sydney - Eastern Suburbs	Truck	1	Labourers	60
Sydney - Eastern Suburbs	Truck	1	Machinery operators and drivers	53
Sydney - Eastern Suburbs	Truck	1	Managers	67
Sydney - Eastern Suburbs	Truck	1	Professionals	3
Sydney - Eastern Suburbs	Truck	1	Sales workers	3
Sydney - Eastern Suburbs	Truck	1	Technicians and trades workers	144
Sydney - Eastern Suburbs	Walked only	1		89
Sydney - Eastern Suburbs	Walked only	1	Clerical and administrative workers	814
Sydney - Eastern Suburbs	Walked only	1	Community and personal service workers	1495
Sydney - Eastern Suburbs	Walked only	1	Labourers	460
Sydney - Eastern Suburbs	Walked only	1	Machinery operators and drivers	118
Sydney - Eastern Suburbs	Walked only	1	Managers	1039
Sydney - Eastern Suburbs	Walked only	1	Professionals	2647
Sydney - Eastern Suburbs	Walked only	1	Sales workers	791
Sydney - Eastern Suburbs	Walked only	1	Technicians and trades workers	584
Sydney - Eastern Suburbs	Worked at home			210
Sydney - Eastern Suburbs	Worked at home		Clerical and administrative workers	1084
Sydney - Eastern Suburbs	Worked at home		Community and personal service workers	398
Sydney - Eastern Suburbs	Worked at home		Labourers	94
Sydney - Eastern Suburbs	Worked at home		Machinery operators and drivers	12
Sydney - Eastern Suburbs	Worked at home		Managers	1351
Sydney - Eastern Suburbs	Worked at home		Professionals	3364
Sydney - Eastern Suburbs	Worked at home		Sales workers	393
Sydney - Eastern Suburbs	Worked at home		Technicians and trades workers	268
Sydney - Inner South West	Bicycle	1		16
Sydney - Inner South West	Bicycle	1	Clerical and administrative workers	22
Sydney - Inner South West	Bicycle	1	Community and personal service workers	35
Sydney - Inner South West	Bicycle	1	Labourers	60
Sydney - Inner South West	Bicycle	1	Machinery operators and drivers	49
Sydney - Inner South West	Bicycle	1	Managers	33
Sydney - Inner South West	Bicycle	1	Professionals	115
Sydney - Inner South West	Bicycle	1	Sales workers	18
Sydney - Inner South West	Bicycle	1	Technicians and trades workers	59
Sydney - Inner South West	Bus	1		50
Sydney - Inner South West	Bus	1	Clerical and administrative workers	327
Sydney - Inner South West	Bus	1	Community and personal service workers	464
Sydney - Inner South West	Bus	1	Labourers	465
Sydney - Inner South West	Bus	1	Machinery operators and drivers	168
Sydney - Inner South West	Bus	1	Managers	98
Sydney - Inner South West	Bus	1	Professionals	387
Sydney - Inner South West	Bus	1	Sales workers	479
Sydney - Inner South West	Bus	1	Technicians and trades workers	220
Sydney - Inner South West	Bus and car as driver	2	Clerical and administrative workers	19
Sydney - Inner South West	Bus and car as driver	2	Community and personal service workers	18
Sydney - Inner South West	Bus and car as driver	2	Labourers	10
Sydney - Inner South West	Bus and car as driver	2	Machinery operators and drivers	6
Sydney - Inner South West	Bus and car as driver	2	Managers	12
Sydney - Inner South West	Bus and car as driver	2	Professionals	20
Sydney - Inner South West	Bus and car as driver	2	Sales workers	15
Sydney - Inner South West	Bus and car as driver	2	Technicians and trades workers	5
Sydney - Inner South West	Bus and car as passenger	2	Clerical and administrative workers	23
Sydney - Inner South West	Bus and car as passenger	2	Community and personal service workers	28
Sydney - Inner South West	Bus and car as passenger	2	Labourers	30
Sydney - Inner South West	Bus and car as passenger	2	Machinery operators and drivers	7
Sydney - Inner South West	Bus and car as passenger	2	Managers	3
Sydney - Inner South West	Bus and car as passenger	2	Professionals	20
Sydney - Inner South West	Bus and car as passenger	2	Sales workers	47
Sydney - Inner South West	Bus and car as passenger	2	Technicians and trades workers	7
Sydney - Inner South West	Bus and other	2	Clerical and administrative workers	5
Sydney - Inner South West	Bus and other	2	Community and personal service workers	11
Sydney - Inner South West	Bus and other	2	Labourers	4
Sydney - Inner South West	Bus and other	2	Machinery operators and drivers	4
Sydney - Inner South West	Bus and other	2	Managers	3
Sydney - Inner South West	Bus and other	2	Professionals	9
Sydney - Inner South West	Bus and other	2	Sales workers	3
Sydney - Inner South West	Bus and tram includes light rail	2	Managers	4
Sydney - Inner South West	Bus and two other methods excludes train	3		3
Sydney - Inner South West	Bus and two other methods excludes train	3	Community and personal service workers	5
Sydney - Inner South West	Bus and two other methods excludes train	3	Managers	4
Sydney - Inner South West	Bus and two other methods excludes train	3	Professionals	12
Sydney - Inner South West	Bus and two other methods excludes train	3	Sales workers	3
Sydney - Inner South West	Car as driver	1		1537
Sydney - Inner South West	Car as driver	1	Clerical and administrative workers	13790
Sydney - Inner South West	Car as driver	1	Community and personal service workers	9761
Sydney - Inner South West	Car as driver	1	Labourers	7704
Sydney - Inner South West	Car as driver	1	Machinery operators and drivers	8049
Sydney - Inner South West	Car as driver	1	Managers	12601
Sydney - Inner South West	Car as driver	1	Professionals	21245
Sydney - Inner South West	Car as driver	1	Sales workers	8466
Sydney - Inner South West	Car as driver	1	Technicians and trades workers	14376
Sydney - Inner South West	Car as passenger	1		159
Sydney - Inner South West	Car as passenger	1	Clerical and administrative workers	944
Sydney - Inner South West	Car as passenger	1	Community and personal service workers	900
Sydney - Inner South West	Car as passenger	1	Labourers	1426
Sydney - Inner South West	Car as passenger	1	Machinery operators and drivers	406
Sydney - Inner South West	Car as passenger	1	Managers	453
Sydney - Inner South West	Car as passenger	1	Professionals	906
Sydney - Inner South West	Car as passenger	1	Sales workers	1263
Sydney - Inner South West	Car as passenger	1	Technicians and trades workers	910
Sydney - Inner South West	Did not go to work			181
Sydney - Inner South West	Did not go to work		Clerical and administrative workers	1658
Sydney - Inner South West	Did not go to work		Community and personal service workers	1841
Sydney - Inner South West	Did not go to work		Labourers	1056
Sydney - Inner South West	Did not go to work		Machinery operators and drivers	546
Sydney - Inner South West	Did not go to work		Managers	745
Sydney - Inner South West	Did not go to work		Professionals	2776
Sydney - Inner South West	Did not go to work		Sales workers	1784
Sydney - Inner South West	Did not go to work		Technicians and trades workers	846
Sydney - Inner South West	Ferry	1	Labourers	3
Sydney - Inner South West	Ferry	1	Professionals	4
Sydney - Inner South West	Ferry	1	Technicians and trades workers	8
Sydney - Inner South West	Method of travel not stated			562
Sydney - Inner South West	Method of travel not stated		Clerical and administrative workers	125
Sydney - Inner South West	Method of travel not stated		Community and personal service workers	130
Sydney - Inner South West	Method of travel not stated		Labourers	149
Sydney - Inner South West	Method of travel not stated		Machinery operators and drivers	123
Sydney - Inner South West	Method of travel not stated		Managers	80
Sydney - Inner South West	Method of travel not stated		Professionals	157
Sydney - Inner South West	Method of travel not stated		Sales workers	111
Sydney - Inner South West	Method of travel not stated		Technicians and trades workers	158
Sydney - Inner South West	Motorbike scooter	1		6
Sydney - Inner South West	Motorbike scooter	1	Clerical and administrative workers	71
Sydney - Inner South West	Motorbike scooter	1	Community and personal service workers	38
Sydney - Inner South West	Motorbike scooter	1	Labourers	36
Sydney - Inner South West	Motorbike scooter	1	Machinery operators and drivers	76
Sydney - Inner South West	Motorbike scooter	1	Managers	62
Sydney - Inner South West	Motorbike scooter	1	Professionals	81
Sydney - Inner South West	Motorbike scooter	1	Sales workers	25
Sydney - Inner South West	Motorbike scooter	1	Technicians and trades workers	96
Sydney - Inner South West	(Other)	1		45
Sydney - Inner South West	(Other)	1	Clerical and administrative workers	127
Sydney - Inner South West	(Other)	1	Community and personal service workers	90
Sydney - Inner South West	(Other)	1	Labourers	58
Sydney - Inner South West	(Other)	1	Machinery operators and drivers	99
Sydney - Inner South West	(Other)	1	Managers	86
Sydney - Inner South West	(Other)	1	Professionals	129
Sydney - Inner South West	(Other)	1	Sales workers	56
Sydney - Inner South West	(Other)	1	Technicians and trades workers	105
Sydney - Inner South West	Other three methods	3	Community and personal service workers	4
Sydney - Inner South West	Other three methods	3	Labourers	4
Sydney - Inner South West	Other three methods	3	Machinery operators and drivers	3
Sydney - Inner South West	Other three methods	3	Managers	4
Sydney - Inner South West	Other three methods	3	Professionals	8
Sydney - Inner South West	Other three methods	3	Sales workers	3
Sydney - Inner South West	Other three methods	3	Technicians and trades workers	7
Sydney - Inner South West	Other two methods	2		32
Sydney - Inner South West	Other two methods	2	Clerical and administrative workers	80
Sydney - Inner South West	Other two methods	2	Community and personal service workers	86
Sydney - Inner South West	Other two methods	2	Labourers	105
Sydney - Inner South West	Other two methods	2	Machinery operators and drivers	107
Sydney - Inner South West	Other two methods	2	Managers	79
Sydney - Inner South West	Other two methods	2	Professionals	105
Sydney - Inner South West	Other two methods	2	Sales workers	60
Sydney - Inner South West	Other two methods	2	Technicians and trades workers	152
Sydney - Inner South West	Taxi	1		10
Sydney - Inner South West	Taxi	1	Clerical and administrative workers	14
Sydney - Inner South West	Taxi	1	Community and personal service workers	18
Sydney - Inner South West	Taxi	1	Labourers	31
Sydney - Inner South West	Taxi	1	Machinery operators and drivers	206
Sydney - Inner South West	Taxi	1	Managers	23
Sydney - Inner South West	Taxi	1	Professionals	26
Sydney - Inner South West	Taxi	1	Sales workers	11
Sydney - Inner South West	Taxi	1	Technicians and trades workers	4
Sydney - Inner South West	Train	1		155
Sydney - Inner South West	Train	1	Clerical and administrative workers	934
Sydney - Inner South West	Train	1	Community and personal service workers	945
Sydney - Inner South West	Train	1	Labourers	877
Sydney - Inner South West	Train	1	Machinery operators and drivers	260
Sydney - Inner South West	Train	1	Managers	523
Sydney - Inner South West	Train	1	Professionals	1688
Sydney - Inner South West	Train	1	Sales workers	758
Sydney - Inner South West	Train	1	Technicians and trades workers	761
Sydney - Inner South West	Train and bus	2		38
Sydney - Inner South West	Train and bus	2	Clerical and administrative workers	305
Sydney - Inner South West	Train and bus	2	Community and personal service workers	375
Sydney - Inner South West	Train and bus	2	Labourers	399
Sydney - Inner South West	Train and bus	2	Machinery operators and drivers	162
Sydney - Inner South West	Train and bus	2	Managers	152
Sydney - Inner South West	Train and bus	2	Professionals	515
Sydney - Inner South West	Train and bus	2	Sales workers	245
Sydney - Inner South West	Train and bus	2	Technicians and trades workers	225
Sydney - Inner South West	Train and car as driver	2		16
Sydney - Inner South West	Train and car as driver	2	Clerical and administrative workers	104
Sydney - Inner South West	Train and car as driver	2	Community and personal service workers	69
Sydney - Inner South West	Train and car as driver	2	Labourers	47
Sydney - Inner South West	Train and car as driver	2	Machinery operators and drivers	24
Sydney - Inner South West	Train and car as driver	2	Managers	78
Sydney - Inner South West	Train and car as driver	2	Professionals	213
Sydney - Inner South West	Train and car as driver	2	Sales workers	45
Sydney - Inner South West	Train and car as driver	2	Technicians and trades workers	100
Sydney - Inner South West	Train and car as passenger	2	Clerical and administrative workers	51
Sydney - Inner South West	Train and car as passenger	2	Community and personal service workers	43
Sydney - Inner South West	Train and car as passenger	2	Labourers	36
Sydney - Inner South West	Train and car as passenger	2	Machinery operators and drivers	12
Sydney - Inner South West	Train and car as passenger	2	Managers	22
Sydney - Inner South West	Train and car as passenger	2	Professionals	70
Sydney - Inner South West	Train and car as passenger	2	Sales workers	38
Sydney - Inner South West	Train and car as passenger	2	Technicians and trades workers	26
Sydney - Inner South West	Train and ferry	2	Managers	5
Sydney - Inner South West	Train and ferry	2	Professionals	5
Sydney - Inner South West	Train and other	2	Clerical and administrative workers	13
Sydney - Inner South West	Train and other	2	Community and personal service workers	11
Sydney - Inner South West	Train and other	2	Labourers	13
Sydney - Inner South West	Train and other	2	Machinery operators and drivers	6
Sydney - Inner South West	Train and other	2	Managers	12
Sydney - Inner South West	Train and other	2	Professionals	39
Sydney - Inner South West	Train and other	2	Sales workers	5
Sydney - Inner South West	Train and other	2	Technicians and trades workers	11
Sydney - Inner South West	Train and tram includes light rail	2	Community and personal service workers	3
Sydney - Inner South West	Train and tram includes light rail	2	Labourers	3
Sydney - Inner South West	Train and tram includes light rail	2	Managers	4
Sydney - Inner South West	Train and tram includes light rail	2	Professionals	13
Sydney - Inner South West	Train and tram includes light rail	2	Sales workers	3
Sydney - Inner South West	Train and two other methods	3		7
Sydney - Inner South West	Train and two other methods	3	Clerical and administrative workers	67
Sydney - Inner South West	Train and two other methods	3	Community and personal service workers	97
Sydney - Inner South West	Train and two other methods	3	Labourers	59
Sydney - Inner South West	Train and two other methods	3	Machinery operators and drivers	33
Sydney - Inner South West	Train and two other methods	3	Managers	38
Sydney - Inner South West	Train and two other methods	3	Professionals	158
Sydney - Inner South West	Train and two other methods	3	Sales workers	52
Sydney - Inner South West	Train and two other methods	3	Technicians and trades workers	57
Sydney - Inner South West	Tram includes light rail	1	Labourers	7
Sydney - Inner South West	Tram includes light rail	1	Managers	3
Sydney - Inner South West	Tram includes light rail	1	Professionals	3
Sydney - Inner South West	Tram includes light rail	1	Sales workers	3
Sydney - Inner South West	Truck	1		25
Sydney - Inner South West	Truck	1	Clerical and administrative workers	86
Sydney - Inner South West	Truck	1	Community and personal service workers	3
Sydney - Inner South West	Truck	1	Labourers	188
Sydney - Inner South West	Truck	1	Machinery operators and drivers	573
Sydney - Inner South West	Truck	1	Managers	149
Sydney - Inner South West	Truck	1	Professionals	15
Sydney - Inner South West	Truck	1	Sales workers	50
Sydney - Inner South West	Truck	1	Technicians and trades workers	369
Sydney - Inner South West	Walked only	1		88
Sydney - Inner South West	Walked only	1	Clerical and administrative workers	627
Sydney - Inner South West	Walked only	1	Community and personal service workers	1014
Sydney - Inner South West	Walked only	1	Labourers	694
Sydney - Inner South West	Walked only	1	Machinery operators and drivers	309
Sydney - Inner South West	Walked only	1	Managers	449
Sydney - Inner South West	Walked only	1	Professionals	1132
Sydney - Inner South West	Walked only	1	Sales workers	986
Sydney - Inner South West	Walked only	1	Technicians and trades workers	523
Sydney - Inner South West	Worked at home			124
Sydney - Inner South West	Worked at home		Clerical and administrative workers	1667
Sydney - Inner South West	Worked at home		Community and personal service workers	773
Sydney - Inner South West	Worked at home		Labourers	105
Sydney - Inner South West	Worked at home		Machinery operators and drivers	105
Sydney - Inner South West	Worked at home		Managers	905
Sydney - Inner South West	Worked at home		Professionals	2008
Sydney - Inner South West	Worked at home		Sales workers	371
Sydney - Inner South West	Worked at home		Technicians and trades workers	479
Sydney - Inner West	Bicycle	1		6
Sydney - Inner West	Bicycle	1	Clerical and administrative workers	42
Sydney - Inner West	Bicycle	1	Community and personal service workers	84
Sydney - Inner West	Bicycle	1	Labourers	49
Sydney - Inner West	Bicycle	1	Machinery operators and drivers	34
Sydney - Inner West	Bicycle	1	Managers	70
Sydney - Inner West	Bicycle	1	Professionals	274
Sydney - Inner West	Bicycle	1	Sales workers	40
Sydney - Inner West	Bicycle	1	Technicians and trades workers	70
Sydney - Inner West	Bus	1		48
Sydney - Inner West	Bus	1	Clerical and administrative workers	469
Sydney - Inner West	Bus	1	Community and personal service workers	668
Sydney - Inner West	Bus	1	Labourers	323
Sydney - Inner West	Bus	1	Machinery operators and drivers	86
Sydney - Inner West	Bus	1	Managers	266
Sydney - Inner West	Bus	1	Professionals	712
Sydney - Inner West	Bus	1	Sales workers	618
Sydney - Inner West	Bus	1	Technicians and trades workers	289
Sydney - Inner West	Bus and car as driver	2	Clerical and administrative workers	16
Sydney - Inner West	Bus and car as driver	2	Community and personal service workers	19
Sydney - Inner West	Bus and car as driver	2	Labourers	7
Sydney - Inner West	Bus and car as driver	2	Machinery operators and drivers	3
Sydney - Inner West	Bus and car as driver	2	Managers	11
Sydney - Inner West	Bus and car as driver	2	Professionals	39
Sydney - Inner West	Bus and car as driver	2	Sales workers	24
Sydney - Inner West	Bus and car as driver	2	Technicians and trades workers	4
Sydney - Inner West	Bus and car as passenger	2	Clerical and administrative workers	23
Sydney - Inner West	Bus and car as passenger	2	Community and personal service workers	18
Sydney - Inner West	Bus and car as passenger	2	Labourers	21
Sydney - Inner West	Bus and car as passenger	2	Managers	11
Sydney - Inner West	Bus and car as passenger	2	Professionals	24
Sydney - Inner West	Bus and car as passenger	2	Sales workers	25
Sydney - Inner West	Bus and car as passenger	2	Technicians and trades workers	5
Sydney - Inner West	Bus and ferry	2	Clerical and administrative workers	3
Sydney - Inner West	Bus and ferry	2	Managers	9
Sydney - Inner West	Bus and ferry	2	Professionals	8
Sydney - Inner West	Bus and other	2	Clerical and administrative workers	9
Sydney - Inner West	Bus and other	2	Community and personal service workers	5
Sydney - Inner West	Bus and other	2	Labourers	3
Sydney - Inner West	Bus and other	2	Machinery operators and drivers	3
Sydney - Inner West	Bus and other	2	Managers	8
Sydney - Inner West	Bus and other	2	Professionals	7
Sydney - Inner West	Bus and other	2	Sales workers	6
Sydney - Inner West	Bus and other	2	Technicians and trades workers	10
Sydney - Inner West	Bus and tram includes light rail	2	Clerical and administrative workers	5
Sydney - Inner West	Bus and tram includes light rail	2	Community and personal service workers	6
Sydney - Inner West	Bus and tram includes light rail	2	Labourers	3
Sydney - Inner West	Bus and tram includes light rail	2	Professionals	5
Sydney - Inner West	Bus and tram includes light rail	2	Sales workers	3
Sydney - Inner West	Bus and tram includes light rail	2	Technicians and trades workers	3
Sydney - Inner West	Bus and two other methods excludes train	3	Clerical and administrative workers	6
Sydney - Inner West	Bus and two other methods excludes train	3	Community and personal service workers	3
Sydney - Inner West	Bus and two other methods excludes train	3	Managers	3
Sydney - Inner West	Bus and two other methods excludes train	3	Professionals	13
Sydney - Inner West	Bus and two other methods excludes train	3	Sales workers	4
Sydney - Inner West	Bus and two other methods excludes train	3	Technicians and trades workers	7
Sydney - Inner West	Car as driver	1		854
Sydney - Inner West	Car as driver	1	Clerical and administrative workers	9060
Sydney - Inner West	Car as driver	1	Community and personal service workers	5411
Sydney - Inner West	Car as driver	1	Labourers	3340
Sydney - Inner West	Car as driver	1	Machinery operators and drivers	3324
Sydney - Inner West	Car as driver	1	Managers	9722
Sydney - Inner West	Car as driver	1	Professionals	15720
Sydney - Inner West	Car as driver	1	Sales workers	5562
Sydney - Inner West	Car as driver	1	Technicians and trades workers	7181
Sydney - Inner West	Car as passenger	1		77
Sydney - Inner West	Car as passenger	1	Clerical and administrative workers	662
Sydney - Inner West	Car as passenger	1	Community and personal service workers	459
Sydney - Inner West	Car as passenger	1	Labourers	523
Sydney - Inner West	Car as passenger	1	Machinery operators and drivers	139
Sydney - Inner West	Car as passenger	1	Managers	338
Sydney - Inner West	Car as passenger	1	Professionals	591
Sydney - Inner West	Car as passenger	1	Sales workers	657
Sydney - Inner West	Car as passenger	1	Technicians and trades workers	419
Sydney - Inner West	Did not go to work			134
Sydney - Inner West	Did not go to work		Clerical and administrative workers	1269
Sydney - Inner West	Did not go to work		Community and personal service workers	1337
Sydney - Inner West	Did not go to work		Labourers	545
Sydney - Inner West	Did not go to work		Machinery operators and drivers	281
Sydney - Inner West	Did not go to work		Managers	701
Sydney - Inner West	Did not go to work		Professionals	2230
Sydney - Inner West	Did not go to work		Sales workers	1409
Sydney - Inner West	Did not go to work		Technicians and trades workers	577
Sydney - Inner West	Ferry	1		3
Sydney - Inner West	Ferry	1	Clerical and administrative workers	9
Sydney - Inner West	Ferry	1	Community and personal service workers	3
Sydney - Inner West	Ferry	1	Managers	5
Sydney - Inner West	Ferry	1	Professionals	14
Sydney - Inner West	Ferry	1	Sales workers	4
Sydney - Inner West	Ferry	1	Technicians and trades workers	3
Sydney - Inner West	Method of travel not stated			341
Sydney - Inner West	Method of travel not stated		Clerical and administrative workers	98
Sydney - Inner West	Method of travel not stated		Community and personal service workers	69
Sydney - Inner West	Method of travel not stated		Labourers	66
Sydney - Inner West	Method of travel not stated		Machinery operators and drivers	56
Sydney - Inner West	Method of travel not stated		Managers	66
Sydney - Inner West	Method of travel not stated		Professionals	135
Sydney - Inner West	Method of travel not stated		Sales workers	78
Sydney - Inner West	Method of travel not stated		Technicians and trades workers	82
Sydney - Inner West	Motorbike scooter	1		8
Sydney - Inner West	Motorbike scooter	1	Clerical and administrative workers	76
Sydney - Inner West	Motorbike scooter	1	Community and personal service workers	62
Sydney - Inner West	Motorbike scooter	1	Labourers	37
Sydney - Inner West	Motorbike scooter	1	Machinery operators and drivers	40
Sydney - Inner West	Motorbike scooter	1	Managers	102
Sydney - Inner West	Motorbike scooter	1	Professionals	171
Sydney - Inner West	Motorbike scooter	1	Sales workers	51
Sydney - Inner West	Motorbike scooter	1	Technicians and trades workers	101
Sydney - Inner West	(Other)	1		40
Sydney - Inner West	(Other)	1	Clerical and administrative workers	51
Sydney - Inner West	(Other)	1	Community and personal service workers	61
Sydney - Inner West	(Other)	1	Labourers	30
Sydney - Inner West	(Other)	1	Machinery operators and drivers	26
Sydney - Inner West	(Other)	1	Managers	88
Sydney - Inner West	(Other)	1	Professionals	122
Sydney - Inner West	(Other)	1	Sales workers	27
Sydney - Inner West	(Other)	1	Technicians and trades workers	74
Sydney - Inner West	Other three methods	3	Managers	7
Sydney - Inner West	Other three methods	3	Professionals	14
Sydney - Inner West	Other three methods	3	Technicians and trades workers	3
Sydney - Inner West	Other two methods	2		13
Sydney - Inner West	Other two methods	2	Clerical and administrative workers	60
Sydney - Inner West	Other two methods	2	Community and personal service workers	53
Sydney - Inner West	Other two methods	2	Labourers	34
Sydney - Inner West	Other two methods	2	Machinery operators and drivers	21
Sydney - Inner West	Other two methods	2	Managers	78
Sydney - Inner West	Other two methods	2	Professionals	128
Sydney - Inner West	Other two methods	2	Sales workers	44
Sydney - Inner West	Other two methods	2	Technicians and trades workers	77
Sydney - Inner West	Taxi	1	Clerical and administrative workers	18
Sydney - Inner West	Taxi	1	Community and personal service workers	11
Sydney - Inner West	Taxi	1	Labourers	11
Sydney - Inner West	Taxi	1	Machinery operators and drivers	23
Sydney - Inner West	Taxi	1	Managers	26
Sydney - Inner West	Taxi	1	Professionals	45
Sydney - Inner West	Taxi	1	Sales workers	17
Sydney - Inner West	Taxi	1	Technicians and trades workers	11
Sydney - Inner West	Train	1		203
Sydney - Inner West	Train	1	Clerical and administrative workers	2039
Sydney - Inner West	Train	1	Community and personal service workers	909
Sydney - Inner West	Train	1	Labourers	811
Sydney - Inner West	Train	1	Machinery operators and drivers	220
Sydney - Inner West	Train	1	Managers	809
Sydney - Inner West	Train	1	Professionals	2710
Sydney - Inner West	Train	1	Sales workers	904
Sydney - Inner West	Train	1	Technicians and trades workers	808
Sydney - Inner West	Train and bus	2		42
Sydney - Inner West	Train and bus	2	Clerical and administrative workers	629
Sydney - Inner West	Train and bus	2	Community and personal service workers	415
Sydney - Inner West	Train and bus	2	Labourers	330
Sydney - Inner West	Train and bus	2	Machinery operators and drivers	104
Sydney - Inner West	Train and bus	2	Managers	255
Sydney - Inner West	Train and bus	2	Professionals	851
Sydney - Inner West	Train and bus	2	Sales workers	404
Sydney - Inner West	Train and bus	2	Technicians and trades workers	281
Sydney - Inner West	Train and car as driver	2		17
Sydney - Inner West	Train and car as driver	2	Clerical and administrative workers	300
Sydney - Inner West	Train and car as driver	2	Community and personal service workers	61
Sydney - Inner West	Train and car as driver	2	Labourers	31
Sydney - Inner West	Train and car as driver	2	Machinery operators and drivers	25
Sydney - Inner West	Train and car as driver	2	Managers	171
Sydney - Inner West	Train and car as driver	2	Professionals	369
Sydney - Inner West	Train and car as driver	2	Sales workers	56
Sydney - Inner West	Train and car as driver	2	Technicians and trades workers	117
Sydney - Inner West	Train and car as passenger	2		15
Sydney - Inner West	Train and car as passenger	2	Clerical and administrative workers	111
Sydney - Inner West	Train and car as passenger	2	Community and personal service workers	41
Sydney - Inner West	Train and car as passenger	2	Labourers	17
Sydney - Inner West	Train and car as passenger	2	Machinery operators and drivers	10
Sydney - Inner West	Train and car as passenger	2	Managers	37
Sydney - Inner West	Train and car as passenger	2	Professionals	121
Sydney - Inner West	Train and car as passenger	2	Sales workers	38
Sydney - Inner West	Train and car as passenger	2	Technicians and trades workers	37
Sydney - Inner West	Train and ferry	2	Clerical and administrative workers	3
Sydney - Inner West	Train and ferry	2	Community and personal service workers	3
Sydney - Inner West	Train and ferry	2	Managers	12
Sydney - Inner West	Train and ferry	2	Professionals	14
Sydney - Inner West	Train and ferry	2	Technicians and trades workers	4
Sydney - Inner West	Train and other	2		3
Sydney - Inner West	Train and other	2	Clerical and administrative workers	22
Sydney - Inner West	Train and other	2	Community and personal service workers	12
Sydney - Inner West	Train and other	2	Labourers	6
